gameId,periodsMax,periodLengthREGULAR,periodLengthOVERTIME,inOT,attendance,team1Id,team1Code,team1Name,team1Score,team2Id,team2Code,team2Name,team2Score
2702542,4,10,5,0,0,,BRI,Bristol Flyers,78,,SHE,B. Braun Sheffield Sharks,60
2702543,4,10,5,0,0,,Riders,Leicester Riders,72,,Lions,London Lions,79
2702544,4,10,5,0,0,,MAN,Manchester Basketball,92,,CHE,Cheshire Phoenix,89
2702545,4,10,5,1,850,,CAL,Caledonia Gladiators,104,,NEW,Newcastle Eagles,109
2702546,4,10,5,0,571,,LON,London Lions,89,,CHE,Cheshire Phoenix,83
2702547,4,10,5,0,0,,LEI,Leicester Riders,65,,SHE,B. Braun Sheffield Sharks,93
2702548,4,10,5,0,941,,LON,London Lions,72,,BRI,Bristol Flyers,60
2702549,4,10,5,0,0,,NEW,Newcastle Eagles,88,,CHE,Cheshire Phoenix,70
2702550,4,10,5,0,0,,SUR,Surrey 89ers,94,,MAN,Manchester Basketball,80
2702551,4,10,5,0,0,,SHE,B. Braun Sheffield Sharks,78,,NEW,Newcastle Eagles,73
2702552,4,10,5,0,0,,LEI,Leicester Riders,91,,NEW,Newcastle Eagles,77
2702553,4,10,5,0,0,,NEW,Newcastle Eagles,83,,BRI,Bristol Flyers,87
2702554,4,10,5,0,0,,BRI,Bristol Flyers,74,,LEI,Leicester Riders,70
2702556,4,10,5,0,0,,SHE,B. Braun Sheffield Sharks,76,,BRI,Bristol Flyers,69
2702557,4,10,5,0,0,,CHE,Cheshire Phoenix,108,,CAL,Caledonia Gladiators,96
2702558,4,10,5,0,0,,CHE,Cheshire Phoenix,91,,NEW,Newcastle Eagles,85
2702559,4,10,5,0,888,,CAL,Caledonia Gladiators,74,,MAN,Manchester Basketball,62
2702560,4,10,5,0,0,,SUR,Surrey 89ers,66,,BRI,Bristol Flyers,96
2702561,4,10,5,0,0,,BRI,Bristol Flyers,86,,CHE,Cheshire Phoenix,95
2702562,4,10,5,0,1500,,LON,London Lions,82,,LEI,Leicester Riders,70
2702563,4,10,5,0,0,,MAN,Manchester Basketball,87,,LEI,Leicester Riders,72
2702564,4,10,5,0,0,,SUR,Surrey 89ers,78,,LEI,Leicester Riders,80
2702565,4,10,5,0,0,,BRI,Bristol Flyers,103,,CAL,Caledonia Gladiators,94
2702566,4,10,5,0,0,,SHE,B. Braun Sheffield Sharks,77,,CAL,Caledonia Gladiators,71
2702567,4,10,5,0,0,,MAN,Manchester Basketball,90,,SUR,Surrey 89ers,95
2702568,4,10,5,0,0,,NEW,Newcastle Eagles,95,,SHE,B. Braun Sheffield Sharks,99
2702570,4,10,5,0,576,,CAL,Caledonia Gladiators,51,,LON,London Lions,96
2702571,4,10,5,0,666,,Sharks,B. Braun Sheffield Sharks,98,,MB,Manchester Basketball,79
2702572,4,10,5,0,0,,SUR,Surrey 89ers,85,,CAL,Caledonia Gladiators,100
2702573,4,10,5,0,0,,CHE,Cheshire Phoenix,114,,SHE,B. Braun Sheffield Sharks,95
2702574,4,10,5,0,900,,CAL,Caledonia Gladiators,76,,SUR,Surrey 89ers,93
2702575,4,10,5,0,666,,Riders,Leicester Riders,95,,Phoeni,Cheshire Phoenix,93
2702576,4,10,5,0,0,,CHE,Cheshire Phoenix,90,,SHE,B. Braun Sheffield Sharks,87
2702577,4,10,5,0,0,,CHE,Cheshire Phoenix,74,,LON,London Lions,89
2702578,4,10,5,0,0,,MAN,Manchester Basketball,87,,SHE,B. Braun Sheffield Sharks,75
2702579,4,10,5,0,854,,CAL,Caledonia Gladiators,91,,BRI,Bristol Flyers,93
2702580,4,10,5,0,0,,BRI,Bristol Flyers,68,,LON,London Lions,54
2702581,4,10,5,0,0,,LEI,Leicester Riders,85,,CAL,Caledonia Gladiators,79
2702582,4,10,5,0,0,,MAN,Manchester Basketball,97,,CHE,Cheshire Phoenix,91
2702583,4,10,5,0,2223,,LON,London Lions,95,,NEW,Newcastle Eagles,82
2702584,4,10,5,0,0,,CHE,Cheshire Phoenix,111,,BRI,Bristol Flyers,84
2702585,4,10,5,0,0,,SHE,B. Braun Sheffield Sharks,68,,NEW,Newcastle Eagles,80
2702586,4,10,5,0,0,,SUR,Surrey 89ers,79,,CHE,Cheshire Phoenix,86
2702587,4,10,5,0,0,,BRI,Bristol Flyers,78,,MAN,Manchester Basketball,84
2702588,4,10,5,0,678,,CAL,Caledonia Gladiators,65,,SHE,B. Braun Sheffield Sharks,73
2702589,4,10,5,0,0,,CHE,Cheshire Phoenix,88,,LEI,Leicester Riders,89
2702590,4,10,5,0,560,,BRI,Bristol Flyers,87,,CAL,Caledonia Gladiators,67
2702591,4,10,5,0,3099,,LON,London Lions,74,,MAN,Manchester Basketball,91
