gameId,role,name,firstName,familyName
2702542,referee1,Bob Bhania,Bob,Bhania
2702542,referee2,Andy Broughton,Andy,Broughton
2702543,commissioner, ,,
2702543,referee1,Matt Godsall,Matt,Godsall
2702543,referee2,Robert Leszczyk,Robert,Leszczyk
2702543,referee3,Monica Wimarska,Monica,Wimarska
2702544,commissioner, ,,
2702544,referee1, ,,
2702544,referee2, ,,
2702544,referee3, ,,
2702545,referee1,Bob Bhania,Bob,Bhania
2702545,referee2,Lino Figuerido,Lino,Figuerido
2702545,referee3,Ingus Banckevics,Ingus,Banckevics
2702546,referee1,Bob Bhania,Bob,Bhania
2702546,referee2,Lino Figueriredo,Lino,Figueriredo
2702546,referee3,Jack Davies,Jack,Davies
2702547,commissioner, ,,
2702547,referee1,Jack Davies,Jack,Davies
2702547,referee2, ,,
2702547,referee3, ,,
2702548,referee1,B Bhania,B,Bhania
2702548,referee2,T Akar,T,Akar
2702548,referee3,N Malone,N,Malone
2702549,referee1,Matthew Godsall,Matthew,Godsall
2702549,referee2,Matthew Armstrong,Matthew,Armstrong
2702549,referee3,Billy Cousins,Billy,Cousins
2702550,commissioner, ,,
2702550,referee1,Matthew Godsall,Matthew,Godsall
2702550,referee2,Monika Winiarska,Monika,Winiarska
2702550,referee3,Robert Leszczyk,Robert,Leszczyk
2702551,commissioner, ,,
2702551,referee1,Matt Godsall,Matt,Godsall
2702551,referee2,Jade Butters,Jade,Butters
2702551,referee3,Monica Uiniarska,Monica,Uiniarska
2702552,commissioner, ,,
2702552,referee1,Bob Bhania,Bob,Bhania
2702552,referee2,Tahir Akar,Tahir,Akar
2702552,referee3,Beyti Ozgur,Beyti,Ozgur
2702553,referee1,Christopher Dodds,Christopher,Dodds
2702553,referee2,Bartek Rasinski,Bartek,Rasinski
2702553,referee3,Nicholas Nassi,Nicholas,Nassi
2702554,referee1,Bob Bhania,Bob,Bhania
2702554,referee2,Robert Leszczyk,Robert,Leszczyk
2702554,referee3,Andy Broughton,Andy,Broughton
2702556,referee1,Bob Bhania,Bob,Bhania
2702556,referee2,M.a. Diamond-Hunter,M.A.,Diamond-Hunter
2702556,referee3,Matt Godsall,Matt,Godsall
2702557,commissioner, ,,
2702557,referee1,Lino Figueiredo,Lino,Figueiredo
2702557,referee2,Jonathan Vickerstaff,Jonathan,Vickerstaff
2702557,referee3,Ingus Baneviks,Ingus,Baneviks
2702558,referee1,Matthew Godsall,Matthew,Godsall
2702558,referee2,Robert Leszczyk,Robert,Leszczyk
2702558,referee3,Monika Winiarska,Monika,Winiarska
2702559,referee1,Ingus Bankevics,Ingus,Bankevics
2702559,referee2,Lino Figueiredo,Lino,Figueiredo
2702559,referee3,Matthew Armstrong,Matthew,Armstrong
2702560,referee1,Tahir Akar,Tahir,Akar
2702560,referee2,Beyti Ozgur,Beyti,Ozgur
2702560,referee3,Matthew Godsall,Matthew,Godsall
2702561,referee1,Noel Malone,Noel,Malone
2702561,referee2,Tahir Akar,Tahir,Akar
2702561,referee3,Andy Broughton,Andy,Broughton
2702562,commissioner, ,,
2702562,referee1,Noel Malone,Noel,Malone
2702562,referee2,Tahir Akar,Tahir,Akar
2702562,referee3,Beyti Ozgur,Beyti,Ozgur
2702563,referee1,Jonnie Vickerstaff,Jonnie,Vickerstaff
2702563,referee2,Lino Figueiredo,Lino,Figueiredo
2702563,referee3,Joan Laplana,Joan,Laplana
2702564,commissioner, ,,
2702564,referee1,Bob Bhania,Bob,Bhania
2702564,referee2,Steve Stredwick,Steve,Stredwick
2702564,referee3,Hojj Fozi,Hojj,Fozi
2702565,commissioner, ,,
2702565,referee1,Bob Bhania,Bob,Bhania
2702565,referee2,Tahir Akar,Tahir,Akar
2702565,referee3,Hojj Fozi,Hojj,Fozi
2702566,commissioner, ,,
2702566,referee1,Matthew Godsall,Matthew,Godsall
2702566,referee2,Jose Fuentes,Jose,Fuentes
2702566,referee3,Ian Pursglove,Ian,Pursglove
2702567,commissioner, ,,
2702567,referee1,Bob Bhania,Bob,Bhania
2702567,referee2,Matthew Godsall,Matthew,Godsall
2702567,referee3,Jack Davies,Jack,Davies
2702568,referee1,Lino Figueiredo,Lino,Figueiredo
2702568,referee2,Ingus Bankevics,Ingus,Bankevics
2702568,referee3,Billy Cousins,Billy,Cousins
2702570,referee1,Jonathan Vickerstaff,Jonathan,Vickerstaff
2702570,referee2,Lino Figueiredo,Lino,Figueiredo
2702570,referee3,Ingus Bankevics,Ingus,Bankevics
2702571,referee1,Tahir Akar,Tahir,Akar
2702571,referee2,M.a. Diamond-Hunter,M.A.,Diamond-Hunter
2702571,referee3,Joan Laplana,Joan,Laplana
2702572,referee1,Tahir Akar,Tahir,Akar
2702572,referee2,Noel Malone,Noel,Malone
2702572,referee3,Bob Bhania,Bob,Bhania
2702573,referee1,Beyti Ozgur,Beyti,Ozgur
2702573,referee2,Tahir Akar,Tahir,Akar
2702573,referee3,Matthew Armstrong,Matthew,Armstrong
2702574,referee1,Ingus Bankevics,Ingus,Bankevics
2702574,referee2,Ian Pursglove,Ian,Pursglove
2702574,referee3,Matthew Armstrong,Matthew,Armstrong
2702575,commissioner, ,,
2702575,referee1,Noel Malone,Noel,Malone
2702575,referee2,Steve Stredwick,Steve,Stredwick
2702575,referee3,Andy Broughton,Andy,Broughton
2702576,commissioner, ,,
2702576,referee1,Ingus Bankevics,Ingus,Bankevics
2702576,referee2,Lino Figueiredo,Lino,Figueiredo
2702576,referee3,Jade Butters,Jade,Butters
2702577,commissioner, ,,
2702577,referee1,Paul Walton,Paul,Walton
2702577,referee2,Beyti Ozgur,Beyti,Ozgur
2702577,referee3,Jade Butters,Jade,Butters
2702578,referee1,Matthew Godsall,Matthew,Godsall
2702578,referee2,Robert Leszczyk,Robert,Leszczyk
2702578,referee3,Ian Pursglove,Ian,Pursglove
2702579,referee1,Ingus Bankevics,Ingus,Bankevics
2702579,referee2,Matthew Armstrong,Matthew,Armstrong
2702579,referee3,Lino Figueiredo,Lino,Figueiredo
2702580,commissioner, ,,
2702580,referee1,Bob Bhania,Bob,Bhania
2702580,referee2,Lino Figueiredo,Lino,Figueiredo
2702580,referee3,Andy Broughton,Andy,Broughton
2702581,commissioner, ,,
2702581,referee1,Tahir Akar,Tahir,Akar
2702581,referee2,Beyti Ozgur,Beyti,Ozgur
2702581,referee3,Joan Laplana,Joan,Laplana
2702582,commissioner, ,,
2702582,referee1,Matthew Godsall,Matthew,Godsall
2702582,referee2,Robert Leszczyk,Robert,Leszczyk
2702582,referee3,Monika Winiarska,Monika,Winiarska
2702583,referee1,Bob Bhania,Bob,Bhania
2702583,referee2,Steve Stredwick,Steve,Stredwick
2702583,referee3,Jack Davies,Jack,Davies
2702584,commissioner, ,,
2702584,referee1,Paul Walton,Paul,Walton
2702584,referee2,Ingus Bankevics,Ingus,Bankevics
2702584,referee3,Matt Reynolds,Matt,Reynolds
2702585,commissioner, ,,
2702585,referee1,Tahir Akar,Tahir,Akar
2702585,referee2,Ingus Bankevics,Ingus,Bankevics
2702585,referee3,Monika Winiarska,Monika,Winiarska
2702586,commissioner, ,,
2702586,referee1,Noel Malone,Noel,Malone
2702586,referee2,Steve Stredwick,Steve,Stredwick
2702586,referee3,Ian Green,Ian,Green
2702587,referee1,Beyti Ozgur,Beyti,Ozgur
2702587,referee2,Robert Leszczyk,Robert,Leszczyk
2702587,referee3,Andy Broughton,Andy,Broughton
2702588,commissioner, ,,
2702588,referee1,Bob Bhania,Bob,Bhania
2702588,referee2,Noel Malone,Noel,Malone
2702588,referee3,Steve Stredwick,Steve,Stredwick
2702589,commissioner, ,,
2702589,referee1,Bob Bhania,Bob,Bhania
2702589,referee2,Matthew Godsall,Matthew,Godsall
2702589,referee3,Robert Leszczyk,Robert,Leszczyk
2702590,commissioner, ,,
2702590,referee1,Tahir Akar,Tahir,Akar
2702590,referee2,Ian Green,Ian,Green
2702590,referee3,Jack Davies,Jack,Davies
2702591,referee1,Bob Bhania,Bob,Bhania
2702591,referee2,Steve Stredwick,Steve,Stredwick
2702591,referee3,M.a. Diamond-Hunter,M.A.,Diamond-Hunter
2702592,commissioner, ,,
2702592,referee1,Paul Walton,Paul,Walton
2702592,referee2,Matthew Godsall,Matthew,Godsall
2702592,referee3,Joan Laplana,Joan,Laplana
2702593,referee1,Noel Malone,Noel,Malone
2702593,referee2,Steve Stredwick,Steve,Stredwick
2702593,referee3,Rob Leszczyk,Rob,Leszczyk
2702594,referee1,Paul Walton,Paul,Walton
2702594,referee2,Christopher Dodds,Christopher,Dodds
2702594,referee3,Matthew Armstrong,Matthew,Armstrong
2702595,referee1,Bob Bhania,Bob,Bhania
2702595,referee2,Steve Stredwick,Steve,Stredwick
2702595,referee3,Monika Winiarska,Monika,Winiarska
2702596,commissioner, ,,
2702596,referee1,Bob Bhania,Bob,Bhania
2702596,referee2,Steve Stredwick,Steve,Stredwick
2702596,referee3,Jack Davies,Jack,Davies
2702597,commissioner, ,,
2702597,referee1,Beyti Ozgur,Beyti,Ozgur
2702597,referee2,Matthew Godsall,Matthew,Godsall
2702597,referee3,Robert Leszczyk,Robert,Leszczyk
2702598,commissioner, ,,
2702598,referee1,Noel Malone,Noel,Malone
2702598,referee2,Robert Leszczyk,Robert,Leszczyk
2702598,referee3,Andy Broughton,Andy,Broughton
2702599,commissioner, ,,
2702599,referee1,Tahir Akar,Tahir,Akar
2702599,referee2,Beyti Ozgur,Beyti,Ozgur
2702599,referee3,Ian Green,Ian,Green
2702600,commissioner, ,,
2702600,referee1,Paul Walton,Paul,Walton
