Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
London Lions,Aaryndeep Rai,21,Aaryn Rai; Aaryndeep Rai,39,21.9,852.7,270.0,6.9,108.0,202.0,53.5,19.0,56.0,33.9,35.0,54.0,64.8,70.0,159.0,229.0,60.0,27.0,12.0,38.0,77.0,186.0,12.0,9.5,2.1,8.1,139,409.0,10.5,14.4,15,1.7,12,5,52.8,14.2,9,4.63,-1.98,6.62,4.3,3.7,97.0,63.0,64.9,17.0,8.0,47.1,4.0,1.0,25,0.0,0.0,13.0,16.0,2.0,7.0,62.0,38.0,66.0
London Lions,Deane Williams,31,Deane Williams,38,21.9,830.6,328.0,8.6,114.0,262.0,43.5,35.0,117.0,29.9,65.0,95.0,68.4,49.0,118.0,167.0,65.0,25.0,22.0,49.0,105.0,291.6,19.3,11.5,2.3,5.9,151,479.0,12.6,16.8,23,1.8,30,7,34.8,38.1,13,2.67,-3.69,6.37,4.1,3.7,90.0,56.0,62.2,14.0,9.0,64.3,5.0,2.0,40,0.0,0.0,22.0,17.0,0.0,10.0,36.0,45.0,63.0
Newcastle Eagles,Cole Long,15,Cole Long,37,28.4,1051.4,433.0,11.7,157.0,335.0,46.9,64.0,176.0,36.4,55.0,75.0,73.3,58.0,147.0,205.0,69.0,26.0,37.0,39.0,109.0,335.0,15.9,14.4,2.3,6.8,147,580.0,15.7,19.3,47,3.4,31,9,67.2,35.0,14,0.92,-2.67,3.59,4.5,3.2,90.0,62.0,68.9,25.0,9.0,36,7.0,1.0,14.3,0.0,0.0,14.0,16.0,0.0,9.0,67.0,66.0,87.0
Newcastle Eagles,Mitch Clarke,41,Mitch Clarke,37,24.4,902.2,309.0,8.4,104.0,266.0,39.1,36.0,130.0,27.7,65.0,85.0,76.5,28.0,91.0,119.0,114.0,52.0,6.0,57.0,117.0,319.1,17.7,10.3,3.8,4.0,254,563.0,15.2,18.7,28,2.0,27,12,43.4,41.3,14,-1.82,-5.81,4.0,2.3,3.1,84.0,49.0,58.3,15.0,5.0,33.3,12.0,4.0,33.3,0.0,0.0,32.0,21.0,0.0,4.0,22.0,47.0,41.0
London Lions,Mohammad Al-Amin Abdul Adamu,5,Mohammad Al-Amin Abdul Adamu; Amin Adamu,37,15.0,554.8,233.0,6.3,91.0,186.0,48.9,30.0,76.0,39.5,21.0,25.0,84,15.0,64.0,79.0,55.0,12.0,0.0,48.0,63.0,220.8,21.9,8.2,1.9,2.8,117,350.0,9.5,12.3,5,1.7,5,3,39.6,6.3,3,0.93,-4.04,4.96,2.7,3.0,36.0,25.0,69.4,32.0,18.0,56.2,4.0,2.0,50,0.0,0.0,31.0,14.0,0.0,3.0,26.0,22.0,35.0
Bristol Flyers,William Yoakum,3,William Yoakum,36,25.2,906.5,462.0,12.8,176.0,328.0,53.7,48.0,120.0,40,62.0,83.0,74.7,45.0,108.0,153.0,39.0,46.0,14.0,43.0,69.0,348.0,20.3,16.8,1.4,5.6,82,544.0,15.1,19.8,37,3.1,23,10,67.5,28.4,12,3.28,-1.57,4.85,3.3,2.5,132.0,91.0,68.9,15.0,5.0,33.3,1.0,1.0,100,0.0,0.0,12.0,25.0,0.0,6.0,72.0,115.0,84.0
Bristol Flyers,Zachary Anderson,4,Zachary Anderson,36,29.1,1049.3,398.0,11.1,143.0,331.0,43.2,65.0,192.0,33.9,47.0,62.0,75.8,19.0,153.0,172.0,72.0,22.0,18.0,53.0,44.0,376.6,18.9,14.5,2.6,6.3,166,564.0,15.7,20.5,17,1.4,16,3,49.1,21.3,12,-0.31,-3.94,3.62,3.5,3.3,63.0,48.0,76.2,22.0,9.0,40.9,4.0,1.0,25,0.0,0.0,26.0,18.0,0.0,9.0,46.0,54.0,64.0
Bristol Flyers,Darnell Brodie,51,Darnell Brodie,36,17.3,622.4,283.0,7.9,108.0,215.0,50.2,1.0,5.0,20,66.0,104.0,63.5,70.0,130.0,200.0,39.0,15.0,19.0,59.0,76.0,239.8,20.3,10.3,1.4,7.3,85,368.0,10.2,13.4,16,1.8,9,11,57.8,15.8,9,-2.59,-6.16,3.57,5.0,3.1,131.0,78.0,59.5,12.0,3.0,25,0.0,0.0,0,0.0,0.0,33.0,17.0,0.0,9.0,46.0,6.0,16.0
Bristol Flyers,Marcus Delpeche,21,Marcus Delpeche,36,12.0,433.3,188.0,5.2,76.0,152.0,50,1.0,1.0,100,35.0,60.0,58.3,58.0,62.0,120.0,19.0,14.0,5.0,30.0,58.0,144.4,17.6,6.8,0.7,4.4,43,231.0,6.4,8.4,17,1.4,15,6,48.2,19.6,12,-3.54,-5.98,2.44,4.5,3.6,103.0,58.0,56.3,4.0,2.0,50,0.0,0.0,0,0.0,0.0,10.0,8.0,1.0,11.0,33.0,24.0,42.0
Bristol Flyers,Pasquale Landolfi,40,Pasquale Landolfi,36,2.2,78.8,11.0,0.3,4.0,19.0,21.1,2.0,15.0,13.3,1.0,2.0,50,2.0,3.0,5.0,3.0,0.0,0.0,5.0,10.0,22.0,14.7,0.4,0.1,0.2,5,16.0,0.4,0.6,0,0,0,0,0,0.0,0,-14.05,-13.69,-0.36,2.8,4.9,2.0,1.0,50,1.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,2.0
Surrey 89ers,Kino Lily Jr,12,Kino Lily Jr,35,34.7,1213.9,638.0,18.2,230.0,498.0,46.2,128.0,282.0,45.4,50.0,62.0,80.6,18.0,69.0,87.0,149.0,38.0,1.0,67.0,39.0,551.3,23.6,23.4,5.5,3.2,295,933.0,26.7,34.2,65,3.4,46,9,65.1,57.0,19,2.3,1.2,1.1,1.7,2.2,47.0,22.0,46.8,53.0,26.0,49.1,42.0,23.0,54.8,0.0,0.0,30.0,30.0,0.0,7.0,36.0,93.0,119.0
Newcastle Eagles,Ray'sean Taylor,3,Ray'sean Taylor,35,29.5,1033.8,626.0,17.9,203.0,441.0,46,71.0,211.0,33.6,149.0,186.0,80.1,28.0,131.0,159.0,163.0,53.0,3.0,73.0,92.0,545.1,26.3,20.8,5.4,5.3,361,987.0,28.2,32.9,54,3.6,46,22,48.5,61.7,15,4.3,0.21,4.09,2.2,1.0,121.0,88.0,72.7,35.0,14.0,40,55.0,19.0,34.5,0.0,0.0,42.0,16.0,0.0,15.0,41.0,110.0,96.0
Manchester Basketball,Max Jones,2,Max Jones,35,27.6,967.4,625.0,17.9,215.0,514.0,41.8,79.0,225.0,35.1,116.0,144.0,80.6,22.0,85.0,107.0,112.0,23.0,7.0,72.0,82.0,602.3,31.4,22.4,4.0,3.8,237,862.0,24.6,30.9,78,4.3,60,29,53.6,80.8,18,0.23,-1.3,1.53,2.3,2.3,137.0,77.0,56.2,30.0,15.0,50,16.0,7.0,43.8,0.0,0.0,32.0,21.0,0.0,19.0,51.0,55.0,62.0
B. Braun Sheffield Sharks,Dirk Williams,1,Dirk Williams,35,31.8,1112.8,520.0,14.9,192.0,405.0,47.4,85.0,211.0,40.3,51.0,70.0,72.9,15.0,122.0,137.0,98.0,34.0,29.0,52.0,60.0,453.9,21.4,19.4,3.7,5.1,197,717.0,20.5,26.8,42,2.8,28,8,66.6,34.5,15,2.79,-1.07,3.86,2.9,2.7,90.0,58.0,64.4,34.0,17.0,50,17.0,5.0,29.4,0.0,0.0,23.0,23.0,0.0,6.0,47.0,101.0,81.0
Surrey 89ers,Ronald Polite Iii,7,Ronald Polite Iii,35,26.1,913.2,496.0,14.2,174.0,337.0,51.6,37.0,104.0,35.6,111.0,141.0,78.7,32.0,90.0,122.0,199.0,31.0,9.0,87.0,92.0,435.9,24.8,18.2,7.3,4.5,403,899.0,25.7,32.9,67,4.5,34,31,70.3,57.6,15,3.23,0.34,2.89,2.0,1.0,112.0,81.0,72.3,31.0,13.0,41.9,5.0,2.0,40,0.0,0.0,38.0,28.0,1.0,20.0,42.0,81.0,82.0
Manchester Basketball,Patrick Smith Jr,0,Patrick Smith Jr,35,26.4,923.5,484.0,13.8,165.0,359.0,46,80.0,192.0,41.7,74.0,86.0,86,31.0,102.0,133.0,125.0,36.0,6.0,61.0,57.0,409.8,22.4,17.4,4.5,4.8,265,749.0,21.4,26.9,46,2.9,26,23,63.7,41.1,16,4.04,0.63,3.41,2.2,1.8,62.0,36.0,58.1,25.0,15.0,60,14.0,5.0,35.7,0.0,0.0,26.0,21.0,0.0,14.0,58.0,55.0,62.0
Cheshire Phoenix,Skyler White,99,Skyler White,35,24.7,864.2,464.0,13.3,157.0,355.0,44.2,97.0,242.0,40.1,53.0,73.0,72.6,42.0,138.0,180.0,57.0,23.0,33.0,34.0,95.0,364.0,20.4,16.1,2.0,6.2,133,597.0,17.1,20.7,43,2.9,28,12,64.6,34.3,15,3.58,-0.14,3.72,4.2,3.1,53.0,35.0,66,9.0,6.0,66.7,4.0,3.0,75,0.0,0.0,16.0,15.0,0.0,3.0,57.0,44.0,57.0
B. Braun Sheffield Sharks,Nick Kern Jr,24,Nick Kern Jr,35,22.4,785.2,432.0,12.3,169.0,325.0,52,8.0,33.0,24.2,86.0,144.0,59.7,47.0,121.0,168.0,82.0,27.0,14.0,60.0,80.0,385.3,25.7,16.1,3.1,6.3,195,627.0,17.9,23.4,54,4.2,34,24,60.6,48.6,13,0.59,-3.33,3.93,3.5,2.5,160.0,104.0,65,42.0,20.0,47.6,2.0,0.0,0,0.0,0.0,24.0,22.0,0.0,14.0,51.0,63.0,56.0
B. Braun Sheffield Sharks,Rodney Chatman Iii,3,Rodney Chatman Iii,35,22.1,775.0,393.0,11.2,119.0,304.0,39.1,44.0,126.0,34.9,111.0,137.0,81,13.0,82.0,95.0,151.0,42.0,5.0,77.0,75.0,411.1,27.8,14.7,5.6,3.5,296,689.0,19.7,25.7,37,3.1,24,16,59.6,40.0,12,0.97,-2.4,3.37,1.5,1.6,87.0,48.0,55.2,22.0,14.0,63.6,5.0,3.0,60,0.0,0.0,49.0,17.0,0.0,11.0,29.0,44.0,71.0
Cheshire Phoenix,Laquincy Rideau,3,Laquincy Rideau,35,25.6,896.8,359.0,10.3,128.0,320.0,40,38.0,121.0,31.4,65.0,95.0,68.4,51.0,112.0,163.0,187.0,59.0,6.0,100.0,128.0,394.4,21.3,12.4,6.5,5.6,449,808.0,23.1,28.0,49,3.3,41,12,52.9,51.3,15,-0.5,-4.54,4.04,2.0,2.4,119.0,62.0,52.1,8.0,1.0,12.5,1.0,1.0,100,0.0,0.0,50.0,20.0,0.0,30.0,52.0,59.0,54.0
Cheshire Phoenix,Michael Diggins,2,Michael Diggins,35,23.5,824.0,356.0,10.2,141.0,322.0,43.8,35.0,124.0,28.2,39.0,57.0,68.4,55.0,102.0,157.0,38.0,21.0,22.0,39.0,76.0,317.8,18.6,12.3,1.3,5.4,88,444.0,12.7,15.4,32,2.7,22,4,67.3,28.8,12,-2.18,-4.41,2.23,3.9,4.3,120.0,74.0,61.7,4.0,2.0,50,0.0,0.0,0,0.0,0.0,15.0,16.0,0.0,8.0,62.0,57.0,48.0
