Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
D. Williams,B. Braun Sheffield Sharks,1/15/31,D. Williams,"F. Alihodzic, J. Ratinho, N. Kern Jr, R. Chatman III",8,67.4,32,12,22,54.5,7,12,58.3,1,3,33.3,1,9,10,9,1,1,2,3,23,0,32,4.0,27.0,117.1,0,117.1,70.5,68.6,75.0,5.8,8,4,50,3,1,33.3,1,0,0,0,0,1,1,0,0,3,6,6
D. Williams,B. Braun Sheffield Sharks,1/15/31,D. Williams,"J. Deloach, J. Ratinho, M. James, R. Chatman III",8,54.4,26,8,18,44.4,5,7,71.4,5,6,83.3,0,2,2,7,3,1,2,4,22,0,26,3.2,24.8,104.1,0,104.1,58.3,63.0,87.5,6.7,7,2,28.6,1,0,0,0,0,0,0,0,1,0,0,1,2,1,0
D. Williams,B. Braun Sheffield Sharks,1/15/31,D. Williams,"J. Ratinho, M. Ochereobia, N. Kern Jr, R. Glasgow Jr",13,36.4,21,7,11,63.6,3,5,60.0,4,4,100.0,1,6,7,1,2,0,5,1,16,0,21,1.6,33.1,113.5,0,113.5,77.3,82.3,14.3,26.7,2,2,100,0,0,0,0,0,0,0,0,2,3,0,0,3,2,2
D. Williams,B. Braun Sheffield Sharks,1/15/31,D. Williams,"J. Ratinho, M. Ochereobia, N. Kern Jr, Prentiss Nixon",12,34.6,17,6,10,60.0,2,4,50.0,3,3,100.0,2,2,4,1,2,0,4,3,13,0,17,1.4,24.8,112.2,0,112.2,70.0,75.1,16.7,24.5,2,1,50,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0
D. Williams,B. Braun Sheffield Sharks,1/15/31,D. Williams,"J. Deloach, J. Ratinho, R. Chatman III, R. Glasgow Jr",6,31.0,5,2,8,25.0,1,4,25.0,0,0,0,1,6,7,7,0,0,1,2,8,0,5,0.8,8.8,115.8,0,115.8,31.2,31.2,350.0,6.2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
D. Williams,B. Braun Sheffield Sharks,1/15/31,D. Williams,"J. Ratinho, M. Ochereobia, N. Kern Jr, R. Chatman III",9,29.0,9,4,13,30.8,1,8,12.5,0,0,0,0,0,0,1,0,1,1,1,13,0,9,1.0,16.0,97.7,0,97.7,34.6,34.6,25.0,6.7,0,0,0,2,1,50,1,0,0,0,0,1,0,0,0,0,0,3
D. Williams,B. Braun Sheffield Sharks,1/15/31,D. Williams,"J. Deloach, J. Ratinho, N. Kern Jr, R. Chatman III",7,26.9,12,5,6,83.3,2,3,66.7,0,0,0,1,0,1,1,1,2,4,1,9,0,12,1.7,23.3,108.6,0,108.6,100.0,100.0,20.0,36.4,2,2,100,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0
D. Williams,B. Braun Sheffield Sharks,1/15/31,D. Williams,"F. Alihodzic, J. Ratinho, N. Kern Jr, Prentiss Nixon",8,26.7,9,3,7,42.9,2,5,40.0,1,2,50.0,0,2,2,3,0,1,0,1,8,0,9,1.1,17.1,104.2,0,104.2,57.1,57.1,100.0,0.0,1,1,100,1,0,0,1,0,0,0,0,0,0,0,0,3,3,8
D. Williams,B. Braun Sheffield Sharks,1/15/31,D. Williams,"J. Deloach, J. Ratinho, Prentiss Nixon, R. Chatman III",6,24.5,2,0,3,0.0,0,1,0.0,2,2,100.0,1,3,4,1,2,0,1,1,4,0,2,0.3,4.4,100.5,0,100.5,0.0,25.8,0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
D. Williams,B. Braun Sheffield Sharks,1/15/31,D. Williams,"J. Ratinho, M. James, Prentiss Nixon, William Lee",5,23.8,8,3,6,50.0,2,3,66.7,0,0,0,0,4,4,5,2,0,1,0,7,0,8,1.6,16.2,137.5,0,137.5,66.7,66.7,166.7,8.3,1,1,100,0,0,0,0,0,0,0,0,0,1,0,0,3,5,3
D. Williams,B. Braun Sheffield Sharks,1/15/31,D. Williams,"J. Ratinho, M. Ochereobia, R. Chatman III, R. Glasgow Jr",9,23.4,21,8,12,66.7,3,5,60.0,2,2,100.0,0,5,5,0,0,1,1,1,13,0,21,2.3,51.0,133.6,0,133.6,79.2,81.5,0.0,7.2,4,4,100,2,1,50,0,0,0,0,0,1,0,0,0,3,9,3
D. Williams,B. Braun Sheffield Sharks,1/15/31,D. Williams,"M. Ochereobia, N. Kern Jr, R. Chatman III, William Lee",6,23.0,12,5,10,50.0,2,6,33.3,0,0,0,0,2,2,1,2,0,1,0,11,0,12,2.0,26.6,104.4,0,104.4,60.0,60.0,20.0,8.3,1,1,100,1,1,100,1,1,100,0,0,1,0,0,0,0,7,3
D. Williams,B. Braun Sheffield Sharks,1/15/31,D. Williams,"F. Alihodzic, J. Ratinho, Prentiss Nixon, R. Glasgow Jr",5,20.8,17,7,11,63.6,3,3,100.0,0,0,0,2,1,3,1,0,0,1,0,10,0,17,3.4,44.2,127.5,0,127.5,77.3,77.3,14.3,7.7,1,1,100,2,1,50,1,1,100,0,0,1,0,0,0,2,0,5
D. Williams,B. Braun Sheffield Sharks,1/15/31,D. Williams,"J. Deloach, M. James, N. Kern Jr, R. Chatman III",6,19.2,10,4,9,44.4,2,5,40.0,0,0,0,0,4,4,0,0,1,1,1,10,0,10,1.7,23.9,107.4,0,107.4,55.6,55.6,0.0,10.0,2,1,50,1,1,100,0,0,0,0,0,0,1,0,0,0,5,3
