Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
Leicester Warriors Senior Men,"Ashley Kalugin-Ugo, Jaguar Jackson, Malik Alechicus Legania, Prince Banda, Malachi Nelson","Leicester Warriors Senior Men|10,4,5,6,9",1,13.2,794.0,14,6,24,25.0,1,10,10.0,1,2,50.0,0,0,0,0,0,0,6,0,20,30.9,45.3,76.0,-30.7,1.06,-6
Liverpool Senior Men,"Andre Gayle, Dante Sofia, Torin Dubiel, Kaphel Ulett-Waul, Louis Rogerson-Evans","Liverpool Senior Men|10,11,12,5,6",2,12.5,751.0,17,8,17,47.1,0,4,0.0,1,6,16.7,0,0,0,0,0,0,6,0,27,25.6,66.3,93.2,-26.9,1.36,-10
Teesside Lions Senior Men,"Zakariah Missouri, Miles Felletti-O’Donnell, Hector Omitowoju, Charlie Smythe, Fiontan Rogers","Teesside Lions Senior Men|2,23,27,7,9",3,12.0,719.0,29,10,18,55.6,0,4,0.0,9,17,52.9,0,0,0,0,0,0,4,0,27,29.5,98.4,73.9,24.4,2.42,2
Oxford Hoops Senior Men,"Mukhtar Adelakun, Adam Marzec, Mohamed Keita Sakine, Patrick Wrencher Jr, Oskars Berzins","Oxford Hoops Senior Men|10,14,18,33,5",2,11.7,704.0,17,6,19,31.6,0,6,0.0,5,10,50.0,0,0,0,0,0,0,7,0,21,30.4,55.9,72.5,-16.6,1.45,-4
Liverpool Senior Men,"Louis Rogerson-Evans, Dante Sofia, Kaphel Ulett-Waul, Andre Gayle","Liverpool Senior Men|0,1,5,9",4,11.1,665.0,22,7,17,41.2,3,11,27.3,5,9,55.6,0,0,0,0,0,0,7,0,24,28.0,78.7,90.9,-12.2,1.98,-2
Oxford Hoops Senior Men,"Adam Marzec, Jamie Cummins, Patrick Wrencher Jr, Oskars Berzins, Brandon Read Strahan","Oxford Hoops Senior Men|14,23,33,5,9",2,10.6,637.0,20,9,16,56.2,2,2,100.0,0,1,0.0,0,0,0,0,0,0,3,0,10,19.4,102.9,38.8,64.1,1.88,10
Worcester Wolves Senior Men,"Humberto Ferreira, Daijaun Julianni Antonio, Earl Burgess, Finlay Rennie, Wilfrid Santhe","Worcester Wolves Senior Men|10,2,21,5,6",5,10.2,610.0,18,8,24,33.3,1,7,14.3,1,5,20.0,0,0,0,0,0,0,3,0,14,29.2,61.6,70.9,-9.2,1.77,4
Liverpool Senior Men,"Louis Rogerson-Evans, Torin Dubiel, Kaphel Ulett-Waul, Andre Gayle","Liverpool Senior Men|0,12,5,9",3,10.0,598.0,22,7,17,41.2,2,6,33.3,6,7,85.7,0,0,0,0,0,0,9,0,27,29.1,75.7,84.3,-8.6,2.21,-5
Manchester Magic Senior Men I,"Osarumwense Fortune Iguma, Daniel Davies, Bailey Goodall, Aaron Bile, Jack Walton","Manchester Magic Senior Men I|12,13,15,7,8",3,8.7,519.0,27,10,15,66.7,1,2,50.0,6,9,66.7,0,0,0,0,0,0,3,0,4,22.0,123.0,26.7,96.3,3.12,23
Myerscough Basketball Academy Senior Men I,"Sayomie Laditan-Adebiyi, Zach Trezvant, Cesar Sanchez Falette, Daniel Azancot, Olivier Esingle","Myerscough Basketball Academy Senior Men I|10,12,4,7,9",4,8.6,513.0,10,4,10,40.0,0,1,0.0,2,7,28.6,0,0,0,0,0,0,6,0,9,19.1,52.4,37.4,15.0,1.17,1
