Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Birmingham City University Senior Men,"Reiss Faure-Daley, Conroy Hayden, Ronald Oberia, Damian Ogodan, Samuel Toluwase","Birmingham City University Senior Men|11,16,3,7,9",11,Reiss Faure-Daley,9,Samuel Toluwase,11,28,6,5,5,2.2,5.6
Birmingham City University Senior Men,"Vivaldo Ferreira, Reiss Faure-Daley, Damian Ogodan, Conroy Hayden, Ronald Oberia","Birmingham City University Senior Men|10,11,12,16,3",11,Reiss Faure-Daley,3,Ronald Oberia,8,22,6,2,3,2.67,7.33
Birmingham City University Senior Men,"Reiss Faure-Daley, Conroy Hayden, Ronald Oberia, Damian Ogodan, Samuel Toluwase","Birmingham City University Senior Men|11,16,3,7,9",11,Reiss Faure-Daley,3,Ronald Oberia,9,21,3,6,6,1.5,3.5
Manchester Magic Senior Men I,"Osarumwense Fortune Iguma, Daniel Davies, Bailey Goodall, Aaron Bile, Jack Walton","Manchester Magic Senior Men I|12,13,15,7,8",15,Bailey Goodall,8,Jack Walton,7,21,7,0,5,1.4,4.2
Manchester Magic Senior Men I,"Osarumwense Fortune Iguma, Daniel Davies, Bailey Goodall, Aaron Bile, Jack Walton","Manchester Magic Senior Men I|12,13,15,7,8",13,Daniel Davies,12,Osarumwense Fortune Iguma,7,19,5,2,5,1.4,3.8
Manchester Magic Senior Men I,"Osarumwense Fortune Iguma, Daniel Davies, Bailey Goodall, Aaron Bile, Jack Walton","Manchester Magic Senior Men I|12,13,15,7,8",7,Aaron Bile,8,Jack Walton,7,19,5,2,4,1.75,4.75
Liverpool Senior Men,"Louis Rogerson-Evans, Dante Sofia, Kaphel Ulett-Waul, Andre Gayle","Liverpool Senior Men|0,1,5,9",5,Kaphel Ulett-Waul,0,Louis Rogerson-Evans,7,17,3,4,6,1.17,2.83
Liverpool Senior Men,"Louis Rogerson-Evans, Dante Sofia, Kaphel Ulett-Waul, Andre Gayle","Liverpool Senior Men|0,1,5,9",5,Kaphel Ulett-Waul,9,Andre Gayle,6,17,5,1,3,2.0,5.67
Oxford Hoops Senior Men,"Adam Marzec, Malaki Hilsdon, Errol Otto, Patrick Wrencher Jr, Oskars Berzins","Oxford Hoops Senior Men|14,3,30,33,5",5,Oskars Berzins,33,Patrick Wrencher Jr,8,16,0,8,7,1.14,2.29
Manchester Magic Senior Men I,"Osarumwense Fortune Iguma, Daniel Davies, Bailey Goodall, Aaron Bile, Jack Walton","Manchester Magic Senior Men I|12,13,15,7,8",8,Jack Walton,13,Daniel Davies,8,16,0,8,4,2.0,4.0
Manchester Magic Senior Men I,"Osarumwense Fortune Iguma, Daniel Davies, Bailey Goodall, Aaron Bile, Jack Walton","Manchester Magic Senior Men I|12,13,15,7,8",13,Daniel Davies,7,Aaron Bile,6,16,4,2,2,3.0,8.0
Sheffield Arrows Senior Men,"Diogo Soares, Sheu Matewe, Hamza Ibrahim, George Brownell, Paul Walsh","Sheffield Arrows Senior Men|23,26,33,4,5",33,Hamza Ibrahim,5,Paul Walsh,5,15,5,0,2,2.5,7.5
Birmingham City University Senior Men,"Reiss Faure-Daley, Conroy Hayden, Ronald Oberia, Vivaldo Ferreira, Samuel Toluwase","Birmingham City University Senior Men|11,16,3,8,9",11,Reiss Faure-Daley,3,Ronald Oberia,5,15,5,0,3,1.67,5.0
Manchester Magic Senior Men I,"Osarumwense Fortune Iguma, Daniel Davies, Bailey Goodall, Aaron Bile, Jack Walton","Manchester Magic Senior Men I|12,13,15,7,8",12,Osarumwense Fortune Iguma,8,Jack Walton,6,15,3,3,5,1.2,3.0
Sheffield Arrows Senior Men,"Diogo Soares, Hamza Ibrahim, George Brownell, Mahamud Ibrahim, Jacob Paredes","Sheffield Arrows Senior Men|23,33,4,44,7",7,Jacob Paredes,44,Mahamud Ibrahim,6,14,2,4,6,1.0,2.33
Sheffield Arrows Senior Men,"George Brownell, Diogo Soares, Hamza Ibrahim, Jacob Paredes, Mahamud Ibrahim","Sheffield Arrows Senior Men|21,23,24,25,50",25,Jacob Paredes,23,Diogo Soares,5,14,4,1,5,1.0,2.8
Worcester Wolves Senior Men,"Humberto Ferreira, Daijaun Julianni Antonio, Earl Burgess, Wilfrid Santhe, Emmanuel Yeboah","Worcester Wolves Senior Men|10,2,21,6,9",2,Daijaun Julianni Antonio,21,Earl Burgess,6,14,2,4,5,1.2,2.8
Sheffield Arrows Senior Men,"Diogo Soares, Hamza Ibrahim, George Brownell, Mahamud Ibrahim, Jacob Paredes","Sheffield Arrows Senior Men|23,33,4,44,7",23,Diogo Soares,7,Jacob Paredes,5,14,4,1,4,1.25,3.5
Solent Kestrels Senior Men,"Greg Durand, Ashley Briggs, Jakub Ofman, Andre Arissol, Ethan Round","Solent Kestrels Senior Men|10,15,4,5,6",5,Andre Arissol,4,Jakub Ofman,6,14,2,4,5,1.2,2.8
Worcester Wolves Senior Men,"Humberto Ferreira, Daijaun Julianni Antonio, Earl Burgess, Wilfrid Santhe, Emmanuel Yeboah","Worcester Wolves Senior Men|10,2,21,6,9",6,Wilfrid Santhe,21,Earl Burgess,6,14,2,4,5,1.2,2.8
Sheffield Arrows Senior Men,"George Brownell, Diogo Soares, Hamza Ibrahim, Jacob Paredes, Mahamud Ibrahim","Sheffield Arrows Senior Men|21,23,24,25,50",23,Diogo Soares,50,Mahamud Ibrahim,5,13,3,2,5,1.0,2.6
Birmingham City University Senior Men,"Reiss Faure-Daley, Damian Ogodan, Conroy Hayden, Ronald Oberia, Samuel Toluwase","Birmingham City University Senior Men|11,12,16,3,9",11,Reiss Faure-Daley,12,Damian Ogodan,6,13,1,5,5,1.2,2.6
Sheffield Arrows Senior Men,"Diogo Soares, Hamza Ibrahim, George Brownell, Mahamud Ibrahim, Jacob Paredes","Sheffield Arrows Senior Men|23,33,4,44,7",7,Jacob Paredes,33,Hamza Ibrahim,6,13,1,5,4,1.5,3.25
Liverpool Senior Men,"Louis Rogerson-Evans, Dante Sofia, Kaphel Ulett-Waul, Andre Gayle","Liverpool Senior Men|0,1,5,9",0,Louis Rogerson-Evans,9,Andre Gayle,5,13,3,2,4,1.25,3.25
Oxford Hoops Senior Men,"Adam Marzec, Jamie Cummins, Patrick Wrencher Jr, Oskars Berzins, Brandon Read Strahan","Oxford Hoops Senior Men|14,23,33,5,9",9,Brandon Read Strahan,23,Jamie Cummins,6,13,1,5,3,2.0,4.33
Manchester Magic Senior Men I,"Osarumwense Fortune Iguma, Daniel Davies, Bailey Goodall, Aaron Bile, Jack Walton","Manchester Magic Senior Men I|12,13,15,7,8",8,Jack Walton,12,Osarumwense Fortune Iguma,5,13,3,2,3,1.67,4.33
Manchester Magic Senior Men I,"Osarumwense Fortune Iguma, Daniel Davies, Bailey Goodall, Aaron Bile, Jack Walton","Manchester Magic Senior Men I|12,13,15,7,8",15,Bailey Goodall,7,Aaron Bile,6,13,1,5,5,1.2,2.6
Oxford Hoops Senior Men,"Adam Marzec, Malaki Hilsdon, Errol Otto, Patrick Wrencher Jr, Oskars Berzins","Oxford Hoops Senior Men|14,3,30,33,5",5,Oskars Berzins,14,Adam Marzec,4,12,4,0,3,1.33,4.0
Sheffield Arrows Senior Men,"Mahamud Ibrahim, Diogo Soares, Hamza Ibrahim, Alexander Tavares, Jacob Paredes","Sheffield Arrows Senior Men|14,23,33,44,7",33,Hamza Ibrahim,23,Diogo Soares,5,12,2,3,3,1.67,4.0
Oxford Hoops Senior Men,"Adam Marzec, Malaki Hilsdon, Errol Otto, Patrick Wrencher Jr, Oskars Berzins","Oxford Hoops Senior Men|14,3,30,33,5",30,Errol Otto,14,Adam Marzec,4,12,4,0,4,1.0,3.0
Sheffield Arrows Senior Men,"Mahamud Ibrahim, Diogo Soares, Hamza Ibrahim, George Brownell, Jacob Paredes","Sheffield Arrows Senior Men|14,23,33,4,7",23,Diogo Soares,4,George Brownell,4,12,4,0,3,1.33,4.0
Birmingham City University Senior Men,"Reiss Faure-Daley, Damian Ogodan, Conroy Hayden, Ronald Oberia, Samuel Toluwase","Birmingham City University Senior Men|11,12,16,3,9",3,Ronald Oberia,9,Samuel Toluwase,5,12,2,3,4,1.25,3.0
Birmingham City University Senior Men,"Vivaldo Ferreira, Reiss Faure-Daley, Damian Ogodan, Conroy Hayden, Ronald Oberia","Birmingham City University Senior Men|10,11,12,16,3",12,Damian Ogodan,11,Reiss Faure-Daley,4,12,4,0,3,1.33,4.0
Sheffield Arrows Senior Men,"Diogo Soares, Andreas Lycoudis, Hamza Ibrahim, Mahamud Ibrahim, Jacob Paredes","Sheffield Arrows Senior Men|23,25,33,44,7",33,Hamza Ibrahim,23,Diogo Soares,5,12,2,3,3,1.67,4.0
Worcester Wolves Senior Men,"Humberto Ferreira, Georgios Stergiopoulos, Daijaun Julianni Antonio, Earl Burgess, Wilfrid Santhe","Worcester Wolves Senior Men|10,13,2,21,6",10,Humberto Ferreira,2,Daijaun Julianni Antonio,5,11,1,4,4,1.25,2.75
Solent Kestrels Senior Men,"Luke Busumbru, Ashley Briggs, Jakub Ofman, Andre Arissol, Ethan Round","Solent Kestrels Senior Men|11,15,4,5,6",11,Luke Busumbru,4,Jakub Ofman,4,11,3,1,3,1.33,3.67
Sheffield Arrows Senior Men,"Diogo Soares, Hamza Ibrahim, George Brownell, Mahamud Ibrahim, Jacob Paredes","Sheffield Arrows Senior Men|23,33,4,44,7",23,Diogo Soares,33,Hamza Ibrahim,5,11,1,4,4,1.25,2.75
Sheffield Arrows Senior Men,"Kunal Bagga, Diogo Soares, Hamza Ibrahim, Jacob Paredes, Mahamud Ibrahim","Sheffield Arrows Senior Men|12,23,24,25,50",23,Diogo Soares,12,Kunal Bagga,4,11,3,1,2,2.0,5.5
