Home_Team,Home_Lineup,Away_Team,Away_Lineup,Games,Total_Seconds,Minutes,Possessions,Home_PTS,Home_FGM,Home_FGA,Home_FG%,Home_3PM,Home_3PA,Home_3P%,Home_FTM,Home_FTA,Home_FT%,Home_OREB,Home_DREB,Home_REB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Away_PTS,Away_FGM,Away_FGA,Away_FG%,Away_3PM,Away_3PA,Away_3P%,Away_FTM,Away_FTA,Away_FT%,Away_OREB,Away_DREB,Away_REB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Home_POSS,Away_POSS,Home_OFF_RTG,Home_DEF_RTG,Home_NET_RTG,Away_OFF_RTG,Away_DEF_RTG,Away_NET_RTG,Point_Diff,Home_RIM_ATT,Home_RIM_MADE,Home_RIM%,Home_OTD_2PT_ATT,Home_OTD_2PT_MADE,Home_OTD_2PT%,Home_OTD_3PT_ATT,Home_OTD_3PT_MADE,Home_OTD_3PT%,Away_RIM_ATT,Away_RIM_MADE,Away_RIM%,Away_OTD_2PT_ATT,Away_OTD_2PT_MADE,Away_OTD_2PT%,Away_OTD_3PT_ATT,Away_OTD_3PT_MADE,Away_OTD_3PT%,Home_PASS_TO,Home_DRIBBLE_TO,Home_DEFENSE_TO,Home_MISC_TO,Away_PASS_TO,Away_DRIBBLE_TO,Away_DEFENSE_TO,Away_MISC_TO,Home_2ND_CHANCE_PTS,Home_FAST_BREAK_PTS,Home_PTS_OFF_TOV,Away_2ND_CHANCE_PTS,Away_FAST_BREAK_PTS,Away_PTS_OFF_TOV
Liverpool Senior Men,"Andre Gayle, Kaphel Ulett-Waul, Louis Rogerson-Evans, Torin Dubiel",Oxford Hoops Senior Men,"Adam Marzec, Brandon Read Strahan, Jamie Cummins, Oskars Berzins, Patrick Wrencher Jr",1,891,14.8,34.2,29,13,33,39.4,2,11,18.2,1,4,25,2,10,12,4,5,1,2,0,37,16,30,53.3,5,8,62.5,0,0,0,4,18,22,3,0,4,8,6,34.6,33.7,83.8,109.7,-26,109.7,83.8,26,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheffield Arrows Senior Men,"Andreas Lycoudis, Diogo Soares, Hamza Ibrahim, Jacob Paredes, Mahamud Ibrahim",Sheffield Sharks Senior Men,"Charles Andrews, Declan Kom, Nathaniel Montgomery, Oscar Baldwin, Sedale Hanson-Young",1,947,15.8,31.1,28,11,33,33.3,3,10,30,3,6,50,8,13,21,7,3,1,4,5,27,11,27,40.7,2,6,33.3,3,7,42.9,4,13,17,8,4,2,5,5,30.7,31.1,91.3,87,4.3,87,91.3,-4.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birmingham City University Senior Men,"Conroy Hayden, James Miller, Reece Quinland, Reiss Faure-Daley, Ronald Oberia",Sheffield Arrows Senior Men,"Alexander Tavares, Diogo Soares, George Brownell, Paul Walsh, Sheu Matewe",1,719,12.0,28.2,28,12,31,38.7,4,15,26.7,0,1,0,6,16,22,6,4,1,4,4,8,3,22,13.6,0,11,0,2,4,50,2,12,14,2,4,0,6,3,28.7,27.5,97.7,29.1,68.6,29.1,97.7,-68.6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richmond Knights Senior Men,"Aaron Williams, Babawale Oyeyemi, Callum Vines, Jordan Murray-White, Kai Hypolite-Sealy",London Elite Senior Men I,"Filippo Bozzelli, Joshua Alimi, Nataniel Ebifeni, Taofiq Olaseinde, Walid Mumuni",1,791,13.2,28.0,23,9,21,42.9,2,5,40,3,3,100,1,12,13,6,2,3,6,2,28,12,30,40,4,16,25,0,0,0,3,9,12,11,4,1,3,3,27.0,29.1,85.1,96.1,-11,96.1,85.1,11,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester Magic Senior Men I,"Aaron Bile, Bailey Goodall, Daniel Davies, Jack Walton, Osarumwense Fortune Iguma",Liverpool Senior Men,"Andre Gayle, Dante Sofia, Kaphel Ulett-Waul, Louis Rogerson-Evans",1,688,11.5,25.3,27,11,25,44,2,10,20,3,7,42.9,5,9,14,7,1,1,2,2,35,15,28,53.6,5,10,50,0,1,0,4,8,12,8,1,1,2,4,24.3,26.2,111,133.8,-22.8,133.8,111,22.8,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birmingham City University Senior Men,"Conroy Hayden, Damian Ogodan, Reiss Faure-Daley, Ronald Oberia, Samuel Toluwase",Sheffield Sharks Senior Men,"Declan Kom, Michael Tuck, Miles Moore, Oscar Baldwin, Sedale Hanson-Young",1,625,10.4,25.2,22,10,26,38.5,2,10,20,0,0,0,3,11,14,7,4,0,3,4,25,8,20,40,4,11,36.4,5,5,100,1,11,12,4,1,2,4,0,25.3,25.1,86.8,99.5,-12.6,99.5,86.8,12.6,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheffield Arrows Senior Men,"Diogo Soares, George Brownell, Hamza Ibrahim, Jacob Paredes, Mahamud Ibrahim",Oxford Hoops Senior Men,"Errol Otto, Malaki Hilsdon, Mukhtar Adelakun, Oskars Berzins, Patrick Wrencher Jr",1,673,11.2,23.1,33,13,22,59.1,6,11,54.5,1,2,50,3,7,10,7,3,0,2,1,19,8,16,50,2,6,33.3,1,1,100,0,6,6,2,1,0,8,2,21.7,24.4,152.3,77.7,74.5,77.7,152.3,-74.5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richmond Knights Senior Men,"Callum Vines, Jamal Tahraoui, Jordan Murray-White, Kai Hypolite-Sealy, Khafid Smith",London Stars Senior Men,"Brandon Moncrieffe, Jamie Hayes, Nojus Zajankauskas, Oskaras Striuga, Ryan Martin",1,580,9.7,22.1,18,8,19,42.1,0,2,0,2,4,50,4,8,12,4,4,2,5,2,15,6,16,37.5,2,7,28.6,1,1,100,2,8,10,3,3,2,8,3,21.8,22.3,82.4,67.3,15.2,67.3,82.4,-15.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheffield Sharks Senior Men,"Charles Andrews, Declan Kom, Gabriel Cousins, Oscar Baldwin, Sedale Hanson-Young",Worcester Wolves Senior Men,"Daijaun Julianni Antonio, Earl Burgess, Emmanuel Yeboah, Harry Godwin, Humberto Ferreira",1,688,11.5,22.0,16,5,16,31.2,3,4,75,3,4,75,4,8,12,1,1,0,9,2,23,9,20,45,3,5,60,2,3,66.7,1,6,7,9,6,0,2,3,22.1,22.0,72.6,104.5,-31.9,104.5,72.6,31.9,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheffield Sharks Senior Men,"Charles Andrews, Declan Kom, Miles Moore, Oscar Baldwin, Sedale Hanson-Young",Cardiff Met Archers Senior Men I,"Casey Smith, Gareth Williams, Macaulay Jones, Mark James, Rhys Cornelius",1,675,11.2,21.3,23,10,21,47.6,1,7,14.3,2,4,50,3,7,10,4,4,0,3,5,18,8,18,44.4,0,5,0,2,4,50,5,6,11,6,0,1,6,3,21.8,21.3,105.3,84.5,20.8,84.5,105.3,-20.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
