Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
Manchester Magic Senior Men I,"Aaron Bile, Bailey Goodall, Daniel Davies, Jack Walton, Osarumwense Fortune Iguma",11,8674,68.7,305,114,238,47.9,34,81,42,43,63,68.3,38,106,144,78,26,9,61,37,282,77.7,77.9,77.4,30.8,31.0,55,57.4,68.4,33.9,68.8,15.1,26.5,34,108.3,264,111,277,40.1,29,98,29.6,13,30,43.3,48,74,122,62,40,14,45,58,280,45.3,45.5,13.4,31.2,35.4,94.3,81,50,61.7,25,10,40,5,4,80,0,0,0,0,13.9,83,48,57.8,30,13,43.3,5,1,20,0,0,0,0,41,56,57,39,42,52
Sheffield Arrows Senior Men,"Diogo Soares, George Brownell, Hamza Ibrahim, Jacob Paredes, Mahamud Ibrahim",14,6713,63.2,256,100,210,47.6,36,95,37.9,20,35,57.1,27,90,117,62,17,8,39,35,233,82.9,83.3,82.4,28.8,29.1,56.2,56.8,62,26.7,71.4,11.9,16.7,45.2,109.9,222,83,216,38.4,25,76,32.9,31,46,67.4,36,74,110,33,25,6,35,34,231,44.2,47,12.9,28.6,35.2,96.3,53,36,67.9,8,2,25,0,0,0,0,0,0,0,13.6,69,34,49.3,9,1,11.1,2,1,50,0,0,0,0,40,52,39,36,42,40
Birmingham City University Senior Men,"Conroy Hayden, Damian Ogodan, Reiss Faure-Daley, Ronald Oberia, Samuel Toluwase",10,6283,51.9,246,94,215,43.7,28,85,32.9,30,56,53.6,49,80,129,58,43,4,47,46,232,87.3,88.8,85.8,27.0,28.0,50.2,51.3,61.7,41.9,72.1,13.6,26,39.5,105.8,204,78,195,40,28,81,34.6,20,31,64.5,31,68,99,44,31,13,51,41,225,47.2,48.9,19.6,27.9,41.5,90.8,78,47,60.3,2,0,0,2,1,50,0,0,0,0,15,56,33,58.9,9,3,33.3,2,2,100,0,0,0,0,51,71,50,20,49,53
Liverpool Senior Men,"Andre Gayle, Dante Sofia, Kaphel Ulett-Waul, Louis Rogerson-Evans",11,5555,52.1,199,75,173,43.4,24,75,32,25,46,54.3,29,70,99,39,20,6,40,33,201,85.2,86.9,83.5,27.6,28.7,50.3,51.5,52,30.5,70.7,14.7,26.6,43.4,98.9,165,63,169,37.3,14,62,22.6,25,42,59.5,29,66,95,29,23,6,39,42,193,41.4,44,17.2,29.3,36.7,85.4,49,34,69.4,6,5,83.3,1,0,0,0,0,0,0,13.5,60,31,51.7,10,7,70,0,0,0,0,0,0,0,29,36,32,25,44,45
Worcester Wolves Senior Men,"Daijaun Julianni Antonio, Earl Burgess, Emmanuel Yeboah, Humberto Ferreira, Wilfrid Santhe",14,5325,43.2,195,78,171,45.6,17,47,36.2,22,38,57.9,33,61,94,46,22,10,34,38,188,81.9,84.7,79.1,28.3,30.3,50.6,51.9,59,34,70.1,12.7,22.2,27.5,103.8,150,57,154,37,14,58,24.1,22,33,66.7,26,64,90,35,17,8,38,32,176,41.6,44.5,18.4,29.9,37.7,85.5,76,46,60.5,9,4,44.4,1,0,0,0,0,0,0,18.3,54,31,57.4,7,4,57.1,2,0,0,0,0,0,0,42,34,49,24,35,21
Worcester Wolves Senior Men,"Daijaun Julianni Antonio, Earl Burgess, Georgios Stergiopoulos, Humberto Ferreira, Wilfrid Santhe",14,5582,56.1,198,81,168,48.2,16,51,31.4,20,34,58.8,35,59,94,45,33,12,41,37,186,80.1,80,80.1,30.0,29.9,53,54.1,55.6,40.7,68.6,15.2,20.2,30.4,106.4,154,55,146,37.7,21,52,40.4,23,34,67.6,27,51,78,38,21,5,56,32,186,44.9,47.8,25.8,31.4,35.6,82.6,67,44,65.7,7,3,42.9,1,0,0,0,0,0,0,23.8,42,19,45.2,13,5,38.5,3,2,66.7,0,0,0,0,41,47,61,22,24,44
Oxford Hoops Senior Men,"Adam Marzec, Errol Otto, Malaki Hilsdon, Oskars Berzins, Patrick Wrencher Jr",10,5556,59.6,162,60,149,40.3,18,51,35.3,24,29,82.8,25,65,90,43,15,10,33,15,165,74,71.4,76.7,33.6,31.3,46.3,50.1,71.7,30.9,71.4,13.9,19.5,34.2,98,187,78,178,43.8,24,79,30.4,7,16,43.8,26,56,82,54,21,8,23,32,177,50.6,50.5,11.1,28.6,44.4,105.4,35,14,40,10,5,50,6,1,16.7,0,0,0,0,-7.4,50,32,64,10,2,20,4,1,25,0,0,0,0,27,17,19,25,27,40
Sheffield Arrows Senior Men,"Andreas Lycoudis, Diogo Soares, Hamza Ibrahim, Jacob Paredes, Mahamud Ibrahim",5,4493,30.1,165,63,139,45.3,17,49,34.7,22,34,64.7,25,56,81,41,15,6,26,18,152,82.3,81.3,83.3,29.5,28.8,51.4,53.6,65.1,34.2,71.8,11.8,24.5,35.3,108.5,147,59,143,41.3,19,47,40.4,10,19,52.6,22,48,70,31,19,2,30,28,156,47.9,48.6,16.5,28.2,32.9,94.2,43,27,62.8,1,0,0,2,1,50,0,0,0,0,14.2,50,27,54,3,1,33.3,3,2,66.7,0,0,0,0,25,27,27,27,10,24
Solent Kestrels Senior Men,"Andre Arissol, Ashley Briggs, Ethan Round, Greg Durand, Luke Busumbru",7,4195,35.3,147,61,123,49.6,12,42,28.6,13,22,59.1,13,50,63,36,23,8,17,17,136,78.6,78,79.2,30.8,30.3,54.5,55.4,59,20,62.5,9.2,17.9,34.1,107.8,123,52,134,38.8,16,38,42.1,3,10,30,30,52,82,25,11,6,33,24,138,44.8,44.4,19.3,37.5,28.4,88.8,32,19,59.4,4,4,100,1,0,0,0,0,0,0,19,42,21,50,4,2,50,0,0,0,0,0,0,0,10,37,38,28,27,27
Worcester Wolves Senior Men,"Daijaun Julianni Antonio, Earl Burgess, Finlay Rennie, Humberto Ferreira, Wilfrid Santhe",10,3883,24.8,127,50,119,42,12,47,25.5,15,24,62.5,19,46,65,32,19,2,26,27,135,80,83.4,76.5,28.8,31.4,47.1,49,64,27.9,64.8,13.9,20.2,39.5,94.1,95,37,112,33,10,45,22.2,11,16,68.8,25,49,74,21,14,4,33,24,124,37.5,39.9,21.7,35.2,40.2,76.7,37,22,59.5,4,3,75,0,0,0,0,0,0,0,17.4,35,20,57.1,2,0,0,0,0,0,0,0,0,0,18,13,29,20,17,19
