Canonical,Team,Numbers,Variations
Kieran Forsythe,Liverpool Senior Men,0,Kieran Forsythe
Daniel Walsh,Liverpool Senior Men,4,Daniel Walsh
Kaphel Ulett-Waul,Liverpool Senior Men,5,Kaphel Ulett-Waul
Louis Rogerson-Evans,Liverpool Senior Men,0/6/8,Louis Rogerson-Evans
Liam Harris,Liverpool Senior Men,7,Liam Harris
Andre Gayle,Liverpool Senior Men,10/13/8/9,Andre Gayle
Dante Sofia,Liverpool Senior Men,1/10/11/14/9,Dante Sofia
Ethan Olubodun,Liverpool Senior Men,10/11/7,Ethan Olubodun
Kieran Mcnally,Liverpool Senior Men,11/13,Kieran Mcnally
Torin Dubiel,Liverpool Senior Men,12/13,Torin Dubiel
Emmett Cain,Liverpool Senior Men,12/13/8,Emmett Cain
Philip Deveney,Liverpool Senior Men,10/11/14/7/9,Philip Deveney
Joseph Collamat,St Helens Saints Senior Men,4/5/6,Joseph Collamat
Luca Lara-Sanchez,St Helens Saints Senior Men,11/13/4/5/6,Luca Lara-Sanchez
William Self,St Helens Saints Senior Men,11/4/5/6/7,William Self
Reiss Reynolds,St Helens Saints Senior Men,7/8,Reiss Reynolds; R Reynolds
Sydney Obika,St Helens Saints Senior Men,13/15/6/8,S Obika; Sydney Obika
Connor Murtagh,St Helens Saints Senior Men,9,Connor Murtagh
Kieran Jones,St Helens Saints Senior Men,10/8,Kieran Jones
Nathan Conaty,St Helens Saints Senior Men,11,Nathan Conaty
Shomari Simmonds,St Helens Saints Senior Men,12,Shomari Simmonds
Ellis Evans,St Helens Saints Senior Men,10/13,Ellis Evans
Disraeli Lufadeju,St Helens Saints Senior Men,14,Disraeli Lufadeju
Benjamin Tew,St Helens Saints Senior Men,15,Benjamin Tew
Hassan Yusuf,Greenwich Titans Senior Men,2/6,Hassan Yusuf
Joris Sabaliauskas,Greenwich Titans Senior Men,3/6/7,Joris Sabaliauskas
Lance Macaraig,Greenwich Titans Senior Men,4/8,Lance Macaraig
Alex Charles,Greenwich Titans Senior Men,5,Alex Charles
Pranay Kamat,Greenwich Titans Senior Men,6,Pranay Kamat
Bishan Deogun,Greenwich Titans Senior Men,8,Bishan Deogun
Spyridon Mantis,Greenwich Titans Senior Men,9/99,Spyridon Mantis
Antonio Hughes,Greenwich Titans Senior Men,10,Antonio Hughes
Muhammad Barnett,Greenwich Titans Senior Men,11,Muhammed Barnett; Muhammad Barnett
Isaac Temilola,Greenwich Titans Senior Men,13/14,I Temilola; Isaac Temilola
Jack Green,Greenwich Titans Senior Men,21,Jack Green
Ben Cope,Solent Kestrels Senior Men,3,Ben Cope
Jakub Ofman,Solent Kestrels Senior Men,4,Jakub Ofman
Andre Arissol,Solent Kestrels Senior Men,5,Andre Arissol
Ethan Round,Solent Kestrels Senior Men,6,Ethan Round
Elijah Lotriet,Solent Kestrels Senior Men,8,Elijah Lotriet
Thomas Blower,Solent Kestrels Senior Men,9,Thomas Blower
Greg Durand,Solent Kestrels Senior Men,10,Greg Durand
Luke Busumbru,Solent Kestrels Senior Men,11,Luke Busumbru
George Andrews,Solent Kestrels Senior Men,12,George Andrews
Dawid Cimochowski,Solent Kestrels Senior Men,14,Dawid Cimochowski
Ashley Briggs,Solent Kestrels Senior Men,15,Ashley Briggs
Wayne Kitenge,Solent Kestrels Senior Men,16,Wayne Kitenge
Casey Smith,Cardiff Met Archers Senior Men I,4,Casey Smith
Mark James,Cardiff Met Archers Senior Men I,5,Mark James
Lucas Davies,Cardiff Met Archers Senior Men I,6,Lucas Davies
Lucas Scotland,Cardiff Met Archers Senior Men I,6/7,Lucas Scotland
James Dawe,Cardiff Met Archers Senior Men I,8,James Dawe
Gareth Williams,Cardiff Met Archers Senior Men I,10,Gareth Williams
Eli Andam,Cardiff Met Archers Senior Men I,11,Eli Andam
Rhys Cornelius,Cardiff Met Archers Senior Men I,10/11/12/13/18,Rhys Cornelius
Alonso Rosario,Cardiff Met Archers Senior Men I,13,Alonso Rosario; Alonzo Rosario
Annureet Bajwa,Cardiff Met Archers Senior Men I,14,Annureet Bajwa
Joshua Tudor,Cardiff Met Archers Senior Men I,13/15/9,Joshua Tudor
Harry Sheehan,Myerscough Basketball Academy Senior Men I,0,Harry Sheehan
Cesar Sanchez Falette,Myerscough Basketball Academy Senior Men I,4/6,Cesar Sanchez Falette
Jakub Bobkowski,Myerscough Basketball Academy Senior Men I,10/5/6,Jakub Bobkowski
Daniel Azancot,Myerscough Basketball Academy Senior Men I,7/8,Daniel Azancot
Olivier Esingle,Myerscough Basketball Academy Senior Men I,9,Olivier Esingle
Sayomie Laditan-Adebiyi,Myerscough Basketball Academy Senior Men I,10,Sayomi Laditan-Adebiyi; Sayomie Laditan-Adebiyi
Zach Trezvant,Myerscough Basketball Academy Senior Men I,12/14/6,Zach Trezvant
Finlay Morgan,Myerscough Basketball Academy Senior Men I,14,Finlay Morgan
Solomi Laditan-Adebiyi,Myerscough Basketball Academy Senior Men I,13/15/5/6,Solomi Laditan-Adebiyi; Salomi Laditan-Adebiyi
Daniel Okhuoya,Myerscough Basketball Academy Senior Men I,21,Daniel Okhuoya
Ayomide Ibirinde,Myerscough Basketball Academy Senior Men I,13/23/24,Ayomide Ibirinde
Muslim Mahamoud,Birmingham City University Senior Men,14/2,Muslim Mahamoud
Ronald Oberia,Birmingham City University Senior Men,3,Ronald Oberia
Ethan Haywood,Birmingham City University Senior Men,4,Ethan Haywood; E Haywood
Enoch Adebambo,Birmingham City University Senior Men,14/5/7,Enoch Adebambo; E Adebambo
James Miller,Birmingham City University Senior Men,7,James Miller
Reece Quinland,Birmingham City University Senior Men,8,Reece Quinland
Shonn Lyn,Birmingham City University Senior Men,12/17/9,Shonn Lyn
James Graham,Birmingham City University Senior Men,10,James Graham
Reiss Faure-Daley,Birmingham City University Senior Men,11,Reiss Faure-Daley
Conor Lynch,Birmingham City University Senior Men,11/13/14/16/17/2,Conor Lynch
Emeka Akim Nweke,Birmingham City University Senior Men,15/16,Emeka Akim Nweke
Conroy Hayden,Birmingham City University Senior Men,16/17,Conroy Hayden
Jacob Paredes,Sheffield Arrows Senior Men,25/7,J Paredes; Jacob Paredes
George Brownell,Sheffield Arrows Senior Men,11/21/4,George Brownell
Sheu Matewe,Sheffield Arrows Senior Men,12/14/15/26,Sheu Matewe
Zane Goodwin-Hockney,Sheffield Arrows Senior Men,10/11/13,Zane Goodwin-Hockney
Paul Walsh,Sheffield Arrows Senior Men,15/2/5,Paul Walsh
Diogo Soares,Sheffield Arrows Senior Men,10/23,Diogo Soares
Alexander Tavares,Sheffield Arrows Senior Men,44,Alexander Tavares
Mahamud Ibrahim,Sheffield Arrows Senior Men,14/26/44/50,Mahamud Ibrahim
Kajus Sinkevicius,London Stars Senior Men,1,Kajus Sinkevicius
Brandon Moncrieffe,London Stars Senior Men,4,Brandon Moncrieffe
Sarunas Stiklakis,London Stars Senior Men,17/6,Sarunas Stiklakis
Domas Vazgys,Greenwich Titans Senior Men,12,D Vazgys; Domas Vazgys
Oskaras Striuga,London Stars Senior Men,8,Oskaras Striuga
Ryan Martin,London Stars Senior Men,9,Ryan Martin
Jamie Hayes,London Stars Senior Men,11,Jamie Hayes
Jay Jarrett,London Stars Senior Men,15,Jay Jarrett
Nojus Zajankauskas,London Stars Senior Men,99,Nojus Zajankauskas
Filippo Bozzelli,London Elite Senior Men I,0/14,Filippo Bozzelli
Moyosoreoluwa Eziashi,London Elite Senior Men I,2,Moyosoreoluwa Eziashi
Hammish Loader,London Elite Senior Men I,5,Hammish Loader
Nkadi Erokwu,London Elite Senior Men I,9,Nkadi Erokwu
Dylan Magloire,London Elite Senior Men I,11,Dylan Magloire
David Idowu,London Elite Senior Men I,12/17,David Idowu
Walid Mumuni,London Elite Senior Men I,24,Walid Mumuni
Aaron Pyne,London Elite Senior Men I,27,Aaron Pyne
Noah Togo,Manchester Magic Senior Men I,1,Noah Togo
Oluwademilade Babalola,Manchester Magic Senior Men I,13/3,Oluwademilade Babalola
Sion Gordon,Manchester Magic Senior Men I,6,Sion Gordon
Nathan Brown,Manchester Magic Senior Men I,1/2/7,Nathan Brown
Jack Walton,Manchester Magic Senior Men I,8,Jack Walton
Kieran Lee,Manchester Magic Senior Men I,12/5/9,Kieran Lee
Daniel Davies,Manchester Magic Senior Men I,13,Daniel Davies
Joshua Pearce,Manchester Magic Senior Men I,14,Joshua Pearce
Bailey Goodall,Manchester Magic Senior Men I,15,Bailey Goodall
Joshua Kubacki,Manchester Magic Senior Men I,10/17,Joshua Kubacki
Malik Robinson,Oxford Hoops Senior Men,0/3/6,Malik Robinson
Malaki Hilsdon,Oxford Hoops Senior Men,3,Malaki Hilsdon
Oskars Berzins,Oxford Hoops Senior Men,5,Oskars Berzins
