Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Worcester Wolves Senior Men,Georgios Stergiopoulos,13/9,Georgios Stergiopoulos,25,16.7,418.4,109.0,4.4,39.0,117.0,33.3,20.0,67.0,29.9,11.0,20.0,55,21.0,57.0,78.0,43.0,32.0,4.0,30.0,30.0,129.4,15.2,5.3,2.1,3.8,183,292.0,11.7,14.3,10,1.7,14,2,33.6,17.9,6,2.61,-3.68,6.29,2.7,3.7,26.0,14.0,53.8,1.0,0.0,0,0.0,0.0,0,0.0,0.0,21.0,5.0,0.0,4.0,16.0,11.0,42.0
Worcester Wolves Senior Men,Chukwudumekwu Okibe,3/30,Chukwudumekwu Okibe,25,9.9,246.7,55.0,2.2,21.0,46.0,45.7,0.0,0.0,0,13.0,19.0,68.4,17.0,53.0,70.0,4.0,5.0,4.0,18.0,20.0,53.1,10.6,2.7,0.2,3.4,9,64.0,2.6,3.1,4,2.0,3,0,66.7,3.0,2,-2.27,-6.1,3.83,4.5,4.6,29.0,17.0,58.6,2.0,1.0,50,0.0,0.0,0,0.0,0.0,1.0,9.0,4.0,4.0,16.0,13.0,11.0
Worcester Wolves Senior Men,Earl Burgess,21,Earl Burgess,24,29.6,709.3,442.0,18.4,181.0,323.0,56,9.0,27.0,33.3,71.0,100.0,71,101.0,146.0,247.0,42.0,29.0,19.0,40.0,47.0,293.8,20.4,21.7,2.1,12.1,98,540.0,22.5,26.5,37,3.4,30,7,55.9,35.1,11,9.11,4.11,5.0,5.0,1.6,159.0,110.0,69.2,19.0,10.0,52.6,0.0,0.0,0,0.0,0.0,14.0,16.0,1.0,9.0,120.0,62.0,100.0
Worcester Wolves Senior Men,Humberto Ferreira,10/8,Humberto Ferreira,24,29.8,714.2,264.0,11.0,106.0,198.0,53.5,8.0,36.0,22.2,44.0,82.0,53.7,71.0,55.0,126.0,45.0,71.0,10.0,57.0,87.0,211.3,14.6,12.9,2.2,6.2,111,375.0,15.6,18.4,24,2.2,16,7,62.9,27.1,11,4.59,-2.58,7.16,3.0,3.1,114.0,79.0,69.3,3.0,2.0,66.7,0.0,0.0,0,0.0,0.0,24.0,22.0,0.0,11.0,43.0,94.0,78.0
Worcester Wolves Senior Men,Wilfrid Santhe,6,Wilfrid Santhe,24,31.2,749.4,237.0,9.9,88.0,259.0,34,26.0,120.0,21.7,35.0,60.0,58.3,13.0,95.0,108.0,141.0,46.0,0.0,108.0,57.0,365.2,24.0,11.6,6.9,5.3,300,537.0,22.4,26.3,24,2.0,26,8,40.7,38.5,12,-2.01,-5.81,3.8,1.6,2.4,77.0,41.0,53.2,6.0,2.0,33.3,4.0,2.0,50,0.0,0.0,54.0,46.0,0.0,8.0,17.0,49.0,77.0
Manchester Magic Senior Men I,Bailey Goodall,15,Bailey Goodall,24,24.9,596.8,92.0,3.8,39.0,75.0,52,5.0,21.0,23.8,9.0,27.0,33.3,34.0,96.0,130.0,57.0,23.0,7.0,45.0,70.0,94.0,7.9,4.8,3.0,6.8,136,228.0,9.5,11.9,11,2.2,6,4,70.9,14.8,5,0.73,-5.25,5.97,3.5,4.0,31.0,22.0,71,0.0,0.0,0,0.0,0.0,0,0.0,0.0,23.0,19.0,0.0,3.0,21.0,16.0,13.0
Manchester Magic Senior Men I,Jack Walton,8,Jack Walton,23,32.6,749.2,438.0,19.0,158.0,360.0,43.9,79.0,189.0,41.8,43.0,60.0,71.7,11.0,70.0,81.0,118.0,37.0,0.0,71.0,28.0,428.5,28.8,22.8,6.1,4.2,234,672.0,29.2,35.0,34,3.1,26,16,51.5,39.0,11,7.52,3.51,4.01,1.6,1.1,48.0,30.0,62.5,56.0,29.0,51.8,11.0,8.0,72.7,0.0,0.0,38.0,25.0,1.0,7.0,48.0,84.0,99.0
Manchester Magic Senior Men I,Aaron Bile,7,Aaron Bile,23,28.9,664.4,391.0,17.0,139.0,318.0,43.7,34.0,119.0,28.6,79.0,116.0,68.1,35.0,100.0,135.0,44.0,34.0,10.0,52.0,35.0,370.6,28.0,20.4,2.3,7.0,102,493.0,21.4,25.7,40,4.0,28,7,64.4,33.1,10,5.34,0.59,4.75,3.4,2.6,113.0,72.0,63.7,21.0,6.0,28.6,4.0,1.0,25,0.0,0.0,13.0,30.0,0.0,9.0,33.0,101.0,82.0
Myerscough Basketball Academy Senior Men I,Harry Sheehan,0,Harry Sheehan,23,24.9,573.7,309.0,13.4,94.0,256.0,36.7,65.0,178.0,36.5,56.0,72.0,77.8,8.0,60.0,68.0,27.0,13.0,1.0,44.0,31.0,310.7,27.5,17.0,1.5,3.7,59,368.0,16.0,20.3,34,3.4,22,16,58.5,32.0,10,2.56,0.09,2.47,2.6,2.7,31.0,16.0,51.6,8.0,3.0,37.5,2.0,0.0,0,0.0,0.0,22.0,17.0,1.0,4.0,47.0,52.0,42.0
Myerscough Basketball Academy Senior Men I,Olivier Esingle,9,Olivier Esingle,23,21.5,495.1,205.0,8.9,85.0,180.0,47.2,10.0,48.0,20.8,25.0,49.0,51,13.0,75.0,88.0,79.0,29.0,8.0,40.0,39.0,219.4,22.5,11.3,4.4,4.8,177,382.0,16.6,21.0,17,2.4,10,5,69.7,16.2,7,5.03,-1.2,6.24,2.2,1.9,62.0,45.0,72.6,18.0,8.0,44.4,1.0,0.0,0,0.0,0.0,18.0,17.0,0.0,5.0,24.0,63.0,55.0
