game_id,game_date,team,points,fgm,fga,fg2m,fg2a,fg3m,fg3a,ftm,fta,oreb,dreb,treb,ast,stl,blk,tov,pf,pf_drawn,blk_against,poss,pace
2742274,2025-09-27,Liverpool Senior Men,108,38,93,28,56,10,37,22,41,19,31,50,16,15,4,23,24,26,3,116.3,89.5
2742274,2025-09-27,St Helens Saints Senior Men,105,35,96,24,50,11,46,24,30,23,44,67,17,14,3,26,26,24,4,107.4,89.5
2742395,2025-09-27,Greenwich Titans Senior Men,61,25,73,23,49,2,24,9,12,11,31,42,12,10,5,27,22,15,1,92.7,92.1
2742395,2025-09-27,Solent Kestrels Senior Men,91,35,87,28,53,7,34,14,22,19,34,53,26,16,1,16,15,22,5,91.5,92.1
2742276,2025-09-27,Cardiff Met Archers Senior Men I,71,26,63,20,47,6,16,13,18,9,28,37,18,11,2,16,17,16,2,77.8,79.3
2742276,2025-09-27,Myerscough Basketball Academy Senior Men I,75,29,74,18,39,11,35,6,9,14,30,44,20,8,2,19,16,16,2,80.9,79.3
2742267,2025-09-27,Birmingham City University Senior Men,89,36,84,22,44,14,40,3,5,12,44,56,19,14,2,21,25,9,2,93.8,95.8
2742267,2025-09-27,Sheffield Arrows Senior Men,74,26,81,22,51,4,30,18,29,15,34,49,14,14,2,19,9,24,2,97.8,95.8
2742394,2025-09-27,London Stars Senior Men,95,35,83,26,53,9,30,16,23,22,37,59,28,7,6,25,15,20,5,91.2,90.8
2742394,2025-09-27,London Elite Senior Men I,70,27,74,19,44,8,30,8,12,4,20,24,13,18,5,16,21,15,6,90.4,90.8
2742273,2025-09-27,Manchester Magic Senior Men I,79,34,83,27,55,7,28,4,13,18,19,37,17,14,6,10,13,14,6,79.1,76.8
2742273,2025-09-27,Oxford Hoops Senior Men,53,20,55,16,40,4,15,9,12,11,30,41,12,6,6,28,14,13,6,74.5,76.8
2742272,2025-09-27,Teesside Lions Senior Men,53,19,77,13,51,6,26,9,14,16,29,45,9,8,1,13,15,12,3,76.3,78.5
2742272,2025-09-27,Leicester Warriors Senior Men,81,33,75,26,53,7,22,8,12,14,34,48,23,10,3,15,12,15,1,80.6,78.5
2742271,2025-09-27,Worcester Wolves Senior Men,70,25,81,19,55,6,26,14,23,20,23,43,12,19,4,14,25,20,5,82.1,82.1
2742271,2025-09-27,Sheffield Sharks Senior Men,60,18,54,13,31,5,23,19,34,13,32,45,16,7,5,27,20,25,4,82.1,82.1
2742393,2025-09-28,Cobham Cobras Senior Men,61,20,55,15,36,5,19,16,24,7,23,30,15,4,1,23,18,21,0,80.1,81.1
2742393,2025-09-28,Barking Abbey Senior Men I,66,26,78,25,55,1,23,13,21,19,24,43,11,15,0,20,21,17,1,82.1,81.1
2742392,2025-10-04,Barnet Bulldogs Senior Men,95,35,82,27,52,8,30,17,29,14,23,37,27,17,2,22,18,23,3,101.8,98.9
2742392,2025-10-04,Greenwich Titans Senior Men,86,34,72,28,47,6,25,12,26,14,33,47,22,15,3,28,23,18,2,96.1,98.9
2742391,2025-10-04,Barking Abbey Senior Men I,72,24,68,22,49,2,19,22,26,17,30,47,21,14,3,22,19,24,4,81.4,84.7
2742391,2025-10-04,CoLA Southwark Pride Senior Men,61,19,61,10,37,9,24,14,25,11,23,34,11,13,4,28,24,19,3,87.9,84.7
