Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
Artland Dragons,"Linus Ruf, Benjamin Forrest Burnham, Amir Jabbar Hinton, Timo Lanmüller, Connor Van Anthony","Artland Dragons|20,25,3,7,9",20,85.5,5133.0,199,65,127,51.2,16,41,39.0,53,61,86.9,0,0,0,36,0,0,23,0,165,176.8,112.5,87.8,24.7,2.33,34
PS Karlsruhe LIONS,"Kilian Binapfl, David Opowu Ejah, Isaiah Rayshaud Hart, Tyrese Williams, Wesley Chima Oba","PS Karlsruhe LIONS|12,25,4,5,7",6,19.4,1166.0,26,10,28,35.7,1,15,6.7,5,11,45.5,0,0,0,7,0,0,4,0,40,36.8,70.6,107.5,-37.0,1.34,-14
Artland Dragons,"Fynn Lastring, Benjamin Forrest Burnham, Amir Jabbar Hinton, Timo Lanmüller, Connor Van Anthony","Artland Dragons|16,25,3,7,9",9,16.2,970.0,35,12,25,48.0,1,9,11.1,10,13,76.9,0,0,0,6,0,0,7,0,46,37.7,92.8,130.8,-38.0,2.16,-11
PS Karlsruhe LIONS,"Kilian Binapfl, Maurice Marko Pluskota, David Opowu Ejah, Isaiah Rayshaud Hart, Tyrese Williams","PS Karlsruhe LIONS|12,23,25,4,5",4,12.9,772.0,30,8,17,47.1,3,7,42.9,11,16,68.8,0,0,0,4,0,0,3,0,23,27.0,110.9,79.1,31.9,2.33,7
Artland Dragons,"Elijah Ndi, Linus Ruf, Benjamin Forrest Burnham, Amir Jabbar Hinton, Connor Van Anthony","Artland Dragons|12,20,25,3,9",4,12.5,748.0,25,8,17,47.1,4,7,57.1,5,6,83.3,0,0,0,4,0,0,5,0,26,24.6,101.5,132.4,-30.9,2.01,-1
GIESSEN 46ers,"Daniel Alexander Norl, Robin Benzing, Aiden Warnholtz, Simon Krajcovic, Kyle Anthony Castlin","GIESSEN 46ers|1,12,3,55,7",4,12.3,741.0,27,10,19,52.6,4,8,50.0,3,6,50.0,0,0,0,4,0,0,3,0,27,24.6,109.6,119.3,-9.7,2.19,0
Paderborn Baskets,"Efosa K Irobun Osawe, Karl Bühner, Branden Michael Maughmer, Grant Teichmann, Jonathan Klussmann","Paderborn Baskets|0,11,2,6,71",5,12.2,730.0,30,11,23,47.8,3,9,33.3,5,7,71.4,0,0,0,4,0,0,2,0,29,28.1,106.8,112.2,-5.4,2.47,1
Bayer Giants Leverkusen,"Sebastian Brach, Dennis Heinzmann, Luca Finn Kahl, Lok Lol Wur, Kobe Langley","Bayer Giants Leverkusen|10,22,3,4,8",4,11.9,717.0,19,7,21,33.3,4,13,30.8,1,5,20.0,0,0,0,6,0,0,0,0,13,23.2,81.9,56.8,25.1,1.59,6
HAKRO Merlins Crailsheim,"Tyreese Blunt, Xavier Trent Johnson, Marvin Ogunsipe, Brock Boone Gardner, Anthony Malik Gaines","HAKRO Merlins Crailsheim|0,12,26,4,9",3,11.7,699.0,24,7,14,50.0,3,8,37.5,7,11,63.6,0,0,0,1,0,0,6,0,25,24.8,96.6,107.2,-10.6,2.06,-1
RheinStars Köln,"Cedric Cezell Russell Jr, Adam John Paige, Björn Rohwer, Justin Onyejiaka, Jasper Günther","RheinStars Köln|0,13,15,22,6",2,11.5,690.0,15,6,8,75.0,3,3,100.0,0,2,0.0,0,0,0,2,0,0,0,0,15,8.9,168.9,112.6,56.3,1.3,0
Uni Baskets Münster,"Timetric Jerome Hodges, Julian Lamont Larry, Cosmo Grühn, Paul Viefhues, Nicholas Khalil Mc Mullen","Uni Baskets Münster|1,10,22,3,4",2,11.1,664.0,17,6,18,33.3,4,13,30.8,1,1,100.0,0,0,0,5,0,0,4,0,22,22.4,75.8,93.5,-17.8,1.54,-5
GIESSEN 46ers,"Robin Benzing, Luis Elias König Figge, Viktor Kovacevic, Simon Krajcovic, Kyle Anthony Castlin","GIESSEN 46ers|12,14,25,55,7",4,10.9,652.0,16,6,15,40.0,4,9,44.4,0,4,0.0,0,0,0,3,0,0,4,0,19,20.8,77.1,92.1,-15.0,1.47,-3
RheinStars Köln,"Cedric Cezell Russell Jr, Björn Rohwer, Michael Jordan Miller, Kenny André Calliste Kéannou Baptiste, Maximilian Begue","RheinStars Köln|0,15,23,39,9",2,10.9,653.0,27,8,14,57.1,3,7,42.9,8,11,72.7,0,0,0,3,0,0,6,0,22,24.8,108.7,123.0,-14.3,2.48,5
VfL SparkassenStars Bochum,"Myreon Lamar Jones JR, Antonio Deshon Williams, Dravon Mangum, Lars Kamp, Kilian Dietz","VfL SparkassenStars Bochum|0,1,11,7,8",4,10.8,651.0,26,10,17,58.8,4,8,50.0,2,4,50.0,0,0,0,8,0,0,2,0,13,20.8,125.2,49.0,76.2,2.4,13
Eisbären Bremerhaven,"Elijah Jahi Miller, Lorenz Brenneke, Raphael Falkenthal, Jemarl Lemuel Baker Jr., Jannis von Seckendorff","Eisbären Bremerhaven|0,11,2,8,90",5,10.7,644.0,22,5,14,35.7,1,6,16.7,11,15,73.3,0,0,0,3,0,0,1,0,18,21.6,101.9,98.3,3.6,2.05,4
