Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Artland Dragons,"Linus Ruf, Benjamin Forrest Burnham, Amir Jabbar Hinton, Timo Lanmüller, Connor Van Anthony","Artland Dragons|20,25,3,7,9",9,Connor Van Anthony,25,Benjamin Forrest Burnham,30,74,14,16,18,1.67,4.11
Artland Dragons,"Linus Ruf, Benjamin Forrest Burnham, Amir Jabbar Hinton, Timo Lanmüller, Connor Van Anthony","Artland Dragons|20,25,3,7,9",9,Connor Van Anthony,7,Timo Lanmüller,19,47,9,10,12,1.58,3.92
Artland Dragons,"Linus Ruf, Benjamin Forrest Burnham, Amir Jabbar Hinton, Timo Lanmüller, Connor Van Anthony","Artland Dragons|20,25,3,7,9",3,Amir Jabbar Hinton,25,Benjamin Forrest Burnham,17,40,6,11,14,1.21,2.86
Artland Dragons,"Linus Ruf, Benjamin Forrest Burnham, Amir Jabbar Hinton, Timo Lanmüller, Connor Van Anthony","Artland Dragons|20,25,3,7,9",9,Connor Van Anthony,20,Linus Ruf,17,34,0,17,10,1.7,3.4
Phoenix Hagen,"Marcus Henri Graves, Fabian Bleck, Dennis Nawrocki, Tim Uhlemann, Bjarne Kraushaar","Phoenix Hagen|0,10,2,21,4",4,Bjarne Kraushaar,21,Tim Uhlemann,13,34,8,5,10,1.3,3.4
Phoenix Hagen,"Marcus Henri Graves, Fabian Bleck, Dennis Nawrocki, Tim Uhlemann, Bjarne Kraushaar","Phoenix Hagen|0,10,2,21,4",4,Bjarne Kraushaar,2,Dennis Nawrocki,11,31,9,2,9,1.22,3.44
Artland Dragons,"Linus Ruf, Benjamin Forrest Burnham, Amir Jabbar Hinton, Timo Lanmüller, Connor Van Anthony","Artland Dragons|20,25,3,7,9",25,Benjamin Forrest Burnham,7,Timo Lanmüller,11,29,7,4,9,1.22,3.22
Bayer Giants Leverkusen,"John Williams Jr, Dennis Heinzmann, Luca Finn Kahl, Lok Lol Wur, Kobe Langley","Bayer Giants Leverkusen|21,22,3,4,8",8,Kobe Langley,22,Dennis Heinzmann,14,28,0,14,7,2.0,4.0
Phoenix Hagen,"Marcus Henri Graves, Fabian Bleck, Dennis Nawrocki, Tim Uhlemann, Bjarne Kraushaar","Phoenix Hagen|0,10,2,21,4",4,Bjarne Kraushaar,0,Marcus Henri Graves,11,27,5,6,8,1.38,3.38
Phoenix Hagen,"Marcus Henri Graves, Fabian Bleck, Dennis Nawrocki, Tim Uhlemann, Bjarne Kraushaar","Phoenix Hagen|0,10,2,21,4",0,Marcus Henri Graves,2,Dennis Nawrocki,9,26,8,1,9,1.0,2.89
Artland Dragons,"Linus Ruf, Benjamin Forrest Burnham, Amir Jabbar Hinton, Timo Lanmüller, Connor Van Anthony","Artland Dragons|20,25,3,7,9",9,Connor Van Anthony,3,Amir Jabbar Hinton,10,24,4,6,8,1.25,3.0
Artland Dragons,"Fynn Lastring, Benjamin Forrest Burnham, Amir Jabbar Hinton, Timo Lanmüller, Connor Van Anthony","Artland Dragons|16,25,3,7,9",9,Connor Van Anthony,25,Benjamin Forrest Burnham,10,24,4,6,7,1.43,3.43
Artland Dragons,"Fynn Lastring, Benjamin Forrest Burnham, Amir Jabbar Hinton, Timo Lanmüller, Connor Van Anthony","Artland Dragons|16,25,3,7,9",9,Connor Van Anthony,16,Fynn Lastring,10,24,4,6,6,1.67,4.0
Eisbären Bremerhaven,"Elijah Jahi Miller, Lorenz Brenneke, Jacob David Biss, Carlos Deshawn Carter, Jannis von Seckendorff","Eisbären Bremerhaven|0,11,3,6,90",0,Elijah Jahi Miller,90,Jannis von Seckendorff,11,22,0,11,7,1.57,3.14
Phoenix Hagen,"Marcus Henri Graves, Fabian Bleck, Dennis Nawrocki, Tim Uhlemann, Bjarne Kraushaar","Phoenix Hagen|0,10,2,21,4",0,Marcus Henri Graves,21,Tim Uhlemann,8,20,4,4,6,1.33,3.33
GIESSEN 46ers,"Robin Benzing, Jonathan Maier, Aiden Warnholtz, Simon Krajcovic, Kyle Anthony Castlin","GIESSEN 46ers|12,13,3,55,7",55,Simon Krajcovic,12,Robin Benzing,7,19,5,2,7,1.0,2.71
Phoenix Hagen,"Marcus Henri Graves, Fabian Bleck, Dennis Nawrocki, Tim Uhlemann, Jeffrey Carroll","Phoenix Hagen|0,10,2,21,30",0,Marcus Henri Graves,30,Jeffrey Carroll,7,19,5,2,4,1.75,4.75
Phoenix Hagen,"Marcus Henri Graves, Fabian Bleck, Dennis Nawrocki, Tim Uhlemann, Bjarne Kraushaar","Phoenix Hagen|0,10,2,21,4",4,Bjarne Kraushaar,10,Fabian Bleck,9,19,1,8,6,1.5,3.17
PS Karlsruhe LIONS,"Kilian Binapfl, David Opowu Ejah, Isaiah Rayshaud Hart, Tyrese Williams, Wesley Chima Oba","PS Karlsruhe LIONS|12,25,4,5,7",4,Isaiah Rayshaud Hart,7,Wesley Chima Oba,9,19,1,8,7,1.29,2.71
Artland Dragons,"Elijah Ndi, Linus Ruf, Benjamin Forrest Burnham, Amir Jabbar Hinton, Connor Van Anthony","Artland Dragons|12,20,25,3,9",9,Connor Van Anthony,20,Linus Ruf,9,18,0,9,7,1.29,2.57
Artland Dragons,"Linus Ruf, Benjamin Forrest Burnham, Amir Jabbar Hinton, Timo Lanmüller, Connor Van Anthony","Artland Dragons|20,25,3,7,9",3,Amir Jabbar Hinton,20,Linus Ruf,9,18,0,9,7,1.29,2.57
HAKRO Merlins Crailsheim,"Tyreese Blunt, Keyshaun Darrius Langley, Marvin Ogunsipe, Brock Boone Gardner, Anthony Malik Gaines","HAKRO Merlins Crailsheim|0,2,26,4,9",2,Keyshaun Darrius Langley,4,Brock Boone Gardner,6,16,4,2,5,1.2,3.2
Artland Dragons,"Linus Ruf, Benjamin Forrest Burnham, Amir Jabbar Hinton, Timo Lanmüller, Connor Van Anthony","Artland Dragons|20,25,3,7,9",7,Timo Lanmüller,25,Benjamin Forrest Burnham,6,16,4,2,6,1.0,2.67
Paderborn Baskets,"Efosa K Irobun Osawe, Branden Michael Maughmer, Leonard Kröger, Grant Teichmann, Jonathan Klussmann","Paderborn Baskets|0,2,26,6,71",2,Branden Michael Maughmer,71,Jonathan Klussmann,6,16,4,2,3,2.0,5.33
HAKRO Merlins Crailsheim,"Tyreese Blunt, Xavier Trent Johnson, Marvin Ogunsipe, Brock Boone Gardner, Anthony Malik Gaines","HAKRO Merlins Crailsheim|0,12,26,4,9",12,Xavier Trent Johnson,0,Tyreese Blunt,5,15,5,0,5,1.0,3.0
HAKRO Merlins Crailsheim,"Tyreese Blunt, Xavier Trent Johnson, Marvin Ogunsipe, Brock Boone Gardner, Anthony Malik Gaines","HAKRO Merlins Crailsheim|0,12,26,4,9",9,Anthony Malik Gaines,0,Tyreese Blunt,5,15,5,0,4,1.25,3.75
RheinStars Köln,"Cedric Cezell Russell Jr, Björn Rohwer, Michael Jordan Miller, Kenny André Calliste Kéannou Baptiste, Maximilian Begue","RheinStars Köln|0,15,23,39,9",23,Michael Jordan Miller,15,Björn Rohwer,5,15,5,0,5,1.0,3.0
HAKRO Merlins Crailsheim,"Tyreese Blunt, Xavier Trent Johnson, Marvin Ogunsipe, Brock Boone Gardner, Anthony Malik Gaines","HAKRO Merlins Crailsheim|0,12,26,4,9",12,Xavier Trent Johnson,9,Anthony Malik Gaines,6,14,2,4,6,1.0,2.33
Artland Dragons,"Linus Ruf, Benjamin Forrest Burnham, Amir Jabbar Hinton, Timo Lanmüller, Connor Van Anthony","Artland Dragons|20,25,3,7,9",3,Amir Jabbar Hinton,7,Timo Lanmüller,5,14,4,1,5,1.0,2.8
Paderborn Baskets,"Nicolas Ignacio Marty-Decker, Karl Bühner, Jalen Lee Johnson, Branden Michael Maughmer, Jonathan Klussmann","Paderborn Baskets|10,11,13,2,71",71,Jonathan Klussmann,11,Karl Bühner,5,14,4,1,4,1.25,3.5
Bayer Giants Leverkusen,"John Williams Jr, Dennis Heinzmann, Luca Finn Kahl, Lok Lol Wur, Kobe Langley","Bayer Giants Leverkusen|21,22,3,4,8",8,Kobe Langley,21,John Williams Jr,6,14,2,4,6,1.0,2.33
BG Göttingen,"Robin Lodders, Mathis Mönninghoff, Jordan Sears, Wesley Nelson Dreamer, Julius Böhmer","BG Göttingen|11,17,3,35,44",44,Julius Böhmer,35,Wesley Nelson Dreamer,5,13,3,2,3,1.67,4.33
Phoenix Hagen,"Marcus Henri Graves, Marvin Omonigho Omuvwie, Marinus Lucas N'Guessan, Jeffrey Carroll, Devin Lawrence Schmidt","Phoenix Hagen|0,11,19,30,8",0,Marcus Henri Graves,8,Devin Lawrence Schmidt,5,13,3,2,4,1.25,3.25
Artland Dragons,"Nathan Joseph Petrone, Linus Ruf, Benjamin Forrest Burnham, Timo Lanmüller, Connor Van Anthony","Artland Dragons|1,20,25,7,9",9,Connor Van Anthony,25,Benjamin Forrest Burnham,5,13,3,2,4,1.25,3.25
Bayer Giants Leverkusen,"Ricardo Lynch, Donte Nicholas, John Williams Jr, Dennis Heinzmann, Luca Finn Kahl","Bayer Giants Leverkusen|11,15,21,22,3",15,Donte Nicholas,22,Dennis Heinzmann,6,13,1,5,5,1.2,2.6
Bozic Estriche Knights Kirchheim,"Phillip Montreal Russelll, Aeneas Jung, Charles Tyrone Harris Jr., Lucas Mayer, Tylan James Pope","Bozic Estriche Knights Kirchheim|1,19,3,8,9",None,Player None,9,Tylan James Pope,5,13,3,2,3,1.67,4.33
Nürnberg Falcons BC,"Evan Derek Taylor, Carter Dean Whitt, Tom Stoiber, Vincent Friederici, Brandton Dean Chatfield","Nürnberg Falcons BC|10,2,28,30,33",2,Carter Dean Whitt,33,Brandton Dean Chatfield,6,13,1,5,3,2.0,4.33
SBB Baskets,"Alieu Ceesay, De'Vondre Malik Perry, Martin Bogdanov, Daivien Latrell Williamson, Michael Hughes II","SBB Baskets|28,4,6,7,91",6,Martin Bogdanov,4,De'Vondre Malik Perry,5,13,3,2,5,1.0,2.6
RheinStars Köln,"Cedric Cezell Russell Jr, Björn Rohwer, Michael Jordan Miller, Kenny André Calliste Kéannou Baptiste, Maximilian Begue","RheinStars Köln|0,15,23,39,9",0,Cedric Cezell Russell Jr,39,Kenny André Calliste Kéannou Baptiste,6,13,1,5,5,1.2,2.6
Phoenix Hagen,"Marcus Henri Graves, Fabian Bleck, Dennis Nawrocki, Tim Uhlemann, Bjarne Kraushaar","Phoenix Hagen|0,10,2,21,4",2,Dennis Nawrocki,21,Tim Uhlemann,4,12,4,0,3,1.33,4.0
PS Karlsruhe LIONS,"Kilian Binapfl, David Opowu Ejah, Isaiah Rayshaud Hart, Tyrese Williams, Wesley Chima Oba","PS Karlsruhe LIONS|12,25,4,5,7",5,Tyrese Williams,12,Kilian Binapfl,6,12,0,6,6,1.0,2.0
GIESSEN 46ers,"Daniel Alexander Norl, Till Gloger, Viktor Kovacevic, Simon Krajcovic, Kyle Anthony Castlin","GIESSEN 46ers|1,18,25,55,7",55,Simon Krajcovic,1,Daniel Alexander Norl,4,12,4,0,2,2.0,6.0
GIESSEN 46ers,"Daniel Alexander Norl, Till Gloger, Viktor Kovacevic, Adnan Arslanagic, Kyle Anthony Castlin","GIESSEN 46ers|1,18,25,4,7",25,Viktor Kovacevic,18,Till Gloger,6,12,0,6,3,2.0,4.0
PS Karlsruhe LIONS,"Kilian Binapfl, David Opowu Ejah, Isaiah Rayshaud Hart, Tyrese Williams, Wesley Chima Oba","PS Karlsruhe LIONS|12,25,4,5,7",5,Tyrese Williams,25,David Opowu Ejah,5,12,2,3,3,1.67,4.0
BG Göttingen,"Hendrik Helge Drescher, Robin Lodders, Mathis Mönninghoff, Zach Jackson, Daniel Kirchner","BG Göttingen|10,11,17,21,4",4,Daniel Kirchner,11,Robin Lodders,6,12,0,6,4,1.5,3.0
HAKRO Merlins Crailsheim,"Tyreese Blunt, Keyshaun Darrius Langley, Marvin Ogunsipe, Brock Boone Gardner, Anthony Malik Gaines","HAKRO Merlins Crailsheim|0,2,26,4,9",9,Anthony Malik Gaines,0,Tyreese Blunt,4,12,4,0,4,1.0,3.0
Bayer Giants Leverkusen,"Ricardo Lynch, Donte Nicholas, John Williams Jr, Dennis Heinzmann, Luca Finn Kahl","Bayer Giants Leverkusen|11,15,21,22,3",3,Luca Finn Kahl,11,Ricardo Lynch,4,12,4,0,4,1.0,3.0
