Canonical,Team,Numbers,Variations
Elijah Jahi Miller,Eisbären Bremerhaven,0,Elijah Jahi Miller
Raphael Falkenthal,Eisbären Bremerhaven,2,Raphael Falkenthal
Jacob David Biss,Eisbären Bremerhaven,3,Jacob David Biss
Jordan Samare,Eisbären Bremerhaven,4,Jordan Samare
Benjamin Zintz,Eisbären Bremerhaven,5,Benjamin Zintz
Carlos Deshawn Carter,Eisbären Bremerhaven,6,Carlos Deshawn Carter
Adrian Breitlauch,Eisbären Bremerhaven,7,Adrian Breitlauch
Jemarl Lemuel Baker Jr.,Eisbären Bremerhaven,8,Jemarl Lemuel Baker Jr.
Anton Meyer,Eisbären Bremerhaven,9,Anton Meyer
Lorenz Brenneke,Eisbären Bremerhaven,11/21,Lorenz Brenneke
Peter Hemschemeier,Eisbären Bremerhaven,22,Peter Hemschemeier
Jannis von Seckendorff,Eisbären Bremerhaven,90,Jannis von Seckendorff
Nathan Joseph Petrone,Artland Dragons,1,Nathan Joseph Petrone
Epke Kruthaup,Artland Dragons,2,Epke Kruthaup
Amir Jabbar Hinton,Artland Dragons,3,Amir Jabbar Hinton
Timo Lanmüller,Artland Dragons,7,Timo Lanmüller
Connor Van Anthony,Artland Dragons,9,Connor Van Anthony
Robert Oehle,Artland Dragons,11,Robert Oehle
Elijah Ndi,Artland Dragons,12,Elijah Ndi
Dejan Bruce,Artland Dragons,13,Dejan Bruce
Fynn Lastring,Artland Dragons,16,Fynn Lastring
Linus Ruf,Artland Dragons,20,Linus Ruf
Benjamin Forrest Burnham,Artland Dragons,25,Benjamin Forrest Burnham
Ivan Volf,Artland Dragons,44,Ivan Volf
Player None,Eisbären Bremerhaven,None,Player None
Marcus Henri Graves,Phoenix Hagen,0,Marcus Henri Graves
Dennis Nawrocki,Phoenix Hagen,2,Dennis Nawrocki
Bjarne Kraushaar,Phoenix Hagen,4,Bjarne Kraushaar
Devin Lawrence Schmidt,Phoenix Hagen,8,Devin Lawrence Schmidt
Fabian Bleck,Phoenix Hagen,10,Fabian Bleck
Marvin Omonigho Omuvwie,Phoenix Hagen,11,Marvin Omonigho Omuvwie
Dominick Jordan von Waaden,Phoenix Hagen,13,Dominick Jordan von Waaden
Marinus Lucas N'Guessan,Phoenix Hagen,19,Marinus Lucas N'Guessan
Tim Uhlemann,Phoenix Hagen,21,Tim Uhlemann
Jeffrey Carroll,Phoenix Hagen,30,Jeffrey Carroll
Jan Razdevsek,Phoenix Hagen,44,Jan Razdevsek
Anzac Joseph Dennis Rissetto,Phoenix Hagen,77,Anzac Joseph Dennis Rissetto
Joshua Olenyi,PS Karlsruhe LIONS,2,Joshua Olenyi
Isaiah Rayshaud Hart,PS Karlsruhe LIONS,4,Player 4; Isaiah Rayshaud Hart
Tyrese Williams,PS Karlsruhe LIONS,5,Tyrese Williams
Gabriel Kuku,PS Karlsruhe LIONS,6,Gabriel Kuku
Wesley Chima Oba,PS Karlsruhe LIONS,7,Wesley Chima Oba
Pavle Pisic,PS Karlsruhe LIONS,8,Pavle Pisic
Kilian Binapfl,PS Karlsruhe LIONS,12,Kilian Binapfl
Julian Albus,PS Karlsruhe LIONS,20,Julian Albus
Mikal Dawson,PS Karlsruhe LIONS,22,Mikal Dawson
Jason George,PS Karlsruhe LIONS,24,Jason George
David Opowu Ejah,PS Karlsruhe LIONS,25,David Opowu Ejah
David Allan Cohn,PS Karlsruhe LIONS,34,David Allan Cohn
Nils Owen Schmitz,BG Göttingen,0,Nils Owen Schmitz
Adam Ramstedt,BG Göttingen,1,Adam Ramstedt
Jordan Sears,BG Göttingen,3,Jordan Sears
Daniel Kirchner,BG Göttingen,4,Player 4; Daniel Kirchner
Joshua Haase,BG Göttingen,7,Joshua Haase
Hendrik Helge Drescher,BG Göttingen,10,Hendrik Helge Drescher; Player 10
Robin Lodders,BG Göttingen,11,Robin Lodders; Player 11
Mathis Mönninghoff,BG Göttingen,17,Mathis Mönninghoff; Player 17
Janis Jünemann,BG Göttingen,20,Janis Jünemann
Zach Jackson,BG Göttingen,21,Player 21; Zach Jackson
Wesley Nelson Dreamer,BG Göttingen,35,Wesley Nelson Dreamer
Julius Böhmer,BG Göttingen,44,Julius Böhmer
Phillip Montreal Russell,Bozic Estriche Knights Kirchheim,1,Phillip Montreal Russell
Charles Tyrone Harris Jr.,Bozic Estriche Knights Kirchheim,11/3,Charles Tyrone Harris Jr.
Gian Bahattin Aydinoglu,Bozic Estriche Knights Kirchheim,4,Gian Bahattin Aydinoglu
Lucas Mayer,Bozic Estriche Knights Kirchheim,8,Lucas Mayer
Tylan James Pope,Bozic Estriche Knights Kirchheim,9,Tylan James Pope
Lukas Werner Zerner,Bozic Estriche Knights Kirchheim,10,Lukas Werner Zerner
Tyrel Maurice Morgan,Bozic Estriche Knights Kirchheim,11,Tyrel Maurice Morgan
Nicholas Gerard Spinoso,Bozic Estriche Knights Kirchheim,13,Nicholas Gerard Spinoso
Nil Failenschmid Clavera,Bozic Estriche Knights Kirchheim,15,Nil Failenschmid Clavera
Aeneas Jung,Bozic Estriche Knights Kirchheim,19,Aeneas Jung
Nicolas Bretzel,Bozic Estriche Knights Kirchheim,21,Nicolas Bretzel
Tyreese Blunt,HAKRO Merlins Crailsheim,0,Player 0; Tyreese Blunt
Jose Gabriel de Oliveira Neto,HAKRO Merlins Crailsheim,1,Jose Gabriel de Oliveira Neto
Maurice Stuckey,HAKRO Merlins Crailsheim,3,Maurice Stuckey
Brock Boone Gardner,HAKRO Merlins Crailsheim,4,Brock Boone Gardner; Player 4
Nico Santana Mojica,HAKRO Merlins Crailsheim,7,Nico Santana Mojica
Anthony Malik Gaines,HAKRO Merlins Crailsheim,9,Anthony Malik Gaines; Player 9
Gianni Otto,HAKRO Merlins Crailsheim,10,Gianni Otto
Xavier Trent Johnson,HAKRO Merlins Crailsheim,12,Xavier Trent Johnson
Till Isemann,HAKRO Merlins Crailsheim,21,Till Isemann
Antonio Dewane Madlock JR,HAKRO Merlins Crailsheim,22,Antonio Dewane Madlock JR
Marvin Ogunsipe,HAKRO Merlins Crailsheim,26,Marvin Ogunsipe; Player 26
Vincent Malik Shahid,HAKRO Merlins Crailsheim,99,Vincent Malik Shahid
Daniel Alexander Norl,GIESSEN 46ers,1,Daniel Alexander Norl
Aiden Warnholtz,GIESSEN 46ers,3,Aiden Warnholtz
Adnan Arslanagic,GIESSEN 46ers,4,Adnan Arslanagic
Kyle Anthony Castlin,GIESSEN 46ers,7,Kyle Anthony Castlin
Robin Benzing,GIESSEN 46ers,12,Robin Benzing
Jonathan Maier,GIESSEN 46ers,13,Jonathan Maier
Luis Elias König Figge,GIESSEN 46ers,14,Luis Elias König Figge
Kai Müsse,GIESSEN 46ers,15,Kai Müsse
Till Gloger,GIESSEN 46ers,18,Till Gloger
Roland L'Amour Nyama,GIESSEN 46ers,24,Roland L'Amour Nyama
Viktor Kovacevic,GIESSEN 46ers,25,Viktor Kovacevic
Simon Krajcovic,GIESSEN 46ers,55,Simon Krajcovic
Neil Schwanenberg,Bozic Estriche Knights Kirchheim,2,Neil Schwanenberg
Finn Pook,Phoenix Hagen,6,Finn Pook
Gaston Nguyen,BG Göttingen,13,Gaston Nguyen
Nicholas Christian Welp,HAKRO Merlins Crailsheim,20,Nicholas Christian Welp
Dominik Dolic,Artland Dragons,8,Dominik Dolic
Linus Trettin,Artland Dragons,15,Linus Trettin
Andrew O'Brien,Uni Baskets Münster,0,Andrew O'Brien
Timetric Jerome Hodges,Uni Baskets Münster,1,Timetric Jerome Hodges
Paul Viefhues,Uni Baskets Münster,3,Paul Viefhues
Nicholas Khalil Mc Mullen,Uni Baskets Münster,4,Nicholas Khalil Mc Mullen
Thore Dilschmann,Uni Baskets Münster,6,Thore Dilschmann
Neil Masnic,Uni Baskets Münster,8,Neil Masnic
Julian Lamont Larry,Uni Baskets Münster,1/10,Julian Lamont Larry
Oliver Pahnke,Uni Baskets Münster,17,Oliver Pahnke
Adam Touray,Uni Baskets Münster,19,Adam Touray
Jesse Chidera Ani,Uni Baskets Münster,24,Jesse Chidera Ani
Hendrik Warner,Eisbären Bremerhaven,31,Hendrik Warner
Joshua Bonga,SBB Baskets Wolmirstedt,0,Joshua Bonga
Trey Thompson Stewart,SBB Baskets Wolmirstedt,1,Trey Thompson Stewart
Travis Henson,SBB Baskets Wolmirstedt,2,Travis Henson
Jalen Benjamin,SBB Baskets Wolmirstedt,5,Jalen Benjamin
Martin Bogdanov,SBB Baskets Wolmirstedt,6,Martin Bogdanov
Modestas Paulauskas,SBB Baskets Wolmirstedt,10/21,Modestas Paulauskas
Benjamin Koppke,SBB Baskets Wolmirstedt,21,Benjamin Koppke
Alieu Ceesay,SBB Baskets Wolmirstedt,28,Alieu Ceesay
Fabien Kondo,SBB Baskets Wolmirstedt,34,Fabien Kondo
Richard Fernando de Jesus Nunez Rivera,Phoenix Hagen,1,Richard Fernando de Jesus Nunez Rivera
Nicola Schultze,Phoenix Hagen,33,Nicola Schultze
Ferdinand Justus Trefzger,RheinStars Köln,2,Ferdinand Justus Trefzger
Rupert Hennen,RheinStars Köln,5,Rupert Hennen
Jasper Günther,RheinStars Köln,6,Jasper Günther
Fynn Rieck,RheinStars Köln,8,Fynn Rieck
Maximilian Begue,RheinStars Köln,9,Maximilian Begue
Timothy Nehemiah Davis,RheinStars Köln,11,Timothy Nehemiah Davis
Björn Rohwer,RheinStars Köln,15,Björn Rohwer
Friedrich Beyer,RheinStars Köln,17,Friedrich Beyer
Justin Onyejiaka,RheinStars Köln,22,Justin Onyejiaka
Michael Jordan Miller,RheinStars Köln,23,Michael Jordan Miller
Hall B Elisias,RheinStars Köln,34,Hall B Elisias
Phillip Montreal Russelll,Bozic Estriche Knights Kirchheim,1,Phillip Montreal Russelll
Alexander Stief,Bozic Estriche Knights Kirchheim,14,Alexander Stief
Domagoj Vukovic,GIESSEN 46ers,17,Domagoj Vukovic
Martin Junakovic,GIESSEN 46ers,22,Martin Junakovic
Bernard Joel Pelote III,Tigers Tübingen,1,Bernard Joel Pelote III; Player 1
Miles Lamar Tention,Tigers Tübingen,3,Player 3; Miles Lamar Tention
Kaya Kaan Hakan Bayram,Tigers Tübingen,5,Player 5; Kaya Kaan Hakan Bayram
Silas Kaan Osezua Oriane,Tigers Tübingen,7,Player 7; Silas Kaan Osezua Oriane
Felix Per Edwardsson,Tigers Tübingen,8,Felix Per Edwardsson; Player 8
Isaiah Jevon Sanders,Tigers Tübingen,10,Isaiah Jevon Sanders
Lukas Max Milner,Tigers Tübingen,17,Lukas Max Milner
Melkisedek Kwaku Moreaux,Tigers Tübingen,23,Melkisedek Kwaku Moreaux
JaCobi Allen Wood,Tigers Tübingen,24,JaCobi Allen Wood
Till-Joscha Jönke,Tigers Tübingen,26,Till-Joscha Jönke
Cameron Robert Parker,Nürnberg Falcons BC,1,Cameron Robert Parker
Joscha Eckert,Nürnberg Falcons BC,4,Joscha Eckert
Tim Köpple,Nürnberg Falcons BC,5,Tim Köpple
Christian Feneberg,Nürnberg Falcons BC,7,Christian Feneberg
Evan Derek Taylor,Nürnberg Falcons BC,10,Evan Derek Taylor
Julius Wolf,Nürnberg Falcons BC,16,Julius Wolf
Trevor James Baskin,Nürnberg Falcons BC,22,Trevor James Baskin
Tom Stoiber,Nürnberg Falcons BC,28,Tom Stoiber
Vincent Friederici,Nürnberg Falcons BC,30,Vincent Friederici
Brandton Dean Chatfield,Nürnberg Falcons BC,33,Brandton Dean Chatfield
Lars Lagerpusch,Nürnberg Falcons BC,44,Lars Lagerpusch
Branden Michael Maughmer,Paderborn Baskets,2,Branden Michael Maughmer
Erik Larsen,Paderborn Baskets,4,Erik Larsen
Matej Silic,Paderborn Baskets,5,Matej Silic
Grant Teichmann,Paderborn Baskets,6,Grant Teichmann
Tom Brüggemann,Paderborn Baskets,7,Tom Brüggemann
Nicolas Ignacio Marty-Decker,Paderborn Baskets,10,Nicolas Ignacio Marty-Decker
Karl Bühner,Paderborn Baskets,11,Karl Bühner
Jalen Lee Johnson,Paderborn Baskets,13,Jalen Lee Johnson
Aaron Kayser,Paderborn Baskets,22,Aaron Kayser
Nathan Lewis Scott,Paderborn Baskets,25,Nathan Lewis Scott
Leonard Kröger,Paderborn Baskets,26,Leonard Kröger
Tehree Johnathan Horn,BBC Bayreuth,2,Tehree Johnathan Horn
Rayshawn Rene Mart,BBC Bayreuth,3,Rayshawn Rene Mart
Moritz Plescher,BBC Bayreuth,6,Moritz Plescher
Nat Diallo,BBC Bayreuth,8,Nat Diallo
Noah Wabersich,BBC Bayreuth,9,Noah Wabersich
Cantia Jevon Rahming,BBC Bayreuth,12,Cantia Jevon Rahming
Liam Nees Holländer,BBC Bayreuth,17,Liam Nees Holländer
Leroy Ikenna Ikejiaku,BBC Bayreuth,22,Leroy Ikenna Ikejiaku
KeVaughn Allen,BBC Bayreuth,23,KeVaughn Allen
Lenny Liedtke,BBC Bayreuth,55,Lenny Liedtke
Badu Buck,EPG Baskets Koblenz,2,Badu Buck
Calvin Wishart,EPG Baskets Koblenz,3,Calvin Wishart
Aleksa Kovacevic,EPG Baskets Koblenz,4,Aleksa Kovacevic
Timothy Smith,EPG Baskets Koblenz,5,Timothy Smith
Jonas Niedermanner,EPG Baskets Koblenz,9,Jonas Niedermanner
Garrett Hicks,EPG Baskets Koblenz,10,Garrett Hicks
Marko Bacak,EPG Baskets Koblenz,13,Marko Bacak
Jannis Sonnefeld,EPG Baskets Koblenz,14,Jannis Sonnefeld
David Lars Gaspers,EPG Baskets Koblenz,17,David Lars Gaspers
Alexander Möller,EPG Baskets Koblenz,22,Alexander Möller
Jakob Hanzalek,EPG Baskets Koblenz,77,Jakob Hanzalek
Kevin Buckingham,BG Göttingen,9,Kevin Buckingham
Lynval William Alexander Ellis,PS Karlsruhe LIONS,1,Lynval William Alexander Ellis
Terry Kodjo-Torgbe Haarmann,PS Karlsruhe LIONS,17,Terry Kodjo-Torgbe Haarmann
Maurice Marko Pluskota,PS Karlsruhe LIONS,23,Maurice Marko Pluskota
Calvin Eugene Oldham JR,Bayer Giants Leverkusen,1,Calvin Eugene Oldham JR
Viktor Ziring,Bayer Giants Leverkusen,2,Viktor Ziring
Luca Finn Kahl,Bayer Giants Leverkusen,3,Luca Finn Kahl
Sebastian Brach,Bayer Giants Leverkusen,10,Sebastian Brach
Ricardo Lynch,Bayer Giants Leverkusen,11,Ricardo Lynch
Donte Nicholas,Bayer Giants Leverkusen,15,Donte Nicholas
John Williams Jr,Bayer Giants Leverkusen,21,John Williams Jr
Dennis Heinzmann,Bayer Giants Leverkusen,22,Dennis Heinzmann
Calin Nita,Bayer Giants Leverkusen,24,Calin Nita
Sören Urbansky,Bayer Giants Leverkusen,51,Sören Urbansky
Myreon Lamar Jones JR,VfL SparkassenStars Bochum,0,Myreon Lamar Jones JR
Antonio Deshon Williams,VfL SparkassenStars Bochum,1,Antonio Deshon Williams
Marios Giotis,VfL SparkassenStars Bochum,3,Marios Giotis
Niklas Geske,VfL SparkassenStars Bochum,4,Niklas Geske
Lars Kamp,VfL SparkassenStars Bochum,7,Lars Kamp
Kilian Dietz,VfL SparkassenStars Bochum,8,Kilian Dietz
Jonas Grof,VfL SparkassenStars Bochum,9,Jonas Grof
Dravon Mangum,VfL SparkassenStars Bochum,11,Dravon Mangum
Matthew Douglas Strange,VfL SparkassenStars Bochum,12,Matthew Douglas Strange
Mats Neumann,VfL SparkassenStars Bochum,13,Mats Neumann
Malek Green,VfL SparkassenStars Bochum,22,Malek Green
Max Brackmann,VfL SparkassenStars Bochum,64,Max Brackmann
Keyshaun Darrius Langley,HAKRO Merlins Crailsheim,2,Player 2; Keyshaun Darrius Langley
Lars Kremer,Bayer Giants Leverkusen,0,Lars Kremer
Aurel Bucur,VfL SparkassenStars Bochum,6,Aurel Bucur
Aaron Ayooluwa Ogunjobi,Tigers Tübingen,25,Aaron Ayooluwa Ogunjobi
Artem Kovalov,BBC Bayreuth,35,Artem Kovalov
Decorian Jeffries,EPG Baskets Koblenz,0,Decorian Jeffries
Lukas Ehrich,Uni Baskets Münster,14,Lukas Ehrich
Clarence Felix Fansi,Bozic Estriche Knights Kirchheim,12,Clarence Felix Fansi
Lars Lenke,Nürnberg Falcons BC,11,Lars Lenke
Adam John Paige,RheinStars Köln,13,Adam John Paige
Laurent Raphael Zoccoletti,RheinStars Köln,12,Laurent Raphael Zoccoletti
Matthew Thomas Lane,SBB Baskets Wolmirstedt,18,Matthew Thomas Lane
Matthias Fichtner,SBB Baskets Wolmirstedt,35,Matthias Fichtner
Jonathan Klussmann,Paderborn Baskets,71,Jonathan Klussmann
Tim Schnelle,Bayer Giants Leverkusen,12,Tim Schnelle
Kobe Langley,Bayer Giants Leverkusen,8,Kobe Langley
Leo Friedlein,BBC Bayreuth,20,Leo Friedlein
Jaden Brown,HAKRO Merlins Crailsheim,19,Jaden Brown
Caleb Lee Zurliene,Uni Baskets Münster,23,Caleb Lee Zurliene
Konstantin Matthias Lehmann,RheinStars Köln,7,Konstantin Matthias Lehmann
Ben Köhler,SBB Baskets Wolmirstedt,3,Ben Köhler
Joryam Saizonou,SBB Baskets Wolmirstedt,9,Joryam Saizonou
Efosa K Irobun Osawe,Paderborn Baskets,0,Efosa K Irobun Osawe
Zachary Richard Watson,RheinStars Köln,4,Zachary Richard Watson
Daniel Isaiah Almarante,Eisbären Bremerhaven,13,Daniel Isaiah Almarante
Cosmo Grühn,Uni Baskets Münster,22,Cosmo Grühn
Haris Hujic,RheinStars Köln,10,Haris Hujic
Connor McDonald Nelson,Tigers Tübingen,21,Connor McDonald Nelson
Louis Nauthon,BBC Bayreuth,51,Louis Nauthon
Michael Hughes II,SBB Baskets,91,Michael Hughes II
Carter Dean Whitt,Nürnberg Falcons BC,2,Carter Dean Whitt
Cedric Cezell Russell Jr,RheinStars Köln,0,Cedric Cezell Russell Jr
Daivien Latrell Williamson,SBB Baskets,7,Daivien Latrell Williamson
Chris Würmseher,BBC Bayreuth,44,Chris Würmseher
Devon Goodman,GIESSEN 46ers,5,Devon Goodman
Brandon Angelo Porter,PS Karlsruhe LIONS,14,Brandon Angelo Porter
Teodor Regoršek,HAKRO Merlins Crailsheim,13,Teodor Regoršek
Ömer Girgin,EPG Baskets Koblenz,6,Ömer Girgin
