Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
VET-CONCEPT Gladiators Trier,55,Eli Brooks,,1,29.1,29.1,24,24.0,9,13,69.2,6,8,75.0,0,0,0,0,2,2,9,0,0,1,1,92.3,92.3,22.3,171.4,31.0,10.3,0.0,7.4,4.5,50.1,0.0,0.0,7.1,0.0,23.23,20.7,2.54,5,3,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fitness First Würzburg Baskets,10,Davion Mintz,,1,26.3,26.3,21,21.0,7,10,70.0,4,4,100.0,3,4,75.0,0,4,4,1,2,0,2,1,90.0,89.3,27.0,152.6,30.0,5.7,0.0,14.5,8.7,13.4,4.4,0.0,14.5,0.4,16.63,5.75,10.88,3,2,66.7,3,1,33.3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MHP RIESEN Ludwigsburg,3,Stefan Smith,,1,36.5,36.5,35,35.0,6,16,37.5,4,9,44.4,19,20,95.0,0,4,4,5,3,0,4,4,50.0,70.6,35.8,121.5,40.1,10.3,0.0,14.1,7.4,26.2,4.2,0.0,13.9,1.25,16.33,10.14,6.2,6,1,16.7,1,1,100,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC Bayern München Basketball,0,Nenad Dimitrijevic,,1,31.0,31.0,24,24.0,6,12,50.0,2,4,50.0,10,12,83.3,1,4,5,7,0,0,2,4,58.3,69.4,27.3,124.5,28.7,4.8,3.6,13.5,8.7,52.6,0.0,0.0,10.4,1.0,15.35,10.26,5.1,3,2,66.7,5,2,40,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC Bayern München Basketball,44,Kamar Baldwin,,1,19.4,19.4,12,12.0,5,8,62.5,1,2,50.0,1,2,50.0,0,3,3,3,3,1,1,2,68.8,67.6,23.7,121.5,15.9,2.7,0.0,18.2,10.2,28.6,8.2,5.7,10.1,0.25,15.28,7.22,8.06,4,2,50,2,2,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMA365 Bamberg Baskets,2,Ibi Watson,,3,30.8,92.4,54,18.0,17,27,63.0,11,15,73.3,9,10,90.0,6,13,19,11,2,0,5,5,83.3,86.0,18.8,148.4,22.9,6.3,8.2,16.1,12.4,19.8,1.1,0.0,13.7,0.37,15.07,10.28,4.8,4,3,75,8,3,37.5,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RASTA Vechta,11,Alonzo Verge Jr.,,3,29.3,88.0,73,24.3,27,50,54.0,3,9,33.3,16,19,84.2,3,11,14,16,4,0,6,7,57.0,62.5,34.5,113.4,32.6,4.0,4.9,16.3,10.8,40.3,2.5,0.0,9.3,0.38,14.89,7.88,7.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMA365 Bamberg Baskets,24,Cobe Williams,,4,29.5,117.9,82,20.5,27,51,52.9,15,24,62.5,13,17,76.5,4,9,13,23,8,0,10,12,67.6,70.1,27.3,119.7,25.7,7.5,4.3,8.9,6.7,33.8,3.5,0.0,14.6,0.33,14.62,8.73,5.89,16,8,50,11,4,36.4,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VET-CONCEPT Gladiators Trier,21,Evans Rapieque,,1,11.4,11.4,12,12.0,4,4,100.0,4,4,100.0,0,0,0,1,0,1,1,0,0,0,0,150.0,150.0,16.2,300.0,15.5,5.2,14.6,0.0,5.7,15.2,0.0,0.0,0.0,0.0,14.62,15.13,-0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EWE Baskets Oldenburg,11,Nicholas Tischler,,2,28.6,57.3,33,16.5,11,24,45.8,4,14,28.6,7,7,100.0,4,5,9,5,4,0,4,5,54.2,60.9,25.6,106.2,23.5,10.0,7.8,11.6,9.5,25.3,3.8,0.0,12.9,0.29,13.94,4.23,9.71,8,7,87.5,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC Bayern München Basketball,21,Justus Hollatz,,2,18.3,36.7,26,13.0,10,10,100.0,4,4,100.0,2,2,100.0,1,3,4,4,1,0,2,7,120.0,119.5,15.8,201.9,16.4,2.5,3.5,9.0,6.4,25.2,1.4,0.0,15.5,0.2,13.17,8.25,4.93,5,5,100,1,1,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYNTAINICS MBC,23,Charles Callison,,1,28.1,28.1,29,29.0,11,13,84.6,7,8,87.5,0,0,0,0,0,0,2,0,0,2,0,111.5,111.5,26.1,193.3,39.9,11.0,0.0,0.0,0.0,21.3,0.0,0.0,13.3,0.0,12.95,17.47,-4.51,3,2,66.7,2,2,100,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MLP Academics Heidelberg,0,Damariae Horne,,1,31.6,31.6,23,23.0,8,16,50.0,3,6,50.0,4,5,80.0,2,2,4,5,1,0,4,2,59.4,63.2,32.8,103.6,31.1,8.1,7.2,6.7,6.9,37.5,1.7,0.0,18.0,0.31,12.54,6.04,6.5,6,5,83.3,10,3,30,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NINERS Chemnitz,10,Kaza Kajami-Keane,,1,24.0,24.0,12,12.0,4,6,66.7,4,6,66.7,0,0,0,1,2,3,5,1,0,0,4,100.0,100.0,11.2,200.0,17.6,8.8,5.2,12.2,8.4,38.3,1.9,0.0,0.0,0.0,12.41,10.12,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VET-CONCEPT Gladiators Trier,4,Clay Guillozet,,1,18.5,18.5,12,12.0,5,8,62.5,1,1,100.0,1,2,50.0,0,1,1,2,3,1,0,2,68.8,67.6,22.2,135.1,15.5,1.3,0.0,5.8,3.5,16.5,8.6,5.7,0.0,0.25,12.19,9.33,2.86,7,4,57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artland Dragons,25,Benjamin Forrest Burnham,,36,29.2,1052.7,730,20.3,289,470,61.5,67,150,44.7,85,120,70.8,87,267,354,82,46,33,77,67,68.6,69.8,26.2,121.7,26.1,5.4,10.4,31.4,21.0,14.8,2.3,3.1,12.8,0.26,12.14,8.6,3.54,247,182,73.7,73,40,54.8,0,0,0,21,43,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Telekom Baskets Bonn,4,Jeff Garrett Jr.,,1,24.5,24.5,20,20.0,7,9,77.8,6,8,75.0,0,0,0,1,4,5,0,2,2,3,4,111.1,111.1,21.4,166.7,26.4,10.6,4.4,27.2,13.4,0.0,4.2,9.9,25.0,0.0,11.91,12.15,-0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC Bayern München Basketball,11,Vladimir Lucic,,2,27.8,55.6,19,9.5,5,12,41.7,1,6,16.7,8,8,100.0,5,10,15,8,1,0,1,3,45.8,61.2,13.4,115.0,12.0,3.8,11.4,19.9,15.9,23.4,0.9,0.0,6.1,0.67,11.37,7.17,4.2,5,4,80,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veolia Towers Hamburg,19,Justin Edler Davis,,1,27.5,27.5,24,24.0,7,17,41.2,6,13,46.2,4,5,80.0,5,9,14,0,2,0,2,1,58.8,62.5,34.8,113.2,29.8,16.1,22.7,43.6,32.8,0.0,3.5,0.0,9.4,0.29,11.27,9.92,1.35,3,1,33.3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC Bayern München Basketball,13,Andreas Obst,,2,24.2,48.5,28,14.0,7,21,33.3,5,14,35.7,9,9,100.0,1,3,4,6,5,0,4,3,45.2,56.1,26.9,96.7,17.6,8.8,2.6,6.8,4.9,22.0,5.4,0.0,13.8,0.43,10.66,5.99,4.67,5,2,40,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoenix Hagen,0,Marcus Henri Graves,,36,24.5,880.8,505,14.0,157,371,42.3,83,221,37.6,108,129,83.7,20,115,135,196,41,3,76,85,53.5,59.0,25.1,100.2,17.4,7.6,2.9,14.7,9.2,33.7,2.4,0.4,15.1,0.35,10.57,5.93,4.64,124,63,50.8,26,11,42.3,0,0,0,53,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
RASTA Vechta,41,Lloyd Pandi,,2,22.0,43.9,16,8.0,8,10,80.0,0,0,0,0,0,0,3,7,10,4,4,1,0,6,80.0,80.0,10.7,160.0,10.8,0.0,10.5,20.6,16.0,15.0,5.0,3.4,0.0,0.0,10.39,2.88,7.51,10,8,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VET-CONCEPT Gladiators Trier,22,Nolan Adekunle,,1,23.9,23.9,14,14.0,4,8,50.0,2,6,33.3,4,5,80.0,2,3,5,2,1,0,0,2,62.5,68.6,19.8,137.3,18.1,7.7,14.0,13.6,13.7,11.1,2.2,0.0,0.0,0.62,10.15,10.54,-0.39,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigers Tübingen,24,JaCobi Allen Wood,,12,27.9,335.4,197,16.4,64,131,48.9,26,69,37.7,43,48,89.6,8,43,51,63,19,1,29,24,58.8,64.8,25.0,108.8,21.5,7.5,2.8,16.3,9.3,36.6,3.0,0.3,16.0,0.37,9.78,5.17,4.62,55,36,65.5,7,2,28.6,0,0,0,9,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Eisbären Bremerhaven,0,Elijah Jahi Miller,,36,27.4,987.2,563,15.6,177,400,44.2,69,163,42.3,140,162,86.4,18,98,116,216,36,2,95,58,52.9,59.7,27.3,99.4,21.1,6.1,2.5,12.7,7.8,38.2,2.0,0.2,16.8,0.41,9.26,6.22,3.04,169,80,47.3,68,28,41.2,0,0,0,56,31,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
HAKRO Merlins Crailsheim,9,Anthony Malik Gaines,,37,28.1,1038.7,505,13.6,187,396,47.2,36,127,28.3,95,142,66.9,76,165,241,124,53,11,72,77,51.8,55.1,22.6,95.2,17.8,4.5,8.2,21.4,14.2,21.3,2.7,1.1,13.6,0.36,9.12,4.65,4.47,234,139,59.4,35,12,34.3,0,0,0,31,19,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoenix Hagen,4,Bjarne Kraushaar,,36,25.5,917.7,293,8.1,100,233,42.9,30,97,30.9,63,80,78.8,23,75,98,227,34,0,68,80,49.4,54.6,16.1,87.2,10.1,3.4,3.2,9.1,6.4,34.1,1.9,0.0,20.2,0.34,8.95,4.33,4.62,103,57,55.3,33,13,39.4,0,0,0,42,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoenix Hagen,8,Devin Lawrence Schmidt,,35,20.0,701.1,535,15.3,190,394,48.2,85,212,40.1,70,84,83.3,31,77,108,105,43,3,84,94,59.0,62.1,32.2,103.9,19.0,7.5,5.6,12.3,9.2,26.9,3.1,0.5,16.3,0.21,8.69,5.02,3.66,139,89,64,43,16,37.2,0,0,0,36,36,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
HAKRO Merlins Crailsheim,4,Brock Boone Gardner,,34,24.8,844.0,413,12.1,139,315,44.1,72,209,34.4,63,77,81.8,58,114,172,59,39,16,41,87,55.6,59.2,20.4,105.9,15.9,8.0,7.7,17.7,12.3,12.3,2.4,2.0,10.5,0.24,8.57,4.7,3.86,87,60,69,19,7,36.8,0,0,0,12,15,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Artland Dragons,9,Connor Van Anthony,,37,28.5,1053.1,396,10.7,134,269,49.8,41,96,42.7,87,103,84.5,31,78,109,252,43,2,83,114,57.4,63.0,17.3,99.7,13.7,3.3,3.7,9.2,6.4,35.5,2.1,0.2,20.9,0.38,8.54,5.19,3.34,108,66,61.1,65,27,41.5,0,0,0,42,33,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Bozic Estriche Knights Kirchheim,1,Phillip Montreal Russelll,,28,26.4,739.1,435,15.5,131,293,44.7,75,178,42.1,98,122,80.3,15,38,53,103,32,1,55,72,57.5,62.7,24.5,108.3,20.0,8.2,2.5,5.9,4.2,23.0,2.3,0.1,13.7,0.42,8.48,4.65,3.83,64,38,59.4,51,18,35.3,0,0,0,27,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Bozic Estriche Knights Kirchheim,9,Tylan James Pope,,37,26.6,985.5,595,16.1,236,445,53.0,54,129,41.9,69,98,70.4,71,160,231,49,47,26,52,91,59.1,60.9,24.8,110.2,20.8,4.5,8.8,18.3,13.7,9.3,2.5,2.9,9.6,0.22,8.37,4.31,4.06,234,151,64.5,82,31,37.8,0,0,0,17,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
BMA365 Bamberg Baskets,8,Demarcus Demonia,,4,28.3,113.3,51,12.8,17,37,45.9,7,20,35.0,10,15,66.7,5,15,20,11,6,0,3,11,55.4,58.5,19.3,109.4,16.0,6.3,5.6,15.5,10.8,14.8,2.8,0.0,6.4,0.41,8.27,4.18,4.08,13,8,61.5,4,2,50,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC Bayern München Basketball,30,Nikolas Sermpezis,,1,7.0,7.0,5,5.0,1,1,100.0,1,1,100.0,2,2,100.0,0,0,0,1,0,0,0,1,150.0,133.0,12.4,266.0,6.6,1.3,0.0,0.0,0.0,21.6,0.0,0.0,0.0,2.0,8.16,5.34,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC Bayern München Basketball,22,Isiaha Mike,,2,27.0,54.0,28,14.0,6,16,37.5,2,10,20.0,14,18,77.8,4,13,17,3,1,0,3,4,43.8,58.5,22.5,104.0,17.6,6.3,9.4,26.6,18.6,9.4,1.0,0.0,11.1,1.12,8.02,5.07,2.95,5,4,80,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Telekom Baskets Bonn,7,Grayson Murphy,,1,27.9,27.9,14,14.0,6,14,42.9,2,6,33.3,0,0,0,1,4,5,7,2,1,1,1,50.0,50.0,23.6,93.3,18.5,7.9,3.9,23.9,11.8,41.2,3.7,4.4,6.7,0.0,7.98,9.19,-1.21,8,4,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoenix Hagen,30,Jeffrey Carroll,,37,21.1,779.0,474,12.8,170,336,50.6,59,155,38.1,75,92,81.5,27,126,153,51,29,3,44,43,59.4,63.0,23.6,112.7,15.9,5.2,4.4,18.1,11.7,10.6,1.9,0.4,10.5,0.27,7.92,4.82,3.1,113,76,67.3,68,35,51.5,0,0,0,18,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
VfL SparkassenStars Bochum,4,Niklas Geske,,30,25.6,769.3,376,12.5,116,262,44.3,47,138,34.1,97,126,77.0,11,69,80,157,45,3,49,48,53.2,59.2,22.3,102.6,16.3,6.0,1.7,12.0,6.5,34.7,3.1,0.4,13.4,0.48,7.72,4.59,3.13,105,64,61,19,5,26.3,0,0,0,35,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
HAKRO Merlins Crailsheim,26,Marvin Ogunsipe,,35,25.7,900.7,433,12.4,136,257,52.9,11,45,24.4,150,210,71.4,103,172,275,70,34,9,79,85,55.1,62.0,21.1,101.1,16.1,1.7,12.9,25.3,18.6,13.4,2.0,1.1,18.4,0.82,7.58,3.81,3.77,186,117,62.9,26,8,30.8,0,0,0,24,32,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoenix Hagen,21,Tim Uhlemann,,37,18.6,689.8,361,9.8,134,265,50.6,61,158,38.6,32,50,64.0,38,127,165,42,33,10,39,65,62.1,62.9,20.7,110.7,12.1,5.3,7.0,20.6,14.2,9.5,2.4,1.5,12.0,0.19,7.46,4.13,3.33,76,61,80.3,31,12,38.7,0,0,0,18,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
