Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
TSV Neustadt temps Shooters,"Matej Jelovcic, Christenvie Kwilu, Aimé Olma, Emil Loch, Elias Marei","TSV Neustadt temps Shooters|10,17,2,3,7",8,42.8,2568.0,51,14,41,34.1,4,17,23.5,19,23,82.6,0,0,0,5,0,0,7,0,40,58.1,87.7,75.4,12.3,1.19,11
SC Rist Wedel,"Linus Hoffmann, Aleksandar Postic, Lincoln James Rosebush, Darren Egbe, Janne Müller","SC Rist Wedel|29,3,33,44,6",2,25.0,1499.0,6,3,6,50.0,0,2,0.0,0,0,0,0,0,0,1,0,0,2,0,9,8.0,75.0,112.5,-37.5,0.24,-3
Hertener Löwen,"Gilbert Kofi Gyamfi, Dario Fiorentino, Faton Jetullahi, Bryant Allen, David Ewald","Hertener Löwen|10,20,22,8,9",4,16.9,1011.0,35,9,23,39.1,5,10,50.0,12,19,63.2,0,0,0,8,0,0,0,0,23,31.4,111.6,68.9,42.7,2.08,12
Itzehoe Eagles,"Sydnee Ochieng Shaka Bijlsma, Finn Fleute, Toni Nickel, Sven Cikara, Lucien Schmikale","Itzehoe Eagles|0,11,13,3,9",3,15.3,916.0,18,5,21,23.8,2,15,13.3,6,7,85.7,0,0,0,7,0,0,6,0,36,30.1,59.8,100.1,-40.3,1.18,-18
TSV Neustadt temps Shooters,"Matej Jelovcic, Christenvie Kwilu, Aimé Olma, Emil Loch, Robin Michael Kniss","TSV Neustadt temps Shooters|10,17,2,3,32",7,14.5,870.0,28,9,22,40.9,2,7,28.6,8,15,53.3,0,0,0,2,0,0,4,0,25,32.6,85.9,81.4,4.5,1.93,3
TV Langen,"Aminu Abibu, Alexander Lagerman, Jacob Kumal Washington, Niklas Pons, Henk Droste","TV Langen|13,22,4,5,9",5,13.9,836.0,28,10,24,41.7,2,12,16.7,6,7,85.7,0,0,0,4,0,0,4,0,21,31.1,90.1,81.9,8.2,2.01,7
SV Fellbach Flashers,"Nelson Okafor, Tyseem Lamel Lyles, Jeremy Julian Kolev, Jakob Hanzalek, Nik Philip Schlipf","SV Fellbach Flashers|21,7,77,8,9",8,13.8,829.0,33,13,22,59.1,5,8,62.5,2,3,66.7,0,0,0,2,0,0,5,0,19,28.3,116.5,86.5,30.0,2.39,14
Seawolves Academy,"Matthes Tilsen, Jalen Page, Jonas Zilinskas, Chris Frazier, Svante Schmundt","Seawolves Academy|10,11,14,22,4",3,13.3,798.0,29,9,18,50.0,3,7,42.9,8,11,72.7,0,0,0,2,0,0,4,0,17,26.8,108.0,62.5,45.5,2.18,12
Itzehoe Eagles,"Finn Fleute, Toni Nickel, Walter J McBride, Sven Cikara, Lucien Schmikale","Itzehoe Eagles|11,13,2,3,9",6,12.3,740.0,22,5,20,25.0,2,7,28.6,10,10,100.0,0,0,0,3,0,0,4,0,24,28.4,77.5,88.2,-10.8,1.78,-2
Itzehoe Eagles,"Finn Fleute, Walter J McBride, Sven Cikara, Tobias Möller, Lucien Schmikale","Itzehoe Eagles|11,2,3,42,9",6,12.1,728.0,31,12,23,52.2,5,12,41.7,2,2,100.0,0,0,0,4,0,0,3,0,21,26.9,115.3,77.9,37.4,2.55,10
ETB Miners,"Mychael Paulo, Niclas Jonathan Sperber, Jonathan Almstedt, Marc William Friederici, Quashawn Tyrese Lane","ETB Miners|10,12,26,30,4",5,11.8,707.0,20,5,15,33.3,2,8,25.0,8,11,72.7,0,0,0,3,0,0,3,0,21,22.8,87.6,72.7,14.9,1.7,-1
BSW Sixers,"Toby Okwuokei, Robert Joseph Holmes, Emanuel Ozike, Ilias Amin, Jarne Jürgens","BSW Sixers|10,11,12,4,7",4,11.7,703.0,13,6,18,33.3,1,7,14.3,0,0,0,0,0,0,3,0,0,2,0,15,20.0,65.0,78.1,-13.1,1.11,-2
BSW Sixers,"Toby Okwuokei, Robert Joseph Holmes, Emanuel Ozike, Silver Arun Bieling, Ilias Amin","BSW Sixers|10,11,12,3,4",6,11.7,703.0,22,5,19,26.3,1,7,14.3,11,12,91.7,0,0,0,1,0,0,2,0,18,26.3,83.7,69.9,13.8,1.88,4
CATL Basketball Löwen,"Noah Kamdem, Samuel Elias Nellessen, Ivan Kucan, Musa Abra, Paul Albrecht","CATL Basketball Löwen|17,44,7,8,9",4,11.6,697.0,26,5,16,31.2,1,10,10.0,15,18,83.3,0,0,0,8,0,0,1,0,26,24.9,104.3,88.1,16.3,2.24,0
TKS 49ers,"Benjamin Faatz, Jenö Pildner, Jannes Hundt, Joshua Lübken, Carlo Meyer","TKS 49ers|14,16,20,22,7",2,11.4,683.0,23,8,16,50.0,1,4,25.0,6,9,66.7,0,0,0,2,0,0,4,0,12,24.0,96.0,42.7,53.3,2.02,11
ETB Miners,"Mychael Paulo, Gabriel Jung, Jonathan Almstedt, Marc William Friederici, Quashawn Tyrese Lane","ETB Miners|10,11,26,30,4",2,10.9,656.0,29,10,22,45.5,3,9,33.3,6,6,100.0,0,0,0,7,0,0,2,0,12,26.6,108.9,45.0,63.8,2.65,17
BSW Sixers,"Toby Okwuokei, Robert Joseph Holmes, Emanuel Ozike, Ilias Amin, Felix Zacharias","BSW Sixers|10,11,12,4,8",7,10.7,644.0,15,5,16,31.2,2,6,33.3,3,5,60.0,0,0,0,1,0,0,4,0,21,22.2,67.6,88.8,-21.3,1.4,-6
Dragons Rhöndorf,"Jorge Mejias Sanchez, Benjamin Sadikovic, Juhwan Harris-Dyson, Duje Dujmovic, Kenan Reinhart","Dragons Rhöndorf|15,16,2,3,8",5,10.5,628.0,28,7,9,77.8,1,1,100.0,13,17,76.5,0,0,0,3,0,0,5,0,19,21.5,130.4,63.8,66.5,2.68,9
