# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 423
# Qualified players exported: 297
# Total stints used: 12800
# Garbage time stints excluded: 459
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
ETB Miners,4,Quashawn Tyrese Lane,1648,9.06,1.68,10.74
OrangeAcademy,4,Teo Milicic,838,2.4,4.74,7.14
EN BASKETS Schwelm,21,Henning Gustrau,918,1.73,5.32,7.05
BG Hessing Leitershofen,33,Tom-Niclas Alte,1062,3.67,2.88,6.55
TSV Neustadt temps Shooters,7,Elias Marei,1314,2.3,4.18,6.48
LOK BERNAU,15,Marco Rahn,1262,2.12,3.75,5.87
Seawolves Academy,11,Jalen Page,1465,3.89,1.73,5.62
Itzehoe Eagles,65,Christopher Herget,774,1.77,3.61,5.38
FC Bayern Basketball II,6,Nikolas Sermpezis,776,0.03,5.33,5.37
LOK BERNAU,34,Akim-Jamal Jonah,1223,3.65,1.65,5.3
Dresden Titans,25,Sebastian Heck,1171,1.97,3.21,5.18
ETB Miners,30,Marc William Friederici,1304,2.28,2.87,5.15
Dresden Titans,77,Simeon Dimitrov,1326,4.88,0.2,5.08
Dresden Titans,24,Wisdom Equere Uboh,383,3.05,1.96,5.01
Baskets Juniors TSG Westerstede,0,Jon'll Larenz Fugett,1627,5.26,-0.46,4.79
BSW Sixers,8,Felix Zacharias,627,2.27,2.47,4.73
TSV Neustadt temps Shooters,10,Matej Jelovcic,1584,2.76,1.93,4.69
Dragons Rhöndorf,2,Juhwan Harris-Dyson,1285,1.69,2.93,4.62
Iserlohn Kangaroos,32,Tyson Leitao,1230,2.41,2.11,4.52
BBC Coburg,12,Dylan Fasoyiro,1460,4.68,-0.3,4.38
BBC Coburg,10,Tim Herzog,733,1.74,2.36,4.1
Dragons Rhöndorf,3,Duje Dujmovic,1276,2.6,1.43,4.03
OrangeAcademy,10,Endurance Aiyamenkhue,1267,1.3,2.66,3.97
Baskets Juniors TSG Westerstede,8,Beni Fungula,1457,1.53,2.43,3.96
SKYLINERS Juniors,9,Leif Zentgraf,953,3.37,0.4,3.77
OrangeAcademy,11,Meissa Faye,1426,-0.28,4.02,3.73
SV Fellbach Flashers,13,Jonathan Gerlinger,522,4.23,-0.52,3.71
BBC Coburg,8,Nico Wenzl,1551,1.99,1.69,3.68
SKYLINERS Juniors,6,Moses Pölking,420,3.17,0.48,3.65
OrangeAcademy,36,Marko Dordevic,1312,1.7,1.93,3.63
LOK BERNAU,24,Guy Artman Nahmias,1488,2.88,0.48,3.37
Itzehoe Eagles,42,Tobias Möller,944,2.4,0.94,3.34
Iserlohn Kangaroos,13,Christopher Schultz,1456,1.46,1.8,3.27
SV Fellbach Flashers,0,Mark Adrian Golder,730,1.78,1.35,3.14
Porsche BBA Ludwigsburg,20,Simon Feneberg,1330,1.4,1.71,3.11
Baskets Juniors TSG Westerstede,9,Alan Boger,627,5.05,-1.98,3.07
TSV Oberhaching Tropics,10,Levi Weng,441,1.09,1.97,3.06
Hertener Löwen,9,David Ewald,1290,1.47,1.55,3.02
