Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
ETB Miners,4,Quashawn Tyrese Lane,,32,30.2,965.3,507,15.8,169,340,49.7,27,79,34.2,142,173,82.1,37,120,157,186,55,3,93,54,53.7,60.9,23.4,99.6,21.0,3.3,4.4,13.9,9.2,34.7,3.0,0.3,18.3,0.51,14.21,7.33,6.87,176,100,56.8,85,42,49.4,0,0,0,42,33,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Baskets Juniors TSG Westerstede,0,Jon'll Larenz Fugett,,26,34.6,899.7,612,23.5,181,481,37.6,90,286,31.5,160,198,80.8,24,96,120,158,49,2,87,64,47.0,53.9,30.7,93.4,29.4,13.7,2.9,13.2,7.8,31.6,2.8,0.2,13.3,0.41,11.64,7.86,3.78,155,77,49.7,40,14,35,0,0,0,43,31,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Itzehoe Eagles,2,Walter J McBride,,25,32.8,819.2,438,17.5,167,363,46.0,57,165,34.5,47,65,72.3,26,63,89,119,58,7,52,49,53.9,55.9,24.1,98.7,22.7,8.6,3.6,8.9,6.2,27.7,3.6,1.0,11.7,0.18,11.38,7.03,4.35,139,82,59,59,28,47.5,0,0,0,32,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Seawolves Academy,11,Jalen Page,,25,33.1,827.0,562,22.5,188,403,46.7,62,169,36.7,124,149,83.2,29,114,143,147,48,7,102,46,54.3,60.0,30.7,98.5,28.6,8.6,4.0,14.7,9.6,39.0,3.0,0.7,17.9,0.37,10.89,6.9,4.0,149,83,55.7,85,43,50.6,0,0,0,52,32,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
ETB Miners,10,Mychael Paulo,,33,27.8,916.1,423,12.8,152,357,42.6,68,205,33.2,51,67,76.1,38,110,148,84,44,11,43,52,52.1,54.7,20.7,98.5,16.9,8.2,4.7,13.3,9.1,16.4,2.5,1.3,10.0,0.19,10.85,5.99,4.86,88,61,69.3,64,23,35.9,0,0,0,25,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
LOK BERNAU,24,Guy Artman Nahmias,,31,26.2,813.7,418,13.5,138,305,45.2,55,153,35.9,87,103,84.5,24,74,98,144,53,0,60,71,54.3,59.7,21.1,101.9,16.6,6.1,3.3,10.2,6.7,29.5,3.3,0.0,14.6,0.34,10.75,5.46,5.29,118,67,56.8,34,16,47.1,0,0,0,29,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BBC Coburg,13,Darius Dawson,,31,29.3,907.0,511,16.5,197,318,61.9,13,30,43.3,104,135,77.0,50,180,230,79,38,19,81,64,64.0,67.7,23.3,111.5,21.6,1.3,7.2,23.8,15.8,16.2,2.2,2.2,17.7,0.42,10.32,5.38,4.94,249,173,69.5,39,11,28.2,0,0,0,29,34,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Dresden Titans,25,Sebastian Heck,,22,29.6,651.1,189,8.6,75,159,47.2,11,43,25.6,28,45,62.2,50,135,185,142,65,33,63,66,50.6,52.9,16.7,78.2,10.9,2.5,9.5,23.0,16.6,35.4,5.1,5.1,26.1,0.28,10.01,2.73,7.28,110,62,56.4,6,2,33.3,0,0,0,28,19,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
TSV Neustadt temps Shooters,10,Matej Jelovcic,,26,33.7,876.1,568,21.8,176,423,41.6,54,194,27.8,162,208,77.9,60,156,216,102,61,1,93,89,48.0,55.2,29.2,93.5,27.1,9.2,7.3,20.1,13.6,21.8,3.5,0.1,15.3,0.49,9.94,5.33,4.61,109,63,57.8,120,59,49.2,0,0,0,41,33,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
SKYLINERS Juniors,4,Desmond Tyson Watson,,1,32.2,32.2,29,29.0,11,25,44.0,4,12,33.3,3,4,75.0,3,4,7,3,1,0,2,1,52.0,54.2,35.0,100.8,36.6,15.2,9.3,16.6,12.4,18.3,1.6,0.0,7.0,0.16,9.92,9.44,0.48,8,5,62.5,5,2,40,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OrangeAcademy,10,Endurance Aiyamenkhue,,31,24.9,773.4,348,11.2,141,227,62.1,0,5,0.0,66,120,55.0,128,177,305,27,18,51,47,60,62.1,62.2,18.0,106.5,14.2,0.2,18.1,25.3,21.7,6.2,1.2,6.2,14.4,0.53,9.84,5.34,4.5,215,138,64.2,7,3,42.9,0,0,0,10,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Porsche BBA Ludwigsburg,20,Simon Feneberg,,27,28.8,777.7,366,13.6,123,280,43.9,66,190,34.7,54,72,75.0,29,65,94,126,34,1,63,63,55.7,58.7,21.7,97.7,18.1,9.4,4.3,10.4,7.2,29.1,2.3,0.1,16.8,0.26,9.63,5.1,4.53,77,49,63.6,13,8,61.5,0,0,0,34,17,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
BBC Coburg,12,Dylan Fasoyiro,,30,28.5,853.8,554,18.5,194,417,46.5,54,145,37.2,112,148,75.7,47,125,172,65,45,5,60,67,53.0,57.5,29.3,102.2,24.2,6.3,7.1,17.2,12.4,14.5,2.8,0.6,11.1,0.35,8.97,5.39,3.59,188,105,55.9,84,35,41.7,0,0,0,16,26,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
SC Rist Wedel,5,Niklas Krause,,22,27.1,597.3,340,15.5,106,239,44.4,20,81,24.7,108,134,80.6,28,60,88,93,31,5,49,47,48.5,57.1,25.4,98.0,20.5,4.9,5.2,12.2,8.5,33.4,2.8,0.9,14.1,0.56,8.85,5.31,3.54,140,80,57.1,18,6,33.3,0,0,0,22,21,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BSW Sixers,11,Robert Joseph Holmes,,26,32.2,837.0,436,16.8,155,376,41.2,50,154,32.5,76,99,76.8,57,155,212,46,35,40,60,75,47.9,52.0,25.9,90.9,22.4,7.9,7.6,20.3,14.0,11.4,2.2,4.8,12.5,0.26,8.84,4.71,4.13,168,91,54.2,54,14,25.9,0,0,0,23,25,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ETB Miners,30,Marc William Friederici,,30,26.1,784.2,351,11.7,119,296,40.2,53,166,31.9,60,81,74.1,55,88,143,65,42,6,60,69,49.2,52.9,21.9,89.6,15.4,7.3,7.9,12.6,10.3,14.3,2.8,0.9,15.3,0.27,8.63,4.38,4.25,92,47,51.1,38,19,50,0,0,0,31,22,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BG Hessing Leitershofen,0,Brian Christopher Dawson,,27,30.5,822.8,431,16.0,158,319,49.5,43,126,34.1,72,91,79.1,20,81,101,150,52,0,103,78,56.3,60.0,25.7,93.3,20.5,6.0,3.0,11.5,7.4,33.1,3.2,0.0,22.3,0.29,8.49,3.79,4.69,134,86,64.2,59,29,49.2,0,0,0,48,32,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Hertener Löwen,8,Bryant Allen,,24,34.4,825.9,377,15.7,136,311,43.7,52,139,37.4,53,64,82.8,14,62,76,69,40,2,44,48,52.1,55.6,24.1,98.4,22.6,8.3,2.1,10.0,6.0,19.4,2.7,0.3,11.5,0.21,8.4,4.17,4.23,88,55,62.5,84,29,34.5,0,0,0,21,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Itzehoe Eagles,11,Finn Fleute,,27,32.2,869.5,431,16.0,143,316,45.3,29,95,30.5,116,147,78.9,61,198,259,43,23,15,24,52,49.8,56.6,20.7,106.5,20.7,4.6,7.9,26.2,17.0,8.9,1.4,2.0,5.9,0.47,8.39,5.66,2.73,167,92,55.1,54,22,40.7,0,0,0,6,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
OrangeAcademy,1,Joel Cwik,,29,26.5,768.0,395,13.6,134,275,48.7,45,127,35.4,82,113,72.6,18,50,68,44,28,5,36,62,56.9,60.8,20.0,109.5,17.3,5.5,2.6,7.1,4.8,9.9,1.9,0.6,10.0,0.41,8.32,4.54,3.78,121,78,64.5,27,11,40.7,0,0,0,8,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
