Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
ETB Miners,Mychael Paulo,10,Mychael Paulo,33,27.8,916.1,423.0,12.8,152.0,357.0,42.6,68.0,205.0,33.2,51.0,67.0,76.1,38.0,110.0,148.0,84.0,44.0,11.0,43.0,52.0,375.8,21.6,16.9,3.4,5.9,179,602.0,18.2,24.1,29,3.2,27,13,44.3,35.7,9,7.06,1.16,5.9,2.6,2.7,88.0,61.0,69.3,64.0,23.0,35.9,0.0,0.0,0,36.0,17.0,25.0,15.0,0.0,3.0,80.0,69.0,98.0
ETB Miners,Niclas Jonathan Sperber,12,Niclas Jonathan Sperber,33,23.5,774.5,369.0,11.2,118.0,282.0,41.8,46.0,129.0,35.7,87.0,104.0,83.7,40.0,121.0,161.0,43.0,37.0,14.0,71.0,87.0,344.4,23.4,14.7,1.7,6.4,98,467.0,14.2,18.7,15,1.7,12,9,47.0,18.0,9,3.49,-2.27,5.76,3.5,3.1,129.0,63.0,48.8,24.0,9.0,37.5,0.0,0.0,0,37.0,8.0,32.0,28.0,0.0,5.0,50.0,89.0,90.0
ETB Miners,Benjamin Uzoma,5,Benjamin Uzoma,33,18.3,605.4,252.0,7.6,85.0,154.0,55.2,0.0,0.0,0,82.0,130.0,63.1,127.0,154.0,281.0,9.0,15.0,44.0,36.0,79.0,115.4,10.1,10.1,0.4,11.2,15,267.0,8.1,10.7,7,1.0,5,10,37.2,12.4,7,5.0,0.09,4.91,5.0,3.7,144.0,79.0,54.9,10.0,6.0,60,0.0,0.0,0,30.0,0.0,7.0,16.0,0.0,5.0,108.0,10.0,47.0
ETB Miners,Gabriel Jung,11,Gabriel Jung,33,21.1,695.0,221.0,6.7,73.0,203.0,36,29.0,98.0,29.6,46.0,53.0,86.8,15.0,39.0,54.0,78.0,31.0,2.0,49.0,78.0,249.9,19.0,8.8,3.1,2.2,182,403.0,12.2,16.1,10,1.4,11,0,45.5,15.0,7,0.32,-4.23,4.55,1.7,3.3,85.0,37.0,43.5,20.0,7.0,35,0.0,0.0,0,29.0,11.0,22.0,19.0,0.0,6.0,27.0,50.0,56.0
ETB Miners,Reik Simon Gäbler,32,Reik Simon Gäbler,33,8.3,272.6,49.0,1.5,21.0,59.0,35.6,3.0,18.0,16.7,4.0,9.0,44.4,8.0,17.0,25.0,10.0,10.0,0.0,13.0,20.0,65.2,12.6,2.0,0.4,1.0,23,72.0,2.2,2.9,0,0,0,0,0,0.0,0,-2.55,-6.75,4.2,2.4,5.0,35.0,17.0,48.6,6.0,1.0,16.7,0.0,0.0,0,5.0,0.0,2.0,9.0,0.0,2.0,8.0,11.0,13.0
ETB Miners,Quashawn Tyrese Lane,4,Quashawn Tyrese Lane,32,30.2,965.3,507.0,15.8,169.0,340.0,49.7,27.0,79.0,34.2,142.0,173.0,82.1,37.0,120.0,157.0,186.0,55.0,3.0,93.0,54.0,453.2,24.8,20.3,7.4,6.3,418,925.0,28.9,37.0,40,3.3,28,12,60.1,41.3,12,8.88,2.44,6.44,1.5,1.0,176.0,100.0,56.8,85.0,42.0,49.4,0.0,0.0,0,91.0,17.0,42.0,33.0,0.0,12.0,86.0,114.0,109.0
LOK BERNAU,Anthony Watkins,0,Anthony Watkins,32,21.8,697.8,430.0,13.4,157.0,361.0,43.5,47.0,152.0,30.9,69.0,92.0,75,55.0,67.0,122.0,87.0,39.0,11.0,55.0,54.0,385.4,27.2,16.5,3.3,4.7,174,604.0,18.9,23.2,37,2.5,42,18,37.1,55.9,15,6.53,1.3,5.23,2.8,2.0,181.0,94.0,51.9,28.0,16.0,57.1,0.0,0.0,0,64.0,6.0,32.0,18.0,0.0,3.0,95.0,110.0,118.0
OrangeAcademy,Namori Omog,0,Namori Omog,32,20.9,667.5,313.0,9.8,112.0,298.0,37.6,31.0,112.0,27.7,58.0,93.0,62.4,28.0,72.0,100.0,98.0,35.0,5.0,65.0,56.0,360.9,27.6,12.4,3.9,4.0,199,512.0,16.0,20.3,10,0.8,18,6,24.2,23.6,12,1.89,-2.33,4.22,1.9,2.4,149.0,65.0,43.6,36.0,15.0,41.7,0.0,0.0,0,53.0,8.0,32.0,27.0,0.0,1.0,42.0,81.0,88.0
ETB Miners,Jonathan Almstedt,26,Jonathan Almstedt,32,20.1,642.9,257.0,8.0,99.0,200.0,49.5,21.0,55.0,38.2,38.0,66.0,57.6,48.0,114.0,162.0,29.0,23.0,22.0,30.0,76.0,202.6,16.6,10.3,1.2,6.5,54,311.0,9.7,12.4,24,2.7,12,7,79.6,15.1,9,4.41,-1.6,6.02,4.3,3.6,117.0,67.0,57.3,28.0,11.0,39.3,0.0,0.0,0,16.0,1.0,9.0,13.0,0.0,7.0,39.0,27.0,36.0
OrangeAcademy,Marko Dordevic,36,Marko Dordevic,32,25.2,805.9,245.0,7.7,84.0,175.0,48,12.0,47.0,25.5,65.0,84.0,77.4,63.0,86.0,149.0,80.0,26.0,13.0,41.0,73.0,182.4,11.5,9.7,3.2,5.9,186,431.0,13.5,17.1,19,2.1,14,13,48.2,20.7,9,3.77,-1.65,5.42,3.0,3.0,117.0,71.0,60.7,11.0,1.0,9.1,0.0,0.0,0,30.0,1.0,15.0,19.0,0.0,4.0,55.0,48.0,60.0
