Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Bristol Flyers,"Joseph Anderson, William Yoakum, Zachary Anderson, Darnell Brodie, Cameron Holden","Bristol Flyers|22,3,4,51,7",22,Joseph Anderson,3,William Yoakum,17,42,8,9,11,1.55,3.82
Leicester Riders,"Donald Carey Jr, Marc Loving, Spencer Johnson, Raequan Battle, Nathaniel Martin","Leicester Riders|13,2,20,21,41",13,Donald Carey Jr,21,Raequan Battle,12,32,8,4,9,1.33,3.56
Leicester Riders,"Donald Carey Jr, Marc Loving, Spencer Johnson, Raequan Battle, Nathaniel Martin","Leicester Riders|13,2,20,21,41",13,Donald Carey Jr,41,Nathaniel Martin,16,32,0,16,8,2.0,4.0
Bristol Flyers,"Joseph Anderson, William Yoakum, Zachary Anderson, Darnell Brodie, Cameron Holden","Bristol Flyers|22,3,4,51,7",22,Joseph Anderson,4,Zachary Anderson,11,29,7,4,9,1.22,3.22
Cheshire Phoenix,"Tobias Cameron, Michael Diggins, Jaxon Brenchley, Laquincy Rideau, Skyler White","Cheshire Phoenix|11,2,23,3,99",3,Laquincy Rideau,2,Michael Diggins,12,28,4,8,11,1.09,2.55
Bristol Flyers,"Owen Mccormack, Joseph Anderson, William Yoakum, Zachary Anderson, Cameron Holden","Bristol Flyers|13,22,3,4,7",22,Joseph Anderson,13,Owen Mccormack,10,28,8,2,7,1.43,4.0
Cheshire Phoenix,"Tobias Cameron, Michael Diggins, Jaxon Brenchley, Laquincy Rideau, Skyler White","Cheshire Phoenix|11,2,23,3,99",3,Laquincy Rideau,11,Tobias Cameron,9,25,7,2,7,1.29,3.57
Surrey 89ers,"Isiah Small, Tyrin Lawrence, Kino Lily Jr, Michael Graham, Ronald Polite Iii","Surrey 89ers|0,10,12,21,7",7,Ronald Polite Iii,0,Isiah Small,11,24,2,9,9,1.22,2.67
Cheshire Phoenix,"Tobias Cameron, Michael Diggins, Jaxon Brenchley, Laquincy Rideau, Skyler White","Cheshire Phoenix|11,2,23,3,99",23,Jaxon Brenchley,99,Skyler White,8,23,7,1,5,1.6,4.6
Cheshire Phoenix,"Tobias Cameron, Michael Diggins, Jaxon Brenchley, Laquincy Rideau, Skyler White","Cheshire Phoenix|11,2,23,3,99",23,Jaxon Brenchley,11,Tobias Cameron,9,23,5,4,6,1.5,3.83
