team_name,player_name,shirt_number,games,fga,fgm,fg_pct,fga_2pt,fgm_2pt,fg2_pct,fga_3pt,fgm_3pt,fg3_pct,efg_pct,avg_dist_m,fastbreak_fga,fastbreak_fgm,second_chance_fga,second_chance_fgm,blocked,rim_fga,rim_fgm,rim_pct,paint_fga,paint_fgm,paint_pct,midrange_fga,midrange_fgm,midrange_pct,corner_3_fga,corner_3_fgm,corner_3_pct,above_break_3_fga,above_break_3_fgm,above_break_3_pct
B. Braun Sheffield Sharks,Dirk Williams,1,35,405,192,47.4,194,107,55.2,211,85,40.3,57.9,5.09,37,36,36,18,9,102,65,63.7,45,17,37.8,47,25,53.2,23,11,47.8,188,74,39.4
B. Braun Sheffield Sharks,Fahro Alihodzic,25,13,103,61,59.2,103,61,59.2,0,0,,59.2,1.05,6,6,20,10,5,88,56,63.6,7,3,42.9,8,2,25.0,0,0,,0,0,
B. Braun Sheffield Sharks,Jalen Deloach,23,20,99,60,60.6,86,57,66.3,13,3,23.1,62.1,1.89,3,3,15,9,2,73,54,74.0,9,3,33.3,4,0,0.0,1,0,0.0,12,3,25.0
B. Braun Sheffield Sharks,Jordan Ratinho,9,35,134,60,44.8,58,32,55.2,76,28,36.8,55.2,4.71,13,13,19,6,5,51,30,58.8,6,2,33.3,1,0,0.0,18,9,50.0,58,19,32.8
B. Braun Sheffield Sharks,Mervin James,5,13,163,74,45.4,136,65,47.8,27,9,33.3,48.2,2.64,8,8,27,12,15,90,50,55.6,24,5,20.8,22,10,45.5,2,0,0.0,25,9,36.0
B. Braun Sheffield Sharks,Mike Ochereobia,15,30,84,50,59.5,84,50,59.5,0,0,,59.5,0.85,2,2,34,23,6,71,46,64.8,12,4,33.3,1,0,0.0,0,0,,0,0,
B. Braun Sheffield Sharks,Nick Kern Jr,24,34,325,169,52.0,292,161,55.1,33,8,24.2,53.2,2.1,19,19,44,25,20,196,121,61.7,67,28,41.8,29,12,41.4,12,4,33.3,21,4,19.0
B. Braun Sheffield Sharks,Prentiss Nixon,2,30,324,129,39.8,178,83,46.6,146,46,31.5,46.9,5.13,15,15,19,7,13,72,41,56.9,39,15,38.5,67,27,40.3,12,4,33.3,134,42,31.3
B. Braun Sheffield Sharks,Reyad West,6,3,6,2,33.3,3,1,33.3,3,1,33.3,41.7,5.69,0,0,0,0,0,1,0,0.0,0,0,,2,1,50.0,1,0,0.0,2,1,50.0
B. Braun Sheffield Sharks,Rodney Chatman III,3,33,304,119,39.1,178,75,42.1,126,44,34.9,46.4,4.47,13,12,30,11,19,100,52,52.0,36,8,22.2,42,15,35.7,11,2,18.2,115,42,36.5
B. Braun Sheffield Sharks,Rodney Glasgow Jr,11,34,131,54,41.2,77,37,48.1,54,17,31.5,47.7,5.08,6,6,11,6,2,16,8,50.0,27,10,37.0,34,19,55.9,7,2,28.6,47,15,31.9
