game_id,game_date,team_name,team_code,opponent,home_away,score,opp_score,full_score,p1_score,p2_score,p3_score,p4_score,in_ot,timeouts_left,fouls,attendance,period_type,periods_max,officials,coach,tot_sMinutes,tot_sFieldGoalsMade,tot_sFieldGoalsAttempted,tot_sFieldGoalsPercentage,tot_sThreePointersMade,tot_sThreePointersAttempted,tot_sThreePointersPercentage,tot_sTwoPointersMade,tot_sTwoPointersAttempted,tot_sTwoPointersPercentage,tot_sFreeThrowsMade,tot_sFreeThrowsAttempted,tot_sFreeThrowsPercentage,tot_sReboundsDefensive,tot_sReboundsOffensive,tot_sReboundsTotal,tot_sAssists,tot_sTurnovers,tot_sSteals,tot_sBlocks,tot_sBlocksReceived,tot_sFoulsPersonal,tot_sFoulsOn,tot_sFoulsTotal,tot_sPoints,tot_sPointsFromTurnovers,tot_sPointsSecondChance,tot_sPointsFastBreak,tot_sBenchPoints,tot_sPointsInThePaint,tot_sTimeLeading,tot_sBiggestLead,tot_sBiggestScoringRun,tot_sLeadChanges,tot_sTimesScoresLevel,tot_sFoulsTeam,tot_sReboundsTeam,tot_sReboundsTeamDefensive,tot_sReboundsTeamOffensive,tot_sTurnoversTeam,tot_eff_1,tot_eff_2,tot_eff_3,tot_eff_4,tot_eff_5,tot_eff_6,tot_eff_7
2702542,2025-09-19,Bristol Flyers,BRI,B. Braun Sheffield Sharks,home,78,60,78,25,17,23,13,0,0,6,0,REGULAR,4,referee1: Bob Bhania; referee2: Andy Broughton,Andreas Kapoulas,199:60,28,69,40,15,37,40,13,32,40,7,14,50,38,13,51,26,15,6,2,7,20,13,20,78,9,5,13,21,22,39.25,30,11,0,0,0,7,2,5,2,100,2,61.2,225.5,86,100,100
2702542,2025-09-19,B. Braun Sheffield Sharks,SHE,Bristol Flyers,away,60,78,60,19,13,6,22,0,0,2,0,REGULAR,4,referee1: Bob Bhania; referee2: Andy Broughton,Atiba Lyons,199:60,20,61,32,6,30,20,14,31,45,14,25,56,31,5,36,15,10,7,7,2,13,20,13,60,11,0,15,9,24,0,,10,0,0,0,4,2,2,0,63,2,40.9,166,68,63,63
2702543,2025-09-19,Leicester Riders,Riders,London Lions,home,72,79,72,14,16,18,24,0,0,8,0,REGULAR,4,referee1: Matt Godsall; referee2: Robert Leszczyk; referee3: Monica Wimarska,Rob Paternostro,200:00,24,49,48,7,12,58,17,37,45,17,27,62,21,8,29,15,16,5,2,7,18,24,18,72,7,5,10,21,32,3.7333333333333,3,7,5,1,0,8,5,3,2,72,2,48.9,163.5,71,72,72
2702543,2025-09-19,London Lions,Lions,Leicester Riders,away,79,72,79,18,23,15,23,0,0,6,0,REGULAR,4,referee1: Matt Godsall; referee2: Robert Leszczyk; referee3: Monica Wimarska,Tautvydas Sabonis,200:00,34,70,48,6,24,25,28,46,60,5,12,41,23,17,40,16,13,8,7,2,24,18,24,79,17,17,13,24,50,35.166666666667,13,7,5,1,0,4,1,3,1,94,2,61.1,221,86,94,94
2702544,2025-09-19,Manchester Basketball,MAN,Cheshire Phoenix,home,92,89,92,25,20,18,29,0,0,1,0,REGULAR,4,,Matthew Otten,199:60,33,67,49,10,25,40,23,42,54,16,18,88,29,8,37,15,13,6,1,3,17,15,17,92,14,9,16,19,40,33.466666666667,21,10,10,3,0,1,0,1,0,102,2,69.2,254,97,102,102
2702544,2025-09-19,Cheshire Phoenix,CHE,Manchester Basketball,away,89,92,89,16,22,27,24,0,0,6,0,REGULAR,4,,Ben Thomas,199:60,34,75,45,13,40,32,21,35,60,8,12,66,27,12,39,15,13,6,3,1,15,17,15,89,15,16,6,35,42,4.08,3,11,10,3,0,4,2,2,0,94,2,64.6,242.5,95,94,94
2702545,2025-09-21,Caledonia Gladiators,CAL,Newcastle Eagles,home,104,109,104,23,29,29,13,1,0,9,850,OVERTIME,4,referee1: Bob Bhania; referee2: Lino Figuerido; referee3: Ingus Banckevics,Jonny Bunyan,225:00,40,77,51,13,26,50,27,51,52,11,16,68,29,15,44,21,20,6,3,6,25,16,25,104,8,10,20,47,48,27.351666666667,15,9,2,7,0,6,4,2,0,116,2,76.1,266.5,101,116,116
2702545,2025-09-21,Newcastle Eagles,NEW,Caledonia Gladiators,away,109,104,109,24,22,22,26,1,0,6,850,OVERTIME,4,referee1: Bob Bhania; referee2: Lino Figuerido; referee3: Ingus Banckevics,Marc Steutel,225:00,41,79,51,8,24,33,33,55,60,19,31,61,21,13,34,25,12,11,6,3,16,25,16,109,27,16,23,32,52,14.516666666667,8,9,2,7,0,1,0,1,0,123,2,95,352,129,123,123
2702546,2025-09-23,London Lions,LON,Cheshire Phoenix,home,89,83,89,23,16,19,31,0,0,5,571,REGULAR,4,referee1: Bob Bhania; referee2: Lino Figueriredo; referee3: Jack Davies,Tautvydas Sabonis,199:60,29,59,49,6,18,33,23,41,56,25,31,80,27,11,38,21,16,9,2,1,21,25,21,89,17,8,13,25,38,21.59,15,11,2,2,0,3,2,1,2,107,2,73.4,267,110,107,107
2702546,2025-09-23,Cheshire Phoenix,CHE,London Lions,away,83,89,83,18,23,25,17,0,0,11,571,REGULAR,4,referee1: Bob Bhania; referee2: Lino Figueriredo; referee3: Jack Davies,Ben Thomas,199:60,30,63,47,9,27,33,21,36,58,14,18,77,19,6,25,20,16,9,1,2,25,21,25,83,15,8,20,38,36,16.53,11,12,2,2,0,2,0,2,2,85,2,56.9,175.5,79,85,85
