team_name,type,games,fga,fgm,fg_pct,fga_2pt,fgm_2pt,fg2_pct,fga_3pt,fgm_3pt,fg3_pct,efg_pct,avg_dist_m,fastbreak_fga,fastbreak_fgm,second_chance_fga,second_chance_fgm,blocked,rim_fga,rim_fgm,rim_pct,paint_fga,paint_fgm,paint_pct,midrange_fga,midrange_fgm,midrange_pct,corner_3_fga,corner_3_fgm,corner_3_pct,above_break_3_fga,above_break_3_fgm,above_break_3_pct
B. Braun Sheffield Sharks,Opponent,35,2318,1036,44.7,1306,693,53.1,1012,343,33.9,52.1,4.32,147,147,293,138,117,834,532,63.8,281,95,33.8,191,66,34.6,109,42,38.5,903,301,33.3
B. Braun Sheffield Sharks,Team,35,2273,1072,47.2,1489,792,53.2,784,280,35.7,53.3,3.87,143,141,281,142,101,925,574,62.1,289,103,35.6,275,115,41.8,101,39,38.6,683,241,35.3
Bristol Flyers,Opponent,36,2340,1059,45.3,1346,691,51.3,994,368,37.0,53.1,4.34,150,150,301,148,92,804,461,57.3,304,135,44.4,238,95,39.9,117,53,45.3,877,315,35.9
Bristol Flyers,Team,36,2396,1046,43.7,1468,741,50.5,928,305,32.9,50.0,3.91,142,142,352,160,120,985,577,58.6,323,116,35.9,160,48,30.0,82,26,31.7,846,279,33.0
Caledonia Gladiators,Opponent,34,2391,1164,48.7,1465,840,57.3,926,324,35.0,55.5,3.92,189,189,332,179,80,934,623,66.7,339,144,42.5,192,73,38.0,166,55,33.1,760,269,35.4
Caledonia Gladiators,Team,34,2370,1042,44.0,1463,744,50.9,907,298,32.9,50.3,4.12,145,145,345,157,95,831,507,61.0,322,117,36.3,310,120,38.7,110,40,36.4,797,258,32.4
Cheshire Phoenix,Opponent,35,2450,1137,46.4,1569,817,52.1,881,320,36.3,52.9,3.9,127,127,320,145,116,980,589,60.1,335,133,39.7,254,95,37.4,118,40,33.9,763,280,36.7
Cheshire Phoenix,Team,35,2572,1180,45.9,1346,741,55.1,1226,439,35.8,54.4,4.4,175,175,361,177,122,956,581,60.8,302,126,41.7,88,34,38.6,144,44,30.6,1082,395,36.5
Leicester Riders,Opponent,34,2404,1127,46.9,1434,786,54.8,970,341,35.2,54.0,4.09,153,152,326,157,78,941,584,62.1,283,116,41.0,210,86,41.0,119,49,41.2,851,292,34.3
Leicester Riders,Team,34,2218,999,45.0,1379,698,50.6,839,301,35.9,51.8,3.96,119,118,301,148,117,882,527,59.8,277,102,36.8,220,69,31.4,82,32,39.0,757,269,35.5
London Lions,Opponent,39,2320,962,41.5,1407,673,47.8,913,289,31.7,47.7,4.06,108,107,298,144,89,876,499,57.0,282,100,35.5,249,74,29.7,99,33,33.3,814,256,31.4
London Lions,Team,39,2457,1190,48.4,1569,872,55.6,888,318,35.8,54.9,3.88,129,129,345,183,97,963,620,64.4,339,149,44.0,267,103,38.6,156,60,38.5,732,258,35.2
Manchester Basketball,Opponent,35,2445,1097,44.9,1537,767,49.9,908,330,36.3,51.6,3.96,149,149,340,177,122,929,544,58.6,356,129,36.2,252,94,37.3,103,43,41.7,805,287,35.7
Manchester Basketball,Team,35,2422,1132,46.7,1488,803,54.0,934,329,35.2,53.5,3.96,149,149,317,156,81,971,587,60.5,300,127,42.3,217,89,41.0,148,53,35.8,786,276,35.1
Newcastle Eagles,Opponent,37,2463,1190,48.3,1601,894,55.8,862,296,34.3,54.3,3.7,155,155,328,160,107,1038,673,64.8,363,144,39.7,200,77,38.5,149,50,33.6,713,246,34.5
Newcastle Eagles,Team,37,2521,1121,44.5,1458,751,51.5,1063,370,34.8,51.8,4.29,171,171,264,137,103,840,522,62.1,358,134,37.4,260,95,36.5,135,56,41.5,928,314,33.8
Surrey 89ers,Opponent,35,2458,1133,46.1,1515,805,53.1,943,328,34.8,52.8,4.02,158,157,366,174,113,896,553,61.7,360,156,43.3,259,96,37.1,113,35,31.0,830,293,35.3
Surrey 89ers,Team,35,2360,1123,47.6,1520,824,54.2,840,299,35.6,53.9,3.84,163,163,338,162,78,879,563,64.1,393,178,45.3,248,83,33.5,135,50,37.0,705,249,35.3
