Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
Newcastle Knights,"Bradley Dean, Sam Trunley, Jaron Thames, Hafeez Abdul, Messiah Jones","Newcastle Knights|1,10,11,3,5",4,31.6,1897.0,68,27,62,43.5,10,30,33.3,4,6,66.7,0,0,0,0,0,0,7,0,62,68.8,98.9,80.7,18.2,2.15,6
Birmingham Rockets,"Ronald Blain, Orlan Jackman, Zack Powell, Eric Donaldson, Lucas Mcgregor","Birmingham Rockets|0,13,14,3,6",8,20.0,1200.0,41,16,41,39.0,1,17,5.9,8,14,57.1,0,0,0,0,0,0,5,0,41,50.1,81.9,84.6,-2.7,2.05,0
Newcastle Knights,"Sam Trunley, Jaron Thames, Hafeez Abdul, Messiah Jones, Max Matthews","Newcastle Knights|10,11,3,5,8",1,18.1,1089.0,48,16,38,42.1,8,23,34.8,8,11,72.7,0,0,0,0,0,0,4,0,48,45.0,106.7,119.3,-12.5,2.64,0
Milton Keynes Breakers,"Dashawn Jackson, Jonas Dietrich, Xavier Wilson, Jordan Spencer, Chase Thompson","Milton Keynes Breakers|1,12,21,23,8",6,16.5,991.0,41,14,35,40.0,5,15,33.3,8,11,72.7,0,0,0,0,0,0,7,0,47,45.0,91.2,121.5,-30.4,2.48,-6
Hemel Storm,"Darien Nelson-Henry, Kai Walker, Matt Norman, Brayden Inger, Sam Newman","Hemel Storm|10,11,2,3,4",4,15.1,908.0,37,16,33,48.5,1,10,10.0,4,6,66.7,0,0,0,0,0,0,3,0,26,37.1,99.7,72.0,27.7,2.44,11
Loughborough Riders,"Johde Campbell, Michael Joiner, Jalen Cook, Milo Gordon, Ben Woog","Loughborough Riders|0,11,12,22,7",3,14.2,851.0,24,8,24,33.3,0,7,0.0,8,13,61.5,0,0,0,0,0,0,5,0,21,33.3,72.0,73.6,-1.6,1.69,3
Reading Rockets,"Malik Bryant, Cooper Creek, Jax Bouknight, Eliaz (Zain) Poorman, Victor Olarerin","Reading Rockets|10,14,4,6,8",6,13.3,797.0,33,13,22,59.1,5,8,62.5,2,2,100.0,0,0,0,0,0,0,6,0,32,27.7,119.0,93.8,25.2,2.48,1
Birmingham Rockets,"Ronald Blain, Zack Powell, Luke Okosieme, Eric Donaldson, Lucas Mcgregor","Birmingham Rockets|0,14,21,3,6",4,12.8,766.0,24,6,19,31.6,1,5,20.0,11,19,57.9,0,0,0,0,0,0,6,0,22,32.0,74.9,72.7,2.2,1.88,2
Derby Trailblazers,"Jai Pathmarajah, Sean Mo Walker, Harlond Beverley Jr, Evan Oliver, Raheem May-Thompson","Derby Trailblazers|22,3,5,6,7",2,12.6,756.0,21,9,21,42.9,2,4,50.0,1,2,50.0,0,0,0,0,0,0,4,0,25,24.8,84.5,93.8,-9.3,1.67,-4
Bristol Hurricanes,"Daniel Edozie, Elvisi Dusha, Jules Dang-Akodo, Denzel Ubiaro, Corey Samuels","Bristol Hurricanes|1,12,23,31,4",4,12.0,718.0,16,5,24,20.8,2,8,25.0,4,5,80.0,0,0,0,0,0,0,2,0,23,27.1,59.1,92.6,-33.5,1.34,-7
