Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
London Cavaliers,"Juan Manning, Mekhi Collins, Marquel Beasley, Daniel Braster, Aj Roberts","London Cavaliers|10,13,15,23,4",4,Aj Roberts,10,Juan Manning,14,41,13,1,10,1.4,4.1
London Cavaliers,"Juan Manning, Mekhi Collins, Marquel Beasley, Daniel Braster, Aj Roberts","London Cavaliers|10,13,15,23,4",4,Aj Roberts,13,Mekhi Collins,19,40,2,17,17,1.12,2.35
Derby Trailblazers,"Connor Washington, Jai Pathmarajah, Sean Mo Walker, Charlie Brown, Raheem May-Thompson","Derby Trailblazers|13,22,3,4,7",22,Jai Pathmarajah,3,Sean Mo Walker,17,36,2,15,10,1.7,3.6
London Cavaliers,"Juan Manning, Mekhi Collins, Marquel Beasley, Daniel Braster, Aj Roberts","London Cavaliers|10,13,15,23,4",23,Daniel Braster,4,Aj Roberts,12,33,9,3,12,1.0,2.75
Birmingham Rockets,"Ronald Blain, Zack Powell, Luke Okosieme, Eric Donaldson, Lucas Mcgregor","Birmingham Rockets|0,14,21,3,6",6,Lucas Mcgregor,0,Ronald Blain,15,33,3,12,11,1.36,3.0
Milton Keynes Breakers,"Dashawn Jackson, Jonas Dietrich, Xavier Wilson, Jordan Spencer, Chase Thompson","Milton Keynes Breakers|1,12,21,23,8",23,Jordan Spencer,8,Chase Thompson,12,32,8,4,9,1.33,3.56
Milton Keynes Breakers,"Dashawn Jackson, Jonas Dietrich, Xavier Wilson, Jordan Spencer, Chase Thompson","Milton Keynes Breakers|1,12,21,23,8",23,Jordan Spencer,21,Xavier Wilson,16,32,0,16,11,1.45,2.91
Birmingham Rockets,"Ronald Blain, Zack Powell, Luke Okosieme, Eric Donaldson, Lucas Mcgregor","Birmingham Rockets|0,14,21,3,6",6,Lucas Mcgregor,14,Zack Powell,14,31,3,11,11,1.27,2.82
London Cavaliers,"Juan Manning, Mekhi Collins, Marquel Beasley, Daniel Braster, Aj Roberts","London Cavaliers|10,13,15,23,4",10,Juan Manning,15,Marquel Beasley,12,30,6,6,10,1.2,3.0
Milton Keynes Breakers,"Dashawn Jackson, Jonas Dietrich, Xavier Wilson, Jordan Spencer, Chase Thompson","Milton Keynes Breakers|10,12,21,23,8",10,Dashawn Jackson,21,Xavier Wilson,15,30,0,15,9,1.67,3.33
Derby Trailblazers,"Connor Washington, Jai Pathmarajah, Sean Mo Walker, Charlie Brown, Raheem May-Thompson","Derby Trailblazers|13,22,3,4,7",4,Charlie Brown,13,Connor Washington,10,29,9,1,7,1.43,4.14
Hemel Storm,"Darien Nelson-Henry, Kai Walker, Matt Norman, Brayden Inger, Sam Newman","Hemel Storm|10,11,2,3,4",4,Sam Newman,10,Darien Nelson-Henry,14,28,0,14,6,2.33,4.67
Hemel Storm,"Darien Nelson-Henry, Kai Walker, Matt Norman, Brayden Inger, Sam Newman","Hemel Storm|10,11,2,3,4",4,Sam Newman,3,Brayden Inger,11,28,6,5,8,1.38,3.5
Reading Rockets,"Malik Bryant, Cooper Creek, Jax Bouknight, Eliaz (Zain) Poorman, Victor Olarerin","Reading Rockets|10,14,4,6,8",4,Jax Bouknight,14,Cooper Creek,10,28,8,2,8,1.25,3.5
Derby Trailblazers,"Connor Washington, Jai Pathmarajah, Sean Mo Walker, Charlie Brown, Raheem May-Thompson","Derby Trailblazers|13,22,3,4,7",4,Charlie Brown,3,Sean Mo Walker,12,27,3,9,9,1.33,3.0
Milton Keynes Breakers,"Dashawn Jackson, Jonas Dietrich, Xavier Wilson, Jordan Spencer, Chase Thompson","Milton Keynes Breakers|1,12,21,23,8",21,Xavier Wilson,1,Dashawn Jackson,10,26,6,4,8,1.25,3.25
Derby Trailblazers,"Connor Washington, Jai Pathmarajah, Sean Mo Walker, Charlie Brown, Raheem May-Thompson","Derby Trailblazers|13,22,3,4,7",4,Charlie Brown,7,Raheem May-Thompson,11,26,4,7,8,1.38,3.25
Birmingham Rockets,"Ronald Blain, Zack Powell, Luke Okosieme, Eric Donaldson, Lucas Mcgregor","Birmingham Rockets|0,14,21,3,6",0,Ronald Blain,6,Lucas Mcgregor,9,25,7,2,7,1.29,3.57
London Cavaliers,"Juan Manning, Mekhi Collins, Marquel Beasley, Daniel Braster, Aj Roberts","London Cavaliers|10,13,15,23,4",10,Juan Manning,4,Aj Roberts,9,24,6,3,7,1.29,3.43
Birmingham Rockets,"Ronald Blain, Zack Powell, Luke Okosieme, Eric Donaldson, Lucas Mcgregor","Birmingham Rockets|0,14,21,3,6",14,Zack Powell,21,Luke Okosieme,12,24,0,12,10,1.2,2.4
London Cavaliers,"Juan Manning, Mekhi Collins, Marquel Beasley, Daniel Braster, Aj Roberts","London Cavaliers|10,13,15,23,4",15,Marquel Beasley,23,Daniel Braster,11,24,2,9,7,1.57,3.43
