Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
London Cavaliers,"J. Manning, M. Collins, M. Beasley, D. Braster, A. Roberts",25,20456,782,307,629,48.8,97,233,41.6,71,119,59.7,107,255,362,160,44,32,117,95,663,76.8,77.9,75.7,30.8,31.7,56.5,57.4,52.1,35.2,78.2,12.2,18.9,37,117.8,689,273,629,43.4,87,262,33.2,56,82,68.3,71,197,268,152,64,17,78,114,0,50.3,51.8,10.5,21.8,41.7,106.8,11,243,148,60.9,47,23,48.9,12,10,83.3,0,0,0,0,221,131,59.3,38,23,60.5,4,3,75,0,0,0,0
Birmingham Rockets,"R. Blain, Z. Powell, L. Okosieme, E. Donaldson, L. McGregor",22,16512,555,212,465,45.6,43,127,33.9,88,142,62,60,219,279,149,47,31,104,74,548,79.1,79.7,78.6,30.1,30.6,50.2,52.6,70.3,23.6,74,13.3,30.5,27.3,101.2,524,202,518,39,71,225,31.6,49,75,65.3,77,194,271,122,56,21,89,119,0,45.8,47.5,13.9,26,43.4,97,4.2,153,101,66,45,17,37.8,2,1,50,0,0,0,0,142,71,50,37,16,43.2,3,1,33.3,0,0,0,0
Derby Trailblazers,"C. Washington, J. Pathmarajah, S. Walker, C. Brown, R. May-Thompson",20,14679,559,221,433,51,55,127,43.3,62,91,68.1,52,175,227,142,56,17,79,59,480,77.8,78.5,77.2,30.6,31.1,57.4,59.1,64.3,25.2,79.5,11.4,21,29.3,116.4,509,202,434,46.5,69,180,38.3,36,52,69.2,45,154,199,120,47,16,80,96,0,54.5,55.7,14.9,20.5,41.5,107.8,8.7,176,124,70.5,38,18,47.4,3,2,66.7,0,0,0,0,129,84,65.1,35,17,48.6,6,1,16.7,0,0,0,0
Milton Keynes Breakers,"D. Jackson, J. Dietrich, X. Wilson, J. Spencer, Gabriel Noel",15,10757,411,162,352,46,47,132,35.6,40,60,66.7,53,140,193,115,30,22,43,52,353,78.3,78.9,77.7,30.4,30.9,52.7,54.3,71,29.9,74.9,8,17,37.5,116.2,338,131,324,40.4,43,130,33.1,33,54,61.1,47,124,171,83,33,15,62,61,0,47.1,48.6,15.1,25.1,40.1,97.1,19.2,106,69,65.1,44,16,36.4,16,8,50,0,0,0,0,78,49,62.8,39,13,33.3,19,6,31.6,0,0,0,0
Yorkshire Dragons,"D. Ulph, J. Whelan, J. Mielke, C. Johnson, N. Lewis",11,8671,373,133,281,47.3,43,112,38.4,64,87,73.6,42,109,151,71,41,7,37,62,301,83.9,83.5,84.3,28.7,28.5,55,58.4,53.4,28.6,75.2,8.7,31,39.9,123.6,315,111,258,43,42,109,38.5,51,69,73.9,36,105,141,61,25,11,65,70,0,51.2,54.6,18.4,24.8,42.2,103.4,20.2,117,74,63.2,4,3,75,0,0,0,0,0,0,0,86,59,68.6,15,7,46.7,1,1,100,0,0,0,0
Hemel Storm,"D. Nelson-Henry, K. Walker, M. Norman, B. Inger, S. Newman",10,7837,334,141,249,56.6,34,83,41,18,24,75,31,103,134,80,32,7,46,38,263,79.7,80.7,78.7,29.7,30.5,63.5,64.3,56.7,31.3,78,11.9,9.6,33.3,126.7,258,101,240,42.1,27,90,30,29,38,76.3,29,68,97,47,31,7,40,31,0,47.7,50.2,13.5,22,37.5,100.4,26.3,103,76,73.8,9,5,55.6,2,2,100,0,0,0,0,72,42,58.3,14,7,50,3,2,66.7,0,0,0,0
Newcastle Knights,"B. Dean, S. Trunley, J. Thames, H. Abdul, M. Jones",7,7567,289,104,226,46,44,118,37.3,37,50,74,28,75,103,66,24,7,33,39,242,77.3,77,77.6,31.2,30.9,55.8,58.3,63.5,25.2,68.8,9.5,22.1,52.2,119,262,104,216,48.1,22,84,26.2,32,52,61.5,34,83,117,57,18,7,50,42,0,53.2,54.8,17.3,31.2,38.9,107.1,11.9,42,31,73.8,7,6,85.7,1,1,100,0,0,0,0,76,55,72.4,4,1,25,0,0,0,0,0,0,0
Reading Rockets,"T. Nsangu, C. Creek, J. Bouknight, E. Poorman, V. Olarerin",19,7647,291,116,240,48.3,33,88,37.5,26,36,72.2,53,76,129,74,36,11,46,40,238,73.6,75,72.3,32.0,33.2,55.2,56.9,63.8,44.5,76.8,12.2,15,36.7,121.8,224,89,205,43.4,37,91,40.7,9,9,100,23,66,89,56,23,6,54,37,0,52.4,53.6,20.5,23.2,44.4,97.2,24.6,83,50,60.2,6,2,33.3,2,1,50,0,0,0,0,49,27,55.1,7,4,57.1,3,2,66.7,0,0,0,0
Worthing Thunder,"D. Evans, M. Bryan-Amaning, J. Hopkins, E. Maynard, E. Dadds",17,6319,227,94,204,46.1,18,62,29,21,35,60,21,61,82,44,20,6,27,30,216,83.2,82.2,84.2,29.2,28.5,50.5,51.7,46.8,19.8,64.9,9.3,17.2,30.4,104.9,253,98,204,48,26,67,38.8,31,41,75.6,33,85,118,67,19,8,42,35,0,54.4,57,15.9,35.1,32.8,114.1,-9.2,77,50,64.9,11,5,45.5,2,0,0,0,0,0,0,81,54,66.7,9,4,44.4,2,0,0,0,0,0,0
Worthing Thunder,"M. Bryan-Amaning, J. Hopkins, E. Maynard, A. Scarborough, E. Dadds",14,5890,219,81,182,44.5,15,46,32.6,42,63,66.7,34,80,114,43,21,6,35,32,202,81.9,82.4,81.4,29.1,29.5,48.6,52.2,53.1,32.7,72.1,12.2,34.6,25.3,108.3,173,72,187,38.5,17,70,24.3,12,30,40,31,70,101,45,22,7,39,49,0,43,43.2,16.3,27.9,37.4,86.6,21.7,68,37,54.4,7,1,14.3,0,0,0,0,0,0,0,57,33,57.9,14,6,42.9,0,0,0,0,0,0,0
