Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Newcastle Knights,1,B Dean,,1,34.7,34.7,40,40.0,14,20,70.0,9,13,69.2,3,4,75.0,0,4,4,1,0,0,6,4,92.5,91.9,37.0,144.1,49.1,16.0,0.0,10.7,6.3,6.5,0.0,0.0,21.6,0.2,15.92,14.19,1.73,4,3,75,1,1,100,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Reading Rockets,6,Elias Poorman,,2,26.9,53.7,20,10.0,7,14,50.0,0,2,0.0,6,8,75.0,7,12,19,13,3,1,1,8,50.0,57.1,15.2,108.0,13.6,1.4,13.9,29.8,21.0,34.8,3.0,2.3,5.4,0.57,14.9,7.24,7.66,8,5,62.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Essex Rebels,2,Miles Brown,,20,35.6,712.2,494,24.7,175,345,50.7,44,111,39.6,100,116,86.2,24,75,99,119,79,4,72,50,57.1,62.4,27.7,105.5,29.6,6.7,3.5,11.5,7.4,31.6,5.4,0.5,15.4,0.34,14.3,7.45,6.84,146,95,65.1,31,13,41.9,2,0,0,33,28,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle Knights,11,J Thames,,1,38.0,38.0,22,22.0,7,8,87.5,3,4,75.0,5,7,71.4,1,5,6,2,2,1,4,2,106.2,99.3,18.3,145.9,27.0,4.9,3.5,12.2,8.7,7.9,2.5,2.0,26.5,0.88,13.61,8.91,4.69,4,4,100,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Nottingham Hoods,21,Byrce Johnson,,20,29.3,585.8,379,18.9,146,250,58.4,23,60,38.3,64,90,71.1,65,154,219,50,52,12,41,45,63.0,65.4,24.1,114.6,23.2,3.7,12.3,30.1,21.0,13.9,4.3,2.0,12.4,0.36,13.52,6.99,6.53,142,100,70.4,7,3,42.9,0,0,0,10,23,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Yorkshire Dragons,10,D Ulph,,1,37.0,37.0,29,29.0,13,20,65.0,0,0,0,3,7,42.9,11,11,22,1,1,1,2,2,65.0,62.8,27.8,115.6,34.2,0.0,27.6,39.6,32.5,4.3,1.3,3.2,8.0,0.35,13.18,9.8,3.38,20,13,65,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milton Keynes Breakers,23,Jordan Spencer,,25,33.8,845.3,388,15.5,122,263,46.4,52,137,38.0,92,103,89.3,13,143,156,180,34,4,80,56,56.3,62.9,20.0,99.9,19.4,6.8,1.7,18.1,10.0,31.6,2.0,0.5,20.6,0.39,12.94,6.44,6.5,60,42,70,22,8,36.4,22,7,31.8,55,14,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Yorkshire Dragons,93,N Lewis,,1,39.9,39.9,32,32.0,13,25,52.0,2,9,22.2,4,6,66.7,1,4,5,6,3,0,3,3,56.0,57.9,31.5,104.4,37.7,10.6,2.3,13.4,6.9,23.2,3.7,0.0,9.8,0.24,12.06,6.12,5.94,14,10,71.4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nottingham Hoods,1,Tyrone Williams,,25,34.3,856.8,581,23.2,226,496,45.6,52,198,26.3,77,112,68.8,29,108,137,139,59,13,68,56,50.8,53.3,30.9,94.7,28.9,9.8,3.7,14.8,9.0,28.9,3.4,1.5,11.1,0.23,12.02,6.45,5.57,180,117,65,12,7,58.3,3,1,33.3,34,22,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Reading Rockets,8,Victor Olarerin,,26,31.2,810.6,488,18.8,188,404,46.5,44,158,27.8,68,79,86.1,60,87,147,68,57,7,51,55,52.0,55.6,26.4,99.6,24.6,8.0,8.4,12.8,10.5,13.7,3.6,0.9,10.4,0.2,11.51,6.5,5.0,126,85,67.5,3,1,33.3,6,3,50,21,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Reading Rockets,4,Jax Bouknight,,26,29.2,759.3,376,14.5,134,296,45.3,61,153,39.9,47,60,78.3,12,43,55,128,43,2,56,70,55.6,58.3,21.8,99.4,18.9,7.7,1.8,6.8,4.2,25.2,2.9,0.3,14.8,0.2,11.07,5.71,5.37,36,26,72.2,18,11,61.1,6,5,83.3,32,15,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Nottingham Hoods,24,Donell Nixon Ii,,24,29.3,704.3,312,13.0,106,228,46.5,56,141,39.7,44,49,89.8,19,57,76,136,39,1,45,40,58.8,62.5,18.0,105.9,16.0,7.2,2.9,9.3,6.0,28.2,2.7,0.1,15.3,0.21,10.97,5.85,5.12,33,21,63.6,10,9,90,7,4,57.1,23,17,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Birmingham Rockets,0,Ronald Blain,,26,33.4,867.5,449,17.3,180,326,55.2,21,67,31.3,68,114,59.6,36,129,165,101,50,15,59,53,58.4,59.7,21.4,103.2,20.6,3.1,4.6,14.7,9.9,18.8,2.8,1.6,13.6,0.35,10.93,5.02,5.91,165,115,69.7,15,4,26.7,0,0,0,25,22,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Derby Trailblazers,6,Evan Oliver,,4,31.0,124.1,100,25.0,33,62,53.2,16,26,61.5,18,24,75.0,6,8,14,11,7,0,14,10,66.1,68.9,31.4,115.5,31.0,8.1,6.1,6.7,6.4,15.3,2.8,0.0,16.2,0.39,10.73,7.96,2.77,19,11,57.9,5,0,0,0,0,0,8,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
