Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Zalgiris Kaunas,"Nigel Williams-Goss, Dustin Sleva, Laurynas Birutis, Sylvain Francisco, Edgaras Ulanovas","Zalgiris Kaunas|1,14,15,3,92",3,Sylvain Francisco,15,Laurynas Birutis,3,6,0,3,1,3.0,6.0
AS Monaco,"Elie Okobo, Daniel Theis, Alpha Diallo, Nikola Mirotic, Mike James","AS Monaco|0,10,11,33,55",55,Mike James,10,Daniel Theis,3,6,0,3,1,3.0,6.0
FC Bayern Munich,"Vladimir Lucic, Isiaha Mike, Wenyen Gabriel, Xavier Rathan-Mayes, Kamar Baldwin","FC Bayern Munich|11,22,32,4,44",4,Xavier Rathan-Mayes,44,Kamar Baldwin,2,6,2,0,1,2.0,6.0
Dubai Basketball,"Dzanan Musa, Mfiondu Kabengele, Mckinley Wright Iv, Dwayne Bacon, Davis Bertans","Dubai Basketball|13,17,25,3,8",3,Dwayne Bacon,8,Davis Bertans,2,6,2,0,1,2.0,6.0
Dubai Basketball,"Dzanan Musa, Mfiondu Kabengele, Mckinley Wright Iv, Dwayne Bacon, Davis Bertans","Dubai Basketball|13,17,25,3,8",13,Dzanan Musa,17,Mfiondu Kabengele,3,6,0,3,1,3.0,6.0
Partizan Mozzart Bet Belgrade,"Carlik Jones, Aleksej Pokusevski, Sterling Brown, Isaac Bonga, Tyrique Jones","Partizan Mozzart Bet Belgrade|1,11,12,17,88",88,Tyrique Jones,11,Aleksej Pokusevski,2,6,2,0,1,2.0,6.0
AS Monaco,"Elie Okobo, Daniel Theis, Nemanja Nedovic, Matthew Strazel, Nikola Mirotic","AS Monaco|0,10,26,32,33",32,Matthew Strazel,33,Nikola Mirotic,2,5,1,1,1,2.0,5.0
Olympiacos Piraeus,"Thomas Walkup, Sasha Vezenkov, Tyler Dorsey, Nikola Milutinov, Evan Fournier","Olympiacos Piraeus|0,14,22,33,94",0,Thomas Walkup,14,Sasha Vezenkov,2,5,1,1,1,2.0,5.0
Olympiacos Piraeus,"Thomas Walkup, Kostas Papanikolaou, Alec Peters, Tyson Ward, Donta Hall","Olympiacos Piraeus|0,16,25,3,45",0,Thomas Walkup,25,Alec Peters,2,5,1,1,1,2.0,5.0
FC Bayern Munich,"Vladimir Lucic, Stefan Jovic, Isiaha Mike, Wenyen Gabriel, Xavier Rathan-Mayes","FC Bayern Munich|11,16,22,32,4",16,Stefan Jovic,22,Isiaha Mike,2,5,1,1,1,2.0,5.0
Maccabi Rapyd Tel Aviv,"Jaylen Hoard, O'Shae J Brissett, Jimmy Clark Iii, Tamir Blatt, Roman Sorkin","Maccabi Rapyd Tel Aviv|1,10,2,45,9",45,Tamir Blatt,1,Jaylen Hoard,2,5,1,1,1,2.0,5.0
Dubai Basketball,"Dzanan Musa, Mfiondu Kabengele, Mckinley Wright Iv, Dwayne Bacon, Davis Bertans","Dubai Basketball|13,17,25,3,8",25,Mckinley Wright Iv,8,Davis Bertans,2,5,1,1,1,2.0,5.0
FC Barcelona,"Kevin Punter, Tomas Satoransky, Willy Hernangomez, Will Clyburn, Tornike Shengelia","FC Barcelona|0,13,14,21,23",13,Tomas Satoransky,21,Will Clyburn,2,5,1,1,1,2.0,5.0
AS Monaco,"Elie Okobo, Daniel Theis, Alpha Diallo, Nikola Mirotic, Mike James","AS Monaco|0,10,11,33,55",0,Elie Okobo,11,Alpha Diallo,2,4,0,2,1,2.0,4.0
Panathinaikos AKTOR Athens,"Kostas Sloukas, Nikolaos Rogkavopoulos, Alexandros Samodurov, Kendrick Nunn, Omer Yurtseven","Panathinaikos AKTOR Athens|10,17,20,25,77",25,Kendrick Nunn,20,Alexandros Samodurov,2,4,0,2,1,2.0,4.0
EA7 Emporio Armani Milan,"Niccolo Mannion, Leandro Bolmaro, Zach Leday, Shavon Shields, Josh Nebo","EA7 Emporio Armani Milan|1,10,16,31,32",1,Niccolo Mannion,32,Josh Nebo,2,4,0,2,1,2.0,4.0
Anadolu Efes Istanbul,"Shane Larkin, Isaia Cordinier, Rolands Smits, Ercan Osmani, Jordan Loyd","Anadolu Efes Istanbul|0,10,11,24,3",0,Shane Larkin,11,Rolands Smits,2,4,0,2,1,2.0,4.0
Dubai Basketball,"Dzanan Musa, Mckinley Wright Iv, Filip Petrusev, Awudu Abass, Davis Bertans","Dubai Basketball|13,25,30,5,8",13,Dzanan Musa,30,Filip Petrusev,2,4,0,2,1,2.0,4.0
Hapoel IBI Tel Aviv,"Collin Malcolm, Vasilije Micic, Ish Wainright, Dan Oturu, Elijah Bryant","Hapoel IBI Tel Aviv|17,22,24,25,3",3,Elijah Bryant,25,Dan Oturu,2,4,0,2,1,2.0,4.0
FC Barcelona,"Kevin Punter, Tomas Satoransky, Will Clyburn, Tornike Shengelia, Jan Vesely","FC Barcelona|0,13,21,23,6",21,Will Clyburn,6,Jan Vesely,2,4,0,2,1,2.0,4.0
Valencia Basket,"Kameron Taylor, Omari Moore, Nathan Reuvers, Sergio De Larrea, Nathan Sestina","Valencia Basket|1,10,3,5,77",10,Omari Moore,3,Nathan Reuvers,1,3,1,0,1,1.0,3.0
Valencia Basket,"Kameron Taylor, Omari Moore, Darius Thompson, Nathan Reuvers, Nathan Sestina","Valencia Basket|1,10,13,3,77",1,Kameron Taylor,3,Nathan Reuvers,1,3,1,0,1,1.0,3.0
LDLC ASVEL Villeurbanne,"Zachary Seljaas, Bodian Massa, Nando De Colo, Glynn Watson, Melvin Ajinca","LDLC ASVEL Villeurbanne|1,10,12,30,8",12,Nando De Colo,1,Zachary Seljaas,1,3,1,0,1,1.0,3.0
LDLC ASVEL Villeurbanne,"Zachary Seljaas, Bodian Massa, Edwin Jackson, David Lighty, Glynn Watson","LDLC ASVEL Villeurbanne|1,10,11,23,30",11,Edwin Jackson,1,Zachary Seljaas,1,3,1,0,1,1.0,3.0
