Canonical,Team,Numbers,Variations
Zachary Seljaas,LDLC ASVEL Villeurbanne,1,Zachary Seljaas
Adam Atamna,LDLC ASVEL Villeurbanne,2,Adam Atamna
Shaquille Harrison,LDLC ASVEL Villeurbanne,3,Shaquille Harrison
Melvin Ajinca,LDLC ASVEL Villeurbanne,8,Melvin Ajinca
Bodian Massa,LDLC ASVEL Villeurbanne,10,Bodian Massa
Edwin Jackson,LDLC ASVEL Villeurbanne,11,Edwin Jackson
Nando De Colo,LDLC ASVEL Villeurbanne,12,Nando De Colo
David Lighty,LDLC ASVEL Villeurbanne,23,David Lighty
Mbaye Ndiaye,LDLC ASVEL Villeurbanne,24,Mbaye Ndiaye
Glynn Watson,LDLC ASVEL Villeurbanne,30,Glynn Watson
Bastien Vautier,LDLC ASVEL Villeurbanne,32,Bastien Vautier
Armel Traore,LDLC ASVEL Villeurbanne,94,Armel Traore
Kameron Taylor,Valencia Basket,1,Kameron Taylor
Josep Puerto,Valencia Basket,2,Josep Puerto
Nathan Reuvers,Valencia Basket,3,Nathan Reuvers
Jaime Pradilla,Valencia Basket,4,Jaime Pradilla
Sergio De Larrea,Valencia Basket,5,Sergio De Larrea
Omari Moore,Valencia Basket,10,Omari Moore
Neal Sako,Valencia Basket,12,Neal Sako
Darius Thompson,Valencia Basket,13,Darius Thompson
Ike Iroegbu,Valencia Basket,18,Ike Iroegbu
Matthew Costello,Valencia Basket,24,Matthew Costello
Isaac Nogues,Valencia Basket,32,Isaac Nogues
Nathan Sestina,Valencia Basket,77,Nathan Sestina
Armando Bacot Jr.,Fenerbahce Beko Istanbul,0,Armando Bacot Jr.
Metecan Birsen,Fenerbahce Beko Istanbul,1,Metecan Birsen
Wade Baldwin Iv,Fenerbahce Beko Istanbul,2,Wade Baldwin Iv
Nicolo Melli,Fenerbahce Beko Istanbul,4,Nicolo Melli
Talen Horton Tucker,Fenerbahce Beko Istanbul,8,Talen Horton Tucker
Brandon Boston Jr.,Fenerbahce Beko Istanbul,11,Brandon Boston Jr.
Tarik Biberovic,Fenerbahce Beko Istanbul,13,Tarik Biberovic
Onuralp Bitim,Fenerbahce Beko Istanbul,17,Onuralp Bitim
Mikael Jantunen,Fenerbahce Beko Istanbul,18,Mikael Jantunen
Devon Hall,Fenerbahce Beko Istanbul,20,Devon Hall
Bonzie Colson,Fenerbahce Beko Istanbul,50,Bonzie Colson
Khem Birch,Fenerbahce Beko Istanbul,92,Khem Birch
Nadir Hifi,Paris Basketball,2,Nadir Hifi
Leopold Cavaliere,Paris Basketball,4,Leopold Cavaliere
Justin Robinson,Paris Basketball,5,Justin Robinson
Sebastian Herrera,Paris Basketball,7,Sebastian Herrera
Allan Dokossi,Paris Basketball,13,Allan Dokossi
Mouhamed Faye,Paris Basketball,15,Mouhamed Faye
Jeremy Morgan,Paris Basketball,20,Jeremy Morgan
Ismael Bako,Paris Basketball,21,Ismael Bako
Amath M'Baye,Paris Basketball,22,Amath M'Baye
Yakuba Ouattara,Paris Basketball,24,Yakuba Ouattara
Daulton Hommes,Paris Basketball,34,Daulton Hommes
Derek Willis,Paris Basketball,35,Derek Willis
Elie Okobo,AS Monaco,0,Elie Okobo
Jaron Blossomgame,AS Monaco,4,Jaron Blossomgame
Daniel Theis,AS Monaco,10,Daniel Theis
Alpha Diallo,AS Monaco,11,Alpha Diallo
Kevarrius Hayes,AS Monaco,13,Kevarrius Hayes
Nick Calathes,AS Monaco,15,Nick Calathes
Terry Tarpey,AS Monaco,22,Terry Tarpey
Juhann Begarin,AS Monaco,23,Juhann Begarin
Nemanja Nedovic,AS Monaco,26,Nemanja Nedovic
Matthew Strazel,AS Monaco,32,Matthew Strazel
Nikola Mirotic,AS Monaco,33,Nikola Mirotic
Mike James,AS Monaco,55,Mike James
Nigel Williams-Goss,Zalgiris Kaunas,1,Nigel Williams-Goss
Sylvain Francisco,Zalgiris Kaunas,3,Sylvain Francisco
Moses Wright,Zalgiris Kaunas,7,Moses Wright
Ignas Brazdeikis,Zalgiris Kaunas,8,Ignas Brazdeikis
Azuolas Tubelis,Zalgiris Kaunas,10,Azuolas Tubelis
Maodo Lo,Zalgiris Kaunas,12,Maodo Lo
Dustin Sleva,Zalgiris Kaunas,14,Dustin Sleva
Laurynas Birutis,Zalgiris Kaunas,15,Laurynas Birutis
Mantas Rubstavicius,Zalgiris Kaunas,17,Mantas Rubstavicius
Arnas Butkevicius,Zalgiris Kaunas,51,Arnas Butkevicius
Deividas Sirvydis,Zalgiris Kaunas,91,Deividas Sirvydis
Edgaras Ulanovas,Zalgiris Kaunas,92,Edgaras Ulanovas
Luca Vildoza,Virtus Bologna,1,Luca Vildoza
Carsen Edwards,Virtus Bologna,3,Carsen Edwards
Alessandro Pajola,Virtus Bologna,6,Alessandro Pajola
Saliou Niang,Virtus Bologna,7,Saliou Niang
Alen Smailagic,Virtus Bologna,9,Alen Smailagic
Brandon Taylor,Virtus Bologna,11,Brandon Taylor
Derrick Alston Jr.,Virtus Bologna,21,Derrick Alston Jr.
Daniel Hackett,Virtus Bologna,23,Daniel Hackett
Matthew Morgan,Virtus Bologna,30,Matthew Morgan
Aliou Diarra,Virtus Bologna,31,Aliou Diarra
Karim Jallow,Virtus Bologna,34,Karim Jallow
Mouhamet Diouf,Virtus Bologna,35,Mouhamet Diouf
Trey Lyles,Real Madrid,0,Trey Lyles
David Kraemer,Real Madrid,1,David Kraemer
Alberto Abalde,Real Madrid,6,Alberto Abalde
Facundo Campazzo,Real Madrid,7,Facundo Campazzo
Chuma Okeke,Real Madrid,8,Chuma Okeke
Mario Hezonja,Real Madrid,11,Mario Hezonja
Gabriel Deck,Real Madrid,14,Gabriel Deck
Usman Garuba,Real Madrid,16,Usman Garuba
Bruno Fernando,Real Madrid,20,Bruno Fernando
Walter Tavares,Real Madrid,22,Walter Tavares
Sergio Llull,Real Madrid,23,Sergio Llull
Andres Feliz,Real Madrid,24,Andres Feliz
Player None,Virtus Bologna,None,Player None
Markus Howard,Baskonia Vitoria-Gasteiz,0,Markus Howard
Markquis Nowell,Baskonia Vitoria-Gasteiz,3,Markquis Nowell
Rafa Villar,Baskonia Vitoria-Gasteiz,4,Rafa Villar
Hamidou Diallo,Baskonia Vitoria-Gasteiz,6,Hamidou Diallo
Tadas Sedekerskis,Baskonia Vitoria-Gasteiz,8,Tadas Sedekerskis
Timothe Luwawu-Cabarrot,Baskonia Vitoria-Gasteiz,9,Timothe Luwawu-Cabarrot
Matteo Spagnolo,Baskonia Vitoria-Gasteiz,10,Matteo Spagnolo
Trent Forrest,Baskonia Vitoria-Gasteiz,11,Trent Forrest
Khalifa Diop,Baskonia Vitoria-Gasteiz,18,Khalifa Diop
Clement Frisch,Baskonia Vitoria-Gasteiz,25,Clement Frisch
Stefan Joksimovic,Baskonia Vitoria-Gasteiz,77,Stefan Joksimovic
Luka Samanic,Baskonia Vitoria-Gasteiz,99,Luka Samanic
Thomas Walkup,Olympiacos Piraeus,0,Thomas Walkup
Tyson Ward,Olympiacos Piraeus,3,Tyson Ward
Giannoulis Larentzakis,Olympiacos Piraeus,5,Giannoulis Larentzakis
Saben Lee,Olympiacos Piraeus,9,Saben Lee
Sasha Vezenkov,Olympiacos Piraeus,14,Sasha Vezenkov
Kostas Papanikolaou,Olympiacos Piraeus,16,Kostas Papanikolaou
Tyler Dorsey,Olympiacos Piraeus,22,Tyler Dorsey
Alec Peters,Olympiacos Piraeus,25,Alec Peters
Nikola Milutinov,Olympiacos Piraeus,33,Nikola Milutinov
Kostas Antetokounmpo,Olympiacos Piraeus,37,Kostas Antetokounmpo
Donta Hall,Olympiacos Piraeus,45,Donta Hall
Evan Fournier,Olympiacos Piraeus,94,Evan Fournier
Tj Shorts,Panathinaikos AKTOR Athens,0,Tj Shorts
Richaun Holmes,Panathinaikos AKTOR Athens,8,Richaun Holmes
Kostas Sloukas,Panathinaikos AKTOR Athens,10,Kostas Sloukas
Nikolaos Rogkavopoulos,Panathinaikos AKTOR Athens,17,Nikolaos Rogkavopoulos
Alexandros Samodurov,Panathinaikos AKTOR Athens,20,Alexandros Samodurov
Jerian Grant,Panathinaikos AKTOR Athens,22,Jerian Grant
Kendrick Nunn,Panathinaikos AKTOR Athens,25,Kendrick Nunn
Vassilis Toliopoulos,Panathinaikos AKTOR Athens,27,Vassilis Toliopoulos
Marius Grigonis,Panathinaikos AKTOR Athens,40,Marius Grigonis
Juancho Hernangomez,Panathinaikos AKTOR Athens,41,Juancho Hernangomez
Konstantinos Mitoglou,Panathinaikos AKTOR Athens,44,Konstantinos Mitoglou
Omer Yurtseven,Panathinaikos AKTOR Athens,77,Omer Yurtseven
Oscar Da Silva,FC Bayern Munich,1,Oscar Da Silva
Xavier Rathan-Mayes,FC Bayern Munich,4,Xavier Rathan-Mayes
Niels Giffey,FC Bayern Munich,5,Niels Giffey
Leon Kratzer,FC Bayern Munich,8,Leon Kratzer
Justinian Jessup,FC Bayern Munich,10,Justinian Jessup
Vladimir Lucic,FC Bayern Munich,11,Vladimir Lucic
Andreas Obst,FC Bayern Munich,13,Andreas Obst
Stefan Jovic,FC Bayern Munich,16,Stefan Jovic
Isiaha Mike,FC Bayern Munich,22,Isiaha Mike
Wenyen Gabriel,FC Bayern Munich,32,Wenyen Gabriel
David Mccormack,FC Bayern Munich,33,David Mccormack
Kamar Baldwin,FC Bayern Munich,44,Kamar Baldwin
Codi Miller-Mcintyre,Crvena Zvezda Meridianbet Belgrade,0,Codi Miller-Mcintyre
Stefan Miljenovic,Crvena Zvezda Meridianbet Belgrade,2,Stefan Miljenovic
Dejan Davidovac,Crvena Zvezda Meridianbet Belgrade,7,Dejan Davidovac
Tyson Carter,Crvena Zvezda Meridianbet Belgrade,11,Tyson Carter
Nikola Kalinic,Crvena Zvezda Meridianbet Belgrade,12,Nikola Kalinic
Jasiel Rivero,Crvena Zvezda Meridianbet Belgrade,14,Jasiel Rivero
Izundu Ebuka,Crvena Zvezda Meridianbet Belgrade,15,Izundu Ebuka
Lazar Stojkovic,Crvena Zvezda Meridianbet Belgrade,17,Lazar Stojkovic
Jordan Nwora,Crvena Zvezda Meridianbet Belgrade,33,Jordan Nwora
Semi Ojeleye,Crvena Zvezda Meridianbet Belgrade,37,Semi Ojeleye
Ognjen Radosic,Crvena Zvezda Meridianbet Belgrade,44,Ognjen Radosic
Chima Moneke,Crvena Zvezda Meridianbet Belgrade,95,Chima Moneke
Vlatko Cancar,EA7 Emporio Armani Milan,0,Vlatko Cancar
Niccolo Mannion,EA7 Emporio Armani Milan,1,Niccolo Mannion
Quinn Ellis,EA7 Emporio Armani Milan,3,Quinn Ellis
Devin Booker,EA7 Emporio Armani Milan,6,Devin Booker
Leandro Bolmaro,EA7 Emporio Armani Milan,10,Leandro Bolmaro
Armoni Brooks,EA7 Emporio Armani Milan,12,Armoni Brooks
Zach Leday,EA7 Emporio Armani Milan,16,Zach Leday
Giampaolo Ricci,EA7 Emporio Armani Milan,17,Giampaolo Ricci
Marko Guduric,EA7 Emporio Armani Milan,23,Marko Guduric
Shavon Shields,EA7 Emporio Armani Milan,31,Shavon Shields
Josh Nebo,EA7 Emporio Armani Milan,32,Josh Nebo
Bryant Dunston,EA7 Emporio Armani Milan,42,Bryant Dunston
Shane Larkin,Anadolu Efes Istanbul,0,Shane Larkin
Rodrigue Beaubois,Anadolu Efes Istanbul,1,Rodrigue Beaubois
Sehmus Hazer,Anadolu Efes Istanbul,2,Sehmus Hazer
Jordan Loyd,Anadolu Efes Istanbul,3,Jordan Loyd
Nick Weiler-Babb,Anadolu Efes Istanbul,8,Nick Weiler-Babb
Georgios Papagiannis,Anadolu Efes Istanbul,9,Georgios Papagiannis
Isaia Cordinier,Anadolu Efes Istanbul,10,Isaia Cordinier
Rolands Smits,Anadolu Efes Istanbul,11,Rolands Smits
Cole Swider,Anadolu Efes Istanbul,21,Cole Swider
Ercan Osmani,Anadolu Efes Istanbul,24,Ercan Osmani
Erkan Yilmaz,Anadolu Efes Istanbul,33,Erkan Yilmaz
Kai Jones,Anadolu Efes Istanbul,88,Kai Jones
Jaylen Hoard,Maccabi Rapyd Tel Aviv,1,Jaylen Hoard
Jimmy Clark Iii,Maccabi Rapyd Tel Aviv,2,Jimmy Clark Iii
Marcio Santos,Maccabi Rapyd Tel Aviv,3,Marcio Santos
Uros Trifunovic,Maccabi Rapyd Tel Aviv,6,Uros Trifunovic
Lonnie Walker Iv,Maccabi Rapyd Tel Aviv,8,Lonnie Walker Iv
Roman Sorkin,Maccabi Rapyd Tel Aviv,9,Roman Sorkin
