Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Dubai Basketball,8,Davis Bertans,,1,26.2,26.2,20,20.0,6,8,75.0,5,7,71.4,3,4,75.0,1,2,3,4,1,0,1,1,106.2,102.5,20.9,185.9,29.9,10.5,5.9,9.2,7.7,24.5,2.3,0.0,9.3,0.5,23.63,17.99,5.64,0,0,0,1,1,100,7,5,71.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Valencia Basket,10,Omari Moore,,1,27.2,27.2,12,12.0,3,8,37.5,3,6,50.0,3,4,75.0,2,6,8,10,1,0,2,2,56.2,61.5,18.4,102.0,16.0,8.0,7.0,24.5,15.1,68.2,2.0,0.0,17.0,0.5,16.65,7.47,9.18,0,0,0,2,0,0,6,3,50,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Zalgiris Kaunas,7,Moses Wright,,1,23.4,23.4,21,21.0,8,8,100.0,1,1,100.0,4,5,80.0,4,2,6,0,1,0,1,2,106.2,102.9,23.6,187.5,28.8,1.4,22.8,12.2,17.7,0.0,2.3,0.0,8.9,0.62,16.19,11.66,4.53,0,0,0,7,7,100,1,1,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Anadolu Efes Istanbul,8,Nick Weiler-Babb,,1,22.9,22.9,12,12.0,4,5,80.0,3,4,75.0,1,1,100.0,0,4,4,3,2,0,1,3,110.0,110.3,13.0,186.3,16.8,5.6,0.0,20.6,10.8,21.0,4.9,0.0,15.5,0.2,15.99,7.62,8.36,0,0,0,1,1,100,4,3,75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fenerbahce Beko Istanbul,20,Devon Hall,,1,25.6,25.6,22,22.0,7,8,87.5,5,6,83.3,3,4,75.0,0,4,4,2,0,0,3,2,118.8,112.7,22.9,172.4,26.4,7.2,0.0,16.0,8.9,14.2,0.0,0.0,23.5,0.5,15.9,7.7,8.19,0,0,0,2,2,100,6,5,83.3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Panathinaikos AKTOR Athens,25,Kendrick Nunn,,1,33.9,33.9,21,21.0,9,14,64.3,0,3,0.0,3,3,100.0,0,3,3,10,0,0,2,1,64.3,68.5,25.9,121.2,29.6,4.2,0.0,10.7,6.3,58.0,0.0,0.0,11.5,0.21,15.8,9.97,5.83,0,0,0,11,9,81.8,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Olympiacos Piraeus,0,Thomas Walkup,,1,27.6,27.6,5,5.0,2,6,33.3,1,3,33.3,0,0,0,3,1,4,8,3,0,0,4,41.7,41.7,9.2,83.3,6.7,4.0,12.4,4.1,8.3,39.9,5.6,0.0,0.0,0.0,14.87,9.75,5.13,0,0,0,3,1,33.3,3,1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fenerbahce Beko Istanbul,4,Nicolo Melli,,1,24.5,24.5,9,9.0,3,7,42.9,3,5,60.0,0,0,0,1,5,6,3,3,1,1,1,64.3,64.3,15.0,112.5,10.8,6.0,5.3,20.9,14.0,17.4,6.0,4.1,12.5,0.0,14.63,3.94,10.68,0,0,0,2,0,0,5,3,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FC Barcelona,21,Will Clyburn,,1,24.8,24.8,23,23.0,8,11,72.7,3,5,60.0,4,4,100.0,2,5,7,2,0,1,1,1,86.4,90.1,26.5,167.2,33.5,7.3,11.1,32.2,20.9,16.9,0.0,3.9,7.3,0.36,14.39,15.15,-0.76,0,0,0,6,5,83.3,5,3,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FC Bayern Munich,4,Xavier Rathan-Mayes,,1,24.0,24.0,18,18.0,4,12,33.3,2,5,40.0,8,11,72.7,2,3,5,8,0,1,1,0,41.7,53.4,34.1,100.9,26.0,7.2,10.1,21.7,14.9,62.4,0.0,4.0,5.6,0.92,13.89,11.12,2.77,0,0,0,7,2,28.6,5,2,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dubai Basketball,13,Dzanan Musa,,1,33.7,33.7,19,19.0,6,12,50.0,3,5,60.0,4,4,100.0,2,2,4,5,0,0,2,2,62.5,69.0,23.9,120.6,28.4,7.5,9.1,7.2,8.0,22.1,0.0,0.0,12.7,0.33,13.83,11.67,2.16,0,0,0,7,3,42.9,5,3,60,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Anadolu Efes Istanbul,11,Rolands Smits,,1,15.8,15.8,16,16.0,7,10,70.0,2,3,66.7,0,0,0,1,2,3,1,1,0,0,2,80.0,80.0,29.2,160.0,22.4,4.2,8.1,14.9,11.7,17.6,3.5,0.0,0.0,0.0,13.12,7.83,5.29,0,0,0,7,5,71.4,3,2,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hapoel IBI Tel Aviv,2,Antonio Blakeney,,1,19.4,19.4,20,20.0,3,7,42.9,3,4,75.0,11,11,100.0,0,1,1,0,0,2,0,0,64.3,84.5,29.2,168.9,26.9,5.4,0.0,7.1,3.8,0.0,0.0,10.9,0.0,1.57,12.48,12.59,-0.11,0,0,0,3,0,0,4,3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LDLC ASVEL Villeurbanne,12,Nando De Colo,,1,23.8,23.8,17,17.0,6,11,54.5,3,8,37.5,2,2,100.0,0,3,3,4,2,0,3,1,68.2,71.5,30.1,114.2,23.2,10.9,0.0,12.0,6.5,37.4,4.5,0.0,20.2,0.18,12.33,4.76,7.57,0,0,0,3,3,100,8,3,37.5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Olympiacos Piraeus,33,Nikola Milutinov,,1,24.7,24.7,12,12.0,4,7,57.1,0,0,0,4,4,100.0,7,7,14,0,1,0,0,1,57.1,68.5,14.9,137.0,16.2,0.0,32.4,32.4,32.4,0.0,2.1,0.0,0.0,0.57,12.3,11.64,0.66,0,0,0,7,4,57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zalgiris Kaunas,3,Sylvain Francisco,,1,28.4,28.4,9,9.0,3,9,33.3,2,5,40.0,1,2,50.0,0,4,4,9,0,2,2,1,44.4,45.5,20.7,75.8,12.4,6.9,0.0,20.2,9.7,44.1,0.0,5.6,16.8,0.22,11.46,6.03,5.43,0,0,0,4,1,25,5,2,40,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Virtus Bologna,7,Saliou Niang,,1,26.6,26.6,12,12.0,6,8,75.0,0,0,0,0,0,0,1,3,4,3,1,0,1,2,75.0,75.0,18.2,133.3,17.6,0.0,5.0,15.6,10.2,25.1,2.2,0.0,11.1,0.0,11.38,3.01,8.37,0,0,0,8,6,75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Olympiacos Piraeus,22,Tyler Dorsey,,1,32.2,32.2,21,21.0,5,14,35.7,2,8,25.0,9,10,90.0,1,3,4,3,2,0,2,1,42.9,57.1,26.6,102.9,28.3,10.8,3.5,10.6,7.1,14.4,3.2,0.0,9.8,0.71,11.27,9.75,1.52,0,0,0,6,3,50,8,2,25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Panathinaikos AKTOR Athens,17,Nikolaos Rogkavopoulos,,1,28.6,28.6,15,15.0,4,7,57.1,2,4,50.0,5,6,83.3,2,3,5,0,2,0,1,2,71.4,77.8,18.8,141.0,21.1,5.6,12.2,12.7,12.5,0.0,4.0,0.0,9.4,0.86,10.59,6.39,4.2,0,0,0,3,2,66.7,4,2,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EA7 Emporio Armani Milan,23,Marko Guduric,,1,16.9,16.9,10,10.0,3,5,60.0,3,4,75.0,1,2,50.0,1,1,2,1,2,0,1,1,90.0,85.0,20.1,145.3,13.8,5.5,8.8,7.9,8.3,8.8,6.7,0.0,14.5,0.4,10.33,6.95,3.38,0,0,0,1,0,0,4,3,75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
