Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Alex O'Connell,ALBA BERLIN,3,Alex O'Connell,"J'wan Roberts, Moses Wood, Player 24, Sam Griesel",1,4.0,6,2,5,40.0,2,5,40.0,0,0,0,1,0,1,0,0,0,0,2,4,0,6,6.0,91.6,152.7,136.7,16.0,60.0,60.0,0.0,0.0,0,0,0,0,0,0,5,2,40,0,0,0,0,0,0,6,0,3
Alex O'Connell,ALBA BERLIN,3,Alex O'Connell,"Jack Kayil, Malte Delow, Moses Wood, Norris Agbakoko",2,3.1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,94.9,153.1,-58.1,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex O'Connell,ALBA BERLIN,3,Alex O'Connell,"Jack Kayil, Jonas Mattisseck, Justin Bean, Norris Agbakoko",2,3.1,3,1,5,20.0,1,3,33.3,0,0,0,1,2,3,0,0,0,0,0,4,0,3,1.5,43.6,130.7,34.0,96.6,30.0,30.0,0.0,0.0,1,0,0,1,0,0,3,1,33.3,0,0,0,0,0,0,0,0,0
Alex O'Connell,ALBA BERLIN,3,Alex O'Connell,"Martynas Echodas, Moses Wood, Player 24, Sam Griesel",1,3.1,3,1,2,50.0,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3.0,45.5,151.5,102.0,49.5,75.0,75.0,0.0,0.0,0,0,0,0,0,0,2,1,50,0,0,0,0,0,0,0,0,0
Alex O'Connell,ALBA BERLIN,3,Alex O'Connell,"Jonas Mattisseck, Justin Bean, Malte Delow, Martynas Echodas",1,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,255.5,161.3,94.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex O'Connell,ALBA BERLIN,3,Alex O'Connell,"J'wan Roberts, Jack Kayil, Moses Wood, Sam Griesel",1,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0.0,0.0,76.3,155.0,-78.7,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Alex O'Connell,ALBA BERLIN,3,Alex O'Connell,"Jack Kayil, Justin Bean, Norris Agbakoko, Sam Griesel",1,1.9,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,75.0,85.0,-10.0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alex O'Connell,ALBA BERLIN,3,Alex O'Connell,"Moses Wood, Norris Agbakoko, Player 24, Sam Griesel",1,1.8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,111.5,200.0,-88.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex O'Connell,ALBA BERLIN,3,Alex O'Connell,"Jack Kayil, Justin Bean, Malte Delow, Norris Agbakoko",2,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,245.9,138.9,107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex O'Connell,ALBA BERLIN,3,Alex O'Connell,"Bennet Hundt, J'wan Roberts, Moses Wood, Sam Griesel",1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,207.3,270.3,-63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
