# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 514
# Qualified players exported: 225
# Total stints used: 13207
# Garbage time stints excluded: 459
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
BBC Bayreuth,22,Leroy Ikenna Ikejiaku,844,2.98,6.05,9.03
Artland Dragons,9,Connor Van Anthony,1963,6.49,2.1,8.59
Bozic Estriche Knights Kirchheim,11,Tyrel Maurice Morgan,1423,2.41,4.79,7.19
Phoenix Hagen,11,Marvin Omonigho Omuvwie,1174,4.19,2.5,6.69
EPG Baskets Koblenz,0,Decorian Jeffries,1409,2.53,3.1,5.63
BG Göttingen,44,Julius Böhmer,1593,1.46,3.95,5.41
HAKRO Merlins Crailsheim,4,Brock Boone Gardner,1628,3.56,1.77,5.33
Eisbären Bremerhaven,2,Raphael Falkenthal,1146,1.38,3.78,5.15
Tigers Tübingen,21,Connor McDonald Nelson,289,3.34,1.64,4.97
GIESSEN 46ers,12,Robin Benzing,1883,1.41,3.37,4.78
VfL SparkassenStars Bochum,1,Antonio Deshon Williams,1645,1.13,3.47,4.6
Bayer Giants Leverkusen,4,Lok Lol Wur,717,2.26,2.31,4.57
HAKRO Merlins Crailsheim,0,Tyreese Blunt,1842,1.6,2.53,4.13
Eisbären Bremerhaven,11,Lorenz Brenneke,825,2.52,1.56,4.07
PS Karlsruhe LIONS,5,Tyrese Williams,1640,3.2,0.77,3.97
RheinStars Köln,11,Timothy Nehemiah Davis,332,-0.35,4.31,3.95
RheinStars Köln,10,Haris Hujic,982,1.79,2.02,3.82
Phoenix Hagen,2,Dennis Nawrocki,1590,1.92,1.8,3.73
Artland Dragons,7,Timo Lanmüller,1783,2.53,1.11,3.63
BMA365 Bamberg Baskets,8,Demarcus Demonia,256,3.41,0.11,3.52
Phoenix Hagen,0,Marcus Henri Graves,2119,1.07,2.39,3.46
Nürnberg Falcons BC,33,Brandton Dean Chatfield,1115,1.21,2.18,3.39
EPG Baskets Koblenz,10,Garrett Hicks,597,0.66,2.73,3.39
Bozic Estriche Knights Kirchheim,3,Charles Tyrone Harris Jr,1676,3.87,-0.58,3.29
Eisbären Bremerhaven,6,Carlos Deshawn Carter,1674,3.06,0.21,3.27
GIESSEN 46ers,3,Aiden Warnholtz,1408,1.84,1.41,3.25
Nürnberg Falcons BC,22,Trevor James Baskin,1418,0.09,3.15,3.24
VfL SparkassenStars Bochum,11,Dravon Mangum,1402,2.13,1.07,3.21
Paderborn Baskets,71,Jonathan Klussmann,1566,1.81,1.38,3.2
Phoenix Hagen,10,Fabian Bleck,1627,-1.06,4.21,3.15
SBB Baskets ,2,Travis Henson,518,-0.77,3.87,3.1
GIESSEN 46ers,13,Jonathan Maier,1032,-1.25,4.34,3.09
Tigers Tübingen,17,Lukas Max Milner,1167,0.65,2.4,3.05
Bozic Estriche Knights Kirchheim,9,Tylan James Pope,2149,3.82,-0.88,2.94
Tigers Tübingen,8,Felix Per Edwardsson,1114,0.65,2.26,2.91
Eisbären Bremerhaven,90,Jannis von Seckendorff,1638,3.44,-0.55,2.89
BG Göttingen,3,Jordan Sears,1752,-0.06,2.81,2.75
HAKRO Merlins Crailsheim,10,Gianni Otto,868,0.97,1.77,2.74
Bozic Estriche Knights Kirchheim,4,Gian Bahattin Aydinoglu,1382,-0.83,3.54,2.72
BG Göttingen,20,Janis Jünemann,768,-1.28,3.95,2.67
HAKRO Merlins Crailsheim,26,Marvin Ogunsipe,1697,2.14,0.5,2.64
Phoenix Hagen,4,Bjarne Kraushaar,2062,3.88,-1.52,2.35
Bayer Giants Leverkusen,21,John Williams Jr,1537,1.3,1.01,2.31
GIESSEN 46ers,14,Luis Elias König Figge,1143,-0.19,2.48,2.28
BG Göttingen,0,Nils Owen Schmitz,961,0.78,1.49,2.27
HAKRO Merlins Crailsheim,2,Keyshaun Darrius Langley,642,0.38,1.87,2.25
PS Karlsruhe LIONS,25,David Opowu Ejah,2064,0.8,1.39,2.19
Nürnberg Falcons BC,28,Tom Stoiber,1337,0.98,1.18,2.16
VfL SparkassenStars Bochum,0,Myreon Lamar Jones JR,1604,1.71,0.44,2.15
Phoenix Hagen,21,Tim Uhlemann,1582,1.08,1.03,2.11
Artland Dragons,25,Benjamin Forrest Burnham,2011,1.84,0.23,2.07
Bozic Estriche Knights Kirchheim,21,Nicolas Bretzel,1299,2.61,-0.54,2.07
HAKRO Merlins Crailsheim,99,Vincent Malik Shahid,1051,1.65,0.35,1.99
BG Göttingen,35,Wesley Nelson Dreamer,718,-0.16,2.12,1.97
BBC Bayreuth,2,Tehree Johnathan Horn,1602,-0.09,1.82,1.73
GIESSEN 46ers,18,Till Gloger,1303,0.92,0.8,1.73
SBB Baskets ,21,Modestas Paulauskas,302,-0.39,2.11,1.71
BG Göttingen,9,Kevin Buckingham,375,2.86,-1.15,1.71
GIESSEN 46ers,4,Adnan Arslanagic,670,1.38,0.3,1.67
Eisbären Bremerhaven,0,Elijah Jahi Miller,2059,2.2,-0.54,1.65
BG Göttingen,21,Zach Jackson,1635,2.83,-1.2,1.62
Eisbären Bremerhaven,7,Adrian Breitlauch,1446,1.46,0.14,1.6
Bayer Giants Leverkusen,3,Luca Finn Kahl,1300,-0.32,1.84,1.52
BG Göttingen,4,Daniel Kirchner,1468,1.52,-0.14,1.38
EPG Baskets Koblenz,3,Calvin Wishart,1606,3.69,-2.37,1.31
Uni Baskets Münster,1,Timetric Jerome Hodges,456,0.67,0.61,1.28
RheinStars Köln,23,Michael Jordan Miller,1444,1.04,0.23,1.27
SBB Baskets ,91,Michael Hughes II,1197,0.15,1.1,1.25
PS Karlsruhe LIONS,23,Maurice Marko Pluskota,1322,1.18,0.02,1.19
SBB Baskets ,22,Kevin Wohlrath,491,1.08,0.08,1.16
SBB Baskets ,24,Nigel Pruitt,610,2.95,-1.82,1.13
Tigers Tübingen,24,JaCobi Allen Wood,643,-0.37,1.49,1.12
Paderborn Baskets,2,Branden Michael Maughmer,1328,1.71,-0.72,0.99
RheinStars Köln,4,Zachary Richard Watson,684,0.62,0.34,0.96
Artland Dragons,3,Amir Jabbar Hinton,2012,3.04,-2.13,0.92
Phoenix Hagen,19,Marinus Lucas N'Guessan,1204,-0.27,1.12,0.85
HAKRO Merlins Crailsheim,12,Xavier Trent Johnson,1059,1.59,-0.75,0.84
SBB Baskets ,28,Alieu Ceesay,1090,1.46,-0.69,0.77
Nürnberg Falcons BC,2,Carter Dean Whitt,1021,0.55,0.2,0.75
PS Karlsruhe LIONS,4,Isaiah Rayshaud Hart,1578,-0.72,1.46,0.73
RheinStars Köln,34,Hall B Elisias,538,0.13,0.56,0.69
VfL SparkassenStars Bochum,8,Kilian Dietz,844,-1.59,2.26,0.67
BBC Bayreuth,55,Lenny Liedtke,1589,2.08,-1.49,0.59
Phoenix Hagen,8,Devin Lawrence Schmidt,1600,0.15,0.38,0.54
BMA365 Bamberg Baskets,24,Cobe Williams,260,1.32,-0.81,0.51
GIESSEN 46ers,7,Kyle Anthony Castlin,2427,0.9,-0.41,0.49
Eisbären Bremerhaven,3,Jacob David Biss,1640,0.73,-0.24,0.49
Bozic Estriche Knights Kirchheim,1,Phillip Montreal Russelll,1381,0.67,-0.19,0.48
HAKRO Merlins Crailsheim,20,Nicholas Christian Welp,252,1.32,-0.84,0.48
BBC Bayreuth,3,Rayshawn Rene Mart,1679,-0.62,1.09,0.47
GIESSEN 46ers,55,Simon Krajcovic,1806,-0.09,0.53,0.43
HAKRO Merlins Crailsheim,9,Anthony Malik Gaines,2007,-1.4,1.83,0.42
PS Karlsruhe LIONS,12,Kilian Binapfl,1377,1.48,-1.15,0.34
Bayer Giants Leverkusen,8,Kobe Langley,1737,1.15,-0.89,0.25
Phoenix Hagen,77,Anzac Joseph Dennis Rissetto,968,-0.11,0.36,0.25
