Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
ANGELES DE CIUDAD DE MÉXICO,"J. Calloway, Y. Bonilla Silva, W. Yoakum, T. Brown, D. Willis Orozco","ANGELES DE CIUDAD DE MÉXICO|10,2,3,4,9",6,60.0,3599.0,0,0,114,0.0,0,49,0.0,0,0,0,0,0,0,0,0,0,0,0,0,109.4,0.0,0.0,0.0,0.0,0
ZONKEYS DE TIJUANA,"A. Pruitt, J. Webster, T. Allen, F. Jaimes Nava, J. Grayer","ZONKEYS DE TIJUANA|0,11,2,4,7",6,59.0,3541.0,0,0,95,0.0,0,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0,91.2,0.0,0.0,0.0,0.0,0
ANGELES DE CIUDAD DE MÉXICO,"J. Calloway, W. Yoakum, T. Brown, D. Jennings, D. Willis Orozco","ANGELES DE CIUDAD DE MÉXICO|10,3,4,44,9",5,49.0,2938.0,0,0,94,0.0,0,37,0.0,0,0,0,0,0,0,0,0,0,0,0,0,90.2,0.0,0.0,0.0,0.0,0
HALCONES DE OBREGON,"G. Whittington, B. Beavers, J. Adaway, C. Zinaich, T. Nuno","HALCONES DE OBREGON|0,10,23,3,6",3,30.0,1800.0,0,0,46,0.0,0,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,44.2,0.0,0.0,0.0,0.0,0
ZONKEYS DE TIJUANA,"J. Webster, M. Durr, T. Allen, F. Jaimes Nava, J. Grayer","ZONKEYS DE TIJUANA|11,14,2,4,7",3,29.8,1789.0,0,0,50,0.0,0,17,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48.0,0.0,0.0,0.0,0.0,0
ZONKEYS DE TIJUANA,"A. Williams, J. Webster, M. Durr, T. Allen, J. Grayer","ZONKEYS DE TIJUANA|1,11,14,2,7",3,29.7,1784.0,0,0,50,0.0,0,22,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48.0,0.0,0.0,0.0,0.0,0
ASTROS DE JALISCO,"T. Mc Callum, B. Jefferson, A. Chaney, K. Rodriguez Carrazco, H. Grant Iv","ASTROS DE JALISCO|0,10,11,12,22",3,29.7,1784.0,0,0,36,0.0,0,16,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34.6,0.0,0.0,0.0,0.0,0
HALCONES DE OBREGON,"G. Whittington, J. De Vante Perkins, J. Adaway, C. Zinaich, T. Nuno","HALCONES DE OBREGON|0,13,23,3,6",3,29.4,1763.0,0,0,41,0.0,0,17,0.0,0,0,0,0,0,0,0,0,0,1,0,0,40.3,0.0,0.0,0.0,0.0,0
PIONEROS DE LOS MOCHIS,"J. Frame, A. Harrison, K. Allen, I. Williams, M. Carter","PIONEROS DE LOS MOCHIS|0,11,4,5,6",2,20.1,1208.0,0,0,31,0.0,0,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,29.8,0.0,0.0,0.0,0.0,0
OSTIONEROS DE GUAYMAS,"J. Ivey, I. Muhammad, G. Davis, U. Utomi, J. Wheeler","OSTIONEROS DE GUAYMAS|0,2,20,4,5",2,20.1,1208.0,0,0,32,0.0,0,15,0.0,0,0,0,0,0,0,0,0,0,0,0,0,30.7,0.0,0.0,0.0,0.0,0
PIONEROS DE LOS MOCHIS,"J. Frame, R. Smith, A. Harrison, M. Carter, T. Johnson","PIONEROS DE LOS MOCHIS|0,10,11,6,8",2,20.1,1203.0,0,0,31,0.0,0,15,0.0,0,0,0,0,0,0,0,0,0,0,0,0,29.8,0.0,0.0,0.0,0.0,0
ASTROS DE JALISCO,"T. Mc Callum, A. Chaney, K. Rodriguez, H. Grant Iv, M. Mckinney","ASTROS DE JALISCO|0,11,12,22,3",2,19.9,1195.0,0,0,36,0.0,0,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34.6,0.0,0.0,0.0,0.0,0
ASTROS DE JALISCO,"T. Mc Callum, K. Rodriguez Carrazco, J. Michael Martin, M. Mitchell, M. Mckinney","ASTROS DE JALISCO|0,12,13,21,3",2,19.8,1190.0,0,0,32,0.0,0,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,30.7,0.0,0.0,0.0,0.0,0
RAYOS DE HERMOSILLO,"B. Griggs, K. Iverson, S. Kenney, S. Maxwell, B. Martinez Campa","RAYOS DE HERMOSILLO|11,3,34,35,9",2,19.8,1190.0,0,0,36,0.0,0,19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34.6,0.0,0.0,0.0,0.0,0
HALCONES DE OBREGON,"G. Whittington, J. De Vante Perkins, J. Adaway, T. Nuno, J. Canty","HALCONES DE OBREGON|0,13,23,6,9",2,19.8,1190.0,0,0,36,0.0,0,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34.6,0.0,0.0,0.0,0.0,0
ASTROS DE JALISCO,"T. Mc Callum, A. Chaney, K. Rodriguez Carrazco, M. Mitchell, M. Mckinney","ASTROS DE JALISCO|0,11,12,21,3",2,19.6,1176.0,0,0,27,0.0,0,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25.9,0.0,0.0,0.0,0.0,0
PIONEROS DE LOS MOCHIS,"J. Frame, R. Smith, A. Harrison, I. Williams, D. Carlisle","PIONEROS DE LOS MOCHIS|0,10,11,5,7",2,19.4,1161.0,0,0,34,0.0,0,17,0.0,0,0,0,0,0,0,0,0,0,0,0,0,32.6,0.0,0.0,0.0,0.0,0
ZONKEYS DE TIJUANA,"A. Williams, J. Webster, T. Allen, F. Jaimes Nava, J. Grayer","ZONKEYS DE TIJUANA|1,11,2,4,7",2,19.3,1159.0,0,0,37,0.0,0,13,0.0,0,0,0,0,0,0,0,0,0,0,0,0,35.5,0.0,0.0,0.0,0.0,0
ASTROS DE JALISCO,"T. Mc Callum, K. Rodriguez Carrazco, J. Michael Martin, H. Grant Iv, M. Mckinney","ASTROS DE JALISCO|0,12,13,22,3",1,14.8,885.0,0,0,24,0.0,0,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,0.0,0.0,0.0,0.0,0
CABALLEROS DE CULIACAN,"L. Peters, J. Hughes Iii, I. Hamilton, C. Vogt, D. Wallace","CABALLEROS DE CULIACAN|14,24,4,7,8",1,14.8,885.0,0,0,33,0.0,0,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31.7,0.0,0.0,0.0,0.0,0
ZONKEYS DE TIJUANA,"A. Pruitt, A. Williams, J. Webster, F. Jaimes Nava, J. Grayer","ZONKEYS DE TIJUANA|0,1,11,4,7",2,12.0,721.0,0,0,17,0.0,0,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16.3,0.0,0.0,0.0,0.0,0
HALCONES DE OBREGON,"G. Whittington, J. Perkins, J. Adaway, C. Zinaich, T. Nuno","HALCONES DE OBREGON|0,13,23,3,6",1,10.3,617.0,0,0,16,0.0,0,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,0.0,0.0,0.0,0.0,0
RAYOS DE HERMOSILLO,"B. Griggs, C. Christon, K. Iverson, S. Kenney, B. Martinez Campa","RAYOS DE HERMOSILLO|11,12,3,34,9",1,10.2,612.0,0,0,18,0.0,0,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,0.0,0.0,0.0,0.0,0
OSTIONEROS DE GUAYMAS,"I. Muhammad, G. Davis-Mcmurrin, C. Oluyitan, U. Utomi, J. Wheeler","OSTIONEROS DE GUAYMAS|2,20,23,4,5",1,10.2,609.0,0,0,14,0.0,0,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,13.4,0.0,0.0,0.0,0.0,0
ZONKEYS DE TIJUANA,"A. Williams, J. Webster, M. Durr, T. Allen, F. Jaimes Nava","ZONKEYS DE TIJUANA|1,11,14,2,4",1,10.1,607.0,0,0,16,0.0,0,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,0.0,0.0,0.0,0.0,0
ASTROS DE JALISCO,"T. Mc Callum, A. Chaney, K. Rodriguez, M. Mitchell, M. Mckinney","ASTROS DE JALISCO|0,11,12,21,3",1,10.1,605.0,0,0,17,0.0,0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16.3,0.0,0.0,0.0,0.0,0
OSTIONEROS DE GUAYMAS,"H. Spencer Iii, S. Kenney, Q. Green, A. Tarke, B. Rivera Herrera","OSTIONEROS DE GUAYMAS|22,3,30,7,9",1,10.1,606.0,0,0,18,0.0,0,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,0.0,0.0,0.0,0.0,0
HALCONES DE OBREGON,"G. Whittington, K. Williams, J. De Vante Perkins, C. Zinaich, T. Nuno","HALCONES DE OBREGON|0,1,13,3,6",1,10.1,606.0,0,0,16,0.0,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,0.0,0.0,0.0,0.0,0
OSTIONEROS DE GUAYMAS,"J. Ivey, I. Muhammad, G. Davis-Mcmurrin, U. Utomi, J. Wheeler","OSTIONEROS DE GUAYMAS|0,2,20,4,5",1,10.1,605.0,0,0,16,0.0,0,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,0.0,0.0,0.0,0.0,0
FRAYLES DE GUASAVE,"T. Jones, A. Peacock, B. Porter, J. Soto, S. Pinkney","FRAYLES DE GUASAVE|2,22,25,28,33",1,10.1,605.0,0,0,19,0.0,0,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,0.0,0.0,0.0,0.0,0
RAYOS DE HERMOSILLO,"T. Clark, K. Iverson, R. Goodwin, S. Kenney, J. Montgomery","RAYOS DE HERMOSILLO|27,3,33,34,36",1,10.0,599.0,0,0,15,0.0,0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,0.0,0.0,0.0,0.0,0
ASTROS DE JALISCO,"B. Jefferson, A. Chaney, K. Rodriguez Carrazco, H. Grant Iv, M. Mckinney","ASTROS DE JALISCO|10,11,12,22,3",1,10.0,598.0,0,0,17,0.0,0,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16.3,0.0,0.0,0.0,0.0,0
CABALLEROS DE CULIACAN,"J. Hughes Iii, J. Cumberland, I. Hamilton, C. Vogt, D. Wallace","CABALLEROS DE CULIACAN|24,34,4,7,8",1,10.0,598.0,0,0,15,0.0,0,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,0.0,0.0,0.0,0.0,0
RAYOS DE HERMOSILLO,"T. Clark, K. Iverson, R. Goodwin, S. Kenney, B. Martinez Campa","RAYOS DE HERMOSILLO|27,3,33,34,9",1,10.0,602.0,0,0,19,0.0,0,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,0.0,0.0,0.0,0.0,0
ANGELES DE CIUDAD DE MÉXICO,"J. Calloway, S. Leday, W. Yoakum, T. Brown, D. Willis Orozco","ANGELES DE CIUDAD DE MÉXICO|10,16,3,4,9",1,10.0,602.0,0,0,20,0.0,0,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,19.2,0.0,0.0,0.0,0.0,0
ASTROS DE JALISCO,"T. Mc Callum, J. Michael Martin, M. Mitchell, M. Mckinney, L. Alvarez Montoya","ASTROS DE JALISCO|0,13,21,3,8",1,10.0,602.0,0,0,17,0.0,0,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16.3,0.0,0.0,0.0,0.0,0
ASTROS DE JALISCO,"T. Mc Callum, A. Chaney, J. Michael Martin, H. Grant Iv, M. Mckinney","ASTROS DE JALISCO|0,11,13,22,3",1,10.0,601.0,0,0,16,0.0,0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,0.0,0.0,0.0,0.0,0
ZONKEYS DE TIJUANA,"A. Pruitt, A. Williams, J. Webster, M. Durr, J. Grayer","ZONKEYS DE TIJUANA|0,1,11,14,7",1,10.0,601.0,0,0,17,0.0,0,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16.3,0.0,0.0,0.0,0.0,0
CABALLEROS DE CULIACAN,"N. Allen, L. Peters, J. Hughes Iii, I. Hamilton, C. Vogt","CABALLEROS DE CULIACAN|11,14,24,4,7",1,10.0,601.0,0,0,17,0.0,0,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16.3,0.0,0.0,0.0,0.0,0
VENADOS DE MAZATLAN,"E. Weaver, K. Feagin, B. Riley Jr, T. Thompson, M. Jackson Wright","VENADOS DE MAZATLAN|0,10,33,55,8",1,10.0,601.0,0,0,20,0.0,0,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,19.2,0.0,0.0,0.0,0.0,0
VENADOS DE MAZATLAN,"E. Weaver, J. Andriassi Quintana, B. Riley Jr, T. Thompson, M. Jackson Wright","VENADOS DE MAZATLAN|0,14,33,55,8",1,10.0,600.0,0,0,18,0.0,0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,0.0,0.0,0.0,0.0,0
