Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
ANGELES DE CIUDAD DE MÉXICO,"J. Calloway, Y. Bonilla Silva, W. Yoakum, T. Brown, D. Willis Orozco",6,14374,0,0,466,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,447,72.1,74.7,69.4,32.1,34.6,0,0,0,0,0,0,0,39.7,0,0,0,433,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,415,0,0,0,0,37,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,1
ZONKEYS DE TIJUANA,"A. Pruitt, J. Webster, T. Allen, F. Jaimes Nava, J. Grayer",6,14324,0,0,428,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,410,68.7,68.8,68.5,34.9,35.0,0,0,0,0,0,0,0,44.2,0,0,0,426,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,408,0,0,0,0,41.3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0
ANGELES DE CIUDAD DE MÉXICO,"J. Calloway, W. Yoakum, T. Brown, D. Jennings, D. Willis Orozco",5,11915,0,0,364,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,349,69.2,70.4,68.1,34.1,35.3,0,0,0,0,0,0,0,39.8,0,0,0,352,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,337,0,0,0,0,42,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
HALCONES DE OBREGON,"G. Whittington, J. De Vante Perkins, J. Adaway, C. Zinaich, T. Nuno",4,9550,0,0,267,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,256,62.7,64.4,61,37.3,39.3,0,0,0,0,0,0,0,35.6,0,0,0,253,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,37.9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,1
ZONKEYS DE TIJUANA,"J. Webster, M. Durr, T. Allen, F. Jaimes Nava, J. Grayer",3,7183,0,0,215,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,206,68.6,69,68.3,34.8,35.1,0,0,0,0,0,0,0,36.7,0,0,0,213,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,39,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
OSTIONEROS DE GUAYMAS,"J. Ivey, I. Muhammad, G. Davis-Mcmurrin, U. Utomi, J. Wheeler",3,7178,0,0,197,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,189,62.4,63.2,61.6,38.0,38.9,0,0,0,0,0,0,0,42.6,0,0,0,192,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,29.2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
ASTROS DE JALISCO,"T. Mc Callum, A. Chaney, K. Rodriguez Carrazco, M. Mitchell, M. Mckinney",3,7155,0,0,191,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,183,62,61.5,62.5,39.0,38.4,0,0,0,0,0,0,0,35.6,0,0,0,194,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,41.8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1
ZONKEYS DE TIJUANA,"A. Williams, J. Webster, M. Durr, T. Allen, J. Grayer",3,7161,0,0,191,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,183,59.7,61.5,57.9,39.1,41.4,0,0,0,0,0,0,0,49.7,0,0,0,180,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,35.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
HALCONES DE OBREGON,"G. Whittington, B. Beavers, J. Adaway, C. Zinaich, T. Nuno",3,7152,0,0,188,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,180,62.8,60.6,65.1,39.6,36.9,0,0,0,0,0,0,0,44.1,0,0,0,202,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,34.2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
ASTROS DE JALISCO,"T. Mc Callum, B. Jefferson, A. Chaney, K. Rodriguez Carrazco, H. Grant Iv",3,7161,0,0,180,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,172,59.7,57.9,61.5,41.4,39.1,0,0,0,0,0,0,0,35.6,0,0,0,191,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,49.7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HALCONES DE OBREGON,"G. Whittington, J. De Vante Perkins, J. Adaway, T. Nuno, J. Canty",3,7159,0,0,178,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,170,57,57.3,56.6,41.9,42.4,0,0,0,0,0,0,0,33.1,0,0,0,176,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,40.3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
RAYOS DE HERMOSILLO,"B. Griggs, K. Iverson, S. Kenney, S. Maxwell, B. Martinez Campa",2,4779,0,0,143,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,137,71.4,68.9,73.8,34.8,32.5,0,0,0,0,0,0,0,37.8,0,0,0,153,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,41.2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,1
ASTROS DE JALISCO,"T. Mc Callum, A. Chaney, K. Rodriguez Carrazco, H. Grant Iv, M. Mckinney",2,4764,0,0,132,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,126,60.2,63.8,56.6,37.6,42.4,0,0,0,0,0,0,0,36.4,0,0,0,117,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,46.2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
ZONKEYS DE TIJUANA,"A. Williams, J. Webster, T. Allen, F. Jaimes Nava, J. Grayer",2,4756,0,0,131,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,125,61,63.5,58.6,37.8,40.9,0,0,0,0,0,0,0,41.2,0,0,0,121,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,43,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
ASTROS DE JALISCO,"T. Mc Callum, K. Rodriguez Carrazco, J. Michael Martin, M. Mitchell, M. Mckinney",2,4784,0,0,127,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,121,62.1,61.2,63.1,39.2,38.0,0,0,0,0,0,0,0,44.1,0,0,0,131,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,45.8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
PIONEROS DE LOS MOCHIS,"J. Frame, R. Smith, A. Harrison, I. Williams, D. Carlisle",2,4757,0,0,127,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,121,66.1,61.5,70.7,39.0,33.9,0,0,0,0,0,0,0,44.1,0,0,0,146,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,41.1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
PIONEROS DE LOS MOCHIS,"J. Frame, R. Smith, A. Harrison, M. Carter, T. Johnson",2,4788,0,0,127,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,121,60.2,61.1,59.2,39.3,40.5,0,0,0,0,0,0,0,44.1,0,0,0,123,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,51.2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
PIONEROS DE LOS MOCHIS,"J. Frame, A. Harrison, K. Allen, I. Williams, M. Carter",2,4800,0,0,126,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,120,62.9,60.5,65.3,39.7,36.8,0,0,0,0,0,0,0,38.1,0,0,0,136,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,36.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
ZONKEYS DE TIJUANA,"A. Pruitt, A. Williams, J. Webster, F. Jaimes Nava, J. Grayer",2,4309,0,0,111,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,106,59.9,59.4,60.4,40.4,39.7,0,0,0,0,0,0,0,42.3,0,0,0,113,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,39.8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ANGELES DE CIUDAD DE MÉXICO,"S. Leday, W. Yoakum, T. Brown, D. Jennings, D. Jordan",1,2376,0,0,93,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,89,78.1,90.2,65.9,26.6,36.4,0,0,0,0,0,0,0,35.5,0,0,0,68,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,41.2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ANGELES DE CIUDAD DE MÉXICO,"J. Calloway, S. Leday, W. Yoakum, T. Brown, D. Willis Orozco",1,2392,0,0,86,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,82,76.1,82.8,69.4,29.0,34.6,0,0,0,0,0,0,0,40.7,0,0,0,72,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,45.8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
