Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
D. Jennings,ANGELES DE CIUDAD DE MÉXICO,44,D. Jennings,"D. Willis Orozco, J. Calloway, T. Brown, W. Yoakum",5,198.6,0,0,29,0.0,0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D. Jennings,ANGELES DE CIUDAD DE MÉXICO,44,D. Jennings,"D. Jordan, S. Leday, T. Brown, W. Yoakum",1,39.6,0,0,6,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D. Jordan,ANGELES DE CIUDAD DE MÉXICO,7,D. Jordan,"D. Jennings, S. Leday, T. Brown, W. Yoakum",1,39.6,0,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D. Willis Orozco,ANGELES DE CIUDAD DE MÉXICO,9,D. Willis Orozco,"J. Calloway, T. Brown, W. Yoakum, Y. Bonilla Silva",6,239.6,0,0,39,0.0,0,28,0.0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D. Willis Orozco,ANGELES DE CIUDAD DE MÉXICO,9,D. Willis Orozco,"D. Jennings, J. Calloway, T. Brown, W. Yoakum",5,198.6,0,0,25,0.0,0,11,0.0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D. Willis Orozco,ANGELES DE CIUDAD DE MÉXICO,9,D. Willis Orozco,"J. Calloway, S. Leday, T. Brown, W. Yoakum",1,39.9,0,0,12,0.0,0,9,0.0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J. Calloway,ANGELES DE CIUDAD DE MÉXICO,10,J. Calloway,"D. Willis Orozco, T. Brown, W. Yoakum, Y. Bonilla Silva",6,239.6,0,0,76,0.0,0,47,0.0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J. Calloway,ANGELES DE CIUDAD DE MÉXICO,10,J. Calloway,"D. Jennings, D. Willis Orozco, T. Brown, W. Yoakum",5,198.6,0,0,64,0.0,0,41,0.0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J. Calloway,ANGELES DE CIUDAD DE MÉXICO,10,J. Calloway,"D. Willis Orozco, S. Leday, T. Brown, W. Yoakum",1,39.9,0,0,14,0.0,0,7,0.0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J. Calloway,ANGELES DE CIUDAD DE MÉXICO,10,J. Calloway,"S. Leday, T. Brown, W. Yoakum, Y. Bonilla Silva",1,39.9,0,0,16,0.0,0,10,0.0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. Leday,ANGELES DE CIUDAD DE MÉXICO,16,S. Leday,"D. Willis Orozco, J. Calloway, T. Brown, W. Yoakum",1,39.9,0,0,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. Leday,ANGELES DE CIUDAD DE MÉXICO,16,S. Leday,"J. Calloway, T. Brown, W. Yoakum, Y. Bonilla Silva",1,39.9,0,0,5,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. Leday,ANGELES DE CIUDAD DE MÉXICO,16,S. Leday,"D. Jennings, D. Jordan, T. Brown, W. Yoakum",1,39.6,0,0,10,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T. Brown,ANGELES DE CIUDAD DE MÉXICO,4,T. Brown,"D. Willis Orozco, J. Calloway, W. Yoakum, Y. Bonilla Silva",6,239.6,0,0,91,0.0,0,34,0.0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T. Brown,ANGELES DE CIUDAD DE MÉXICO,4,T. Brown,"D. Jennings, D. Willis Orozco, J. Calloway, W. Yoakum",5,198.6,0,0,78,0.0,0,33,0.0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T. Brown,ANGELES DE CIUDAD DE MÉXICO,4,T. Brown,"D. Willis Orozco, J. Calloway, S. Leday, W. Yoakum",1,39.9,0,0,19,0.0,0,8,0.0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T. Brown,ANGELES DE CIUDAD DE MÉXICO,4,T. Brown,"J. Calloway, S. Leday, W. Yoakum, Y. Bonilla Silva",1,39.9,0,0,23,0.0,0,9,0.0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T. Brown,ANGELES DE CIUDAD DE MÉXICO,4,T. Brown,"D. Jennings, D. Jordan, S. Leday, W. Yoakum",1,39.6,0,0,22,0.0,0,12,0.0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W. Yoakum,ANGELES DE CIUDAD DE MÉXICO,3,W. Yoakum,"D. Willis Orozco, J. Calloway, T. Brown, Y. Bonilla Silva",6,239.6,0,0,50,0.0,0,12,0.0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W. Yoakum,ANGELES DE CIUDAD DE MÉXICO,3,W. Yoakum,"D. Jennings, D. Willis Orozco, J. Calloway, T. Brown",5,198.6,0,0,72,0.0,0,26,0.0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W. Yoakum,ANGELES DE CIUDAD DE MÉXICO,3,W. Yoakum,"D. Willis Orozco, J. Calloway, S. Leday, T. Brown",1,39.9,0,0,9,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
