# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 91
# Qualified players exported: 44
# Total stints used: 48
# Garbage time stints excluded: 0
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
ANGELES DE CIUDAD DE MÉXICO,44,D. Jennings,438,0.0,0.0,0.0
ANGELES DE CIUDAD DE MÉXICO,9,D. Willis Orozco,886,0.0,0.0,0.0
ANGELES DE CIUDAD DE MÉXICO,10,J. Calloway,959,0.0,0.0,0.0
ANGELES DE CIUDAD DE MÉXICO,4,T. Brown,1040,0.0,0.0,0.0
ANGELES DE CIUDAD DE MÉXICO,3,W. Yoakum,1040,0.0,0.0,0.0
ANGELES DE CIUDAD DE MÉXICO,2,Y. Bonilla Silva,522,0.0,0.0,0.0
ASTROS DE JALISCO,11,A. Chaney,867,0.0,0.0,0.0
ASTROS DE JALISCO,10,B. Jefferson,310,0.0,0.0,0.0
ASTROS DE JALISCO,22,H. Grant Iv,584,0.0,0.0,0.0
ASTROS DE JALISCO,13,J. Michael Martin,346,0.0,0.0,0.0
ASTROS DE JALISCO,12,K. Rodriguez Carrazco,754,0.0,0.0,0.0
ASTROS DE JALISCO,3,M. Mckinney,791,0.0,0.0,0.0
ASTROS DE JALISCO,21,M. Mitchell,437,0.0,0.0,0.0
ASTROS DE JALISCO,0,T. Mc Callum,1021,0.0,0.0,0.0
CABALLEROS DE CULIACAN,7,C. Vogt,281,0.0,0.0,0.0
CABALLEROS DE CULIACAN,8,D. Wallace,280,0.0,0.0,0.0
CABALLEROS DE CULIACAN,4,I. Hamilton,415,0.0,0.0,0.0
CABALLEROS DE CULIACAN,24,J. Hughes Iii,415,0.0,0.0,0.0
HALCONES DE OBREGON,10,B. Beavers,265,0.0,0.0,0.0
HALCONES DE OBREGON,3,C. Zinaich,516,0.0,0.0,0.0
HALCONES DE OBREGON,0,G. Whittington,693,0.0,0.0,0.0
HALCONES DE OBREGON,23,J. Adaway,702,0.0,0.0,0.0
HALCONES DE OBREGON,13,J. De Vante Perkins,498,0.0,0.0,0.0
HALCONES DE OBREGON,6,T. Nuno,763,0.0,0.0,0.0
OSTIONEROS DE GUAYMAS,2,I. Muhammad,253,0.0,0.0,0.0
OSTIONEROS DE GUAYMAS,0,J. Ivey,255,0.0,0.0,0.0
OSTIONEROS DE GUAYMAS,5,J. Wheeler,313,0.0,0.0,0.0
OSTIONEROS DE GUAYMAS,4,U. Utomi,313,0.0,0.0,0.0
PIONEROS DE LOS MOCHIS,11,A. Harrison,460,0.0,0.0,0.0
PIONEROS DE LOS MOCHIS,5,I. Williams,335,0.0,0.0,0.0
PIONEROS DE LOS MOCHIS,0,J. Frame,540,0.0,0.0,0.0
PIONEROS DE LOS MOCHIS,6,M. Carter,404,0.0,0.0,0.0
PIONEROS DE LOS MOCHIS,10,R. Smith,329,0.0,0.0,0.0
RAYOS DE HERMOSILLO,9,B. Martinez Campa,301,0.0,0.0,0.0
RAYOS DE HERMOSILLO,3,K. Iverson,499,0.0,0.0,0.0
RAYOS DE HERMOSILLO,34,S. Kenney,429,0.0,0.0,0.0
RAYOS DE HERMOSILLO,27,T. Clark,276,0.0,0.0,0.0
ZONKEYS DE TIJUANA,0,A. Pruitt,804,0.0,0.0,0.0
ZONKEYS DE TIJUANA,1,A. Williams,613,0.0,0.0,0.0
ZONKEYS DE TIJUANA,4,F. Jaimes Nava,1014,0.0,0.0,0.0
ZONKEYS DE TIJUANA,7,J. Grayer,1258,0.0,0.0,0.0
ZONKEYS DE TIJUANA,11,J. Webster,1393,0.0,0.0,0.0
ZONKEYS DE TIJUANA,14,M. Durr,595,0.0,0.0,0.0
ZONKEYS DE TIJUANA,2,T. Allen,1149,0.0,0.0,0.0
