Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
ZONKEYS DE TIJUANA,T. Allen,2,T. Allen,21,29.4,616.9,411.0,19.6,135.0,321.0,42.1,47.0,141.0,33.3,94.0,116.0,81,30.0,98.0,128.0,47.0,24.0,7.0,54.0,48.0,380.2,32.5,35.0,4.0,10.9,0,411.0,19.6,35.0,0,0.0,72,0,0.0,72.0,19,2.29,-1.42,3.71,3.2,2.3,8.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZONKEYS DE TIJUANA,J. Grayer,7,J. Grayer,21,28.6,601.5,298.0,14.2,123.0,251.0,49,28.0,84.0,33.3,24.0,36.0,66.7,48.0,113.0,161.0,33.0,24.0,14.0,29.0,42.0,237.9,20.8,26.0,2.9,14.1,0,298.0,14.2,26.0,0,0.0,53,0,0.0,53.0,18,2.74,-1.63,4.37,4.1,3.2,12.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZONKEYS DE TIJUANA,J. Webster,11,J. Webster,21,34.2,718.5,290.0,13.8,110.0,221.0,49.8,29.0,65.0,44.6,41.0,61.0,67.2,28.0,83.0,111.0,134.0,31.0,5.0,42.0,47.0,251.4,18.4,21.2,9.8,8.1,0,290.0,13.8,21.2,0,0.0,66,0,0.0,66.0,19,3.85,-1.0,4.85,1.7,1.5,3.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZONKEYS DE TIJUANA,A. Williams,1,A. Williams,21,27.8,583.6,232.0,11.0,76.0,204.0,37.3,46.0,150.0,30.7,34.0,46.0,73.9,20.0,76.0,96.0,34.0,18.0,2.0,32.0,62.0,226.8,20.5,20.9,3.1,8.6,0,232.0,11.0,20.9,0,0.0,49,0,0.0,49.0,19,-2.14,-5.33,3.19,3.0,3.8,4.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZONKEYS DE TIJUANA,A. Pruitt,0,A. Pruitt,21,21.4,450.3,193.0,9.2,70.0,118.0,59.3,18.0,38.0,47.4,35.0,52.0,67.3,28.0,62.0,90.0,34.0,17.0,15.0,18.0,38.0,125.6,14.7,22.5,4.0,10.5,0,193.0,9.2,22.5,0,0.0,24,0,0.0,24.0,12,5.34,-0.68,6.02,3.6,2.5,4.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZONKEYS DE TIJUANA,M. Durr,14,M. Durr,21,16.4,345.4,84.0,4.0,31.0,62.0,50,0.0,1.0,0,22.0,31.0,71,30.0,47.0,77.0,15.0,7.0,15.0,27.0,51.0,69.7,10.6,12.8,2.3,11.7,0,84.0,4.0,12.8,0,0.0,7,0,0.0,7.0,6,-3.94,-8.42,4.48,4.5,4.3,7.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZONKEYS DE TIJUANA,J. Burns,77,J. Burns,21,7.9,166.0,51.0,2.4,16.0,55.0,29.1,15.0,48.0,31.2,4.0,4.0,100,2.0,12.0,14.0,15.0,5.0,0.0,10.0,21.0,62.2,19.7,16.1,4.7,4.4,0,51.0,2.4,16.1,0,0.0,12,0,0.0,12.0,8,-4.96,-7.38,2.42,2.2,4.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZONKEYS DE TIJUANA,K. Rodriguez Avila,6,K. Rodriguez Avila,21,5.1,107.3,27.0,1.3,9.0,24.0,37.5,7.0,16.0,43.8,2.0,3.0,66.7,4.0,8.0,12.0,8.0,5.0,0.0,3.0,2.0,23.3,11.5,13.2,3.9,5.9,0,27.0,1.3,13.2,0,0.0,4,0,0.0,4.0,3,1.38,-2.86,4.24,2.3,3.9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZONKEYS DE TIJUANA,J. Jimenez Cornejo,23,J. Jimenez Cornejo,21,0.9,18.9,8.0,0.4,2.0,6.0,33.3,0.0,2.0,0,4.0,4.0,100,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,7.4,20.8,22.3,0.0,8.3,0,8.0,0.4,22.3,0,0.0,5,0,0.0,5.0,3,-6.87,-7.28,0.41,3.2,4.2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZONKEYS DE TIJUANA,A. Olivas Baca,17,A. Olivas Baca,21,1.3,26.4,4.0,0.2,2.0,6.0,33.3,0.0,1.0,0,0.0,0.0,0,2.0,5.0,7.0,2.0,0.0,2.0,1.0,4.0,4.8,9.6,8.0,4.0,13.9,0,4.0,0.2,8.0,0,0.0,2,0,0.0,2.0,2,-4.13,-8.91,4.78,4.0,4.3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZONKEYS DE TIJUANA,F. Jaimes Nava,4,F. Jaimes Nava,19,17.9,339.5,107.0,5.6,43.0,103.0,41.7,10.0,40.0,25,11.0,18.0,61.1,20.0,50.0,70.0,25.0,10.0,4.0,13.0,34.0,99.8,15.5,16.6,3.9,10.8,0,107.0,5.6,16.6,0,0.0,11,0,0.0,11.0,7,-1.65,-5.63,3.98,3.4,4.0,6.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTROS DE JALISCO,A. Chaney,11,A. Chaney,18,26.3,472.8,212.0,11.8,69.0,174.0,39.7,31.0,73.0,42.5,43.0,51.0,84.3,12.0,54.0,66.0,91.0,26.0,2.0,40.0,52.0,215.5,24.5,24.3,10.4,7.6,0,212.0,11.8,24.3,0,0.0,47,0,0.0,47.0,15,3.34,-2.0,5.34,1.6,1.7,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTROS DE JALISCO,T. Mc Callum,0,T. Mc Callum,18,25.8,464.7,210.0,11.7,83.0,173.0,48,21.0,64.0,32.8,23.0,30.0,76.7,15.0,87.0,102.0,27.0,15.0,11.0,22.0,47.0,185.5,21.5,24.5,3.1,11.9,0,210.0,11.7,24.5,0,0.0,31,0,0.0,31.0,10,2.22,-3.33,5.55,4.0,3.4,10.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTROS DE JALISCO,M. Mitchell,21,M. Mitchell,18,20.2,364.1,203.0,11.3,79.0,136.0,58.1,2.0,5.0,40,43.0,63.0,68.3,43.0,86.0,129.0,18.0,8.0,19.0,29.0,37.0,143.7,21.3,30.2,2.7,19.2,0,203.0,11.3,30.2,0,0.0,33,0,0.0,33.0,11,3.89,-1.47,5.36,5.0,2.7,15.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTROS DE JALISCO,B. Jefferson,10,B. Jefferson,18,18.3,329.7,127.0,7.1,45.0,91.0,49.5,13.0,36.0,36.1,24.0,29.0,82.8,20.0,42.0,62.0,17.0,9.0,1.0,14.0,51.0,93.8,15.3,20.9,2.8,10.2,0,127.0,7.1,20.9,0,0.0,19,0,0.0,19.0,11,0.28,-4.44,4.71,3.5,3.5,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTROS DE JALISCO,H. Grant Iv,22,H. Grant Iv,16,16.1,258.2,145.0,9.1,55.0,100.0,55,0.0,0.0,0,35.0,49.0,71.4,27.0,32.0,59.0,19.0,6.0,8.0,17.0,19.0,107.1,22.3,30.4,4.0,12.4,0,145.0,9.1,30.4,0,0.0,21,0,0.0,21.0,9,3.98,-0.79,4.77,4.1,2.6,6.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTROS DE JALISCO,M. Andriassi Quintana,7,M. Andriassi Quintana,16,16.8,269.6,72.0,4.5,24.0,91.0,26.4,18.0,67.0,26.9,6.0,10.0,60,8.0,29.0,37.0,23.0,7.0,0.0,15.0,31.0,98.3,19.6,14.5,4.6,7.4,0,72.0,4.5,14.5,0,0.0,13,0,0.0,13.0,8,-5.63,-8.38,2.74,2.7,4.6,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTROS DE JALISCO,K. Rodriguez Carrazco,12,K. Rodriguez Carrazco,15,30.1,451.9,138.0,9.2,48.0,114.0,42.1,21.0,62.0,33.9,21.0,30.0,70,7.0,46.0,53.0,39.0,15.0,6.0,18.0,23.0,132.7,15.8,16.5,4.7,6.3,0,138.0,9.2,16.5,0,0.0,26,0,0.0,26.0,11,1.51,-3.55,5.06,2.5,3.6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTROS DE JALISCO,L. Alvarez Montoya,8,L. Alvarez Montoya,15,4.5,66.8,19.0,1.3,7.0,14.0,50,5.0,9.0,55.6,0.0,0.0,0,9.0,5.0,14.0,1.0,0.0,0.0,4.0,12.0,8.6,7.0,15.4,0.8,11.3,0,19.0,1.3,15.4,0,0.0,5,0,0.0,5.0,2,-2.71,-4.65,1.94,3.8,4.1,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTROS DE JALISCO,K. Matute Perner,50,K. Matute Perner,15,4.2,63.3,12.0,0.8,4.0,10.0,40,0.0,1.0,0,4.0,6.0,66.7,2.0,10.0,12.0,2.0,1.0,2.0,7.0,14.0,16.9,14.4,10.3,1.7,10.3,0,12.0,0.8,10.3,0,0.0,2,0,0.0,2.0,1,-8.99,-13.76,4.77,3.9,4.6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
