Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
SENDAI 89ERS,"Shota Watanabe, Nathan Boothe, Seiya Funyu, Jarrett Culver, Sergio El Darwich","SENDAI 89ERS|15,45,7,8,9",9,Sergio El Darwich,45,Nathan Boothe,46,118,26,20,25,1.84,4.72
SAGA BALLOONERS,"Ryo Abe, Sori Uchio, Tanner Groves, David Dudzinski, Taiki Sumida","SAGA BALLOONERS|13,18,22,23,25",25,Taiki Sumida,22,Tanner Groves,32,78,14,18,18,1.78,4.33
UTSUNOMIYA BREX,"Shinji Takashima, DJ Newbill, Gavin Edwards, Isaac Fotu, Makoto Hiejima","UTSUNOMIYA BREX|12,25,33,42,6",25,DJ Newbill,42,Isaac Fotu,36,77,5,31,21,1.71,3.67
NAGOYA DIAMOND DOLPHINS,"Aaron Henry, Takumi Saito, Keita Imamura, Kyle Richardson, Scott Eatherton","NAGOYA DIAMOND DOLPHINS|11,2,30,34,43",2,Takumi Saito,43,Scott Eatherton,30,62,2,28,20,1.5,3.1
NAGASAKI VELCA,"Ko Kumagai, Yudai Baba, Akil Mitchell, Hyunjung Lee, Jarrell Brantley","NAGASAKI VELCA|11,18,25,5,7",11,Ko Kumagai,5,Hyunjung Lee,20,58,18,2,14,1.43,4.14
SAGA BALLOONERS,"Ryo Abe, Sori Uchio, Tanner Groves, David Dudzinski, Taiki Sumida","SAGA BALLOONERS|13,18,22,23,25",13,Ryo Abe,22,Tanner Groves,24,58,10,14,18,1.33,3.22
UTSUNOMIYA BREX,"Shinji Takashima, DJ Newbill, Gavin Edwards, Isaac Fotu, Makoto Hiejima","UTSUNOMIYA BREX|12,25,33,42,6",6,Makoto Hiejima,42,Isaac Fotu,28,57,1,27,19,1.47,3.0
SEAHORSES MIKAWA,"Jake Layman, Yutaro Suda, Yudai Nishida, Davante Gardner, Satoshi Nagano","SEAHORSES MIKAWA|10,13,19,54,7",7,Satoshi Nagano,10,Jake Layman,22,54,10,12,15,1.47,3.6
NAGASAKI VELCA,"Ko Kumagai, Yudai Baba, Akil Mitchell, Hyunjung Lee, Jarrell Brantley","NAGASAKI VELCA|11,18,25,5,7",7,Jarrell Brantley,5,Hyunjung Lee,19,52,14,5,16,1.19,3.25
NAGOYA DIAMOND DOLPHINS,"Aaron Henry, Takumi Saito, Keita Imamura, Kyle Richardson, Scott Eatherton","NAGOYA DIAMOND DOLPHINS|11,2,30,34,43",2,Takumi Saito,30,Keita Imamura,19,50,12,7,12,1.58,4.17
SAGA BALLOONERS,"Ryo Abe, Sori Uchio, Tanner Groves, David Dudzinski, Taiki Sumida","SAGA BALLOONERS|13,18,22,23,25",25,Taiki Sumida,23,David Dudzinski,18,49,13,5,13,1.38,3.77
UTSUNOMIYA BREX,"Shinji Takashima, DJ Newbill, Gavin Edwards, Isaac Fotu, Makoto Hiejima","UTSUNOMIYA BREX|12,25,33,42,6",25,DJ Newbill,33,Gavin Edwards,19,47,9,10,15,1.27,3.13
LEVANGA HOKKAIDO,"Ren Shimatani, Dwight Ramos, Jahlil Okafor, Keisei Tominaga, Kevin Jones","LEVANGA HOKKAIDO|15,2,22,30,5",22,Jahlil Okafor,30,Keisei Tominaga,20,47,7,13,16,1.25,2.94
SENDAI 89ERS,"Shota Watanabe, Nathan Boothe, Seiya Funyu, Jarrett Culver, Sergio El Darwich","SENDAI 89ERS|15,45,7,8,9",9,Sergio El Darwich,15,Shota Watanabe,16,46,14,2,15,1.07,3.07
SEAHORSES MIKAWA,"Jake Layman, Yutaro Suda, Yudai Nishida, Davante Gardner, Satoshi Nagano","SEAHORSES MIKAWA|10,13,19,54,7",7,Satoshi Nagano,13,Yutaro Suda,17,46,12,5,12,1.42,3.83
SENDAI 89ERS,"Shota Watanabe, Nathan Boothe, Seiya Funyu, Jarrett Culver, Sergio El Darwich","SENDAI 89ERS|15,45,7,8,9",45,Nathan Boothe,9,Sergio El Darwich,19,43,5,14,14,1.36,3.07
SEAHORSES MIKAWA,"Jake Layman, Yutaro Suda, Yudai Nishida, Davante Gardner, Satoshi Nagano","SEAHORSES MIKAWA|10,13,19,54,7",54,Davante Gardner,10,Jake Layman,19,43,5,14,15,1.27,2.87
SEAHORSES MIKAWA,"Jake Layman, Yutaro Suda, Yudai Nishida, Davante Gardner, Satoshi Nagano","SEAHORSES MIKAWA|10,13,19,54,7",19,Yudai Nishida,54,Davante Gardner,18,43,7,11,14,1.29,3.07
NAGASAKI VELCA,"Ko Kumagai, Yudai Baba, Akil Mitchell, Hyunjung Lee, Jarrell Brantley","NAGASAKI VELCA|11,18,25,5,7",7,Jarrell Brantley,25,Akil Mitchell,20,43,3,17,14,1.43,3.07
NAGASAKI VELCA,"Ko Kumagai, Stanley Johnson, Yudai Baba, Hyunjung Lee, Jarrell Brantley","NAGASAKI VELCA|11,14,18,5,7",18,Yudai Baba,7,Jarrell Brantley,18,42,6,12,16,1.12,2.62
NAGOYA DIAMOND DOLPHINS,"Aaron Henry, Takumi Saito, Keita Imamura, Kyle Richardson, Scott Eatherton","NAGOYA DIAMOND DOLPHINS|11,2,30,34,43",11,Aaron Henry,2,Takumi Saito,16,42,10,6,14,1.14,3.0
NAGASAKI VELCA,"Ko Kumagai, Yudai Baba, Akil Mitchell, Hyunjung Lee, Jarrell Brantley","NAGASAKI VELCA|11,18,25,5,7",25,Akil Mitchell,5,Hyunjung Lee,18,42,6,12,13,1.38,3.23
