Canonical,Team,Numbers,Variations
Kazuma Okajima,SENDAI 89ERS,3,Kazuma Okajima
Seiya Funyu,SENDAI 89ERS,7,Seiya Funyu
Jarrett Culver,SENDAI 89ERS,8,Jarrett Culver
Sergio El Darwich,SENDAI 89ERS,9,Sergio El Darwich
Hirohide Araya,SENDAI 89ERS,11,Hirohide Araya
Shota Watanabe,SENDAI 89ERS,15,Shota Watanabe
Boubacar Toure,SENDAI 89ERS,21,Boubacar Toure
Ryota Hanzawa,SENDAI 89ERS,23,Ryota Hanzawa
Kosei Niinuma,SENDAI 89ERS,24,Kosei Niinuma
Nathan Boothe,SENDAI 89ERS,45,Nathan Boothe
Soichiro Inoue,SENDAI 89ERS,75,Soichiro Inoue
Masato Abe,SENDAI 89ERS,4/96,Masato Abe
Robert Franks,IBARAKI ROBOTS,0,Robert Franks
Genki Kojima,IBARAKI ROBOTS,1,Genki Kojima
Noboru Hasegawa,IBARAKI ROBOTS,3,Noboru Hasegawa
Hayate Komasawa,IBARAKI ROBOTS,7,Hayate Komasawa
Tyler Cook,IBARAKI ROBOTS,8,Tyler Cook
Jae-Min Yang,IBARAKI ROBOTS,9,Jae-Min Yang
Ru Jingaoka,IBARAKI ROBOTS,10,Ru Jingaoka
Kohei Nakamura,IBARAKI ROBOTS,13,Kohei Nakamura
Kotaro Hisaoka,IBARAKI ROBOTS,14,Kotaro Hisaoka
Eric Jacobsen,IBARAKI ROBOTS,21,Eric Jacobsen
Atsunobu Hirao,IBARAKI ROBOTS,25,Atsunobu Hirao
Keita Tsurumaki,IBARAKI ROBOTS,29,Keita Tsurumaki
Jarell Martin,KOSHIGAYA ALPHAS,1,Jarell Martin
Kaito Shike,KOSHIGAYA ALPHAS,4,Kaito Shike
Anthony Clemmons,KOSHIGAYA ALPHAS,5,Anthony Clemmons
Hamiltongary Kotera,KOSHIGAYA ALPHAS,00/6,Hamiltongary Kotera
Shun Matsuyama,KOSHIGAYA ALPHAS,7,Shun Matsuyama
Joseph Diawara,KOSHIGAYA ALPHAS,8,Joseph Diawara
Yuichi Ikeda,KOSHIGAYA ALPHAS,12,Yuichi Ikeda
Takeru Oba,KOSHIGAYA ALPHAS,14,Takeru Oba
Yuya Kamata,KOSHIGAYA ALPHAS,18,Yuya Kamata
Kai Sugawara,KOSHIGAYA ALPHAS,28,Kai Sugawara
Shuhei Kitagawa,KOSHIGAYA ALPHAS,31,Shuhei Kitagawa
Sekou Doumbouya,KOSHIGAYA ALPHAS,45,Sekou Doumbouya
Coty Clarke,SHIMANE SUSANOO MAGIC,1,Coty Clarke
Nick Kay,SHIMANE SUSANOO MAGIC,4,Nick Kay
Hiromu Kitagawa,SHIMANE SUSANOO MAGIC,6,Hiromu Kitagawa
Anthony Sho Sukegawa,SHIMANE SUSANOO MAGIC,7,Anthony Sho Sukegawa
Taichi Nakamura,SHIMANE SUSANOO MAGIC,11,Taichi Nakamura
James Michael McAdoo,SHIMANE SUSANOO MAGIC,14,James Michael McAdoo
Ryosuke Shirahama,SHIMANE SUSANOO MAGIC,15,Ryosuke Shirahama
Seishin Yokochi,SHIMANE SUSANOO MAGIC,17,Seishin Yokochi
