# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 466
# Qualified players exported: 338
# Total stints used: 27747
# Garbage time stints excluded: 944
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
GUNMA CRANE THUNDERS,8,Kerry BlackshearJr,2743,7.59,4.01,11.6
NAGOYA DIAMOND DOLPHINS,43,Scott Eatherton,2350,2.18,7.25,9.43
NAGASAKI VELCA,5,Hyunjung Lee,3634,7.0,2.41,9.41
CHIBA JETS,33,John Mooney,1330,4.7,3.69,8.39
SEAHORSES MIKAWA,54,Davante Gardner,3272,5.79,2.44,8.22
CHIBA JETS,10,DJ Hogg,3064,4.96,3.18,8.14
SHIMANE SUSANOO MAGIC,4,Nick Kay,3352,3.34,4.14,7.48
OSAKA EVESSA,52,Volodymyr Gerun,1481,1.08,6.04,7.12
NAGASAKI VELCA,18,Yudai Baba,3564,3.37,3.43,6.8
UTSUNOMIYA BREX,25,DJ Newbill,3360,4.11,2.33,6.44
ALVARK TOKYO,11,Sebastian Saiz,2928,5.38,0.88,6.26
FIGHTING EAGLES NAGOYA,54,Sean O'mara,3184,3.32,2.68,6.0
CHIBA JETS,4,Naoki Tashiro,1622,1.68,4.29,5.97
YOKOHAMA B-CORSAIRS,15,Kiefer Ravena,2368,1.84,3.78,5.62
SAN-EN NEOPHOENIX,1,Yante Maten,2071,1.64,3.9,5.54
SENDAI 89ERS,9,Sergio El Darwich,2722,3.67,1.85,5.53
TOYAMA GROUSES,8,Trey Kell,2647,3.45,2.03,5.47
GUNMA CRANE THUNDERS,32,Johannes Thiemann,1321,2.42,2.98,5.41
NAGOYA DIAMOND DOLPHINS,11,Aaron Henry,3578,0.58,4.82,5.4
SUNROCKERS SHIBUYA,3,John Lawrence Harper Jr,2188,2.21,3.15,5.36
NAGASAKI VELCA,14,Stanley Johnson,3520,1.68,3.57,5.24
SAN-EN NEOPHOENIX,2,David Nwaba,3265,3.52,1.52,5.04
HIROSHIMA DRAGONFLIES,34,Keijiro Mitani,2440,1.77,2.72,4.49
SUNROCKERS SHIBUYA,32,Morihisa Yamauchi,542,4.99,-0.52,4.46
RYUKYU GOLDEN KINGS,4,Vic Law,2788,1.6,2.75,4.35
UTSUNOMIYA BREX,33,Gavin Edwards,2794,2.9,1.41,4.31
RYUKYU GOLDEN KINGS,45,Jack Cooley,2947,2.23,2.08,4.31
ALTIRI CHIBA,21,Brandon Ashley,916,1.17,3.08,4.26
LEVANGA HOKKAIDO,2,Dwight Ramos,2854,4.37,-0.13,4.24
HIROSHIMA DRAGONFLIES,13,Dwayne Evans II,2638,2.46,1.59,4.05
SEAHORSES MIKAWA,7,Satoshi Nagano,2326,3.0,1.01,4.0
SUNROCKERS SHIBUYA,8,Josh Hawkinson,3178,2.29,1.64,3.93
NAGASAKI VELCA,7,Jarrell Brantley,3617,0.41,3.51,3.93
LEVANGA HOKKAIDO,15,Ren Shimatani,2070,2.88,0.98,3.85
SAGA BALLOONERS,2,Reynaldo Garcia,1264,1.62,2.22,3.85
CHIBA JETS,1,Yuta Watanabe,3096,3.34,0.45,3.79
HIROSHIMA DRAGONFLIES,23,Kofi Cockburn,2777,2.59,1.02,3.61
GUNMA CRANE THUNDERS,15,AJ Edu,2201,-0.41,3.96,3.55
HIROSHIMA DRAGONFLIES,3,Tatsuya Ito,1261,1.75,1.78,3.53
RYUKYU GOLDEN KINGS,34,Shota Onodera,1656,3.57,-0.05,3.51
NAGOYA DIAMOND DOLPHINS,30,Keita Imamura,2717,3.27,0.23,3.5
ALVARK TOKYO,75,Taiki Osakabe,2572,0.25,3.24,3.49
FIGHTING EAGLES NAGOYA,22,Jeremy Jones,1759,0.27,3.22,3.49
UTSUNOMIYA BREX,12,Shinji Takashima,2124,2.05,1.35,3.39
RYUKYU GOLDEN KINGS,14,Ryuichi Kishimoto,2731,2.23,1.14,3.37
ALTIRI CHIBA,22,Trey Porter,2412,2.55,0.73,3.28
LEVANGA HOKKAIDO,21,John Harrar,1988,0.55,2.7,3.25
