Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
B.LEAGUE U18 JADE,9,Koshiro Asai,,1,27.4,27.4,21,21.0,9,10,90.0,3,4,75.0,0,0,0,0,5,5,2,0,0,1,0,105.0,105.0,18.0,190.9,27.6,5.3,0.0,16.6,8.8,15.5,0.0,0.0,9.1,0.0,20.24,11.39,8.84,0,0,0,6,6,100,4,3,75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B.LEAGUE U18 JADE,4,Masato Abe,,1,36.0,36.0,19,19.0,7,17,41.2,2,7,28.6,3,5,60.0,2,9,11,6,2,2,2,0,47.1,49.5,26.4,89.6,25.0,9.2,5.7,22.7,14.7,27.5,2.9,5.8,9.4,0.29,19.04,8.25,10.79,4,2,50,6,3,50,7,2,28.6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
B.WHITE,13,Daiki Tanaka,,1,17.5,17.5,29,29.0,10,18,55.6,9,16,56.2,0,0,0,0,2,2,2,0,0,0,0,80.6,80.6,35.5,161.1,29.7,16.4,0.0,9.7,5.0,15.1,0.0,0.0,0.0,0.0,16.13,18.28,-2.15,2,1,50,0,0,0,16,9,56.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.WHITE,0,Zach Auguste,,1,20.1,20.1,18,18.0,9,13,69.2,0,3,0.0,0,0,0,5,4,9,8,1,0,0,0,69.2,69.2,22.4,138.5,18.4,3.1,22.2,17.0,19.5,45.5,2.1,0.0,0.0,0.0,15.79,15.61,0.18,9,8,88.9,1,1,100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUNMA CRANE THUNDERS,8,Kerry BlackshearJr,,62,26.0,1609.8,987,15.9,340,571,59.5,46,100,46.0,261,304,85.9,160,305,465,264,67,34,91,161,63.6,70.0,24.7,124.0,22.8,2.3,13.2,24.6,19.0,31.1,2.4,2.5,11.4,0.53,14.96,8.79,6.16,67,59,88.1,404,235,58.2,100,46,46,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGASAKI VELCA,5,Hyunjung Lee,,66,29.1,1923.5,1128,17.1,367,662,55.4,204,435,46.9,190,224,84.8,84,280,364,163,71,32,63,127,70.8,74.2,19.6,137.0,22.0,8.5,5.4,18.0,11.7,14.0,1.9,1.8,7.6,0.34,14.22,8.48,5.75,95,74,77.9,132,89,67.4,435,204,46.9,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
B.LEAGUE U18 JADE,11,Yuito Haruta,,1,20.2,20.2,17,17.0,5,10,50.0,5,9,55.6,2,2,100.0,1,3,4,1,0,0,1,2,75.0,78.1,26.3,143.1,22.4,11.8,5.1,13.5,9.5,8.9,0.0,0.0,8.4,0.2,13.97,7.84,6.13,0,0,0,1,0,0,9,5,55.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B.LEAGUE U18 JADE,12,Ayuki Kawabe,,1,32.2,32.2,8,8.0,3,7,42.9,2,4,50.0,0,0,0,0,5,5,7,2,0,3,0,57.1,57.1,13.9,80.0,10.5,5.3,0.0,14.1,7.5,30.7,3.2,0.0,30.0,0.0,13.85,4.04,9.82,1,0,0,2,1,50,4,2,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
UTSUNOMIYA BREX,25,DJ Newbill,,61,31.2,1901.7,1162,19.0,387,781,49.6,192,489,39.3,196,264,74.2,38,272,310,386,75,14,159,121,61.8,64.8,26.7,110.0,26.2,11.0,2.5,17.0,9.9,36.7,2.2,0.8,15.1,0.34,13.72,9.18,4.54,163,125,76.7,129,70,54.3,489,192,39.3,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN-EN NEOPHOENIX,2,David Nwaba,,56,31.8,1779.0,1161,20.7,413,750,55.1,64,199,32.2,271,381,71.1,107,323,430,215,104,72,125,123,59.3,63.3,27.3,111.4,27.9,4.8,7.6,23.7,15.5,23.2,3.1,4.3,12.0,0.51,13.28,7.77,5.52,166,132,79.5,385,217,56.4,199,64,32.2,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0
