Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
NAGASAKI VELCA,Jarrell Brantley,7,Jarrell Brantley,67,28.9,1934.2,1082.0,16.1,407.0,881.0,46.2,121.0,357.0,33.9,147.0,200.0,73.5,77.0,271.0,348.0,311.0,107.0,47.0,161.0,191.0,1010.9,27.0,20.8,6.0,6.7,707,1789.0,26.7,34.4,86,3.9,58,25,62.3,82.0,22,5.02,-2.2,7.22,3.2,2.4,150.0,107.0,71.3,374.0,179.0,47.9,357.0,121.0,33.9,67.0,18.0,0.0,0.0,0.0,144.0,101.0,146.0,236.0
RYUKYU GOLDEN KINGS,Jack Cooley,45,Jack Cooley,67,25.9,1732.2,883.0,13.2,325.0,575.0,56.5,2.0,7.0,28.6,231.0,299.0,77.3,300.0,350.0,650.0,125.0,49.0,48.0,68.0,142.0,455.6,15.2,19.0,2.7,14.0,289,1172.0,17.5,25.2,65,2.7,36,36,62.7,56.8,24,8.06,3.39,4.67,5.0,2.3,28.0,20.0,71.4,540.0,303.0,56.1,7.0,2.0,28.6,7.0,0.0,0.0,0.0,0.0,39.0,356.0,44.0,158.0
NAGASAKI VELCA,Yudai Baba,18,Yudai Baba,67,28.1,1881.0,812.0,12.1,291.0,560.0,52,107.0,269.0,39.8,123.0,149.0,82.6,84.0,175.0,259.0,212.0,109.0,31.0,106.0,166.0,621.7,17.1,15.6,4.1,5.0,452,1264.0,18.9,24.3,61,3.2,46,12,59.5,56.3,19,5.25,-1.87,7.12,2.9,2.7,116.0,89.0,76.7,175.0,95.0,54.3,269.0,107.0,39.8,47.0,5.0,0.0,0.0,0.0,102.0,77.0,248.0,224.0
RYUKYU GOLDEN KINGS,Alex Kirk,53,Alex Kirk,67,22.7,1519.2,703.0,10.5,291.0,465.0,62.6,1.0,10.0,10,120.0,165.0,72.7,168.0,273.0,441.0,100.0,20.0,58.0,56.0,85.0,408.6,15.5,15.1,2.1,9.5,230,933.0,13.9,20.0,51,2.5,29,15,71.6,36.6,20,6.97,1.85,5.12,5.0,2.5,77.0,69.0,89.6,378.0,221.0,58.5,10.0,1.0,10,18.0,0.0,0.0,0.0,0.0,44.0,207.0,44.0,79.0
RYUKYU GOLDEN KINGS,Ryo Sadohara,8,Ryo Sadohara,67,18.2,1222.0,412.0,6.1,152.0,346.0,43.9,49.0,156.0,31.4,59.0,83.0,71.1,63.0,99.0,162.0,80.0,28.0,17.0,55.0,143.0,359.5,17.0,8.9,1.7,3.5,172,584.0,8.7,12.5,25,1.5,28,4,42.0,33.8,17,-0.06,-4.05,3.99,3.1,3.7,48.0,30.0,62.5,142.0,73.0,51.4,156.0,49.0,31.4,16.0,1.0,0.0,0.0,0.0,44.0,62.0,69.0,84.0
NAGASAKI VELCA,Hayato Yamaguchi,17,Hayato Yamaguchi,67,20.0,1339.8,331.0,4.9,115.0,278.0,41.4,68.0,185.0,36.8,33.0,49.0,67.3,45.0,111.0,156.0,65.0,44.0,8.0,44.0,124.0,286.6,11.1,6.4,1.2,3.0,160,491.0,7.3,9.4,14,2.0,10,0,70.0,11.0,7,-0.85,-5.94,5.1,3.0,4.7,32.0,19.0,59.4,61.0,28.0,45.9,185.0,68.0,36.8,4.0,0.0,0.0,0.0,0.0,39.0,38.0,50.0,58.0
RYUKYU GOLDEN KINGS,Shota Onodera,34,Shota Onodera,67,14.2,952.0,194.0,2.9,66.0,193.0,34.2,47.0,143.0,32.9,15.0,16.0,93.8,31.0,56.0,87.0,87.0,29.0,4.0,23.0,108.0,184.4,11.2,4.2,1.9,1.9,178,372.0,5.6,8.0,5,0.8,5,2,42.5,5.9,6,-0.07,-4.53,4.47,2.2,4.1,17.0,8.0,47.1,33.0,11.0,33.3,143.0,47.0,32.9,3.0,1.0,0.0,0.0,0.0,20.0,28.0,32.0,41.0
RYUKYU GOLDEN KINGS,Hayate Arakawa,10,Hayate Arakawa,67,7.5,500.4,161.0,2.4,58.0,181.0,32,34.0,143.0,23.8,11.0,14.0,78.6,10.0,27.0,37.0,48.0,19.0,2.0,23.0,51.0,192.2,22.2,3.5,1.0,0.8,96,257.0,3.8,5.5,10,1.7,12,0,41.7,13.0,6,-2.22,-5.33,3.11,1.9,4.1,16.0,12.0,75,22.0,12.0,54.5,143.0,34.0,23.8,9.0,11.0,0.0,0.0,0.0,21.0,21.0,33.0,32.0
NAGASAKI VELCA,Masaya Karimata,4,Masaya Karimata,67,5.9,397.9,90.0,1.3,30.0,101.0,29.7,27.0,93.0,29,3.0,4.0,75,3.0,18.0,21.0,25.0,9.0,1.0,9.0,63.0,104.4,13.6,1.7,0.5,0.4,57,147.0,2.2,2.8,3,3.0,2,0,75.0,2.0,1,-4.85,-8.83,3.98,2.5,5.0,3.0,1.0,33.3,5.0,2.0,40,93.0,27.0,29,0.0,0.0,0.0,0.0,0.0,8.0,9.0,17.0,12.0
NAGASAKI VELCA,Stanley Johnson,14,Stanley Johnson,66,28.3,1866.2,1439.0,21.8,487.0,1106.0,44,166.0,525.0,31.6,299.0,370.0,80.8,76.0,338.0,414.0,247.0,123.0,25.0,197.0,163.0,1334.2,37.0,27.7,4.7,8.0,556,1995.0,30.2,38.3,101,4.4,70,36,58.8,96.8,23,6.13,-0.63,6.77,3.5,2.0,176.0,135.0,76.7,405.0,186.0,45.9,525.0,166.0,31.6,97.0,62.0,0.0,0.0,0.0,183.0,124.0,344.0,292.0
NAGASAKI VELCA,Hyunjung Lee,5,Hyunjung Lee,66,29.1,1923.5,1128.0,17.1,367.0,662.0,55.4,204.0,435.0,46.9,190.0,224.0,84.8,84.0,280.0,364.0,163.0,71.0,32.0,63.0,127.0,710.0,19.1,21.7,3.1,7.0,366,1494.0,22.6,28.7,72,3.0,39,36,65.6,58.8,24,9.88,3.09,6.78,3.8,1.7,95.0,74.0,77.9,132.0,89.0,67.4,435.0,204.0,46.9,18.0,5.0,0.0,0.0,0.0,54.0,155.0,127.0,191.0
RYUKYU GOLDEN KINGS,Ryuichi Kishimoto,14,Ryuichi Kishimoto,65,24.2,1570.0,735.0,11.3,235.0,664.0,35.4,128.0,416.0,30.8,137.0,158.0,86.7,25.0,115.0,140.0,202.0,57.0,2.0,96.0,135.0,772.3,28.4,15.8,4.3,3.0,443,1178.0,18.1,25.3,79,2.9,61,24,55.2,79.6,27,1.3,-1.81,3.11,1.7,2.7,109.0,58.0,53.2,139.0,49.0,35.3,416.0,128.0,30.8,44.0,43.0,0.0,0.0,0.0,92.0,71.0,65.0,102.0
CHIBA JETS,Yuki Togashi,2,Yuki Togashi,65,25.7,1669.7,626.0,9.6,201.0,568.0,35.4,132.0,392.0,33.7,92.0,104.0,88.5,13.0,74.0,87.0,292.0,28.0,0.0,118.0,76.0,690.0,22.6,13.2,6.1,1.8,581,1207.0,18.6,25.4,28,1.4,36,7,35.8,43.1,20,-1.79,-2.88,1.09,1.3,2.8,47.0,30.0,63.8,129.0,39.0,30.2,392.0,132.0,33.7,20.0,62.0,0.0,0.0,0.0,117.0,56.0,52.0,69.0
RYUKYU GOLDEN KINGS,Yoshiyuki Matsuwaki,15,Yoshiyuki Matsuwaki,65,20.3,1320.2,344.0,5.3,118.0,358.0,33,93.0,287.0,32.4,15.0,21.0,71.4,28.0,73.0,101.0,81.0,50.0,6.0,53.0,123.0,376.6,16.5,7.4,1.7,2.2,162,506.0,7.8,10.9,14,1.2,13,0,53.8,14.0,12,-1.25,-5.04,3.8,2.1,4.4,21.0,12.0,57.1,50.0,13.0,26,287.0,93.0,32.4,5.0,14.0,0.0,0.0,0.0,51.0,36.0,45.0,47.0
NAGOYA DIAMOND DOLPHINS,Takumi Saito,2,Takumi Saito,64,24.9,1595.7,799.0,12.5,270.0,608.0,44.4,143.0,346.0,41.3,116.0,144.0,80.6,43.0,89.0,132.0,348.0,92.0,3.0,121.0,100.0,719.4,23.9,16.5,7.2,2.7,731,1530.0,23.9,31.6,82,3.0,64,27,54.0,84.9,27,7.3,1.09,6.21,1.0,1.0,78.0,51.0,65.4,184.0,76.0,41.3,346.0,143.0,41.3,27.0,42.0,0.0,0.0,0.0,119.0,93.0,136.0,177.0
NAGOYA DIAMOND DOLPHINS,Keita Imamura,30,Keita Imamura,64,23.2,1481.7,591.0,9.2,211.0,599.0,35.2,117.0,377.0,31,52.0,73.0,71.2,57.0,102.0,159.0,153.0,52.0,11.0,68.0,107.0,616.4,22.1,12.2,3.2,3.3,325,916.0,14.3,18.9,49,2.0,52,6,44.8,58.6,24,0.28,-4.66,4.94,2.4,3.5,63.0,35.0,55.6,159.0,59.0,37.1,377.0,117.0,31,12.0,16.0,0.0,0.0,0.0,64.0,76.0,133.0,134.0
NAGOYA DIAMOND DOLPHINS,Kyle Richardson,34,Kyle Richardson,64,22.2,1423.9,446.0,7.0,158.0,346.0,45.7,16.0,64.0,25,114.0,169.0,67.5,168.0,241.0,409.0,65.0,62.0,9.0,100.0,173.0,338.3,12.6,9.2,1.3,8.4,147,593.0,9.3,12.2,13,1.1,12,15,34.9,23.6,12,-1.57,-7.26,5.69,4.4,4.1,41.0,28.0,68.3,241.0,114.0,47.3,64.0,16.0,25,4.0,0.0,0.0,0.0,0.0,66.0,149.0,46.0,96.0
CHIBA JETS,Shuta Hara,31,Shuta Hara,64,22.9,1465.2,393.0,6.1,162.0,350.0,46.3,37.0,110.0,33.6,32.0,53.0,60.4,42.0,102.0,144.0,166.0,24.0,6.0,74.0,116.0,389.1,14.5,8.3,3.5,3.0,366,759.0,11.9,16.0,15,0.8,28,2,26.0,32.9,18,-2.48,-5.72,3.24,2.3,3.7,80.0,51.0,63.7,160.0,74.0,46.2,110.0,37.0,33.6,21.0,3.0,0.0,0.0,0.0,69.0,46.0,76.0,72.0
