Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,DEF_POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
Derby College Trailblazers EABL,"C. Burr, G. Pastor, W. Tallon, E. Norman, J. Howlett","Derby College Trailblazers EABL|0,13,6,7,8",2,9.3,561.0,16,6,17,35.3,1,9,11.1,3,4,75.0,0,0,0,6,0,0,4,0,30,21.8,24.8,73.2,120.9,-47.7,1.71,-14
BMET City of Birmingham Rockets EABL,"P. Basioudis, L. Duru, J. Agbeze, G. Angoy, J. Hyland","BMET City of Birmingham Rockets EABL|10,15,5,6,9",3,6.8,406.0,11,4,13,30.8,0,4,0.0,3,5,60.0,0,0,0,1,0,0,5,0,18,19.4,19.1,56.7,94.3,-37.6,1.63,-7
Charnwood College Riders EABL,"R. Buckingham, P. Kattah, L. Boothe, T. Curran, A. Oyerinde","Charnwood College Riders EABL|0,1,4,6,99",1,5.3,316.0,14,4,6,66.7,0,0,0,6,6,100.0,0,0,0,1,0,0,1,0,10,9.3,14.7,151.3,68.0,83.3,2.66,4
Charnwood College Riders EABL,"R. Buckingham, L. Stevenson, Z. Gleadell-Smith, L. Boothe, T. Curran","Charnwood College Riders EABL|0,13,15,4,6",1,3.0,178.0,7,2,4,50.0,0,1,0.0,3,4,75.0,0,0,0,1,0,0,1,0,8,6.5,7.7,107.9,104.2,3.7,2.36,-1
SGS College EABL,"A. Bennett, K. Richards, L. Matthews, D. Lloyd, M. Perez Tosca","SGS College EABL|11,15,3,5,6",1,3.0,177.0,7,2,4,50.0,0,1,0.0,3,3,100.0,0,0,0,0,0,0,1,0,0,6.1,6.7,115.4,0.0,115.4,2.37,7
Derby College Trailblazers EABL,"C. Burr, R. Hobday, E. Rice, E. Norman, W. Tallon","Derby College Trailblazers EABL|10,12,4,7,9",3,2.9,171.0,10,3,4,75.0,1,2,50.0,3,4,75.0,0,0,0,2,0,0,2,0,7,7.4,8.1,134.2,86.4,47.8,3.51,3
Charnwood College Riders EABL,"R. Buckingham, L. Stevenson, S. Morris, T. Curran, D. Hanousek","Charnwood College Riders EABL|0,13,19,6,8",1,2.9,175.0,8,4,7,57.1,0,1,0.0,0,2,0.0,0,0,0,0,0,0,1,0,7,8.5,7.7,93.8,91.1,2.7,2.74,1
Charnwood College Riders EABL,"R. Buckingham, L. Stevenson, Z. Gleadell-Smith, T. Curran, D. Hanousek","Charnwood College Riders EABL|0,13,15,6,8",1,2.9,171.0,5,2,6,33.3,0,1,0.0,1,2,50.0,0,0,0,0,0,0,0,0,7,6.6,5.5,75.7,126.6,-50.9,1.75,-2
Derby College Trailblazers EABL,"C. Burr, R. Hobday, E. Rice, W. Tallon, J. Howlett","Derby College Trailblazers EABL|0,12,4,6,8",1,2.9,172.0,4,2,6,33.3,0,2,0.0,0,0,0,0,0,0,1,0,0,1,0,8,6.7,4.8,59.5,166.7,-107.1,1.4,-4
City of London Academy - Southwark EABL,"T. Gass, A. Nwokolo, D. Patel, J. Hannick, D. Banjoko","City of London Academy - Southwark EABL|13,15,5,7,8",2,2.8,167.0,7,3,4,75.0,1,2,50.0,0,0,0,0,0,0,2,0,0,3,0,2,6.7,3.8,104.2,52.1,52.1,2.51,5
Oaklands Wolves EABL,"D. Kostadinov, L. Mcintosh, H. Morrell, G. Mitchell, E. Da Cruz Fatuda","Oaklands Wolves EABL|1,10,14,15,17",1,2.7,162.0,5,1,3,33.3,1,3,33.3,2,2,100.0,0,0,0,1,0,0,5,0,7,8.5,5.6,58.7,124.0,-65.4,1.85,-2
Charnwood College Riders EABL,"P. Kattah, T. Pearson, Z. Gleadell-Smith, L. Boothe, T. Curran","Charnwood College Riders EABL|1,14,15,4,6",1,2.7,162.0,7,3,5,60.0,0,0,0,1,2,50.0,0,0,0,4,0,0,0,0,5,5.6,7.6,124.0,66.1,57.9,2.59,2
Myerscough College EABL,"H. Sheehan, Z. Trezvant, S. Laditan, J. Sanchez, O. Esingle","Myerscough College EABL|0,12,15,8,9",1,2.6,158.0,6,3,6,50.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,5.8,4.6,104.2,153.2,-49.0,2.28,-1
Charnwood College Riders EABL,"R. Buckingham, Z. Gleadell-Smith, L. Boothe, T. Curran, D. Hanousek","Charnwood College Riders EABL|0,15,4,6,8",1,2.5,147.0,4,2,4,50.0,0,1,0.0,0,0,0,0,0,0,0,0,0,2,0,4,5.8,5.6,69.4,70.9,-1.4,1.63,0
Derby College Trailblazers EABL,"C. Burr, R. Hobday, M. Smith-Fjordland, E. Rice, E. Norman","Derby College Trailblazers EABL|0,12,2,4,7",1,2.5,153.0,6,1,3,33.3,0,1,0.0,4,5,80.0,0,0,0,0,0,0,1,0,1,6.0,5.6,100.8,17.7,83.1,2.35,5
