Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
BMET City of Birmingham Rockets EABL,"P. Basioudis, L. Duru, J. Agbeze, G. Angoy, J. Hyland",8,5134,170,66,163,40.5,11,44,25,27,46,58.7,30,50,80,36,25,7,37,34,182,83.7,85.4,82.1,28.1,29.2,43.9,46.4,54.5,33,63.3,14.4,28.2,27,93.1,177,69,154,44.8,16,57,28.1,23,36,63.9,29,61,90,45,26,6,42,46,175,50,52.1,19.8,36.7,37,100.8,-7.8,0,0,0,119,55,46.2,44,11,25,20,12,4,4,0,0,0,97,53,54.6,57,16,28.1,17,14,2,8
Oaklands Wolves EABL,"D. Kostadinov, L. Mcintosh, G. Mitchell, E. Da Cruz Fatuda, D. Gladstone",9,5573,205,83,179,46.4,24,61,39.3,15,37,40.5,41,64,105,41,15,6,32,37,178,76.3,77,75.5,31.2,31.8,53.1,52.5,49.4,42.7,65.3,11.9,20.7,34.1,114.6,170,66,173,38.2,17,71,23.9,21,31,67.7,34,55,89,46,12,14,30,40,175,43.1,45.5,13.8,34.7,41,97,17.7,0,0,0,118,59,50,61,24,39.3,12,12,0,5,0,0,0,102,49,48,71,17,23.9,13,13,3,4
Derby College Trailblazers EABL,"C. Burr, R. Hobday, E. Rice, W. Tallon, E. Norman",8,4280,110,43,128,33.6,11,41,26.8,13,17,76.5,22,57,79,35,14,4,30,20,137,76.9,77.2,76.6,31.1,31.3,37.9,40.6,81.4,26.8,76,15,13.3,32,79.9,124,50,124,40.3,14,51,27.5,10,21,47.6,18,60,78,29,19,10,27,23,136,46,46.5,16.8,24,41.1,90.8,-10.9,0,0,0,87,32,36.8,41,11,26.8,14,11,0,5,0,0,0,73,36,49.3,51,14,27.5,11,10,1,4
City of London Academy - Southwark EABL,"D. Banjoko, T. Gass, A. Nwokolo, J. Hannick, D. Banjoko",9,4105,128,46,117,39.3,5,43,11.6,31,44,70.5,30,43,73,29,23,15,28,26,128,73.7,75.4,72,31.8,33.4,41.5,46.9,63,41.7,71.7,14.5,37.6,36.8,99.2,87,31,99,31.3,5,34,14.7,20,30,66.7,17,42,59,16,14,3,33,39,123,33.8,38.8,22.7,28.3,34.3,70.7,28.5,0,0,0,74,41,55.4,43,5,11.6,10,11,0,7,0,0,0,65,26,40,34,5,14.7,11,17,1,6
HHS Reading Rockets EABL,"M. Hassan-Taylor, J. Waterhouse, L. Bakary, E. Harrington, M. Daines",10,3869,87,32,93,34.4,4,30,13.3,19,28,67.9,12,42,54,15,12,6,35,27,123,77.9,76.4,79.3,31.4,30.2,36.6,41.3,46.9,21.8,71.2,22.5,30.1,32.3,70.6,124,52,112,46.4,10,34,29.4,10,21,47.6,17,43,60,29,21,5,29,31,127,50.9,51.1,19.3,28.8,30.4,96.9,-26.3,0,0,0,63,28,44.4,30,4,13.3,14,11,2,7,0,0,0,78,42,53.8,34,10,29.4,9,9,1,9
Itchen College EABL,"D. Cimochowski, B. Cope, J. Ofman, E. Round, E. Lotriet",6,3553,135,55,117,47,12,38,31.6,13,20,65,18,44,62,37,25,5,21,17,123,83,83.5,82.5,28.7,29.1,52.1,53.7,67.3,33.3,78.6,11.4,17.1,32.5,109.2,90,33,89,37.1,12,31,38.7,12,21,57.1,12,36,48,19,12,8,41,28,122,43.8,45.8,29.4,21.4,34.8,73.7,35.5,0,0,0,79,43,54.4,38,12,31.6,12,4,4,4,0,0,0,58,21,36.2,31,12,38.7,22,11,0,5
Copleston High School EABL,"C. Fobister, M. Liddamore, T. Rafiu, N. Wilkinson, I. Little",6,2971,86,35,94,37.2,9,36,25,7,14,50,18,30,48,19,12,5,25,21,102,80.6,83.1,78,28.9,30.8,42,42.9,54.3,31,49.2,17.3,14.9,38.3,83.6,104,41,103,39.8,12,36,33.3,10,15,66.7,31,40,71,23,17,4,22,14,96,45.6,47.4,16.7,50.8,35,107.7,-24.1,0,0,0,58,26,44.8,36,9,25,16,7,0,1,0,0,0,67,29,43.3,36,12,33.3,11,7,1,4
City of London Academy - Southwark EABL,"D. Banjoko, T. Gass, A. Nwokolo, D. Patel, D. Banjoko",8,2788,98,43,73,58.9,4,18,22.2,8,21,38.1,13,27,40,28,13,3,24,15,89,76.6,77.1,76.2,31.1,31.5,61.6,59.6,65.1,41.9,65.9,17.9,28.8,24.7,109.5,85,33,73,45.2,9,28,32.1,10,14,71.4,14,18,32,19,16,2,27,29,88,51.4,53.7,25.4,34.1,38.4,96.1,13.4,0,0,0,55,39,70.9,18,4,22.2,11,7,0,5,0,0,0,45,24,53.3,28,9,32.1,17,6,2,3
Myerscough College EABL,"H. Sheehan, Z. Trezvant, S. Laditan, C. Sanchez Falette, O. Esingle",5,2484,91,35,90,38.9,10,38,26.3,11,15,73.3,25,23,48,25,16,1,17,14,85,81,82.2,79.7,29.2,30.1,44.4,47.1,71.4,52.1,71.9,12.3,16.7,42.2,107,89,36,69,52.2,12,26,46.2,5,9,55.6,9,23,32,20,10,7,22,14,82,60.9,61,23.2,28.1,37.7,107.9,-0.9,0,0,0,52,25,48.1,38,10,26.3,9,6,0,1,0,0,0,43,24,55.8,26,12,46.2,14,6,2,2
Itchen College EABL,"M. Yeates, J. Ofman, B. Cope, E. Round, E. Lotriet",5,2355,95,37,78,47.4,12,29,41.4,9,10,90,15,31,46,28,11,1,20,18,83,87,85.5,88.4,28.1,27.1,55.1,57.6,75.7,42.9,81.6,15.3,12.8,37.2,113.2,64,27,70,38.6,3,24,12.5,7,10,70,7,20,27,12,14,6,23,18,86,40.7,43,23.6,18.4,34.3,73.7,39.5,0,0,0,49,25,51,29,12,41.4,9,6,2,5,0,0,0,46,24,52.2,24,3,12.5,7,9,0,4
SGS College EABL,"I. Toure, K. Ramirez Mora, S. Nelson, L. Matthews, M. Perez Tosca",5,2369,65,24,60,40,8,22,36.4,9,18,50,10,20,30,14,9,5,23,16,77,78.2,78.7,77.8,30.5,30.9,46.7,47.9,58.3,29.4,62.5,21.9,30,36.7,83.7,88,37,71,52.1,12,27,44.4,2,9,22.2,12,24,36,28,14,2,17,18,76,60.6,58.7,18.5,37.5,38,114.6,-31,0,0,0,38,16,42.1,22,8,36.4,10,11,1,1,0,0,0,44,25,56.8,27,12,44.4,6,7,1,2
Oaklands Wolves EABL,"D. Kostadinov, H. Morrell, G. Mitchell, E. Da Cruz Fatuda, D. Gladstone",6,2356,47,19,62,30.6,4,26,15.4,5,14,35.7,13,27,40,16,10,3,24,10,75,78.4,77.4,79.5,31.0,30.2,33.9,34.5,84.2,29.5,62.8,22.2,22.6,41.9,61.8,76,29,76,38.2,7,27,25.9,11,12,91.7,16,31,47,23,14,2,16,9,78,42.8,46.8,16.4,37.2,35.5,97.4,-35.6,0,0,0,36,15,41.7,26,4,15.4,11,10,1,4,0,0,0,49,22,44.9,27,7,25.9,8,6,1,2
Oaklands Wolves EABL,"D. Kostadinov, L. Mcintosh, H. Morrell, E. Da Cruz Fatuda, D. Gladstone",4,2087,79,29,63,46,10,24,41.7,11,13,84.6,14,21,35,19,6,4,12,10,64,73.9,73.7,74.1,32.6,32.4,54,57.5,65.5,46.7,56.8,12,20.6,38.1,123.3,68,26,69,37.7,9,27,33.3,7,7,100,16,16,32,16,9,3,11,9,64,44.2,47.2,13.2,43.2,39.1,105.6,17.7,0,0,0,39,19,48.7,24,10,41.7,4,6,2,1,0,0,0,42,17,40.5,27,9,33.3,3,7,3,0
Myerscough College EABL,"H. Sheehan, Z. Trezvant, L. Heidenreich Roberts, C. Sanchez Falette, O. Esingle",2,1819,66,27,54,50,6,15,40,6,10,60,10,21,31,16,7,2,15,10,60,76.8,80.3,73.3,29.9,32.8,55.6,56.5,59.3,40,75,16.8,18.5,27.8,108.4,51,19,46,41.3,5,19,26.3,8,11,72.7,7,15,22,8,9,2,14,12,55,46.7,50.2,21.6,25,41.3,91.8,16.6,0,0,0,39,21,53.8,15,6,40,4,9,0,1,0,0,0,27,14,51.9,19,5,26.3,2,10,1,2
Copleston High School EABL,"M. Liddamore, C. Fobister, N. Wilkinson, I. Little, T. Rafiu",4,1628,42,15,39,38.5,5,18,27.8,7,12,58.3,4,19,23,9,7,0,18,15,55,79.5,82.5,76.5,29.1,31.4,44.9,47.4,60,22.2,59.4,25.3,30.8,46.2,75.1,45,15,47,31.9,6,29,20.7,9,16,56.2,13,14,27,9,12,3,13,11,51,38.3,41.6,19.4,40.6,61.7,86.7,-11.7,0,0,0,21,10,47.6,18,5,27.8,10,3,2,5,0,0,0,18,9,50,29,6,20.7,5,3,1,5
SGS College EABL,"I. Toure, K. Ramirez Mora, L. Matthews, D. Lloyd, M. Perez Tosca",4,1580,47,16,44,36.4,6,15,40,9,13,69.2,9,17,26,7,5,3,13,5,51,80.8,78.3,83.2,30.6,28.8,43.2,47.3,43.8,39.1,53.1,18.6,29.5,34.1,91.1,62,29,63,46,3,14,21.4,1,7,14.3,15,14,29,13,7,7,6,10,54,48.4,46.9,8.3,46.9,22.2,113.1,-22,0,0,0,29,10,34.5,15,6,40,6,6,1,1,0,0,0,49,26,53.1,14,3,21.4,2,3,0,1
