Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
BMET City of Birmingham Rockets EABL,"G. Angoy, J. Agbeze, J. Hyland, L. Duru, P. Basioudis",10,7319,55.9,266,103,221,46.6,22,60,36.7,38,77,49.4,43,74,117,61,37,9,49,51,250,80.5,82.1,78.8,29.2,30.5,51.6,52.2,59.2,35,62.2,13.4,34.8,27.1,106.2,237,90,217,41.5,26,86,30.2,31,44,70.5,45,80,125,65,29,7,59,68,240,47.5,50.1,20,37.8,39.6,98.6,0,0,0,161,81,50.3,60,22,36.7,25,17,4,5,7.6,0,0,0,131,64,48.9,86,26,30.2,26,22,2,8,65,37,69,64,51,51
Oaklands Wolves EABL,"D. Gladstone, D. Kostadinov, E. Da Cruz Fatuda, G. Mitchell, L. Mcintosh",10,6486,67.2,224,91,207,44,26,73,35.6,16,39,41,48,78,126,44,17,8,37,40,205,75.4,75.7,75.1,31.7,32.0,50.2,50,48.4,41,66.7,12.1,18.8,35.3,109.5,196,77,202,38.1,19,82,23.2,23,35,65.7,39,69,108,55,17,19,33,43,203,42.8,45.1,13.2,33.3,40.6,96.6,0,0,0,134,65,48.5,73,26,35.6,13,16,0,5,12.9,0,0,0,120,58,48.3,82,19,23.2,14,14,3,5,61,37,37,38,44,33
Itchen College EABL,"B. Cope, D. Cimochowski, E. Lotriet, E. Round, J. Ofman",10,5316,51.4,196,80,173,46.2,19,56,33.9,17,24,70.8,30,63,93,57,31,6,38,33,184,83.7,83,84.4,28.9,28.4,51.7,53.4,71.2,37.5,76.8,13.6,13.9,32.4,106.6,146,56,143,39.2,15,49,30.6,19,31,61.3,19,50,69,30,24,13,57,40,187,44.4,46.6,26.7,23.2,34.3,78.1,0,0,0,117,61,52.1,56,19,33.9,20,9,6,8,28.4,0,0,0,94,41,43.6,49,15,30.6,25,17,0,9,39,68,59,26,47,44
Derby College Trailblazers EABL,"C. Burr, E. Norman, E. Rice, R. Hobday, W. Tallon",9,5708,58.8,154,61,161,37.9,13,49,26.5,19,27,70.4,26,69,95,50,18,5,43,28,182,76.6,76.6,76.6,31.3,31.3,41.9,44.5,82,26.8,76.7,16.2,16.8,30.4,84.5,180,73,164,44.5,18,63,28.6,16,29,55.2,21,71,92,42,29,13,34,32,182,50,50.9,16.1,23.3,38.4,98.8,0,0,0,112,48,42.9,49,13,26.5,22,14,2,5,-14.3,0,0,0,101,55,54.5,63,18,28.6,17,11,1,4,26,31,37,23,56,41
Copleston High School EABL,"C. Fobister, I. Little, M. Liddamore, N. Wilkinson, T. Rafiu",11,4645,36.1,130,51,134,38.1,14,54,25.9,14,26,53.8,22,50,72,29,19,6,44,38,161,80.3,83.1,77.6,28.9,30.9,43.3,44.7,56.9,28.9,52.1,20.1,19.4,40.3,80.9,151,57,153,37.3,18,66,27.3,19,33,57.6,46,54,100,32,30,7,35,25,150,43.1,45.1,17.3,47.9,43.1,100.5,0,0,0,80,37,46.2,54,14,25.9,27,10,2,6,-19.6,0,0,0,87,39,44.8,66,18,27.3,16,10,2,9,31,41,36,38,50,45
City of London Academy - Southwark EABL,"A. Nwokolo, D. Banjoko, D. Banjoko, J. Hannick, T. Gass",9,4105,37.8,128,46,117,39.3,5,43,11.6,31,44,70.5,30,43,73,29,23,15,28,26,129,73.7,75.4,72,31.8,33.4,41.5,46.9,63,41.7,71.7,14.5,37.6,36.8,99.2,87,31,99,31.3,5,34,14.7,20,30,66.7,17,42,59,16,14,3,33,39,123,33.8,38.8,22.7,28.3,34.3,70.7,0,0,0,74,41,55.4,43,5,11.6,10,11,0,7,28.5,0,0,0,65,26,40,34,5,14.7,11,17,1,6,36,36,33,21,27,19
HHS Reading Rockets EABL,"E. Harrington, J. Waterhouse, L. Bakary, M. Daines, M. Hassan-Taylor",10,3869,32.8,87,32,93,34.4,4,30,13.3,19,28,67.9,12,42,54,15,12,6,35,27,123,77.9,76.4,79.3,31.4,30.2,36.6,41.3,46.9,21.8,71.2,22.5,30.1,32.3,70.6,124,52,112,46.4,10,34,29.4,10,21,47.6,17,43,60,29,21,5,29,31,128,50.9,51.1,19.3,28.8,30.4,96.9,0,0,0,63,28,44.4,30,4,13.3,14,11,2,7,-26.3,0,0,0,78,42,53.8,34,10,29.4,9,9,1,9,18,14,16,25,46,34
Myerscough College EABL,"C. Sanchez Falette, H. Sheehan, O. Esingle, S. Latidan, Z. Trezvant",7,3626,21.9,128,47,116,40.5,15,53,28.3,19,25,76,29,40,69,31,15,3,30,21,123,80.4,81.3,79.5,29.5,30.2,47,50.4,66,46.8,72.7,16,21.6,45.7,104.2,103,39,98,39.8,13,39,33.3,12,23,52.2,15,33,48,23,23,5,32,27,120,46.4,47.6,22.8,27.3,39.8,85.8,0,0,0,63,32,50.8,53,15,28.3,16,12,0,1,18.4,0,0,0,59,26,44.1,39,13,33.3,19,9,2,3,37,36,36,21,25,29
City of London Academy - Southwark EABL,"A. Nwokolo, D. Banjoko, D. Banjoko, D. Patel, T. Gass",8,2788,18.4,98,43,73,58.9,4,18,22.2,8,21,38.1,13,27,40,28,13,3,24,15,90,76.6,77.1,76.2,31.1,31.5,61.6,59.6,65.1,41.9,65.9,17.9,28.8,24.7,109.5,85,33,73,45.2,9,28,32.1,10,14,71.4,14,18,32,19,16,2,27,29,88,51.4,53.7,25.4,34.1,38.4,96.1,0,0,0,55,39,70.9,18,4,22.2,11,7,0,5,13.4,0,0,0,45,24,53.3,28,9,32.1,17,6,2,3,19,37,33,22,17,20
Oaklands Wolves EABL,"D. Gladstone, D. Kostadinov, E. Da Cruz Fatuda, G. Mitchell, H. Morrell",7,2475,4.4,52,21,65,32.3,5,27,18.5,5,14,35.7,14,27,41,17,11,3,28,11,82,80.2,79.3,81.1,30.3,29.6,36.2,36.5,81,31.1,62.8,24.1,21.5,41.5,63.6,84,32,79,40.5,7,27,25.9,13,14,92.9,16,31,47,25,16,2,18,10,84,44.9,49.3,17.4,37.2,34.2,100.4,0,0,0,38,16,42.1,27,5,18.5,13,11,1,5,-36.8,0,0,0,52,25,48.1,27,7,25.9,8,7,1,3,12,7,12,12,48,30
