Canonical,Team,Numbers,Variations
I. Gisbourne,BMET City of Birmingham Rockets EABL,11/15/5/7/8,I. Gisbourne
J. Hyland,BMET City of Birmingham Rockets EABL,14/9,J. Hyland
P. Basioudis,BMET City of Birmingham Rockets EABL,10,P. Basioudis
D. Pittaway,BMET City of Birmingham Rockets EABL,11,D. Pittaway
L. Duru,BMET City of Birmingham Rockets EABL,15/16/22,L. Duru
J. Kesto,BMET City of Birmingham Rockets EABL,4,J. Kesto
G. Angoy,BMET City of Birmingham Rockets EABL,13/6,G. Angoy
P. Walsh,BMET City of Birmingham Rockets EABL,1/7/8,P. Walsh
B. Rose,BMET City of Birmingham Rockets EABL,11/15/16/4/8/9,B. Rose
A. Camara,BMET City of Birmingham Rockets EABL,12/21,A. Camara
J. Ogbeide,BMET City of Birmingham Rockets EABL,11/14/8,J. Ogbeide
G. Singh,BMET City of Birmingham Rockets EABL,1/14/15/16/23,G. Singh
L. Ngomti,Derby College Trailblazers EABL,1/11/17/2/9,L. Ngomti
J. Lemanski,Derby College Trailblazers EABL,3/5,J. Lemanski
G. Pastor,Derby College Trailblazers EABL,13/14/5,G. Pastor
E. Norman,Derby College Trailblazers EABL,7,E. Norman
C. Burr,Derby College Trailblazers EABL,0/10,C. Burr
K. Zidonis,Derby College Trailblazers EABL,0/1/10/2/8,K. Zidonis
M. Smith-Fjordland,Derby College Trailblazers EABL,2/22,M. Smith-Fjordland
E. Rice,Derby College Trailblazers EABL,4,E. Rice
W. Tallon,Derby College Trailblazers EABL,6/9,W. Tallon
J. Howlett,Derby College Trailblazers EABL,8,J. Howlett
D. Kilmas,Derby College Trailblazers EABL,9,D. Kilmas
O. Krysa,Derby College Trailblazers EABL,12,O. Krysa
N. Brown,Manchester Magic Academy EABL,1,N. Brown
A. Sagay Isiorho,Manchester Magic Academy EABL,5,A. Isiorho; A. Sagay Isiorho
J. Walton,Manchester Magic Academy EABL,8,J. Walton
J. Odongo,Manchester Magic Academy EABL,10,J. Odongo
O. Babalola,Manchester Magic Academy EABL,13,O. Babalola
S. Sidi-Boumedine,Manchester Magic Academy EABL,2,S. Sidi-Boumedine
K. Litchmore,Manchester Magic Academy EABL,3/5,K. Litchmore
T. Kamal Kazmi,Manchester Magic Academy EABL,2/5/6,T. Kamal Kazmi
H. Blake,Manchester Magic Academy EABL,7,H. Blake
D. Allotey,Manchester Magic Academy EABL,11,D. Allotey
