Home_Team,Home_Lineup,Away_Team,Away_Lineup,Games,Total_Seconds,Minutes,Possessions,Home_PTS,Home_FGM,Home_FGA,Home_FG%,Home_3PM,Home_3PA,Home_3P%,Home_FTM,Home_FTA,Home_FT%,Home_OREB,Home_DREB,Home_REB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Away_PTS,Away_FGM,Away_FGA,Away_FG%,Away_3PM,Away_3PA,Away_3P%,Away_FTM,Away_FTA,Away_FT%,Away_OREB,Away_DREB,Away_REB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Home_POSS,Away_POSS,Home_OFF_RTG,Home_DEF_RTG,Home_NET_RTG,Away_OFF_RTG,Away_DEF_RTG,Away_NET_RTG,Point_Diff,Home_RIM_ATT,Home_RIM_MADE,Home_RIM%,Home_OTD_2PT_ATT,Home_OTD_2PT_MADE,Home_OTD_2PT%,Home_OTD_3PT_ATT,Home_OTD_3PT_MADE,Home_OTD_3PT%,Away_RIM_ATT,Away_RIM_MADE,Away_RIM%,Away_OTD_2PT_ATT,Away_OTD_2PT_MADE,Away_OTD_2PT%,Away_OTD_3PT_ATT,Away_OTD_3PT_MADE,Away_OTD_3PT%,Home_PASS_TO,Home_DRIBBLE_TO,Home_DEFENSE_TO,Home_MISC_TO,Away_PASS_TO,Away_DRIBBLE_TO,Away_DEFENSE_TO,Away_MISC_TO,Home_2ND_CHANCE_PTS,Home_FAST_BREAK_PTS,Home_PTS_OFF_TOV,Away_2ND_CHANCE_PTS,Away_FAST_BREAK_PTS,Away_PTS_OFF_TOV
Hapoel IBI Tel Aviv,"Collin Malcolm, Dan Oturu, Elijah Bryant, Ish Wainright, Vasilije Micic",Olympiacos Piraeus,"Kostas Papanikolaou, Nikola Milutinov, Sasha Vezenkov, Thomas Walkup, Tyler Dorsey",1,785,13.1,24.8,33,15,23,65.2,3,7,42.9,0,0,0,3,9,12,7,3,1,5,5,23,9,19,47.4,3,9,33.3,2,2,100,1,5,6,7,4,0,6,5,24.8,24.8,133.1,92.7,40.4,92.7,133.1,-40.4,10,0,0,0,16,12,75,7,3,42.9,0,0,0,10,6,60,9,3,33.3,0,0,0,5,0,0,0,6,2,12,4,0,4,7
Hapoel IBI Tel Aviv,"Collin Malcolm, Dan Oturu, Elijah Bryant, Ish Wainright, Vasilije Micic",Maccabi Rapyd Tel Aviv,"Jaylen Hoard, Lonnie Walker Iv, O'Shae J Brissett, Roman Sorkin, Tamir Blatt",1,735,12.2,24.6,30,10,20,50,2,9,22.2,8,10,80,0,4,4,3,2,0,1,6,34,13,17,76.5,6,8,75,2,2,100,0,9,9,6,1,0,6,7,25.4,23.9,118.1,142.4,-24.3,142.4,118.1,24.3,-4,0,0,0,11,8,72.7,9,2,22.2,0,0,0,9,7,77.8,8,6,75,0,0,0,1,0,0,0,6,0,3,10,0,2,2
Panathinaikos AKTOR Athens,"Cedi Osman, Jerian Grant, Kendrick Nunn, Mathias Lessort, Nigel Hayes-Davis",Valencia Basket,"Brancou Badio, Jean Montero, Kameron Taylor, Matthew Costello, Neal Sako",2,824,13.7,24.4,30,11,25,44,1,8,12.5,7,7,100,8,4,12,7,3,1,5,7,32,12,23,52.2,4,9,44.4,4,9,44.4,6,5,11,5,4,0,5,7,23.9,24.9,125.7,128.5,-2.8,128.5,125.7,2.8,-2,0,0,0,17,10,58.8,8,1,12.5,0,0,0,14,8,57.1,9,4,44.4,0,0,0,5,0,0,0,5,11,5,7,5,7,5
Olympiacos Piraeus,"Nikola Milutinov, Sasha Vezenkov, Thomas Walkup, Tyler Dorsey, Tyson Ward",EA7 Emporio Armani Milan,"Armoni Brooks, Devin Booker, Giampaolo Ricci, Quinn Ellis, Shavon Shields",1,756,12.6,24.4,36,15,26,57.7,3,8,37.5,3,3,100,5,9,14,9,3,0,3,3,21,9,21,42.9,2,7,28.6,1,1,100,1,5,6,6,1,1,4,4,24.4,24.2,147.3,86.9,60.4,86.9,147.3,-60.4,15,0,0,0,18,12,66.7,8,3,37.5,0,0,0,14,7,50,7,2,28.6,0,0,0,3,0,0,0,4,6,12,13,0,4,3
FC Bayern Munich,"Andreas Obst, Isiaha Mike, Leon Kratzer, Stefan Jovic, Vladimir Lucic",Olympiacos Piraeus,"Nikola Milutinov, Sasha Vezenkov, Thomas Walkup, Tyler Dorsey, Tyson Ward",1,666,11.1,22.2,24,10,17,58.8,4,8,50,0,0,0,1,5,6,4,2,0,6,6,29,13,19,68.4,2,5,40,1,1,100,0,5,5,8,4,0,3,4,21.8,22.4,110.3,129.2,-18.9,129.2,110.3,18.9,-5,0,0,0,9,6,66.7,8,4,50,0,0,0,14,11,78.6,5,2,40,0,0,0,6,0,0,0,3,0,7,5,0,4,6
Dubai Basketball,"Awudu Abass, Filip Petrusev, Justin Anderson, Mckinley Wright Iv, Mfiondu Kabengele",Maccabi Rapyd Tel Aviv,"Jaylen Hoard, Jimmy Clark Iii, Lonnie Walker Iv, O'Shae J Brissett, Roman Sorkin",1,586,9.8,20.5,22,8,16,50,2,4,50,4,7,57.1,1,8,9,6,1,0,2,3,24,9,19,47.4,4,9,44.4,2,2,100,1,8,9,5,1,0,2,4,20.1,20.7,109.3,116,-6.7,116,109.3,6.7,-2,0,0,0,12,6,50,4,2,50,0,0,0,10,5,50,9,4,44.4,0,0,0,2,0,0,0,2,2,9,2,2,3,3
Real Madrid,"Alberto Abalde, Chuma Okeke, Facundo Campazzo, Mario Hezonja, Walter Tavares",Hapoel IBI Tel Aviv,"Collin Malcolm, Dan Oturu, Elijah Bryant, Ish Wainright, Vasilije Micic",2,686,11.4,20.2,33,11,18,61.1,5,10,50,6,6,100,2,7,9,6,2,1,3,4,21,9,18,50,3,7,42.9,0,0,0,2,5,7,4,1,1,3,3,21.5,18.9,153.5,111.3,42.1,111.3,153.5,-42.1,12,0,0,0,8,6,75,10,5,50,0,0,0,11,6,54.5,7,3,42.9,0,0,0,3,0,0,0,3,2,8,5,2,6,2
Olympiacos Piraeus,"Evan Fournier, Nikola Milutinov, Sasha Vezenkov, Thomas Walkup, Tyler Dorsey",Hapoel IBI Tel Aviv,"Collin Malcolm, Dan Oturu, Elijah Bryant, Ish Wainright, Vasilije Micic",1,659,11.0,19.0,19,7,19,36.8,5,12,41.7,0,0,0,2,8,10,4,3,0,3,2,10,4,17,23.5,2,10,20,0,0,0,2,9,11,4,2,0,4,1,19.7,18.2,96.6,54.9,41.7,54.9,96.6,-41.7,9,0,0,0,7,2,28.6,12,5,41.7,0,0,0,7,2,28.6,10,2,20,0,0,0,3,0,0,0,4,2,6,3,0,5,0
EA7 Emporio Armani Milan,"Armoni Brooks, Devin Booker, Giampaolo Ricci, Leandro Bolmaro, Quinn Ellis",Olympiacos Piraeus,"Evan Fournier, Nikola Milutinov, Sasha Vezenkov, Thomas Walkup, Tyler Dorsey",1,661,11.0,18.4,25,10,20,50,4,8,50,1,1,100,2,7,9,7,1,0,1,6,18,6,17,35.3,3,7,42.9,3,4,75,2,6,8,3,0,0,2,3,18.8,18.1,133.2,99.2,34,99.2,133.2,-34,7,0,0,0,12,6,50,8,4,50,0,0,0,10,3,30,7,3,42.9,0,0,0,1,0,0,0,2,2,12,2,3,3,1
Partizan Mozzart Bet Belgrade,"Jabari Parker, Shake Milton, Sterling Brown, Tyrique Jones, Vanja Marinkovic",FC Bayern Munich,"Andreas Obst, Isiaha Mike, Johannes Voigtmann, Spencer Dinwiddie, Vladimir Lucic",1,575,9.6,17.9,22,9,17,52.9,1,5,20,3,3,100,2,4,6,4,2,0,3,5,21,8,15,53.3,1,4,25,4,4,100,3,5,8,8,2,0,3,4,18.9,16.6,116.6,126.9,-10.3,126.9,116.6,10.3,1,0,0,0,12,8,66.7,5,1,20,0,0,0,11,7,63.6,4,1,25,0,0,0,3,0,0,0,3,2,2,0,2,11,2
