Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Alpha Diallo,AS Monaco,11,Alpha Diallo,"Daniel Theis, Elie Okobo, Jaron Blossomgame, Mike James",30,243.3,101,38,82,46.3,9,32,28.1,16,21,76.2,20,27,47,15,10,3,8,21,76,26,127,4.2,28.2,116.0,141.9,-25.9,51.8,55.3,39.5,7.0,0,0,0,50,29,58,32,9,28.1,0,0,0,0,0,8,21,28,15
Alpha Diallo,AS Monaco,11,Alpha Diallo,"Daniel Theis, Jaron Blossomgame, Matthew Strazel, Mike James",25,141.3,59,25,49,51.0,6,17,35.3,3,4,75.0,4,9,13,6,10,1,3,11,48,9,68,2.7,26.9,120.1,139.4,-19.3,57.1,58.1,24.0,5.0,0,0,0,32,19,59.4,17,6,35.3,0,0,0,0,0,3,4,17,17
Alpha Diallo,AS Monaco,11,Alpha Diallo,"Daniel Theis, Matthew Strazel, Mike James, Nikola Mirotic",15,65.5,27,9,18,50.0,2,5,40.0,7,9,77.8,1,6,7,4,1,3,0,6,20,8,35,2.3,28.4,123.4,137.0,-13.6,55.6,61.5,44.4,0.0,0,0,0,13,7,53.8,5,2,40,0,0,0,0,0,0,3,6,6
Alpha Diallo,AS Monaco,11,Alpha Diallo,"Elie Okobo, Jaron Blossomgame, Kevarrius Hayes, Mike James",24,53.6,14,4,8,50.0,2,5,40.0,4,5,80.0,0,4,4,3,5,2,1,6,11,6,20,0.8,19.8,124.7,112.5,12.2,62.5,68.6,75.0,7.0,0,0,0,3,2,66.7,5,2,40,0,0,0,0,0,1,3,4,6
Alpha Diallo,AS Monaco,11,Alpha Diallo,"Elie Okobo, Kevarrius Hayes, Mike James, Nikola Mirotic",13,53.5,34,12,22,54.5,3,9,33.3,7,9,77.8,3,7,10,3,3,0,0,5,22,6,40,3.1,38.1,139.9,145.9,-6.0,61.4,65.5,25.0,0.0,0,0,0,13,9,69.2,9,3,33.3,0,0,0,0,0,0,4,9,7
Alpha Diallo,AS Monaco,11,Alpha Diallo,"Jaron Blossomgame, Kevarrius Hayes, Matthew Strazel, Mike James",19,47.9,12,4,14,28.6,0,4,0.0,4,4,100.0,2,5,7,3,1,0,2,1,15,6,18,0.9,21.7,105.0,121.2,-16.2,28.6,38.1,75.0,9.6,0,0,0,10,4,40,4,0,0,0,0,0,0,0,2,2,6,2
Alpha Diallo,AS Monaco,11,Alpha Diallo,"Elie Okobo, Jaron Blossomgame, Kevarrius Hayes, Matthew Strazel",12,44.0,11,2,7,28.6,0,2,0.0,7,9,77.8,1,4,5,3,2,0,1,4,11,7,18,1.5,21.7,123.0,123.5,-0.5,28.6,50.2,150.0,6.7,0,0,0,5,2,40,2,0,0,0,0,0,0,0,1,2,6,2
Alpha Diallo,AS Monaco,11,Alpha Diallo,"Kevarrius Hayes, Matthew Strazel, Mike James, Nikola Mirotic",20,41.7,23,10,15,66.7,3,5,60.0,0,0,0,3,4,7,1,1,1,7,6,18,3,26,1.3,32.3,141.5,126.4,15.0,76.7,76.7,10.0,30.4,0,0,0,10,7,70,5,3,60,0,0,0,0,0,7,7,4,7
Alpha Diallo,AS Monaco,11,Alpha Diallo,"Daniel Theis, Jaron Blossomgame, Mike James, Nemanja Nedovic",6,38.6,10,5,15,33.3,0,8,0.0,0,1,0.0,2,0,2,0,1,1,3,4,16,0,10,1.7,14.2,111.8,156.8,-45.0,33.3,32.4,0.0,16.3,0,0,0,7,5,71.4,8,0,0,0,0,0,0,0,3,2,2,2
Alpha Diallo,AS Monaco,11,Alpha Diallo,"Daniel Theis, Elie Okobo, Mike James, Nikola Mirotic",11,28.7,13,5,7,71.4,1,2,50.0,2,2,100.0,2,0,2,1,3,0,0,3,6,3,16,1.5,29.4,121.4,155.3,-33.9,78.6,82.5,20.0,0.0,0,0,0,5,4,80,2,1,50,0,0,0,0,0,0,0,4,6
