# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 361
# Qualified players exported: 265
# Total stints used: 13373
# Garbage time stints excluded: 171
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
Zalgiris Kaunas,3,Sylvain Francisco,2031,5.19,1.55,6.74
Valencia Basket,1,Kameron Taylor,1759,3.32,3.09,6.41
Paris Basketball,20,Jeremy Morgan,1060,5.18,1.21,6.38
Fenerbahce Beko Istanbul,4,Nicolo Melli,1436,1.18,4.98,6.17
Partizan Mozzart Bet Belgrade,1,Carlik Jones,683,1.96,3.85,5.81
Maccabi Rapyd Tel Aviv,12,John Dibartolomeo,673,3.79,1.98,5.77
Olympiacos Piraeus,34,Cory Joseph,404,1.74,3.61,5.35
Crvena Zvezda Meridianbet Belgrade,95,Chima Moneke,1655,3.83,1.34,5.17
FC Barcelona,13,Tomas Satoransky,1604,2.29,2.64,4.92
EA7 Emporio Armani Milan,10,Leandro Bolmaro,1145,2.0,2.91,4.9
Real Madrid,22,Walter Tavares,1568,2.23,2.65,4.89
Olympiacos Piraeus,3,Tyson Ward,1143,3.61,1.24,4.85
Virtus Bologna,1,Luca Vildoza,1144,3.69,1.03,4.73
Hapoel IBI Tel Aviv,3,Elijah Bryant,1990,2.71,1.94,4.64
Real Madrid,0,Trey Lyles,1593,2.28,2.35,4.63
FC Bayern Munich,10,Justinian Jessup,1244,1.07,3.48,4.55
FC Barcelona,23,Tornike Shengelia,1474,4.42,0.12,4.54
Fenerbahce Beko Istanbul,12,Nando De Colo,506,2.79,1.71,4.5
AS Monaco,22,Terry Tarpey,469,0.67,3.67,4.34
Valencia Basket,13,Darius Thompson,1533,2.36,1.57,3.92
Crvena Zvezda Meridianbet Belgrade,15,Ebuka Izundu,831,3.69,0.22,3.92
FC Bayern Munich,1,Oscar Da Silva,945,1.77,2.08,3.85
Dubai Basketball,25,Mckinley Wright Iv,1965,2.59,1.25,3.84
Virtus Bologna,6,Alessandro Pajola,818,2.38,1.44,3.82
Maccabi Rapyd Tel Aviv,22,Tj Leaf,777,0.8,2.97,3.77
AS Monaco,11,Alpha Diallo,2080,2.28,1.42,3.7
Olympiacos Piraeus,25,Alec Peters,1071,1.84,1.73,3.57
Olympiacos Piraeus,0,Thomas Walkup,1568,1.61,1.87,3.48
AS Monaco,33,Nikola Mirotic,1079,3.97,-0.51,3.46
Real Madrid,14,Gabriel Deck,1481,1.67,1.7,3.37
AS Monaco,13,Kevarrius Hayes,1255,-0.03,3.38,3.35
Panathinaikos AKTOR Athens,10,Kostas Sloukas,1392,3.7,-0.49,3.2
Real Madrid,16,Usman Garuba,871,3.2,-0.08,3.12
Crvena Zvezda Meridianbet Belgrade,6,Jared Butler,1073,2.94,0.16,3.1
Zalgiris Kaunas,10,Azuolas Tubelis,1635,2.05,1.04,3.09
LDLC ASVEL Villeurbanne,24,Mbaye Ndiaye,1348,0.69,2.37,3.06
Partizan Mozzart Bet Belgrade,23,Tonye Jekiri,501,-0.79,3.84,3.05
Olympiacos Piraeus,88,Tyrique Jones,409,-0.68,3.53,2.85
Maccabi Rapyd Tel Aviv,0,Iffe Lundberg,685,1.46,1.38,2.84
Olympiacos Piraeus,14,Sasha Vezenkov,1912,2.25,0.51,2.76
Valencia Basket,24,Matthew Costello,1210,0.25,2.5,2.75
Real Madrid,7,Facundo Campazzo,1865,0.69,2.05,2.74
Dubai Basketball,3,Dwayne Bacon,1492,2.74,-0.1,2.65
Dubai Basketball,17,Mfiondu Kabengele,1403,2.07,0.54,2.61
Maccabi Rapyd Tel Aviv,11,William Rayman,794,1.23,1.38,2.61
FC Bayern Munich,0,Neno Dimitrijevic,585,-0.36,2.84,2.47
