Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Real Madrid,Mario Hezonja,11,Mario Hezonja,44,22.6,994.9,587.0,13.3,214.0,502.0,42.6,68.0,222.0,30.6,91.0,113.0,80.5,27.0,151.0,178.0,106.0,37.0,2.0,76.0,75.0,576.7,31.8,18.3,3.3,5.5,238,825.0,18.8,25.7,0,0,0,0,0,0.0,0,-0.09,-3.09,3.0,2.8,3.1,0.0,0.0,0,280.0,146.0,52.1,222.0,68.0,30.6,0.0,6.0,0.0,0.0,0.0,76.0,62.0,125.0,104.0
Real Madrid,Trey Lyles,0,Trey Lyles,44,20.2,890.0,565.0,12.8,188.0,368.0,51.1,68.0,148.0,45.9,121.0,154.0,78.6,45.0,145.0,190.0,64.0,23.0,20.0,54.0,76.0,427.0,26.3,17.6,2.0,5.9,128,693.0,15.8,21.6,0,0,0,0,0,0.0,0,5.61,1.23,4.39,3.9,2.2,0.0,0.0,0,220.0,120.0,54.5,148.0,68.0,45.9,0.0,5.0,0.0,0.0,0.0,54.0,71.0,108.0,95.0
Real Madrid,Facundo Campazzo,7,Facundo Campazzo,44,24.4,1073.1,528.0,12.0,159.0,364.0,43.7,96.0,228.0,42.1,114.0,135.0,84.4,13.0,71.0,84.0,224.0,50.0,0.0,90.0,94.0,480.4,24.5,16.4,7.0,2.6,523,1051.0,23.9,32.7,0,0,0,0,0,0.0,0,3.82,0.81,3.01,1.0,1.2,0.0,0.0,0,136.0,63.0,46.3,228.0,96.0,42.1,0.0,49.0,0.0,0.0,0.0,90.0,25.0,145.0,80.0
Valencia Basket,Nathan Reuvers,3,Nathan Reuvers,44,19.1,838.5,457.0,10.4,167.0,282.0,59.2,51.0,123.0,41.5,72.0,108.0,66.7,48.0,98.0,146.0,19.0,22.0,31.0,29.0,110.0,298.1,18.9,13.6,0.6,4.4,46,503.0,11.4,15.0,0,0,0,0,0,0.0,0,2.74,-1.57,4.31,4.3,2.9,0.0,0.0,0,159.0,116.0,73,123.0,51.0,41.5,0.0,0.0,0.0,0.0,0.0,29.0,47.0,107.0,58.0
Valencia Basket,Darius Thompson,13,Darius Thompson,44,18.8,828.6,395.0,9.0,143.0,304.0,47,68.0,169.0,40.2,41.0,48.0,85.4,36.0,46.0,82.0,137.0,42.0,12.0,44.0,75.0,319.8,20.5,11.8,4.1,2.4,301,696.0,15.8,20.8,0,0,0,0,0,0.0,0,5.15,0.43,4.72,1.8,2.0,0.0,0.0,0,135.0,75.0,55.6,169.0,68.0,40.2,0.0,30.0,0.0,0.0,0.0,44.0,37.0,130.0,77.0
Panathinaikos AKTOR Athens,Tj Shorts,0,Tj Shorts,44,15.7,692.6,350.0,8.0,135.0,297.0,45.5,14.0,48.0,29.2,66.0,92.0,71.7,6.0,52.0,58.0,126.0,27.0,0.0,43.0,66.0,359.5,28.7,11.0,3.9,1.8,282,632.0,14.4,19.8,0,0,0,0,0,0.0,0,-0.83,-2.89,2.07,1.4,2.2,0.0,0.0,0,249.0,121.0,48.6,48.0,14.0,29.2,0.0,2.0,0.0,0.0,0.0,43.0,20.0,77.0,77.0
Panathinaikos AKTOR Athens,Juancho Hernangomez,41,Juancho Hernangomez,44,24.5,1076.4,350.0,8.0,130.0,265.0,49.1,54.0,149.0,36.2,36.0,48.0,75,92.0,193.0,285.0,32.0,33.0,12.0,24.0,54.0,209.4,10.7,11.0,1.0,8.9,73,423.0,9.6,13.2,0,0,0,0,0,0.0,0,2.25,-0.24,2.5,4.8,4.2,0.0,0.0,0,116.0,76.0,65.5,149.0,54.0,36.2,0.0,0.0,0.0,0.0,0.0,24.0,84.0,47.0,59.0
Valencia Basket,Jaime Pradilla,4,Jaime Pradilla,44,19.5,858.4,298.0,6.8,123.0,232.0,53,32.0,90.0,35.6,20.0,27.0,74.1,57.0,124.0,181.0,83.0,28.0,6.0,56.0,64.0,233.2,14.4,8.9,2.5,5.4,203,501.0,11.4,15.0,0,0,0,0,0,0.0,0,0.71,-3.66,4.37,3.4,3.4,0.0,0.0,0,142.0,91.0,64.1,90.0,32.0,35.6,0.0,0.0,0.0,0.0,0.0,56.0,41.0,54.0,58.0
Olympiacos Piraeus,Tyler Dorsey,22,Tyler Dorsey,43,25.2,1082.2,682.0,15.9,224.0,502.0,44.6,107.0,277.0,38.6,127.0,161.0,78.9,22.0,77.0,99.0,111.0,31.0,4.0,82.0,80.0,607.5,30.7,21.5,3.5,3.1,227,909.0,21.1,28.7,0,0,0,0,0,0.0,0,2.12,-0.41,2.54,2.2,2.6,0.0,0.0,0,225.0,117.0,52,277.0,107.0,38.6,0.0,47.0,0.0,0.0,0.0,82.0,54.0,182.0,132.0
AS Monaco,Jaron Blossomgame,4,Jaron Blossomgame,43,23.7,1019.8,423.0,9.8,164.0,302.0,54.3,35.0,110.0,31.8,60.0,92.0,65.2,57.0,124.0,181.0,33.0,14.0,3.0,31.0,86.0,303.8,16.0,13.1,1.0,5.6,60,483.0,11.2,15.0,0,0,0,0,0,0.0,0,-1.61,-3.31,1.7,3.9,3.8,0.0,0.0,0,192.0,129.0,67.2,110.0,35.0,31.8,0.0,0.0,0.0,0.0,0.0,31.0,61.0,107.0,104.0
AS Monaco,Matthew Strazel,32,Matthew Strazel,43,24.3,1045.5,395.0,9.2,118.0,275.0,42.9,54.0,150.0,36,105.0,125.0,84,16.0,67.0,83.0,167.0,34.0,1.0,74.0,89.0,372.5,19.1,12.2,5.2,2.6,347,742.0,17.3,23.0,0,0,0,0,0,0.0,0,-0.74,-3.02,2.28,1.7,2.5,0.0,0.0,0,125.0,64.0,51.2,150.0,54.0,36,0.0,19.0,0.0,0.0,0.0,74.0,30.0,90.0,81.0
Olympiacos Piraeus,Alec Peters,25,Alec Peters,43,15.2,652.9,323.0,7.5,108.0,198.0,54.5,41.0,98.0,41.8,66.0,79.0,83.5,25.0,97.0,122.0,43.0,20.0,1.0,34.0,80.0,232.1,19.4,10.2,1.4,3.8,100,423.0,9.8,13.3,0,0,0,0,0,0.0,0,3.31,-1.51,4.82,3.4,2.8,0.0,0.0,0,100.0,67.0,67,98.0,41.0,41.8,0.0,2.0,0.0,0.0,0.0,34.0,33.0,38.0,50.0
Valencia Basket,Omari Moore,10,Omari Moore,43,17.3,741.8,323.0,7.5,119.0,267.0,44.6,31.0,97.0,32,54.0,74.0,73,32.0,58.0,90.0,124.0,22.0,3.0,60.0,49.0,314.5,22.5,9.6,3.7,2.7,268,591.0,13.7,17.6,0,0,0,0,0,0.0,0,-0.52,-3.25,2.73,2.1,2.7,0.0,0.0,0,170.0,88.0,51.8,97.0,31.0,32,0.0,11.0,0.0,0.0,0.0,60.0,46.0,71.0,65.0
Real Madrid,Chuma Okeke,8,Chuma Okeke,43,17.9,770.0,242.0,5.6,90.0,191.0,47.1,49.0,127.0,38.6,13.0,19.0,68.4,63.0,104.0,167.0,34.0,25.0,21.0,14.0,41.0,144.3,10.3,7.5,1.1,5.2,81,323.0,7.5,10.1,0,0,0,0,0,0.0,0,4.08,-0.18,4.26,4.0,4.2,0.0,0.0,0,64.0,41.0,64.1,127.0,49.0,38.6,0.0,2.0,0.0,0.0,0.0,14.0,56.0,40.0,41.0
Fenerbahce Beko Istanbul,Khem Birch,92,Khem Birch,43,16.5,711.4,166.0,3.9,61.0,97.0,62.9,0.0,0.0,0,44.0,65.0,67.7,65.0,106.0,171.0,19.0,14.0,16.0,43.0,134.0,99.5,7.8,5.4,0.6,5.5,45,211.0,4.9,6.8,0,0,0,0,0,0.0,0,-3.03,-7.41,4.38,4.9,4.3,0.0,0.0,0,97.0,61.0,62.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,43.0,64.0,13.0,19.0
Zalgiris Kaunas,Sylvain Francisco,3,Sylvain Francisco,42,27.8,1166.6,694.0,16.5,209.0,480.0,43.5,113.0,293.0,38.6,163.0,204.0,79.9,20.0,101.0,121.0,275.0,42.0,14.0,119.0,85.0,642.0,30.7,22.8,9.0,4.0,573,1267.0,30.2,41.7,0,0,0,0,0,0.0,0,6.36,3.37,2.99,1.4,1.0,0.0,0.0,0,187.0,96.0,51.3,293.0,113.0,38.6,0.0,74.0,0.0,0.0,0.0,119.0,77.0,175.0,139.0
Fenerbahce Beko Istanbul,Wade Baldwin Iv,2,Wade Baldwin Iv,42,25.8,1085.6,589.0,14.0,211.0,463.0,45.6,39.0,133.0,29.3,128.0,163.0,78.5,28.0,106.0,134.0,230.0,28.0,18.0,98.0,68.0,580.5,29.9,19.1,7.5,4.3,516,1105.0,26.3,35.9,0,0,0,0,0,0.0,0,3.92,0.5,3.42,1.7,1.0,0.0,0.0,0,330.0,172.0,52.1,133.0,39.0,29.3,0.0,26.0,0.0,0.0,0.0,98.0,57.0,118.0,95.0
