Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
A. Maitland,Barking Abbey Senior Men I,14/15/25,A. Maitland,"D. Orija, E. Tomking, M. Filho, R. Connolly",1,6.9,4,2,3,66.7,0,0,0,0,0,0,1,2,3,0,0,0,1,0,3,0,4,4.0,35.3,106.0,0,106.0,66.7,66.7,0.0,25.0,1,1,100,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4
A. Maitland,Barking Abbey Senior Men I,14/15/25,A. Maitland,"E. Tomking, J. Mendes, K. Mabaya, M. Filho",1,6.5,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.0,0.0,112.8,0,112.8,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Maitland,Barking Abbey Senior Men I,14/15/25,A. Maitland,"E. Tomking, J. Mendes, M. Filho, R. Connolly",2,6.3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0.0,0.0,28.8,0,28.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Maitland,Barking Abbey Senior Men I,14/15/25,A. Maitland,"K. Mabaya, M. Filho, O. Anyanwu, R. Connolly",3,4.8,0,0,1,0.0,0,1,0.0,0,0,0,0,1,1,1,0,0,1,0,2,0,0,0.0,0.0,108.5,0,108.5,0.0,0.0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A. Maitland,Barking Abbey Senior Men I,14/15/25,A. Maitland,"J. Mendes, K. Mabaya, M. Filho, R. Connolly",1,4.6,3,1,1,100.0,1,1,100.0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,3.0,37.5,100.0,0,100.0,150.0,150.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Maitland,Barking Abbey Senior Men I,14/15/25,A. Maitland,"E. Tomking, K. Mabaya, M. Filho, O. Anyanwu",2,4.1,2,1,1,100.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1.0,21.9,131.4,0,131.4,100.0,100.0,100.0,0.0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Maitland,Barking Abbey Senior Men I,14/15/25,A. Maitland,"D. Orija, E. Tomking, O. Anyanwu, R. Connolly",1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0,0.0,88.3,0,88.3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Maitland,Barking Abbey Senior Men I,14/15/25,A. Maitland,"I. Warari, J. Mendes, L. Sayles, O. Anyanwu",2,3.9,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0.0,0.0,79.2,0,79.2,0.0,0.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A. Maitland,Barking Abbey Senior Men I,14/15/25,A. Maitland,"J. Mendes, K. Mabaya, M. Filho, O. Anyanwu",2,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,96.8,0,96.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Maitland,Barking Abbey Senior Men I,14/15/25,A. Maitland,"J. Mendes, O. Anyanwu, R. Connolly, Solomon Dobson-Smith",1,3.6,0,0,2,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,50.8,0,50.8,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
