Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Myerscough College EABL,6,Salomi Laditan,,1,23.1,23.1,8,8.0,4,5,80.0,0,1,0.0,0,1,0.0,5,5,10,4,7,0,0,3,80.0,73.5,8.0,147.1,9.0,1.1,19.2,22.2,20.6,28.7,13.4,0.0,0.0,0.2,23.25,9.9,13.34,4,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itchen College EABL,6,Ethan Round,,12,31.2,374.7,232,19.3,78,170,45.9,39,99,39.4,37,44,84.1,14,55,69,51,23,4,29,12,57.4,61.3,23.4,106.2,23.5,10.0,3.9,15.3,9.6,23.6,3.0,1.1,13.3,0.26,17.93,11.09,6.84,36,26,72.2,4,3,75,4,2,50,14,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester Magic Academy EABL,13,Oluwademilade Babalola,,13,31.2,405.8,228,17.5,96,192,50.0,15,46,32.6,21,32,65.6,30,109,139,66,52,23,57,21,53.9,55.3,27.2,86.7,20.9,4.2,8.1,27.7,18.2,26.9,6.2,5.2,21.7,0.17,16.42,7.06,9.36,98,63,64.3,10,3,30,0,0,0,22,26,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Myerscough College EABL,9,Olivier Esingle,,13,25.0,325.4,187,14.4,73,154,47.4,11,33,33.3,30,38,78.9,13,54,67,63,36,10,37,25,51.0,54.8,24.8,90.0,17.8,3.1,4.0,17.2,10.5,32.7,5.4,3.1,17.8,0.25,16.35,7.23,9.12,55,30,54.5,16,7,43.8,1,1,100,10,21,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Myerscough College EABL,8,Junior Sanchez,,1,32.8,32.8,18,18.0,7,11,63.6,2,3,66.7,2,2,100.0,2,5,7,5,0,1,6,1,72.7,75.8,22.7,100.7,23.0,3.8,8.1,15.3,12.2,27.2,0.0,2.5,33.6,0.18,15.84,9.18,6.66,5,3,60,0,0,0,2,2,100,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester Magic Academy EABL,8,Jack Walton,,12,30.9,371.1,181,15.1,70,139,50.4,30,67,44.8,11,14,78.6,4,43,47,84,20,0,31,8,61.2,62.3,19.7,102.7,17.9,6.6,1.2,12.0,6.7,34.2,2.6,0.0,17.6,0.1,14.83,8.44,6.39,34,25,73.5,18,8,44.4,4,2,50,19,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
City of London Academy - Southwark EABL,13,Toby Gass,,11,27.0,296.9,189,17.2,76,155,49.0,11,36,30.6,26,47,55.3,37,51,88,17,19,14,22,18,52.6,53.8,28.2,95.6,22.1,4.2,13.7,19.6,16.6,12.7,3.4,5.0,11.1,0.3,14.56,7.6,6.96,54,36,66.7,11,7,63.6,0,0,0,15,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
City of London Academy - Southwark EABL,8,Daniel Banjoko,,12,27.8,333.6,136,11.3,53,99,53.5,2,24,8.3,28,43,65.1,32,50,82,34,36,4,36,18,54.5,57.7,19.4,88.4,14.4,2.5,10.4,16.6,13.5,18.3,5.6,1.3,23.4,0.43,13.22,4.96,8.27,46,37,80.4,3,2,66.7,0,0,0,16,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Myerscough College EABL,12,Zach Trezvant,,13,21.8,283.6,142,10.9,60,106,56.6,7,30,23.3,15,31,48.4,46,67,113,28,23,18,43,30,59.9,59.3,22.2,87.3,13.5,2.9,16.4,24.4,20.4,16.3,4.0,6.4,26.4,0.29,13.17,5.88,7.29,54,39,72.2,3,2,66.7,0,0,0,23,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Barking Abbey EABL,23,Joshua Mendes,,11,29.4,323.1,182,16.5,72,152,47.4,7,31,22.6,31,41,75.6,44,65,109,15,14,11,28,24,49.7,53.5,25.7,91.9,21.3,3.6,13.7,22.5,17.9,10.7,2.2,3.6,14.1,0.27,12.53,6.4,6.13,65,37,56.9,9,5,55.6,0,0,0,6,14,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
