game_id,game_date,team,points,fgm,fga,fg2m,fg2a,fg3m,fg3a,ftm,fta,oreb,dreb,treb,ast,stl,blk,tov,pf,pf_drawn,blk_against,poss,pace
2759720,2025-10-08,BMET City of Birmingham Rockets EABL,71,26,80,20,47,6,33,13,21,18,28,46,19,10,6,28,10,18,1,95.3,94.6
2759720,2025-10-08,Derby College Trailblazers EABL,89,35,86,24,58,11,28,8,11,15,37,52,25,23,1,22,18,10,6,93.9,94.6
2759721,2025-10-08,Manchester Magic Academy EABL,81,34,70,27,48,7,22,6,12,4,15,19,22,17,2,15,12,17,3,82.8,82.7
2759721,2025-10-08,Charnwood College Riders EABL,77,29,58,20,35,9,23,10,16,11,31,42,10,6,3,32,17,12,2,82.6,82.7
2759723,2025-10-08,SGS College EABL,67,25,75,16,45,9,30,8,10,15,23,38,15,14,3,23,20,13,8,83.9,83.8
2759723,2025-10-08,Myerscough College EABL,87,32,71,29,52,3,19,20,37,21,29,50,15,17,8,21,13,20,3,83.8,83.8
2759742,2025-10-08,Barking Abbey EABL,75,32,65,30,49,2,16,9,13,7,24,31,19,16,2,15,22,17,2,75.6,76.6
2759742,2025-10-08,HHS Reading Rockets EABL,60,20,59,14,37,6,22,14,18,11,22,33,7,7,2,25,17,22,2,77.7,76.6
2759745,2025-10-08,City of London Academy - Southwark EABL,76,25,60,24,43,1,17,25,35,15,21,36,13,14,5,24,24,30,1,81.0,81.4
2759745,2025-10-08,Itchen College EABL,68,23,61,17,35,6,26,16,30,15,21,36,15,12,1,26,30,24,5,81.8,81.4
2759725,2025-10-15,BMET City of Birmingham Rockets EABL,92,38,66,30,50,8,16,8,14,9,33,42,17,11,4,32,15,14,1,91.4,91.1
2759725,2025-10-15,SGS College EABL,83,31,79,21,52,10,27,11,22,14,19,33,16,18,1,20,15,15,4,90.9,91.1
2759758,2025-10-15,Itchen College EABL,108,45,79,38,60,7,19,11,20,15,25,40,27,21,4,15,7,20,4,84.3,82.8
2759758,2025-10-15,Copleston High School EABL,57,24,58,17,36,7,22,2,4,7,18,25,12,8,4,32,20,7,4,81.4,82.8
2759729,2025-10-15,Myerscough College EABL,60,21,72,20,50,1,22,17,28,26,20,46,15,16,7,23,10,24,2,78.1,79.2
2759729,2025-10-15,Manchester Magic Academy EABL,71,29,65,20,46,9,19,4,4,8,23,31,18,12,2,25,24,10,7,80.4,79.2
2759751,2025-10-15,City of London Academy - Southwark EABL,59,23,57,22,43,1,14,12,25,18,26,44,14,15,1,29,19,23,1,75.8,77.4
2759751,2025-10-15,Barking Abbey EABL,53,17,61,13,34,4,27,15,21,12,22,34,9,14,1,24,23,19,1,79.0,77.4
2759760,2025-11-12,Copleston High School EABL,44,16,52,12,25,4,27,8,14,4,22,26,6,6,2,38,17,17,2,88.5,87.2
2759760,2025-11-12,Barking Abbey EABL,107,39,91,30,50,9,41,20,24,26,28,54,20,24,2,14,17,17,2,86.0,87.2
2759731,2025-11-12,Charnwood College Riders EABL,87,35,74,31,57,4,17,13,26,18,21,39,21,15,2,17,14,20,6,81.1,81.9
2759731,2025-11-12,SGS College EABL,81,31,63,24,50,7,13,12,14,8,25,33,17,9,6,25,20,14,2,82.7,81.9
2759732,2025-11-12,Manchester Magic Academy EABL,85,34,71,27,55,7,16,10,16,11,25,36,23,10,7,18,16,14,4,81.6,81.8
2759732,2025-11-12,Derby College Trailblazers EABL,78,33,73,29,52,4,21,8,19,18,26,44,22,9,4,22,14,16,7,81.9,81.8
2759736,2025-11-12,Myerscough College EABL,96,37,90,27,53,10,37,12,21,33,31,64,29,18,2,15,14,14,4,78.0,80.9
2759736,2025-11-12,BMET City of Birmingham Rockets EABL,55,20,60,11,33,9,27,6,10,6,25,31,12,8,4,29,15,14,2,83.9,80.9
2759763,2025-11-12,HHS Reading Rockets EABL,65,25,60,20,39,5,21,10,15,7,19,26,19,9,5,23,24,14,2,79.3,80.7
2759763,2025-11-12,City of London Academy - Southwark EABL,77,32,62,30,54,2,8,11,26,13,25,38,18,10,2,25,14,24,5,82.0,80.7
2759766,2025-11-12,Oaklands Wolves EABL,70,25,62,19,35,6,27,14,30,8,24,32,14,10,4,22,12,24,2,85.6,83.7
2759766,2025-11-12,Itchen College EABL,96,38,80,28,57,10,23,10,14,19,33,52,21,12,2,18,24,12,4,81.8,83.7
2759719,2025-11-19,BMET City of Birmingham Rockets EABL,65,25,63,17,38,8,25,7,14,14,25,39,11,14,1,36,6,19,1,87.5,87.5
2759719,2025-11-19,Manchester Magic Academy EABL,95,40,73,28,46,12,27,3,5,8,24,32,28,24,1,24,19,6,1,87.6,87.5
2759746,2025-11-19,Copleston High School EABL,50,20,68,16,42,4,26,6,9,15,24,39,12,25,3,32,18,15,2,85.4,86.5
2759746,2025-11-19,HHS Reading Rockets EABL,61,25,67,23,48,2,19,9,14,17,32,49,11,19,2,35,15,18,3,87.5,86.5
2759722,2025-11-19,Charnwood College Riders EABL,79,32,73,27,49,5,24,10,17,16,16,32,13,11,1,15,18,13,3,76.3,77.7
2759722,2025-11-19,Myerscough College EABL,81,31,67,24,42,7,25,12,19,14,24,38,21,8,3,21,15,18,1,79.1,77.7
2759724,2025-11-19,SGS College EABL,91,34,74,28,55,6,19,17,27,8,30,38,9,14,6,11,12,25,4,85.3,86.7
2759724,2025-11-19,Derby College Trailblazers EABL,86,34,81,25,56,9,25,9,13,13,33,46,22,5,4,18,25,12,6,88.1,86.7
2759743,2025-11-19,City of London Academy - Southwark EABL,82,32,65,28,43,4,22,14,18,11,22,33,19,15,5,16,12,19,3,74.8,73.7
2759743,2025-11-19,Oaklands Wolves EABL,52,23,61,21,42,2,19,4,8,11,21,32,12,11,3,22,19,12,5,72.5,73.7
2759727,2025-11-26,Derby College Trailblazers EABL,95,37,81,27,52,10,29,11,16,11,36,47,26,8,1,24,22,19,3,97.0,77.9
2759727,2025-11-26,Charnwood College Riders EABL,97,34,76,24,48,10,28,19,29,6,34,40,13,14,3,19,19,22,1,97.7,77.9
2759726,2025-12-03,BMET City of Birmingham Rockets EABL,83,29,74,23,53,6,21,19,32,18,19,37,16,10,4,24,24,26,6,90.3,91.6
2759726,2025-12-03,Charnwood College Riders EABL,90,33,70,26,46,7,24,17,29,13,33,46,24,16,6,27,26,24,4,92.9,91.6
2759752,2025-12-03,Itchen College EABL,101,38,74,28,53,10,21,15,20,11,32,43,24,16,1,17,18,15,2,85.2,83.4
2759752,2025-12-03,HHS Reading Rockets EABL,53,20,57,16,37,4,20,9,18,5,21,26,11,11,2,25,15,18,1,81.5,83.4
2759728,2025-12-03,Derby College Trailblazers EABL,53,17,57,10,32,7,25,12,17,4,21,25,14,13,3,21,20,13,1,78.2,75.1
2759728,2025-12-03,Myerscough College EABL,93,36,73,33,53,3,20,18,30,19,36,55,19,12,1,18,14,19,3,81.8,80.0
2759730,2025-12-03,Manchester Magic Academy EABL,99,41,79,32,54,9,25,8,16,13,20,33,33,23,2,16,12,11,2,85.5,84.9
2759730,2025-12-03,SGS College EABL,72,29,57,22,37,7,20,7,11,5,21,26,18,7,2,31,11,12,2,84.3,84.9
2759755,2025-12-03,Oaklands Wolves EABL,88,34,68,24,38,10,30,10,20,14,36,50,23,4,4,14,9,15,3,73.7,75.6
2759755,2025-12-03,Barking Abbey EABL,57,22,85,17,53,5,32,8,13,20,22,42,13,8,3,10,15,9,4,77.5,75.6
2759756,2025-12-10,Copleston High School EABL,72,27,69,16,37,11,32,7,16,9,31,40,15,8,12,29,21,20,2,92.2,92.7
2759756,2025-12-10,Oaklands Wolves EABL,91,32,90,29,68,3,22,24,32,25,32,57,14,16,2,18,20,21,12,93.2,92.7
2759764,2025-12-10,Itchen College EABL,72,27,77,23,51,4,26,14,17,19,19,38,9,12,2,17,23,16,5,79.2,76.5
2759764,2025-12-10,City of London Academy - Southwark EABL,74,29,60,24,37,5,23,11,18,12,29,41,14,9,5,21,16,23,2,73.8,76.5
2759733,2025-12-10,Charnwood College Riders EABL,68,27,70,23,46,4,24,10,13,12,27,39,10,9,3,17,12,13,6,77.5,77.3
2759733,2025-12-10,Manchester Magic Academy EABL,73,29,62,21,37,8,25,7,12,5,28,33,17,9,6,18,13,12,3,77.1,77.3
2759734,2025-12-10,Derby College Trailblazers EABL,92,36,78,24,44,12,34,8,11,10,24,34,31,6,0,10,15,14,2,79.5,80.2
2759734,2025-12-10,BMET City of Birmingham Rockets EABL,86,34,65,27,38,7,27,11,21,7,26,33,22,6,2,17,14,14,0,80.9,80.2
2759735,2025-12-10,Myerscough College EABL,87,37,71,31,48,6,23,7,13,17,22,39,24,19,2,22,24,10,1,78.5,77.2
2759735,2025-12-10,SGS College EABL,41,11,52,11,36,0,16,19,30,14,17,31,8,9,1,28,10,24,2,76.0,77.2
2759748,2026-01-07,Oaklands Wolves EABL,127,49,100,32,63,17,37,12,18,28,35,63,30,12,4,15,11,15,3,91.1,89.7
2759748,2026-01-07,Copleston High School EABL,65,24,72,20,48,4,24,13,18,7,22,29,8,12,3,19,15,10,4,88.2,89.7
2759768,2026-01-14,Copleston High School EABL,54,20,66,15,37,5,29,9,17,10,23,33,8,6,7,21,17,15,3,81.1,82.1
2759768,2026-01-14,Itchen College EABL,105,40,82,28,53,12,29,13,24,16,37,53,24,14,3,10,15,17,7,83.1,82.1
2759737,2026-01-14,Charnwood College Riders EABL,83,26,70,20,47,6,23,25,36,13,32,45,15,11,1,17,17,21,5,86.2,79.0
2759737,2026-01-14,Derby College Trailblazers EABL,82,32,79,28,56,4,23,14,21,14,31,45,26,7,5,21,22,16,1,91.4,79.0
2759738,2026-01-14,Manchester Magic Academy EABL,71,27,74,18,42,9,32,8,13,11,14,25,22,12,6,12,21,16,5,77.5,77.4
2759738,2026-01-14,Myerscough College EABL,78,28,72,22,44,6,28,16,24,26,30,56,19,6,5,24,16,21,6,77.3,77.4
2759741,2026-01-14,SGS College EABL,77,30,83,22,49,8,34,9,17,24,31,55,18,17,4,21,21,18,1,84.0,85.9
