Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,DEF_POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
Leicester Riders,"Donald Carey Jr, Marc Loving, Spencer Johnson, Raequan Battle, Nathaniel Martin","Leicester Riders|13,2,20,21,41",8,11.3,678.0,39,12,22,54.5,5,10,50.0,10,12,83.3,0,0,0,0,0,0,3,0,32,30.3,26.4,128.8,121.0,7.8,3.45,7
Bristol Flyers,"Owen Mccormack, Joseph Anderson, William Yoakum, Zachary Anderson, Cameron Holden","Bristol Flyers|13,22,3,4,7",5,7.4,444.0,15,4,8,50.0,0,3,0.0,7,13,53.8,0,0,0,0,0,0,4,0,12,17.7,15.6,84.7,76.7,7.9,2.03,3
Surrey 89ers,"Isiah Small, Owen Koonce, Kino Lily Jr, Michael Graham, Ronald Polite Iii","Surrey 89ers|0,1,12,21,7",2,7.2,435.0,13,4,7,57.1,1,3,33.3,4,5,80.0,0,0,0,0,0,0,3,0,13,12.2,17.1,106.6,76.1,30.4,1.79,0
Leicester Riders,"Olutomiwa Sulaiman, Spencer Johnson, Victor Ndoukou, Travis Evee, Nathaniel Martin","Leicester Riders|10,20,25,3,41",1,7.2,435.0,19,4,7,57.1,2,4,50.0,9,11,81.8,0,0,0,0,0,0,3,0,24,14.8,20.2,128.0,118.8,9.2,2.62,-5
Newcastle Eagles,"Cole Long, Ray'sean Taylor, Mitch Clarke, Deion Hammond, Gus Okafor","Newcastle Eagles|15,3,41,8,99",2,7.1,427.0,19,7,15,46.7,2,8,25.0,3,4,75.0,0,0,0,0,0,0,3,0,21,19.8,13.7,96.2,153.1,-56.9,2.67,-2
Leicester Riders,"Kedrian Johnson, Aaron Menzies, Travis Evee, Xavier Bledson, Flynn Boardman-Raffet","Leicester Riders|1,12,3,5,77",2,6.7,404.0,13,3,14,21.4,0,2,0.0,7,10,70.0,0,0,0,0,0,0,2,0,9,20.4,15.2,63.7,59.2,4.5,1.93,4
Leicester Riders,"Kedrian Johnson, Victor Ndoukou, Travis Evee, Xavier Bledson, Michael Joiner","Leicester Riders|1,25,3,5,9",1,6.2,372.0,17,4,6,66.7,1,2,50.0,8,9,88.9,0,0,0,0,0,0,2,0,16,12.0,16.9,142.1,94.8,47.4,2.74,1
Surrey 89ers,"Isiah Small, Tyrin Lawrence, Kino Lily Jr, Tayo Ogedengbe, Ronald Polite Iii","Surrey 89ers|0,10,12,15,7",2,6.0,363.0,11,4,8,50.0,1,2,50.0,2,5,40.0,0,0,0,0,0,0,1,0,9,11.2,11.6,98.2,77.3,20.9,1.82,2
Newcastle Eagles,"Maceo Jack, Cole Long, Ray'sean Taylor, Deion Hammond, Gus Okafor","Newcastle Eagles|14,15,3,8,99",4,5.3,316.0,19,7,12,58.3,5,10,50.0,0,2,0.0,0,0,0,0,0,0,2,0,20,14.9,15.8,127.7,126.3,1.4,3.61,-1
Newcastle Eagles,"Maceo Jack, Cole Long, Ray'sean Taylor, Mitch Clarke, Gus Okafor","Newcastle Eagles|14,15,3,41,99",3,4.9,295.0,15,3,6,50.0,2,5,40.0,7,9,77.8,0,0,0,0,0,0,2,0,20,12.0,14.3,125.4,139.7,-14.2,3.05,-5
