Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
London Lions,21,Aaryndeep Rai,,1,26.1,26.1,7,7.0,3,5,60.0,1,1,100.0,0,1,0.0,3,4,7,1,2,3,2,3,70.0,64.3,13.1,94.1,10.1,1.4,15.3,22.7,18.8,5.2,4.4,12.4,26.9,0.2,12.36,3.78,8.58,4,2,50,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheshire Phoenix,13,Patrick Robinson,,41,25.8,1058.7,809,19.7,271,486,55.8,34,85,40.0,233,323,72.1,57,106,163,175,37,6,87,74,59.3,64.4,28.4,113.1,23.8,2.5,5.7,11.0,8.3,28.0,1.7,0.5,12.2,0.66,9.84,6.7,3.14,241,151,62.7,11,9,81.8,1,0,0,29,45,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions,15,Chaundee Brown Jr,,27,24.6,663.5,336,12.4,125,230,54.3,40,100,40.0,46,58,79.3,23,97,120,31,15,5,20,47,63.0,65.7,19.5,122.0,16.8,5.0,4.3,16.8,10.8,7.7,1.2,0.8,7.3,0.25,8.92,4.14,4.78,90,64,71.1,12,10,83.3,0,0,0,3,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions,1,Joel Scott,,32,22.8,729.4,403,12.6,144,268,53.7,24,61,39.3,91,123,74.0,79,105,184,41,17,11,31,69,58.2,62.6,22.7,114.1,17.2,2.6,13.6,17.0,15.3,9.6,1.3,1.7,8.8,0.46,8.75,4.25,4.49,144,97,67.4,19,12,63.2,1,0,0,10,16,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Surrey 89ers,12,Kino Lily Jr,,40,34.7,1388.7,750,18.8,271,587,46.2,146,326,44.8,62,79,78.5,19,83,102,173,42,1,76,47,58.6,60.3,22.5,107.5,23.9,10.4,1.6,6.5,4.1,20.7,1.6,0.1,10.9,0.13,8.41,6.92,1.48,57,27,47.4,71,37,52.1,43,23,53.5,35,33,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions,22,Tarik Phillip,,41,20.7,848.6,377,9.2,126,306,41.2,37,129,28.7,88,114,77.2,29,121,150,153,53,7,70,76,47.2,52.9,23.8,88.5,12.5,4.3,4.3,16.7,10.7,29.1,3.4,0.9,16.4,0.37,8.21,2.44,5.78,97,62,63.9,28,10,35.7,17,6,35.3,39,23,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions,33,Shavar Reynolds Jr,,37,21.9,811.6,375,10.1,141,305,46.2,30,79,38.0,63,72,87.5,28,40,68,163,24,1,56,95,51.1,55.7,22.9,95.5,13.8,2.9,4.3,5.8,5.1,33.5,1.6,0.1,14.3,0.24,7.85,2.83,5.02,72,40,55.6,74,37,50,5,2,40,34,15,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle Eagles,3,Ray'sean Taylor,,36,29.5,1060.9,642,17.8,208,452,46.0,74,219,33.8,152,189,80.4,28,134,162,169,55,3,75,94,54.2,60.0,26.3,105.2,22.0,7.5,2.9,15.5,8.9,29.0,2.6,0.3,12.3,0.42,7.77,4.19,3.58,121,88,72.7,36,15,41.7,56,19,33.9,44,16,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions,23,Kameron Mcgusty,,29,22.0,637.4,307,10.6,116,263,44.1,23,70,32.9,52,75,69.3,10,64,74,96,33,6,38,53,48.5,51.9,24.6,91.9,14.5,3.3,1.9,11.9,7.0,25.2,2.8,1.1,11.4,0.29,7.68,2.36,5.31,62,39,62.9,72,33,45.8,9,2,22.2,21,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristol Flyers,22,Joseph Anderson,,33,30.0,989.7,409,12.4,152,376,40.4,62,196,31.6,43,57,75.4,13,66,79,181,57,1,46,50,48.7,51.0,20.6,91.5,16.2,7.8,1.4,7.9,4.5,32.0,3.0,0.1,10.3,0.15,7.65,3.4,4.25,70,48,68.6,30,12,40,14,7,50,30,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
