# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 483
# Qualified players exported: 228
# Total stints used: 6533
# Garbage time stints excluded: 299
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
Birmingham City University Senior Men,11,Reiss Faure-Daley,1256,4.68,5.46,10.14
Solent Kestrels Senior Men,6,Ethan Round,1055,4.59,3.7,8.29
CoLA Southwark Pride Senior Men,13,Toby Gass,692,3.47,3.36,6.83
Worcester Wolves Senior Men,21,Earl Burgess,1394,4.42,1.87,6.29
Solent Kestrels Senior Men,5,Andre Arissol,1106,1.96,4.21,6.16
Manchester Magic Senior Men I,10,Pharroh Gordon,337,4.42,1.22,5.64
Barking Abbey Senior Men I,5,Micael Filho,480,-0.22,5.85,5.62
Worcester Wolves Senior Men,9,Emmanuel Yeboah,958,3.02,2.3,5.32
Barnet Bulldogs Senior Men,22,Robert Mccowan,572,4.03,1.17,5.2
Myerscough Basketball Academy Senior Men I,0,Harry Sheehan,1129,3.69,1.3,4.99
Manchester Magic Senior Men I,13,Daniel Davies,998,3.71,1.26,4.97
St Helens Saints Senior Men,9,Connor Murtagh,1050,1.8,2.84,4.64
Birmingham City University Senior Men,10,Vivaldo Ferreira,656,2.61,2.02,4.62
Richmond Knights Senior Men,14,Kai Hypolite-Sealy,682,0.66,3.93,4.59
Sheffield Arrows Senior Men,23,Diogo Soares,1699,4.19,0.35,4.54
Birmingham City University Senior Men,17,Conroy Hayden,900,2.24,2.21,4.45
London Stars Senior Men,83,Dayvantia Campbell-Deeble,256,3.01,1.36,4.37
Barnet Bulldogs Senior Men,6,Sable Cooper,1067,3.23,1.11,4.34
Barnet Bulldogs Senior Men,32,Leome Francis,397,0.37,3.92,4.29
Sheffield Sharks Senior Men,12,Sedale Hanson-Young,1321,2.0,2.2,4.2
Barnet Bulldogs Senior Men,21,Samuel Williams,720,0.75,3.3,4.05
Barking Abbey Senior Men I,10,Kervy Mabaya,787,3.28,0.66,3.94
Solent Kestrels Senior Men,4,Jakub Ofman,766,1.91,2.01,3.93
Birmingham City University Senior Men,16,Emeka Akim Nweke,294,1.62,2.18,3.8
Barnet Bulldogs Senior Men,8,Tobi Ojuri,542,3.62,0.12,3.74
St Helens Saints Senior Men,10,Kieran Jones,891,2.63,1.08,3.71
Manchester Magic Senior Men I,5,Osarumwense Fortune Iguma,761,1.54,2.06,3.6
Leicester Warriors Senior Men,8,Pakadashe Chingombe,401,3.23,0.34,3.57
Manchester Magic Senior Men I,3,Oluwademilade Babalola,648,0.48,2.97,3.45
Sheffield Arrows Senior Men,25,Andreas Lycoudis,368,1.74,1.66,3.4
St Helens Saints Senior Men,14,Disraeli Lufadeju,1464,1.81,1.48,3.29
Myerscough Basketball Academy Senior Men I,9,Olivier Esingle,959,2.13,1.15,3.28
London Stars Senior Men,99,Nojus Zajankauskas,1125,1.09,2.18,3.27
Manchester Magic Senior Men I,6,Sion Gordon,851,-0.99,4.24,3.25
Leicester Warriors Senior Men,9,Malachi Nelson,1208,0.58,2.64,3.22
Liverpool Senior Men,9,Dante Sofia,1089,1.02,2.14,3.15
Barking Abbey Senior Men I,12,Onome Anyanwu,449,-0.24,3.14,2.9
Solent Kestrels Senior Men,11,Luke Busumbru,689,2.52,0.32,2.84
London Lions Senior Men II,8,Jamil Ako - Mensah,758,1.85,0.84,2.7
Solent Kestrels Senior Men,16,Wayne Kitenge,584,0.19,2.34,2.53
Manchester Magic Senior Men I,15,Bailey Goodall,1139,2.12,0.4,2.52
Myerscough Basketball Academy Senior Men I,12,Zach Trezvant,958,1.68,0.77,2.46
St Helens Saints Senior Men,4,Joseph Collamat,758,0.56,1.81,2.37
Manchester Magic Senior Men I,8,Jack Walton,1403,1.29,1.08,2.37
Solent Kestrels Senior Men,15,Ashley Briggs,710,0.44,1.87,2.31
Cardiff Met Archers Senior Men I,10,Gareth Williams,880,-0.43,2.71,2.28
Worcester Wolves Senior Men,6,Wilfrid Santhe,1460,1.29,0.96,2.26
Worcester Wolves Senior Men,13,Georgios Stergiopoulos,836,2.87,-0.63,2.24
Sheffield Arrows Senior Men,8,Kunal Bagga,608,2.44,-0.25,2.19
Worcester Wolves Senior Men,10,Humberto Ferreira,1396,-1.22,3.4,2.18
Birmingham City University Senior Men,9,Samuel Toluwase,1113,0.63,1.54,2.17
London Stars Senior Men,5,Samuel Pleszak,267,0.4,1.77,2.17
London Stars Senior Men,9,Ryan Martin,1232,1.84,0.25,2.09
Barking Abbey Senior Men I,13,Dwayne Orija,529,-0.01,2.05,2.04
Barking Abbey Senior Men I,23,Joshua Mendes,982,-0.83,2.87,2.03
Myerscough Basketball Academy Senior Men I,15,Solomi Laditan-Adebiyi,684,1.51,0.51,2.02
Myerscough Basketball Academy Senior Men I,8,Daniel Azancot,893,1.0,1.01,2.01
London Stars Senior Men,11,Jamie Hayes,926,0.59,1.25,1.83
Solent Kestrels Senior Men,7,Javen Osei-Owusu,292,0.6,1.2,1.8
Liverpool Senior Men,12,Torin Dubiel,908,1.34,0.45,1.79
London Stars Senior Men,6,Nasir Cassel,415,0.99,0.78,1.77
Sheffield Sharks Senior Men,21,Charles Andrews,817,1.03,0.73,1.76
Leicester Warriors Senior Men,11,Benson Agrobo,397,0.44,1.31,1.75
