Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Oaklands Wolves EABL,"Daniel Kostadinov, Liam Mcintosh, Gavin Mitchell, Dylan Gladstone, Enzo Da Cruz Fatuda","Oaklands Wolves EABL|1,10,15,24,4",4,Enzo Da Cruz Fatuda,1,Daniel Kostadinov,9,27,9,0,6,1.5,4.5
Itchen College EABL,"Dawid Cimochowski, Benjamin Cope, Jakub Ofman, Ethan Round, Elijah Lotriet","Itchen College EABL|1,3,4,6,8",3,Benjamin Cope,6,Ethan Round,8,23,7,1,7,1.14,3.29
BMET City of Birmingham Rockets EABL,"Philip Basioudis, Larry Duru, Jonathan Agbeze, George Angoy, Jude Hyland","BMET City of Birmingham Rockets EABL|10,15,5,6,9",9,Jude Hyland,15,Larry Duru,8,18,2,6,5,1.6,3.6
Itchen College EABL,"Dawid Cimochowski, Benjamin Cope, Jakub Ofman, Ethan Round, Elijah Lotriet","Itchen College EABL|1,3,4,6,8",8,Elijah Lotriet,4,Jakub Ofman,6,15,3,3,5,1.2,3.0
Oaklands Wolves EABL,"Daniel Kostadinov, Liam Mcintosh, Gavin Mitchell, Enzo Da Cruz Fatuda, Dylan Gladstone","Oaklands Wolves EABL|1,10,15,17,24",15,Gavin Mitchell,1,Daniel Kostadinov,5,15,5,0,5,1.0,3.0
Oaklands Wolves EABL,"Daniel Kostadinov, Liam Mcintosh, Gavin Mitchell, Enzo Da Cruz Fatuda, Dylan Gladstone","Oaklands Wolves EABL|1,10,15,17,24",17,Enzo Da Cruz Fatuda,15,Gavin Mitchell,5,13,3,2,4,1.25,3.25
Itchen College EABL,"Dawid Cimochowski, Benjamin Cope, Jakub Ofman, Ethan Round, Elijah Lotriet","Itchen College EABL|1,3,4,6,8",8,Elijah Lotriet,1,Dawid Cimochowski,6,12,0,6,4,1.5,3.0
Derby College Trailblazers EABL,"Casey Burr, Rohan Hobday, Elias Rice, William Tallon, Elias Norman","Derby College Trailblazers EABL|0,12,4,6,7",7,Elias Norman,12,Rohan Hobday,6,12,0,6,4,1.5,3.0
BMET City of Birmingham Rockets EABL,"Philip Basioudis, Larry Duru, Jonathan Agbeze, George Angoy, Jude Hyland","BMET City of Birmingham Rockets EABL|10,15,5,6,9",5,Jonathan Agbeze,10,Philip Basioudis,4,11,3,1,3,1.33,3.67
BMET City of Birmingham Rockets EABL,"Philip Basioudis, Larry Duru, Jonathan Agbeze, George Angoy, Jude Hyland","BMET City of Birmingham Rockets EABL|10,15,5,6,9",5,Jonathan Agbeze,15,Larry Duru,5,11,1,4,4,1.25,2.75
