Home_Team,Home_Lineup,Away_Team,Away_Lineup,Games,Total_Seconds,Minutes,Possessions,Home_PTS,Home_FGM,Home_FGA,Home_FG%,Home_3PM,Home_3PA,Home_3P%,Home_FTM,Home_FTA,Home_FT%,Home_OREB,Home_DREB,Home_REB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Away_PTS,Away_FGM,Away_FGA,Away_FG%,Away_3PM,Away_3PA,Away_3P%,Away_FTM,Away_FTA,Away_FT%,Away_OREB,Away_DREB,Away_REB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Home_POSS,Away_POSS,Home_OFF_RTG,Home_DEF_RTG,Home_NET_RTG,Away_OFF_RTG,Away_DEF_RTG,Away_NET_RTG,Point_Diff,Home_RIM_ATT,Home_RIM_MADE,Home_RIM%,Home_OTD_2PT_ATT,Home_OTD_2PT_MADE,Home_OTD_2PT%,Home_OTD_3PT_ATT,Home_OTD_3PT_MADE,Home_OTD_3PT%,Away_RIM_ATT,Away_RIM_MADE,Away_RIM%,Away_OTD_2PT_ATT,Away_OTD_2PT_MADE,Away_OTD_2PT%,Away_OTD_3PT_ATT,Away_OTD_3PT_MADE,Away_OTD_3PT%,Home_PASS_TO,Home_DRIBBLE_TO,Home_DEFENSE_TO,Home_MISC_TO,Away_PASS_TO,Away_DRIBBLE_TO,Away_DEFENSE_TO,Away_MISC_TO,Home_2ND_CHANCE_PTS,Home_FAST_BREAK_PTS,Home_PTS_OFF_TOV,Away_2ND_CHANCE_PTS,Away_FAST_BREAK_PTS,Away_PTS_OFF_TOV
Derby College Trailblazers EABL,"Casey Burr, Elias Norman, Elias Rice, Rohan Hobday, William Tallon",BMET City of Birmingham Rockets EABL,"George Angoy, Jonathan Agbeze, Jude Hyland, Larry Duru, Philip Basioudis",1,871,14.5,29.3,32,12,27,44.4,3,11,27.3,5,5,100,4,9,13,12,2,0,4,6,34,14,24,58.3,3,7,42.9,3,6,50,2,11,13,8,2,1,5,7,28.9,29.7,110.7,114.5,-3.8,114.5,110.7,3.8,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charnwood College Riders EABL,"Davin Hanousek, Lewis Stevenson, Rudy Buckingham, Tristan Curran, Zavier Gleadell-Smith",Manchester Magic Academy EABL,"Harley Blake, Jack Odongo, Nathan Brown, Oluwademilade Babalola, Tarique Kamal Kazmi",1,646,10.8,21.3,13,6,20,30,1,7,14.3,0,0,0,3,7,10,2,3,1,3,2,21,9,16,56.2,1,4,25,2,4,50,1,10,11,6,2,0,6,2,19.5,22.8,66.5,92,-25.5,92,66.5,25.5,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oaklands Wolves EABL,"Daniel Kostadinov, Dylan Gladstone, Enzo Da Cruz Fatuda, Gavin Mitchell, Liam Mcintosh",City of London Academy - Southwark EABL,"Andrew Nwokolo, Daniel Banjoko, David Banjoko, Jacob Hannick, Toby Gass",1,623,10.4,21.1,13,6,20,30,0,6,0,1,2,50,5,13,18,1,1,1,4,3,19,8,23,34.8,1,8,12.5,2,4,50,4,10,14,6,4,5,1,3,19.9,22.0,65.4,86.4,-21.1,86.4,65.4,21.1,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oaklands Wolves EABL,"Daniel Kostadinov, Dylan Gladstone, Enzo Da Cruz Fatuda, Gavin Mitchell, Liam Mcintosh",Copleston High School EABL,"Angus Hickey, Isaac Little, Matthew Liddamore, Noah Wilkinson, Timothy Rafiu",1,547,9.1,18.9,32,14,26,53.8,4,7,57.1,0,1,0,10,12,22,8,1,0,3,0,10,4,17,23.5,2,10,20,0,0,0,0,2,2,4,2,3,2,3,18.7,19.0,170.8,52.6,118.1,52.6,170.8,-118.1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMET City of Birmingham Rockets EABL,"George Angoy, Jonathan Agbeze, Jude Hyland, Larry Duru, Philip Basioudis",Copleston High School EABL,"Callum Fobister, Isaac Little, Matthew Liddamore, Noah Wilkinson, Timothy Rafiu",1,472,7.9,18.3,18,6,19,31.6,3,6,50,3,5,60,6,5,11,7,3,1,3,3,23,9,16,56.2,4,8,50,1,2,50,3,8,11,7,2,0,4,3,18.2,18.1,98.7,127.3,-28.6,127.3,98.7,28.6,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myerscough College EABL,"Ayo Ibirinde, Cesar Sanchez Falette, Harry Sheehan, Olivier Esingle, Sayomi Latidan",Derby College Trailblazers EABL,"Casey Burr, Elias Norman, Elias Rice, Rohan Hobday, William Tallon",1,463,7.7,17.5,30,11,20,55,5,10,50,3,4,75,3,11,14,10,4,2,0,1,2,1,12,8.3,0,5,0,0,0,0,0,6,6,1,0,1,4,2,18.6,16.0,161.7,12.5,149.2,12.5,161.7,-149.2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGS College EABL,"Dylan Lloyd, Imam Toure, Kevin Ramirez Mora, Luka Matthews, Marcos Perez Tosca",Copleston High School EABL,"Callum Fobister, Isaac Little, Matthew Liddamore, Noah Wilkinson, Timothy Rafiu",1,515,8.6,16.6,17,6,13,46.2,2,4,50,3,4,75,3,9,12,1,1,1,5,1,15,7,21,33.3,0,4,0,1,2,50,5,3,8,2,0,2,1,5,16.0,17.5,106.2,85.6,20.6,85.6,106.2,-20.6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barking Abbey EABL,"Alaxanda Nwabueze, Amari Maitland, Joshua Mendes, Oskaras Visockas, Raphael Connolly",Oaklands Wolves EABL,"Daniel Kostadinov, Dylan Gladstone, Enzo Da Cruz Fatuda, Huxley Morrell, Liam Mcintosh",1,494,8.2,16.5,19,7,16,43.8,3,7,42.9,2,2,100,3,8,11,5,3,0,3,2,12,4,18,22.2,1,6,16.7,3,4,75,5,4,9,3,1,3,3,1,15.8,17.0,120.6,70.6,50,70.6,120.6,-50,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charnwood College Riders EABL,"Fahad Saeed, Luca Boothe, Tom Pearson, Tristan Curran, Zavier Gleadell-Smith",Oaklands Wolves EABL,"Daniel Kostadinov, Dylan Gladstone, Enzo Da Cruz Fatuda, Gavin Mitchell, Liam Mcintosh",1,528,8.8,15.4,28,12,18,66.7,3,4,75,1,2,50,3,4,7,8,2,0,0,4,16,7,12,58.3,1,3,33.3,1,2,50,1,2,3,3,0,1,4,2,15.0,15.8,186.3,101.2,85.1,101.2,186.3,-85.1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charnwood College Riders EABL,"Asa Oyerinde, Pharrell Kattah, Rudy Buckingham, Stanley Morris, Tristan Curran",Derby College Trailblazers EABL,"Casey Burr, Elias Norman, Elias Rice, Rohan Hobday, William Tallon",1,511,8.5,15.1,9,4,14,28.6,1,7,14.3,0,2,0,3,8,11,2,1,0,2,2,11,4,17,23.5,1,3,33.3,2,4,50,5,8,13,2,1,1,2,2,14.0,15.4,64.5,71.4,-6.9,71.4,64.5,6.9,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
