Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,DEF_POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
Spišskí Rytieri,"Cameron Deshaun Jones, Juraj Páleník, Isaiah Malik Hill, Marko Stevanović, Caleb Jamerson Kenney","Spišskí Rytieri|1,26,3,62,8",6,11.8,708.0,26,8,22,36.4,3,11,27.3,7,9,77.8,0,0,0,0,0,0,3,0,31,27.8,30.9,93.5,100.3,-6.8,2.2,-5
Spišskí Rytieri,"Joshua Stephen Jefferson, Juraj Páleník, Isaiah Malik Hill, Marko Stevanović, Caleb Jamerson Kenney","Spišskí Rytieri|11,26,3,62,8",5,8.0,477.0,21,7,15,46.7,2,6,33.3,5,6,83.3,0,0,0,0,0,0,2,0,22,18.9,17.0,111.4,129.0,-17.7,2.64,-1
BKM Mimel Lučenec,"Tevin Michael Smith, Tervell Tyshawn Beck, Eric Dean Lewis Boone Jr, Shaun Gregory Willett, Jalil Omar Beaubrun","BKM Mimel Lučenec|11,13,3,6,7",3,5.9,354.0,22,7,13,53.8,1,2,50.0,7,10,70.0,0,0,0,0,0,0,0,0,14,16.7,13.4,131.7,104.2,27.5,3.73,8
MBK Baník Handlová,"Jordan Lamont Harris, Djimon Tyler Henson, Juraj Láštic, Jakub Petráš, Jeremy Lamar Mc Laughlin","MBK Baník Handlová|1,18,24,32,71",2,5.4,322.0,14,4,10,40.0,0,4,0.0,6,6,100.0,0,0,0,0,0,0,2,0,10,14.1,12.1,99.6,82.4,17.2,2.61,4
Košice Wolves,"Derrick Deshaun Carter-Hollinger Iii, Todd Jacob Wolfe, David Lee Early, Filip Halada, Clarence Edward Rupert Iii","Košice Wolves|0,3,32,33,4",2,5.0,298.0,16,2,10,20.0,1,3,33.3,11,14,78.6,0,0,0,0,0,0,1,0,6,16.5,7.4,97.1,80.5,16.6,3.22,10
Nitra Blue Wings,"Tristan Ekong Ikpe, Dimitrius Paul Underwood, Oleksandr Belikov, Jordan Lamont Jones, Lukáš Bolek","Nitra Blue Wings|0,11,13,4,77",3,5.0,302.0,16,5,9,55.6,0,0,0,6,6,100.0,0,0,0,0,0,0,0,0,6,11.2,12.1,143.2,49.4,93.7,3.18,10
Iskra Svit,"Sevon Marquise Witt, Róbert Rožánek, Tyrin Ja´quain Atwood, Jasean Jatar Jackson, Samuel Thomas Hines Jr","Iskra Svit|1,17,24,7,8",1,5.0,302.0,9,3,9,33.3,0,3,0.0,3,6,50.0,0,0,0,0,0,0,2,0,2,13.1,12.5,68.7,16.0,52.7,1.79,7
Spišskí Rytieri,"Joshua Stephen Jefferson, Juraj Páleník, Tomáš Mrviš, Marko Stevanović, Caleb Jamerson Kenney","Spišskí Rytieri|11,26,33,62,8",1,5.0,302.0,2,1,11,9.1,0,6,0.0,0,0,0,0,0,0,0,0,0,2,0,9,12.5,13.1,16.0,68.7,-52.7,0.4,-7
BC Komárno,"Aaron Jamal Naseem Gray, Corey Kaydon Mckeithan, Elijah Gregory Ormiston, Tyler Terell Millin, Carrington Roderick Wiggins","BC Komárno|1,2,20,30,4",3,4.6,276.0,10,3,10,30.0,1,3,33.3,3,4,75.0,0,0,0,0,0,0,2,0,15,13.2,10.5,75.7,142.6,-66.9,2.17,-5
BKM Mimel Lučenec,"Tevin Michael Smith, Tervell Tyshawn Beck, Eric Dean Lewis Boone Jr, Jalil Omar Beaubrun, Matej Siládi","BKM Mimel Lučenec|11,13,3,7,8",3,4.5,268.0,13,4,10,40.0,1,3,33.3,4,8,50.0,0,0,0,0,0,0,0,0,10,13.0,7.3,100.2,136.3,-36.2,2.91,3
