Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Patrioti Levice,"Rickey Isaiah Justin Mc Gill, Omotayo Jordan Ogundiran, Boris Bojanovský, Tanner Matthew Stuckman, Keith Andre Wesson Jr","Patrioti Levice|0,1,15,24,5",1,Omotayo Jordan Ogundiran,5,Keith Andre Wesson Jr,12,35,11,1,8,1.5,4.38
Spišskí Rytieri,"Joshua Stephen Jefferson, Juraj Páleník, Isaiah Malik Hill, Marko Stevanović, Caleb Jamerson Kenney","Spišskí Rytieri|11,26,3,62,8",3,Isaiah Malik Hill,8,Caleb Jamerson Kenney,16,32,0,16,11,1.45,2.91
Patrioti Levice,"Rickey Isaiah Justin Mc Gill, Omotayo Jordan Ogundiran, Boris Bojanovský, Tanner Matthew Stuckman, Keith Andre Wesson Jr","Patrioti Levice|0,1,15,24,5",0,Rickey Isaiah Justin Mc Gill,5,Keith Andre Wesson Jr,12,31,7,5,7,1.71,4.43
Spišskí Rytieri,"Joshua Stephen Jefferson, Juraj Páleník, Isaiah Malik Hill, Marko Stevanović, Caleb Jamerson Kenney","Spišskí Rytieri|11,26,3,62,8",3,Isaiah Malik Hill,11,Joshua Stephen Jefferson,10,27,7,3,7,1.43,3.86
Spišskí Rytieri,"Joshua Stephen Jefferson, Juraj Páleník, Isaiah Malik Hill, Marko Stevanović, Caleb Jamerson Kenney","Spišskí Rytieri|11,26,3,62,8",3,Isaiah Malik Hill,26,Juraj Páleník,9,27,9,0,7,1.29,3.86
BKM Mimel Lučenec,"Donavan Ashley Yap Jr, Tervell Tyshawn Beck, Eric Dean Lewis Boone Jr, Jalil Omar Beaubrun, Matej Siládi","BKM Mimel Lučenec|0,13,3,7,8",3,Eric Dean Lewis Boone Jr,7,Jalil Omar Beaubrun,11,26,4,7,6,1.83,4.33
Spišskí Rytieri,"Joshua Stephen Jefferson, Juraj Páleník, Isaiah Malik Hill, Marko Stevanović, Caleb Jamerson Kenney","Spišskí Rytieri|11,26,3,62,8",3,Isaiah Malik Hill,62,Marko Stevanović,9,23,5,4,8,1.12,2.88
BKM Mimel Lučenec,"Tevin Michael Smith, Tervell Tyshawn Beck, Eric Dean Lewis Boone Jr, Jalil Omar Beaubrun, Matej Siládi","BKM Mimel Lučenec|11,13,3,7,8",3,Eric Dean Lewis Boone Jr,8,Matej Siládi,8,23,7,1,6,1.33,3.83
Spišskí Rytieri,"Joshua Stephen Jefferson, Juraj Páleník, Isaiah Malik Hill, Marko Stevanović, Caleb Jamerson Kenney","Spišskí Rytieri|11,26,3,62,8",11,Joshua Stephen Jefferson,8,Caleb Jamerson Kenney,11,22,0,11,9,1.22,2.44
Spišskí Rytieri,"Joshua Stephen Jefferson, Juraj Páleník, Isaiah Malik Hill, Marko Stevanović, Caleb Jamerson Kenney","Spišskí Rytieri|11,26,3,62,8",62,Marko Stevanović,11,Joshua Stephen Jefferson,8,21,5,3,7,1.14,3.0
