Home_Team,Home_Lineup,Away_Team,Away_Lineup,Games,Total_Seconds,Minutes,Possessions,Home_PTS,Home_FGM,Home_FGA,Home_FG%,Home_3PM,Home_3PA,Home_3P%,Home_FTM,Home_FTA,Home_FT%,Home_OREB,Home_DREB,Home_REB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Away_PTS,Away_FGM,Away_FGA,Away_FG%,Away_3PM,Away_3PA,Away_3P%,Away_FTM,Away_FTA,Away_FT%,Away_OREB,Away_DREB,Away_REB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Home_POSS,Away_POSS,Home_OFF_RTG,Home_DEF_RTG,Home_NET_RTG,Away_OFF_RTG,Away_DEF_RTG,Away_NET_RTG,Point_Diff,Home_RIM_ATT,Home_RIM_MADE,Home_RIM%,Home_OTD_2PT_ATT,Home_OTD_2PT_MADE,Home_OTD_2PT%,Home_OTD_3PT_ATT,Home_OTD_3PT_MADE,Home_OTD_3PT%,Away_RIM_ATT,Away_RIM_MADE,Away_RIM%,Away_OTD_2PT_ATT,Away_OTD_2PT_MADE,Away_OTD_2PT%,Away_OTD_3PT_ATT,Away_OTD_3PT_MADE,Away_OTD_3PT%,Home_PASS_TO,Home_DRIBBLE_TO,Home_DEFENSE_TO,Home_MISC_TO,Away_PASS_TO,Away_DRIBBLE_TO,Away_DEFENSE_TO,Away_MISC_TO,Home_2ND_CHANCE_PTS,Home_FAST_BREAK_PTS,Home_PTS_OFF_TOV,Away_2ND_CHANCE_PTS,Away_FAST_BREAK_PTS,Away_PTS_OFF_TOV
BKM Mimel Lučenec,"Donavan Ashley Yap Jr, Eric Dean Lewis Boone Jr, Jalil Omar Beaubrun, Matej Siládi, Tervell Tyshawn Beck",Spišskí Rytieri,"Caleb Jamerson Kenney, Isaiah Malik Hill, Joshua Stephen Jefferson, Juraj Páleník, Marko Stevanović",1,995,16.6,30.1,51,21,35,60,7,16,43.8,2,2,100,10,8,18,12,3,2,5,3,38,13,24,54.2,5,12,41.7,7,8,87.5,2,4,6,8,3,0,5,4,30.2,30.2,169,126,43,126,169,-43,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spišskí Rytieri,"Caleb Jamerson Kenney, Cameron Deshaun Jones, Isaiah Malik Hill, Juraj Páleník, Marko Stevanović",Patrioti Levice,"Boris Bojanovský, Keith Andre Wesson Jr, Omotayo Jordan Ogundiran, Rickey Isaiah Justin Mc Gill, Tanner Matthew Stuckman",1,921,15.3,28.9,26,10,28,35.7,4,13,30.8,2,3,66.7,3,5,8,8,5,1,3,5,37,13,25,52,4,8,50,7,8,87.5,6,15,21,7,3,1,7,2,29.1,28.5,89.3,129.8,-40.4,129.8,89.3,40.4,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Prievidza,"Anderson Sage Tolbert Iii, Davontrey Shauni Zhmere Thomas, Dávid Novák, Maroš Zelizňák, Noah Craig Reynolds",BC Slovan Bratislava,"Christian Tyler James, Lester Fezell Medford Jr, Robert Paul Howard, Stefan Pot, Tomáš Pavelka",1,667,11.1,22.2,19,8,20,40,3,8,37.5,0,0,0,2,7,9,5,3,2,5,4,22,9,20,45,2,9,22.2,2,2,100,2,10,12,6,2,2,3,6,22.9,21.3,83.1,103.5,-20.3,103.5,83.1,20.3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBK Baník Handlová,"Djimon Tyler Henson, Jeremy Lamar Mc Laughlin, Jordan Lamont Harris, Petar Dragović, Peter Kováčik",Patrioti Levice,"Aatu Albert Kivimäki, Boris Bojanovský, Gabriel Jerome Dorsey, Keith Andre Wesson Jr, Rickey Isaiah Justin Mc Gill",1,575,9.6,21.2,25,8,14,57.1,5,7,71.4,4,6,66.7,1,10,11,5,2,2,5,3,16,6,18,33.3,2,8,25,2,4,50,2,5,7,5,5,0,4,7,20.6,21.6,121.5,74,47.5,74,121.5,-47.5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Prievidza,"Anderson Sage Tolbert Iii, Dávid Novák, Eduardo Benvindo Luvumbo Andre, Joseph Toussaint, Noah Craig Reynolds",Patrioti Levice,"Boris Bojanovský, Keith Andre Wesson Jr, Omotayo Jordan Ogundiran, Rickey Isaiah Justin Mc Gill, Tanner Matthew Stuckman",1,555,9.2,20.7,16,7,18,38.9,2,7,28.6,0,0,0,1,3,4,2,3,4,4,5,24,10,16,62.5,2,5,40,2,3,66.7,1,9,10,5,3,0,5,3,20.8,20.7,76.8,115.9,-39,115.9,76.8,39,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Prievidza,"Anderson Sage Tolbert Iii, Dalibor Hlivák, Davontrey Shauni Zhmere Thomas, Fahro Alihodzic, Joseph Toussaint",Patrioti Levice,"Boris Bojanovský, Gabriel Jerome Dorsey, Keith Andre Wesson Jr, Rickey Isaiah Justin Mc Gill, William Glen Carius",1,590,9.8,19.0,25,9,20,45,6,10,60,1,2,50,3,8,11,8,0,0,3,4,22,9,20,45,2,6,33.3,2,2,100,3,6,9,4,2,1,1,2,20.0,18.7,125.3,117.8,7.4,117.8,125.3,-7.4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BKM Mimel Lučenec,"Eric Dean Lewis Boone Jr, Jalil Omar Beaubrun, Matej Siládi, Tervell Tyshawn Beck, Tevin Michael Smith",Košice Wolves,"Adam Monček, Ezekiel La'quan-Abe Montgomery, Filip Halada, Jalen Makanaokeakua Gaffney, Myles Derek Howard",1,620,10.3,18.7,29,12,24,50,3,10,30,2,3,66.7,5,8,13,7,1,0,0,3,14,4,15,26.7,2,7,28.6,4,4,100,1,7,8,3,0,0,2,6,20.0,17.5,145.2,80.2,65,80.2,145.2,-65,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Komárno,"Elijah Gregory Ormiston, Kimani Esque Tyrone Lawrence, Samuel Volárik, Tyron Desean Henry, Yuri Shamar Covington",Spišskí Rytieri,"Caleb Jamerson Kenney, Isaiah Malik Hill, Juraj Páleník, Marko Stevanović, Tomáš Mrviš",1,545,9.1,18.2,20,5,14,35.7,2,6,33.3,8,12,66.7,2,6,8,1,1,1,4,4,17,6,16,37.5,1,7,14.3,4,5,80,2,3,5,4,2,0,2,7,19.4,17.5,102.9,97,5.9,97,102.9,-5.9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrioti Levice,"Boris Bojanovský, Keith Andre Wesson Jr, Omotayo Jordan Ogundiran, Rickey Isaiah Justin Mc Gill, Tanner Matthew Stuckman",Spišskí Rytieri,"Caleb Jamerson Kenney, Cameron Deshaun Jones, Isaiah Malik Hill, Juraj Páleník, Marko Stevanović",2,490,8.2,17.9,22,9,19,47.4,4,9,44.4,0,0,0,1,9,10,5,3,0,0,2,10,4,14,28.6,1,9,11.1,1,2,50,1,8,9,4,0,1,4,1,17.8,17.8,123.5,56.1,67.4,56.1,123.5,-67.4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBK Baník Handlová,"Djimon Tyler Henson, Jeremy Lamar Mc Laughlin, Jordan Lamont Harris, Juraj Láštic, Marko Gutalj",Spišskí Rytieri,"Caleb Jamerson Kenney, Isaiah Malik Hill, Joshua Stephen Jefferson, Marko Stevanović, Samuel Kincel",1,573,9.6,17.6,20,9,19,47.4,1,7,14.3,1,1,100,1,3,4,4,3,1,0,7,19,8,13,61.5,1,3,33.3,2,2,100,1,9,10,4,0,0,4,2,18.4,16.5,108.9,114.9,-6,114.9,108.9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
