Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
Spišskí Rytieri,"Caleb Jamerson Kenney, Isaiah Malik Hill, Joshua Stephen Jefferson, Juraj Páleník, Marko Stevanović",22,13139,69.2,536,197,397,49.6,66,174,37.9,76,112,67.9,53,112,165,112,37,10,55,89,430,75.9,78.6,73.2,30.5,32.8,57.9,60.1,56.9,28,68.3,9,28.2,43.8,124.6,506,193,366,52.7,52,130,40,68,88,77.3,52,136,188,99,30,18,65,105,401,59.8,62.5,13.8,31.7,35.5,126.2,106,65,61.3,16,9,56.2,2,1,50,0,0,0,0,-1.6,103,76,73.8,22,12,54.5,6,2,33.3,0,0,0,0,60,59,75,58,61,54
Patrioti Levice,"Boris Bojanovský, Keith Andre Wesson Jr, Omotayo Jordan Ogundiran, Rickey Isaiah Justin Mc Gill, Tanner Matthew Stuckman",14,10403,77.6,448,163,305,53.4,61,135,45.2,61,77,79.2,29,156,185,104,34,15,48,60,344,78.4,79.3,77.6,30.3,30.9,63.4,66.1,63.8,23,79.6,9.8,25.2,44.3,130.4,282,108,314,34.4,40,160,25,26,44,59.1,40,97,137,62,29,27,57,80,336,40.8,42.3,14.6,20.4,51,83.8,90,62,68.9,27,18,66.7,28,13,46.4,0,0,0,0,46.6,65,35,53.8,35,14,40,14,4,28.6,0,0,0,0,40,78,78,32,37,51
BKM Mimel Lučenec,"Donavan Ashley Yap Jr, Eric Dean Lewis Boone Jr, Jalil Omar Beaubrun, Matej Siládi, Tervell Tyshawn Beck",15,8127,70.1,295,111,227,48.9,33,90,36.7,40,49,81.6,38,87,125,64,24,13,52,46,252,74.5,74.4,74.5,32.2,32.2,56.2,59.3,57.7,33.9,69,14.3,21.6,39.6,117,282,114,246,46.3,30,86,34.9,24,36,66.7,39,74,113,56,27,12,40,53,252,52.4,53.8,13.3,31,35,111.8,79,43,54.4,10,4,40,4,1,25,0,0,0,0,5.3,82,51,62.2,11,3,27.3,4,3,75,0,0,0,0,38,49,45,20,31,57
Spišskí Rytieri,"Caleb Jamerson Kenney, Cameron Deshaun Jones, Isaiah Malik Hill, Juraj Páleník, Marko Stevanović",10,7744,60.2,268,95,209,45.5,27,92,29.3,51,62,82.3,34,77,111,52,18,15,48,43,240,75,74.5,75.5,32.2,31.8,51.9,56.7,54.7,32.7,62.1,14.3,29.7,44,111.5,284,111,246,45.1,25,77,32.5,37,45,82.2,47,70,117,50,26,5,35,60,244,50.2,53.4,11.6,37.9,31.3,116.6,43,36,83.7,10,4,40,8,3,37.5,0,0,0,0,-5,65,35,53.8,11,3,27.3,12,4,33.3,0,0,0,0,40,30,31,42,34,42
BKM Mimel Lučenec,"Eric Dean Lewis Boone Jr, Jalil Omar Beaubrun, Matej Siládi, Tervell Tyshawn Beck, Tevin Michael Smith",17,7763,29.3,272,96,217,44.2,35,100,35,45,64,70.3,41,68,109,50,21,11,30,47,225,70.6,69.5,71.7,34.5,33.5,52.3,55.5,52.1,37.3,68.7,9.2,29.5,46.1,121,273,98,214,45.8,30,77,39,47,56,83.9,31,69,100,46,13,8,34,58,232,52.8,57.2,12.5,31.3,36,117.7,65,43,66.2,12,4,33.3,11,5,45.5,0,0,0,0,3.3,75,49,65.3,17,9,52.9,6,2,33.3,0,0,0,0,42,19,37,24,17,34
Nitra Blue Wings,"Dimitrius Paul Underwood, Guy Evers Kennedy Ragland Jr, Jordan Lamont Jones, Lukáš Bolek, Tristan Ekong Ikpe",20,6549,33.4,233,92,206,44.7,15,63,23.8,34,47,72.3,41,81,122,47,20,11,29,60,206,73.1,75.5,70.8,31.8,33.9,48.3,51.4,51.1,37.6,72.3,9.6,22.8,30.6,113.1,170,64,178,36,14,68,20.6,28,39,71.8,31,68,99,35,14,13,37,49,193,39.9,43.6,15.9,27.7,38.2,88,89,55,61.8,19,9,47.4,7,2,28.6,0,0,0,0,25,61,33,54.1,18,3,16.7,4,1,25,0,0,0,0,40,35,36,15,13,16
Nitra Blue Wings,"Dimitrius Paul Underwood, Jordan Lamont Jones, Lukáš Bolek, Oleksandr Belikov, Tristan Ekong Ikpe",20,5299,7.9,195,63,144,43.8,15,47,31.9,54,70,77.1,23,57,80,31,18,5,26,43,171,77.7,77.3,78,31.0,30.8,49,55.8,49.2,29.5,66.3,11.2,48.6,32.6,114.2,188,68,150,45.3,17,60,28.3,35,60,58.3,29,55,84,32,12,9,32,48,172,51,53.3,15.4,33.7,40,109.2,59,31,52.5,3,0,0,1,0,0,0,0,0,0,5.1,58,36,62.1,2,1,50,4,1,25,0,0,0,0,20,25,38,33,27,22
BKM Mimel Lučenec,"Eric Dean Lewis Boone Jr, Jalil Omar Beaubrun, Matej Siládi, Shaun Gregory Willett, Tervell Tyshawn Beck",10,5614,22.4,171,64,158,40.5,14,67,20.9,29,39,74.4,27,48,75,39,19,3,30,34,171,73.1,73.1,73,32.8,32.9,44.9,48.8,60.9,31.4,63.2,12.3,24.7,42.4,100,195,75,155,48.4,21,58,36.2,24,34,70.6,28,59,87,39,19,8,36,50,171,55.2,57.4,17.5,36.8,37.4,114.1,50,37,74,3,0,0,1,0,0,0,0,0,0,-14.2,49,34,69.4,5,3,60,5,1,20,0,0,0,0,27,20,28,32,16,26
Spišskí Rytieri,"Caleb Jamerson Kenney, Isaiah Malik Hill, Joshua Stephen Jefferson, Juraj Páleník, Samuel Kincel",17,4687,30.9,168,60,134,44.8,28,59,47.5,20,31,64.5,20,44,64,34,11,8,27,40,148,75.4,76,74.8,31.6,32.1,55.2,56.9,56.7,31.7,66.7,12.9,23.1,44,113.2,186,75,146,51.4,19,47,40.4,17,23,73.9,22,43,65,33,10,9,18,24,146,57.9,59.6,10.3,33.3,32.2,127.4,39,26,66.7,7,1,14.3,1,1,100,0,0,0,0,-14.2,43,27,62.8,5,3,60,1,1,100,0,0,0,0,24,18,32,31,16,27
BC Slovan Bratislava,"Christian Tyler James, Lester Fezell Medford Jr, Robert Paul Howard, Stefan Pot, Tomáš Pavelka",13,4562,30.7,187,70,133,52.6,19,50,38,28,39,71.8,17,61,78,40,19,10,21,34,148,75.2,77.9,72.6,30.8,33.0,59.8,62.3,57.1,27.9,76.2,9.9,29.3,37.6,126.4,113,40,122,32.8,19,60,31.7,14,20,70,19,44,63,28,16,7,32,40,138,40.6,43.2,19.7,23.8,49.2,81.9,56,37,66.1,7,5,71.4,2,2,100,0,0,0,0,44.5,39,14,35.9,10,3,30,4,2,50,0,0,0,0,21,28,37,11,17,23
