# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 200
# Qualified players exported: 129
# Total stints used: 6630
# Garbage time stints excluded: 266
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
Patrioti Levice,0,Rickey Isaiah Justin Mc Gill,2921,7.46,3.17,10.63
Patrioti Levice,15,Boris Bojanovský,1523,1.58,6.81,8.39
Patrioti Levice,5,Keith Andre Wesson Jr,2562,4.07,4.19,8.26
BC Slovan Bratislava,8,Lester Fezell Medford Jr,2375,5.0,1.94,6.94
BC Slovan Bratislava,20,Tomáš Pavelka,1454,3.59,2.5,6.1
BC Komárno,11,Samuel Volárik,1701,0.58,5.04,5.63
BC Prievidza,23,Naje' Abdean Smith,1466,0.91,4.61,5.52
BC Prievidza,1,Anderson Sage Tolbert Iii,2191,4.01,1.24,5.25
BC Slovan Bratislava,5,Matej Majerčák,841,2.96,1.87,4.83
Nitra Blue Wings,9,Jeremiah Kenyatta Bailey,934,1.11,3.54,4.65
Nitra Blue Wings,0,Tristan Ekong Ikpe,2499,2.64,1.84,4.48
Nitra Blue Wings,12,Brandon Matthew Horvath,923,0.65,2.78,3.42
BC Komárno,20,Elijah Gregory Ormiston,1685,2.44,0.97,3.41
BC Prievidza,15,Joseph Toussaint,1789,1.49,1.78,3.26
BC Komárno,1,Aaron Jamal Naseem Gray,2136,0.5,2.75,3.25
BKM Mimel Lučenec,3,Eric Dean Lewis Boone Jr,2247,3.06,0.14,3.2
Iskra Svit,98,Tyrin Ja´quain Atwood,1981,0.29,2.68,2.97
BKM Mimel Lučenec,7,Jalil Omar Beaubrun,2166,2.85,0.04,2.89
Patrioti Levice,25,William Glen Carius,944,0.41,2.37,2.78
Nitra Blue Wings,19,Guy Evers Kennedy Ragland Jr,2003,0.53,2.01,2.54
Patrioti Levice,1,Omotayo Jordan Ogundiran,1064,1.98,0.36,2.34
Iskra Svit,8,Samuel Thomas Hines Jr,600,1.41,0.88,2.28
BC Komárno,30,Tyler Terell Millin,1108,2.33,-0.16,2.17
Nitra Blue Wings,30,Ľubomír Urban,604,1.28,0.82,2.09
BC Slovan Bratislava,22,Robert Paul Howard,1260,-1.65,3.71,2.06
BC Prievidza,4,Davontrey Shauni Zhmere Thomas,2077,1.45,0.57,2.01
