Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
BC Komárno,4,Carrington Wiggins,,1,28.3,28.3,27,27.0,8,10,80.0,6,8,75.0,5,6,83.3,1,0,1,5,2,0,5,4,110.0,106.8,27.4,153.1,32.2,9.5,4.9,0.0,2.2,29.8,3.3,0.0,28.3,0.6,17.98,11.5,6.48,2,2,100,0,0,0,5,4,80,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BKM Lučenec,8,Matej Siládi,,1,29.6,29.6,18,18.0,6,7,85.7,6,7,85.7,0,0,0,1,2,3,1,1,0,0,2,128.6,128.6,10.3,257.1,22.3,8.7,3.1,7.3,5.1,6.2,1.6,0.0,0.0,0.0,15.78,11.41,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BKM Lučenec,10,Atin Carl Wright,,1,35.7,35.7,27,27.0,9,19,47.4,4,10,40.0,5,6,83.3,2,7,9,2,3,0,2,2,57.9,62.4,28.9,114.2,33.4,12.4,5.2,21.2,12.6,11.3,4.1,0.0,8.5,0.32,15.54,9.89,5.64,6,4,66.7,2,1,50,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrioti Levice,0,Rickey Isaiah Justin Mc Gill,,46,32.6,1497.7,1090,23.7,359,764,47.0,105,293,35.8,267,327,81.7,24,156,180,267,113,3,138,80,53.9,60.0,31.3,104.2,29.3,7.9,1.9,11.2,6.8,31.7,3.8,0.2,13.2,0.43,13.55,7.29,6.27,196,129,65.8,107,50,46.7,89,42,47.2,76,47,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrioti Levice,25,William Glen Carius,,17,28.8,489.5,265,15.6,92,195,47.2,29,80,36.2,52,70,74.3,54,66,120,25,32,7,22,31,54.6,58.7,22.5,106.9,19.4,5.9,13.1,15.1,14.1,8.4,3.4,1.4,8.9,0.36,9.95,5.63,4.32,70,46,65.7,20,7,35,2,2,100,8,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Slovan Bratislava,3,Raynere Thornton,,1,28.9,28.9,17,17.0,7,11,63.6,1,2,50.0,2,5,40.0,2,5,7,2,0,1,1,1,68.2,64.4,23.4,119.7,22.5,2.6,11.5,16.5,14.7,11.9,0.0,3.1,7.0,0.45,9.58,6.15,3.43,4,4,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitra Blue Wings,4,Jordan Lamont Jones,,45,29.6,1330.5,801,17.8,302,655,46.1,69,217,31.8,128,171,74.9,52,116,168,180,79,2,122,104,51.4,54.8,28.2,94.0,23.4,6.3,4.4,10.6,7.3,25.7,3.1,0.2,14.3,0.26,9.02,4.25,4.77,228,147,64.5,34,17,50,17,3,17.6,61,51,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitra Blue Wings,11,Dimitrius Paul Underwood,,25,29.2,729.4,436,17.4,161,379,42.5,21,71,29.6,93,123,75.6,51,128,179,95,36,11,57,60,45.3,50.3,29.4,89.0,22.7,3.7,7.9,21.8,14.5,23.5,2.6,1.6,11.6,0.32,8.44,3.8,4.65,146,80,54.8,31,9,29,7,2,28.6,29,19,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrioti Levice,5,Keith Andre Wesson Jr,,46,28.8,1326.5,672,14.6,228,491,46.4,94,242,38.8,122,172,70.9,52,242,294,90,45,25,69,95,56.0,59.3,21.5,105.7,18.1,6.5,4.7,19.4,12.5,10.9,1.7,1.9,10.9,0.35,8.25,4.15,4.1,129,83,64.3,44,19,43.2,33,13,39.4,34,21,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
BKM Mimel Lučenec,3,Eric Dean Lewis Boone Jr,,35,34.1,1193.8,608,17.4,204,496,41.1,73,241,30.3,127,156,81.4,38,171,209,182,71,17,92,95,48.5,53.8,24.8,92.6,22.7,9.0,3.6,17.2,10.2,26.0,3.1,1.3,14.0,0.31,8.19,4.78,3.42,126,79,62.7,19,7,36.8,24,6,25,52,26,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Iskra Svit,7,Jason Jackson,,1,28.7,28.7,20,20.0,7,10,70.0,2,3,66.7,4,5,80.0,0,3,3,5,0,0,3,3,80.0,82.0,23.3,131.6,25.9,3.9,0.0,17.4,7.1,24.7,0.0,0.0,19.7,0.5,8.08,5.91,2.16,1,1,100,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrioti Levice,15,Boris Bojanovský,,41,18.9,776.1,333,8.1,133,174,76.4,0,0,0,67,93,72.0,68,216,284,42,19,53,36,64,76.4,77.5,14.4,132.7,10.0,0.0,10.6,29.6,20.7,8.5,1.2,7.0,14.3,0.53,8.05,3.4,4.65,124,100,80.6,5,3,60,0,0,0,18,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Prievidza,9,Noah Craig Reynolds,,30,26.0,781.2,478,15.9,168,385,43.6,44,150,29.3,98,118,83.1,22,72,94,94,38,20,55,72,49.4,54.7,27.5,97.2,20.2,6.3,3.2,11.1,7.0,21.0,2.5,2.6,11.2,0.31,7.94,3.6,4.34,124,77,62.1,35,19,54.3,17,3,17.6,27,21,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Prievidza,23,Naje' Abdean Smith,,33,23.4,771.0,285,8.6,113,220,51.4,13,53,24.5,46,62,74.2,66,159,225,82,25,53,49,63,54.3,57.6,16.9,96.2,11.1,2.1,9.7,23.0,16.5,17.2,1.7,6.6,16.5,0.28,7.68,2.78,4.91,114,83,72.8,23,6,26.1,2,1,50,21,16,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrioti Levice,8,Novak Music,,2,29.7,59.3,19,9.5,6,16,37.5,1,6,16.7,6,11,54.5,0,7,7,12,3,0,2,5,40.6,45.6,16.8,83.2,11.3,3.6,0.0,13.7,6.8,30.6,2.5,0.0,8.8,0.69,7.39,2.27,5.12,7,4,57.1,0,0,0,2,1,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Prievidza,4,Davontrey Shauni Zhmere Thomas,,38,29.0,1102.0,596,15.7,202,464,43.5,89,232,38.4,103,139,74.1,55,104,159,66,38,11,66,73,53.1,56.7,23.6,100.8,20.1,7.8,5.7,10.8,8.2,10.4,1.8,1.0,11.2,0.3,7.32,4.12,3.2,131,74,56.5,41,23,56.1,11,2,18.2,20,39,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Iskra Svit,2,Rocket Watts,,2,26.3,52.6,26,13.0,9,20,45.0,4,11,36.4,4,4,100.0,1,3,4,8,3,1,2,3,55.0,59.7,20.5,109.4,17.3,7.3,2.3,8.4,5.1,24.2,3.2,1.7,8.4,0.2,6.97,4.6,2.37,3,2,66.7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitra Blue Wings,0,Tristan Ekong Ikpe,,45,29.9,1344.4,458,10.2,166,359,46.2,13,67,19.4,113,173,65.3,125,198,323,88,63,47,84,114,48.1,52.6,17.0,88.2,13.4,2.0,10.4,17.9,14.0,10.4,2.4,3.7,16.2,0.48,6.73,2.07,4.66,223,130,58.3,12,1,8.3,0,0,0,42,24,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Komárno,2,Corey Kaydon Mckeithan,,17,28.6,485.7,315,18.5,113,251,45.0,51,126,40.5,38,52,73.1,5,44,49,64,16,0,33,51,55.2,57.5,28.0,102.6,23.5,9.4,1.2,10.3,5.9,21.9,1.7,0.0,10.8,0.21,6.64,3.85,2.79,31,20,64.5,27,15,55.6,14,6,42.9,17,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Komárno,1,Aaron Jamal Naseem Gray,,37,30.1,1112.8,503,13.6,178,332,53.6,48,136,35.3,99,143,69.2,62,154,216,61,48,14,43,101,60.8,63.7,17.6,114.9,17.3,4.7,6.7,16.0,11.4,8.8,2.2,1.3,9.8,0.43,6.6,3.03,3.57,145,103,71,5,0,0,1,1,100,13,18,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Prievidza,15,Joseph Toussaint,,37,26.1,964.1,447,12.1,142,361,39.3,48,156,30.8,115,147,78.2,41,102,143,120,57,2,71,86,46.0,52.5,22.7,90.0,15.6,5.4,4.9,12.1,8.5,20.2,3.1,0.2,14.3,0.41,6.54,2.37,4.17,102,61,59.8,47,15,31.9,27,10,37,36,24,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrioti Levice,55,Akol Mawein,,23,20.4,469.2,206,9.0,81,126,64.3,3,10,30.0,41,63,65.1,22,76,98,28,14,25,25,49,65.5,67.0,17.2,115.3,11.2,0.5,5.9,17.9,12.3,9.4,1.5,5.4,14.0,0.5,6.54,2.34,4.19,74,52,70.3,4,0,0,1,1,100,4,14,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Prievidza,1,Anderson Sage Tolbert Iii,,40,29.4,1174.5,503,12.6,192,377,50.9,15,76,19.7,104,165,63.0,88,172,260,80,46,14,66,93,52.9,55.9,19.3,97.6,16.1,2.4,8.5,16.9,12.6,11.5,2.0,1.2,12.8,0.44,6.53,2.57,3.96,186,118,63.4,46,16,34.8,1,0,0,22,24,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitra Blue Wings,12,Brandon Matthew Horvath,,21,23.6,496.2,282,13.4,107,221,48.4,18,71,25.4,50,81,61.7,46,91,137,37,21,9,40,52,52.5,54.9,26.5,95.1,17.7,4.5,10.4,21.8,15.9,14.1,2.2,2.0,13.5,0.37,6.33,2.6,3.73,114,78,68.4,2,2,100,0,0,0,12,21,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Slovan Bratislava,0,Jordan Watson,,1,24.6,24.6,14,14.0,4,8,50.0,2,3,66.7,4,5,80.0,0,2,2,4,1,0,3,3,62.5,68.6,23.4,106.1,16.8,3.6,0.0,8.1,4.7,22.1,2.1,0.0,22.7,0.62,6.27,2.46,3.8,1,0,0,1,1,100,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrioti Levice,7,Gabriel Jerome Dorsey,,45,24.7,1109.3,495,11.0,160,373,42.9,120,279,43.0,55,64,85.9,17,107,124,36,27,6,35,74,59.0,61.7,17.7,113.5,13.7,7.7,1.9,10.3,6.3,5.0,1.2,0.6,8.0,0.17,6.12,3.4,2.73,23,13,56.5,32,16,50,41,18,43.9,15,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Spišskí Rytieri,8,Caleb Jamerson Kenney,,39,32.3,1259.8,607,15.6,254,402,63.2,2,9,22.2,97,143,67.8,125,237,362,78,32,45,78,99,63.4,65.3,19.6,111.8,19.9,0.3,11.8,21.9,16.9,11.2,1.3,3.4,14.4,0.36,5.96,4.58,1.38,184,131,71.2,28,18,64.3,0,0,0,31,25,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitra Blue Wings,19,Guy Evers Kennedy Ragland Jr,,45,23.9,1075.5,438,9.7,169,358,47.2,59,197,29.9,41,51,80.4,78,151,229,61,44,30,52,143,55.4,57.6,17.7,101.3,12.8,5.8,8.1,17.0,12.4,9.5,2.1,2.9,12.0,0.14,5.94,1.95,3.98,121,93,76.9,11,7,63.6,2,0,0,26,15,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
BKM Mimel Lučenec,7,Jalil Omar Beaubrun,,35,32.9,1152.2,598,17.1,227,450,50.4,33,117,28.2,111,180,61.7,119,229,348,53,33,46,77,94,54.1,56.5,23.7,98.6,22.2,4.3,11.6,23.7,17.5,8.4,1.5,3.6,12.7,0.4,5.85,4.21,1.64,187,123,65.8,14,5,35.7,4,1,25,17,42,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrioti Levice,1,Omotayo Jordan Ogundiran,,21,25.9,544.8,262,12.5,79,208,38.0,41,127,32.3,63,88,71.6,8,75,83,102,19,2,62,63,47.8,53.1,25.2,84.9,15.3,7.4,1.8,14.0,8.4,28.5,1.7,0.4,20.1,0.42,5.83,1.99,3.84,38,22,57.9,10,5,50,34,13,38.2,36,17,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Slovan Bratislava,8,Lester Fezell Medford Jr,,46,28.2,1296.1,566,12.3,192,476,40.3,95,264,36.0,87,117,74.4,22,114,136,206,71,7,130,150,50.3,53.7,23.3,86.1,16.2,7.6,2.0,9.5,5.9,26.6,2.9,0.6,19.8,0.25,5.75,1.63,4.13,106,57,53.8,36,16,44.4,49,25,51,78,38,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Spišskí Rytieri,11,Joshua Stephen Jefferson,,26,30.1,782.6,475,18.3,152,362,42.0,78,212,36.8,93,120,77.5,23,54,77,94,33,2,55,49,52.8,57.3,27.5,101.1,23.7,10.6,3.6,8.2,5.9,21.0,2.2,0.2,11.7,0.33,5.66,5.38,0.27,68,40,58.8,9,5,55.6,14,7,50,24,23,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Slovan Bratislava,4,Shamiel Shawn Stevenson,,35,24.7,863.9,533,15.2,182,360,50.6,34,94,36.2,135,189,71.4,23,125,148,45,29,13,61,47,55.3,60.1,26.7,105.7,20.0,3.5,3.2,15.6,9.7,10.1,1.8,1.6,12.1,0.53,5.65,2.67,2.98,176,110,62.5,32,12,37.5,13,4,30.8,22,28,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitra Blue Wings,2,Marc Kenyatta Evans Jr,,6,18.2,108.9,50,8.3,18,38,47.4,9,19,47.4,5,9,55.6,4,15,19,9,6,1,5,10,59.2,59.6,19.0,106.5,10.7,4.1,4.3,14.9,9.9,12.9,2.9,1.0,10.6,0.24,5.64,2.01,3.63,11,6,54.5,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BKM Lučenec,7,Jalil Omar Beaubrun,,1,35.0,35.0,16,16.0,6,15,40.0,0,2,0.0,4,5,80.0,3,7,10,0,3,0,1,1,40.0,46.5,22.7,87.9,19.8,2.5,8.0,21.7,14.3,0.0,4.2,0.0,5.5,0.33,5.62,2.33,3.29,9,5,55.6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BKM Mimel Lučenec,6,Shaun Gregory Willett,,14,33.4,467.2,256,18.3,102,210,48.6,8,30,26.7,44,73,60.3,54,68,122,45,23,11,45,40,50.5,52.9,27.5,89.2,23.8,2.8,12.9,17.0,14.9,18.5,2.6,2.1,15.7,0.35,5.6,3.86,1.74,107,70,65.4,8,3,37.5,2,0,0,22,13,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
BKM Mimel Lučenec,11,Tevin Michael Smith,,26,27.9,726.0,352,13.5,123,245,50.2,41,97,42.3,65,86,75.6,49,84,133,45,26,13,36,59,58.6,62.2,19.9,110.4,17.7,4.9,7.6,13.8,10.6,10.8,1.9,1.7,11.3,0.35,5.51,4.16,1.35,60,38,63.3,12,5,41.7,9,6,66.7,18,11,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Slovan Bratislava,20,Tomáš Pavelka,,43,18.5,796.9,394,9.2,163,266,61.3,1,1,100.0,67,111,60.4,129,167,296,31,19,64,52,110,61.5,62.6,21.1,107.4,12.1,0.0,19.3,21.9,20.7,7.3,1.3,8.3,14.2,0.42,5.46,2.14,3.32,229,151,65.9,12,7,58.3,0,0,0,17,17,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Spišskí Rytieri,3,Isaiah Malik Hill,,39,31.7,1236.2,747,19.2,238,561,42.4,91,242,37.6,180,222,81.1,27,103,130,229,39,3,120,121,50.5,56.7,28.6,95.9,24.5,7.9,2.6,9.7,6.2,32.9,1.6,0.2,15.4,0.4,5.41,4.58,0.83,82,48,58.5,58,28,48.3,35,21,60,71,32,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Slovan Bratislava,2,Christian Tyler James,,37,29.5,1092.5,431,11.6,140,343,40.8,67,188,35.6,84,96,87.5,34,218,252,85,34,3,60,93,50.6,55.9,18.8,96.8,15.4,6.7,3.7,21.4,13.0,12.7,1.7,0.3,13.5,0.28,5.39,1.89,3.49,96,61,63.5,23,6,26.1,13,5,38.5,21,35,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrioti Levice,8,Novak Musić,,13,20.9,271.5,96,7.4,32,74,43.2,6,19,31.6,26,30,86.7,6,26,32,42,17,1,22,31,47.3,55.0,17.8,87.9,9.1,1.8,2.7,10.3,6.7,21.8,3.2,0.4,20.1,0.41,5.36,1.19,4.17,29,14,48.3,5,1,20,2,1,50,14,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Komárno,20,Elijah Gregory Ormiston,,38,23.4,889.0,424,11.2,169,273,61.9,6,21,28.6,80,107,74.8,68,170,238,63,28,23,47,82,63.0,66.2,18.5,115.5,14.2,0.7,9.1,22.2,15.7,12.0,1.6,2.7,12.8,0.39,5.3,2.08,3.22,162,116,71.6,20,10,50,0,0,0,17,18,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrioti Levice,24,Tanner Matthew Stuckman,,19,29.8,566.0,218,11.5,83,167,49.7,22,67,32.8,30,45,66.7,44,58,102,16,11,2,20,52,56.3,58.4,16.1,105.4,14.0,4.3,9.1,10.5,9.9,4.3,1.0,0.4,9.7,0.27,5.12,2.62,2.5,59,45,76.3,1,0,0,1,0,0,7,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Iskra Svit,24,Tyrin Ja´quain Atwood,,32,33.2,1061.2,396,12.4,154,318,48.4,30,95,31.6,58,69,84.1,64,160,224,91,46,28,51,72,53.1,56.8,17.3,99.2,16.1,3.9,6.9,17.8,12.3,14.5,2.2,2.5,12.8,0.22,5.02,2.75,2.27,96,65,67.7,12,3,25,0,0,0,22,22,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
MBK Baník Handlová,13,Jovan Sljivancanin,,2,31.1,62.2,27,13.5,10,25,40.0,1,6,16.7,6,10,60.0,4,13,17,6,4,0,4,0,42.0,45.9,26.9,80.8,19.1,4.2,8.3,23.9,16.6,20.2,3.5,0.0,12.0,0.4,4.98,1.94,3.04,6,4,66.7,1,1,100,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitra Blue Wings,9,Jeremiah Kenyatta Bailey,,21,23.5,494.0,210,10.0,78,188,41.5,17,65,26.2,37,58,63.8,34,86,120,62,36,5,57,60,46.0,49.2,24.2,77.6,13.2,4.1,7.7,20.7,14.0,21.5,3.8,1.1,21.1,0.31,4.93,0.49,4.44,74,44,59.5,10,5,50,3,1,33.3,27,24,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Spišskí Rytieri,24,Marko Stevanovič,,1,27.8,27.8,13,13.0,5,10,50.0,2,6,33.3,1,3,33.3,4,3,7,2,1,0,1,3,60.0,57.4,22.4,105.5,17.9,8.3,18.0,17.3,17.7,13.2,2.0,0.0,8.1,0.3,4.9,5.27,-0.36,4,3,75,0,0,0,1,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrioti Levice,19,Aleksandar Bursać,,19,18.8,357.0,117,6.2,50,85,58.8,7,20,35.0,10,22,45.5,17,52,69,22,8,8,10,34,62.9,61.8,13.0,111.8,7.6,1.3,5.5,15.1,10.6,9.4,1.1,2.4,9.6,0.26,4.84,1.65,3.19,35,25,71.4,5,2,40,0,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Spišskí Rytieri,62,Marko Stevanović,,34,30.7,1043.8,427,12.6,154,307,50.2,48,155,31.0,71,113,62.8,69,202,271,79,39,20,53,81,58.0,59.9,17.8,104.2,16.0,5.8,7.9,22.5,15.3,12.4,1.9,1.8,12.9,0.37,4.84,3.68,1.16,80,62,77.5,5,3,60,0,0,0,25,17,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
